"Candidates.Name"	"IRSHAD.AHMAD.KHAN"	"OMPRAKASH.MEHTA"	"DILIP.KUMAR.YADAV"	"RAJKUMAR.ORAON"	"LESHI.SINGH"	"SHIVCHARAN.MEHTA"	"NAVIN.KR..MAHTO"	"PATWARI.HANSDA"	"YAMUNA.PD..MURMU"	"LAKSHMAN.MANDAL"	"UPENDRA.NATH.SAGAR"	"CHANDRADEV.PASWAN"	"NAVIN.KUMAR.SINGH"	"MD..NAUSAD"	"PRAFUL.CHANDRA.ROY"	"BALRAM.SINGH"	"BHAVENDRA.KUMAR"	"YOGENDRA.SINGH"	"VINAY.KUMAR.PODDAR"	"Total.Valid.Votes"
"284"	"217"	"7"	"6"	"135"	"8"	"268"	"48"	"1"	"38"	"9"	"3"	"4"	"4"	"24"	"3"	"14"	"3"	"2"	"0"	"4"	"581"
"285"	"218"	"7"	"24"	"53"	"10"	"244"	"13"	"4"	"91"	"10"	"2"	"7"	"6"	"27"	"8"	"17"	"16"	"5"	"3"	"2"	"549"
"286"	"219"	"11"	"66"	"29"	"2"	"132"	"71"	"3"	"103"	"19"	"3"	"9"	"7"	"69"	"7"	"15"	"12"	"0"	"5"	"2"	"565"
"287"	"Total:"	"19608"	"2471"	"19529"	"6155"	"64286"	"1917"	"743"	"9148"	"2100"	"615"	"1313"	"2154"	"3292"	"2388"	"3057"	"2850"	"2374"	"808"	"1216"	"146024"
"288"	"Postal Ballot"	"18"	"0"	"25"	"1"	"37"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"0"	"1"	"0"	"0"	"91"
"289"	"Grand Total:"	"19626"	"2471"	"19554"	"6156"	"64323"	"1919"	"743"	"9148"	"2100"	"615"	"1313"	"2154"	"3293"	"2389"	"3062"	"2850"	"2375"	"808"	"1216"	"146115"
"290"	"Place:                                                                                                                                                                                                                                                                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Date: 27/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Assembly Constituency :061---Dhamdaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
