"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"238"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"239"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"240"	"193A"	"11"	"4"	"177"	"2"	"1"	"152"	"13"	"2"	"0"	"2"	"3"	"2"	"1"	"2"	"10"	"3"	"3"	"9"	"8"	"1"	"6"	"6"	"3"	"0"	"421"
"241"	"194"	"12"	"25"	"37"	"0"	"6"	"231"	"17"	"3"	"1"	"1"	"4"	"0"	"0"	"0"	"17"	"71"	"5"	"7"	"4"	"0"	"5"	"1"	"1"	"2"	"450"
"242"	"195"	"25"	"15"	"444"	"14"	"6"	"155"	"10"	"3"	"4"	"4"	"15"	"2"	"4"	"18"	"134"	"22"	"1"	"2"	"10"	"2"	"2"	"4"	"2"	"5"	"903"
"243"	"196"	"18"	"10"	"142"	"1"	"7"	"187"	"4"	"4"	"3"	"3"	"8"	"16"	"5"	"6"	"160"	"10"	"10"	"13"	"16"	"8"	"4"	"9"	"2"	"4"	"650"
"244"	"197"	"20"	"7"	"196"	"7"	"13"	"309"	"18"	"9"	"3"	"6"	"42"	"4"	"5"	"20"	"11"	"28"	"5"	"1"	"4"	"2"	"1"	"8"	"1"	"11"	"731"
"245"	"198"	"12"	"9"	"268"	"10"	"8"	"227"	"14"	"7"	"2"	"2"	"5"	"2"	"4"	"6"	"123"	"14"	"7"	"7"	"14"	"6"	"0"	"4"	"2"	"3"	"756"
"246"	"199"	"3"	"9"	"150"	"4"	"3"	"194"	"7"	"3"	"2"	"1"	"21"	"6"	"4"	"10"	"187"	"19"	"3"	"5"	"12"	"1"	"1"	"11"	"0"	"7"	"663"
"247"	"200"	"9"	"19"	"214"	"4"	"4"	"216"	"16"	"0"	"7"	"1"	"13"	"2"	"9"	"11"	"85"	"19"	"11"	"5"	"12"	"5"	"7"	"23"	"2"	"9"	"703"
"248"	"201"	"5"	"3"	"74"	"1"	"3"	"80"	"3"	"0"	"1"	"1"	"2"	"0"	"3"	"0"	"82"	"6"	"5"	"0"	"2"	"1"	"1"	"1"	"0"	"4"	"278"
"249"	"202"	"6"	"6"	"129"	"3"	"2"	"138"	"3"	"2"	"1"	"2"	"6"	"2"	"3"	"1"	"101"	"2"	"4"	"7"	"5"	"1"	"0"	"3"	"1"	"4"	"432"
"250"	"203"	"8"	"6"	"110"	"3"	"2"	"71"	"3"	"0"	"0"	"2"	"5"	"1"	"2"	"2"	"132"	"9"	"0"	"0"	"4"	"0"	"0"	"1"	"2"	"1"	"364"
"251"	"204"	"6"	"8"	"133"	"9"	"7"	"177"	"11"	"4"	"3"	"2"	"12"	"3"	"9"	"6"	"228"	"8"	"1"	"4"	"18"	"2"	"2"	"9"	"3"	"1"	"666"
"252"	"205"	"8"	"16"	"188"	"5"	"2"	"46"	"7"	"1"	"1"	"0"	"0"	"2"	"6"	"5"	"248"	"0"	"7"	"21"	"11"	"7"	"3"	"4"	"2"	"1"	"591"
"253"	"206"	"3"	"1"	"117"	"0"	"2"	"8"	"0"	"0"	"3"	"1"	"3"	"2"	"2"	"10"	"102"	"5"	"2"	"2"	"6"	"0"	"0"	"8"	"1"	"3"	"281"
"254"	"207"	"5"	"0"	"143"	"5"	"5"	"148"	"6"	"2"	"6"	"3"	"10"	"2"	"6"	"8"	"9"	"10"	"2"	"1"	"7"	"1"	"2"	"4"	"2"	"3"	"390"
"255"	"207A"	"8"	"3"	"147"	"9"	"4"	"134"	"10"	"0"	"3"	"3"	"11"	"3"	"4"	"10"	"38"	"13"	"2"	"0"	"3"	"0"	"0"	"1"	"0"	"2"	"408"
"256"	"208"	"7"	"1"	"49"	"4"	"5"	"516"	"4"	"4"	"1"	"2"	"5"	"0"	"0"	"0"	"8"	"27"	"8"	"3"	"7"	"3"	"2"	"5"	"2"	"3"	"666"
"257"	"209"	"19"	"4"	"380"	"9"	"15"	"138"	"10"	"3"	"3"	"3"	"13"	"1"	"10"	"11"	"9"	"20"	"2"	"1"	"10"	"1"	"1"	"3"	"2"	"2"	"670"
"258"	"210"	"5"	"3"	"24"	"1"	"5"	"418"	"16"	"5"	"3"	"6"	"28"	"4"	"2"	"6"	"27"	"43"	"6"	"6"	"12"	"0"	"2"	"15"	"4"	"5"	"646"
"259"	"211"	"19"	"3"	"115"	"0"	"3"	"147"	"11"	"1"	"1"	"0"	"5"	"2"	"3"	"5"	"5"	"26"	"41"	"4"	"13"	"9"	"4"	"6"	"6"	"9"	"438"
"260"	"212"	"11"	"4"	"59"	"2"	"7"	"204"	"10"	"3"	"5"	"1"	"11"	"5"	"3"	"6"	"33"	"17"	"61"	"5"	"18"	"1"	"5"	"4"	"2"	"4"	"481"
"261"	"213"	"13"	"10"	"149"	"1"	"48"	"229"	"12"	"4"	"2"	"3"	"24"	"1"	"4"	"7"	"10"	"13"	"8"	"5"	"12"	"2"	"1"	"4"	"1"	"2"	"565"
"262"	"214"	"15"	"4"	"50"	"4"	"9"	"219"	"13"	"5"	"0"	"2"	"19"	"9"	"8"	"6"	"13"	"23"	"8"	"1"	"2"	"1"	"4"	"6"	"4"	"5"	"430"
"263"	"215"	"37"	"8"	"108"	"5"	"6"	"170"	"19"	"3"	"2"	"3"	"7"	"1"	"1"	"1"	"4"	"11"	"7"	"2"	"2"	"2"	"1"	"5"	"0"	"0"	"405"
"264"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"265"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"266"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"267"	"216"	"11"	"8"	"143"	"3"	"2"	"227"	"6"	"1"	"2"	"3"	"11"	"2"	"3"	"10"	"4"	"13"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"3"	"457"
"268"	"217"	"24"	"2"	"120"	"3"	"25"	"330"	"18"	"8"	"0"	"3"	"11"	"0"	"1"	"4"	"10"	"3"	"6"	"4"	"2"	"4"	"1"	"3"	"1"	"3"	"586"
"269"	"218"	"3"	"11"	"339"	"9"	"14"	"230"	"5"	"1"	"3"	"5"	"4"	"4"	"7"	"8"	"57"	"16"	"5"	"5"	"20"	"4"	"2"	"27"	"2"	"3"	"784"
"270"	"219"	"1"	"0"	"84"	"2"	"6"	"272"	"8"	"3"	"2"	"3"	"8"	"1"	"6"	"4"	"12"	"13"	"3"	"1"	"12"	"2"	"1"	"5"	"0"	"3"	"452"
"271"	"220"	"3"	"0"	"128"	"1"	"0"	"265"	"6"	"1"	"3"	"5"	"8"	"1"	"1"	"5"	"10"	"5"	"3"	"1"	"9"	"1"	"0"	"5"	"1"	"3"	"465"
"272"	"221"	"22"	"19"	"187"	"2"	"12"	"97"	"7"	"2"	"1"	"8"	"14"	"3"	"4"	"15"	"110"	"8"	"3"	"2"	"5"	"4"	"0"	"1"	"0"	"2"	"528"
"273"	"222"	"10"	"3"	"99"	"2"	"9"	"258"	"9"	"2"	"1"	"1"	"10"	"5"	"4"	"5"	"9"	"19"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"1"	"453"
"274"	"223"	"17"	"23"	"355"	"5"	"2"	"84"	"8"	"1"	"7"	"1"	"13"	"2"	"7"	"19"	"97"	"32"	"5"	"3"	"17"	"5"	"4"	"6"	"0"	"2"	"715"
"275"	"Total:"	"2356"	"1982"	"55002"	"1213"	"1762"	"38397"	"2359"	"532"	"618"	"530"	"1772"	"446"	"962"	"1415"	"11141"	"3004"	"1031"	"913"	"3356"	"594"	"1076"	"911"	"417"	"815"	"132604"
"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Postal Ballot"	"4"	"18"	"313"	"3"	"26"	"309"	"2"	"0"	"2"	"0"	"2"	"0"	"0"	"2"	"85"	"32"	"0"	"2"	"24"	"0"	"4"	"0"	"0"	"0"	"828"
"278"	"Grand Total:"	"2360"	"2000"	"55315"	"1216"	"1788"	"38706"	"2361"	"532"	"620"	"530"	"1774"	"446"	"962"	"1417"	"11226"	"3036"	"1031"	"915"	"3380"	"594"	"1080"	"911"	"417"	"815"	"133432"
"279"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Assembly Constituency :123-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"--Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
