"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X233808...149...233957.32.Benipatti"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"1"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"2"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"155"	""	"103"	""	"26"	""	"45"	""	"3"	""	"30"	""	"3"	""	"169"	""	"8"	""	"18"	""	"1"	""	"8"	""	"3"	""	"7"	""	"2"	""	"2"	""	"8"	""	"4"	""	"7"	""	"4"	""	"6"	""	"133"	""	"14"	""	"501"	""	""	""	"501"	""	""	""
"156"	""	"104"	""	"24"	""	"85"	""	"5"	""	"97"	""	"7"	""	"176"	""	"5"	""	"5"	""	"0"	""	"3"	""	"2"	""	"1"	""	"6"	""	"7"	""	"8"	""	"4"	""	"21"	""	"11"	""	"10"	""	"25"	""	"13"	""	"515"	""	""	""	"515"	""	""	""
"157"	""	"105"	""	"13"	""	"57"	""	"3"	""	"105"	""	"2"	""	"115"	""	"8"	""	"5"	""	"6"	""	"5"	""	"1"	""	"4"	""	"3"	""	"28"	""	"6"	""	"3"	""	"10"	""	"7"	""	"4"	""	"10"	""	"14"	""	"409"	""	""	""	"409"	""	""	""
"158"	""	"Total RN - 8"	""	"804"	""	"980"	""	"42"	""	"713"	""	"93"	""	"1965"	""	"82"	""	"101"	""	"52"	""	"59"	""	"70"	""	"59"	""	"52"	""	"89"	""	"88"	""	"51"	""	"86"	""	"47"	""	"34"	""	"397"	""	"109"	""	"5973"	""	"0"	""	"5973"	""	"0"	""
"159"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"161"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"162"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"163"	"Round- 9"	"B.F."	""	"3633"	""	"7326"	""	"721"	""	"7105"	""	"633"	""	"16829"	""	"667"	""	"1318"	""	"507"	""	"421"	""	"353"	""	"338"	""	"593"	""	"976"	""	"1010"	""	"799"	""	"1231"	""	"745"	""	"258"	""	"1048"	""	"718"	""	"47229"	""	"0"	""	"47229"	""	"0"	""
"164"	""	"106"	""	"35"	""	"62"	""	"5"	""	"67"	""	"7"	""	"103"	""	"5"	""	"1"	""	"3"	""	"5"	""	"5"	""	"4"	""	"3"	""	"9"	""	"2"	""	"14"	""	"8"	""	"3"	""	"3"	""	"7"	""	"8"	""	"359"	""	""	""	"359"	""	""	""
"165"	""	"107"	""	"118"	""	"87"	""	"7"	""	"3"	""	"0"	""	"130"	""	"5"	""	"4"	""	"1"	""	"1"	""	"2"	""	"3"	""	"1"	""	"2"	""	"1"	""	"16"	""	"4"	""	"4"	""	"1"	""	"8"	""	"5"	""	"403"	""	""	""	"403"	""	""	""
"166"	""	"108"	""	"9"	""	"71"	""	"3"	""	"6"	""	"3"	""	"188"	""	"5"	""	"0"	""	"0"	""	"1"	""	"2"	""	"3"	""	"12"	""	"2"	""	"3"	""	"4"	""	"2"	""	"1"	""	"0"	""	"1"	""	"1"	""	"317"	""	""	""	"317"	""	""	""
"167"	""	"109"	""	"46"	""	"69"	""	"3"	""	"41"	""	"2"	""	"79"	""	"1"	""	"2"	""	"3"	""	"0"	""	"1"	""	"1"	""	"0"	""	"1"	""	"3"	""	"0"	""	"6"	""	"4"	""	"3"	""	"3"	""	"7"	""	"275"	""	""	""	"275"	""	""	""
"168"	""	"109A"	""	"22"	""	"55"	""	"3"	""	"26"	""	"4"	""	"124"	""	"1"	""	"3"	""	"0"	""	"3"	""	"2"	""	"3"	""	"1"	""	"5"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	"2"	""	"258"	""	""	""	"258"	""	""	""
"169"	""	"110"	""	"1"	""	"16"	""	"2"	""	"110"	""	"3"	""	"47"	""	"2"	""	"5"	""	"5"	""	"2"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"6"	""	"1"	""	"205"	""	""	""	"205"	""	""	""
"170"	""	"111"	""	"14"	""	"41"	""	"7"	""	"2"	""	"4"	""	"148"	""	"8"	""	"10"	""	"2"	""	"2"	""	"2"	""	"0"	""	"3"	""	"8"	""	"2"	""	"5"	""	"6"	""	"6"	""	"6"	""	"108"	""	"8"	""	"392"	""	""	""	"392"	""	""	""
"171"	""	"112"	""	"62"	""	"17"	""	"4"	""	"19"	""	"5"	""	"159"	""	"8"	""	"27"	""	"3"	""	"1"	""	"1"	""	"3"	""	"9"	""	"5"	""	"2"	""	"2"	""	"11"	""	"2"	""	"4"	""	"124"	""	"9"	""	"477"	""	""	""	"477"	""	""	""
"172"	""	"113"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	""	"0"	""	""	""
"173"	""	"114"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	""	"0"	""	""	""
"174"	""	"115"	""	"186"	""	"40"	""	"3"	""	"3"	""	"1"	""	"36"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"2"	""	"5"	""	"6"	""	"1"	""	"1"	""	"0"	""	"2"	""	"289"	""	""	""	"289"	""	""	""
"175"	""	"116"	""	"141"	""	"35"	""	"1"	""	"0"	""	"1"	""	"28"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	""	"2"	""	"4"	""	"3"	""	"3"	""	"1"	""	"2"	""	"6"	""	"229"	""	""	""	"229"	""	""	""
"176"	""	"117"	""	"219"	""	"35"	""	"2"	""	"10"	""	"3"	""	"56"	""	"3"	""	"3"	""	"5"	""	"0"	""	"1"	""	"2"	""	"4"	""	"3"	""	"1"	""	"5"	""	"6"	""	"0"	""	"0"	""	"3"	""	"3"	""	"364"	""	""	""	"364"	""	""	""
"177"	""	"118"	""	"169"	""	"9"	""	"0"	""	"27"	""	"0"	""	"58"	""	"4"	""	"2"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"7"	""	"0"	""	"1"	""	"0"	""	"1"	""	"281"	""	""	""	"281"	""	""	""
"178"	""	"Total RN - 9"	""	"1022"	""	"537"	""	"40"	""	"314"	""	"33"	""	"1156"	""	"42"	""	"58"	""	"23"	""	"16"	""	"16"	""	"20"	""	"35"	""	"39"	""	"19"	""	"56"	""	"59"	""	"25"	""	"23"	""	"263"	""	"53"	""	"3849"	""	"0"	""	"3849"	""	"0"	""
"179"	"Place : Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Date   : 24.11.2010                                                                                                                                                                                                                     9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"185"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"186"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"187"	"Round- 10"	"B.F."	""	"4655"	""	"7863"	""	"761"	""	"7419"	""	"666"	""	"17985"	""	"709"	""	"1376"	""	"530"	""	"437"	""	"369"	""	"358"	""	"628"	""	"1015"	""	"1029"	""	"855"	""	"1290"	""	"770"	""	"281"	""	"1311"	""	"771"	""	"51078"	""	"0"	""	"51078"	""	"0"	""
"188"	""	"119"	""	"116"	""	"11"	""	"3"	""	"20"	""	"2"	""	"106"	""	"3"	""	"5"	""	"4"	""	"4"	""	"3"	""	"4"	""	"3"	""	"4"	""	"4"	""	"2"	""	"8"	""	"5"	""	"2"	""	"6"	""	"9"	""	"324"	""	""	""	"324"	""	""	""
"189"	""	"120"	""	"255"	""	"34"	""	"3"	""	"24"	""	"5"	""	"45"	""	"4"	""	"2"	""	"5"	""	"2"	""	"4"	""	"0"	""	"5"	""	"3"	""	"10"	""	"14"	""	"30"	""	"3"	""	"4"	""	"3"	""	"8"	""	"463"	""	""	""	"463"	""	""	""
"190"	""	"121"	""	"235"	""	"141"	""	"6"	""	"3"	""	"0"	""	"44"	""	"4"	""	"1"	""	"3"	""	"1"	""	"6"	""	"2"	""	"1"	""	"2"	""	"11"	""	"12"	""	"30"	""	"2"	""	"5"	""	"2"	""	"7"	""	"518"	""	""	""	"518"	""	""	""
"191"	""	"122"	""	"164"	""	"52"	""	"3"	""	"15"	""	"0"	""	"135"	""	"5"	""	"5"	""	"2"	""	"1"	""	"4"	""	"2"	""	"3"	""	"3"	""	"1"	""	"8"	""	"5"	""	"1"	""	"3"	""	"1"	""	"3"	""	"416"	""	""	""	"416"	""	""	""
"192"	""	"123"	""	"23"	""	"48"	""	"0"	""	"8"	""	"4"	""	"177"	""	"0"	""	"3"	""	"1"	""	"1"	""	"1"	""	"1"	""	"1"	""	"0"	""	"2"	""	"1"	""	"1"	""	"2"	""	"0"	""	"3"	""	"1"	""	"278"	""	""	""	"278"	""	""	""
"193"	""	"124"	""	"24"	""	"46"	""	"1"	""	"1"	""	"1"	""	"137"	""	"4"	""	"3"	""	"3"	""	"2"	""	"1"	""	"0"	""	"4"	""	"0"	""	"0"	""	"3"	""	"1"	""	"1"	""	"0"	""	"0"	""	"3"	""	"235"	""	""	""	"235"	""	""	""
"194"	""	"125"	""	"62"	""	"48"	""	"0"	""	"1"	""	"4"	""	"196"	""	"4"	""	"5"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"1"	""	"3"	""	"3"	""	"5"	""	"2"	""	"6"	""	"2"	""	"344"	""	""	""	"344"	""	""	""
"195"	""	"126"	""	"82"	""	"75"	""	"4"	""	"51"	""	"3"	""	"154"	""	"5"	""	"21"	""	"2"	""	"10"	""	"6"	""	"5"	""	"8"	""	"4"	""	"3"	""	"9"	""	"10"	""	"5"	""	"5"	""	"8"	""	"13"	""	"483"	""	""	""	"483"	""	""	""
"196"	""	"127"	""	"154"	""	"65"	""	"7"	""	"92"	""	"5"	""	"67"	""	"5"	""	"4"	""	"2"	""	"4"	""	"2"	""	"1"	""	"9"	""	"6"	""	"2"	""	"7"	""	"3"	""	"3"	""	"0"	""	"10"	""	"3"	""	"451"	""	""	""	"451"	""	""	""
"197"	""	"128"	""	"24"	""	"72"	""	"9"	""	"75"	""	"15"	""	"113"	""	"8"	""	"4"	""	"1"	""	"3"	""	"1"	""	"1"	""	"4"	""	"4"	""	"2"	""	"2"	""	"3"	""	"3"	""	"5"	""	"7"	""	"2"	""	"358"	""	""	""	"358"	""	""	""
"198"	""	"129"	""	"71"	""	"7"	""	"2"	""	"172"	""	"5"	""	"101"	""	"4"	""	"6"	""	"1"	""	"3"	""	"10"	""	"1"	""	"6"	""	"1"	""	"3"	""	"2"	""	"21"	""	"9"	""	"2"	""	"26"	""	"13"	""	"466"	""	""	""	"466"	""	""	""
"199"	""	"130"	""	"352"	""	"60"	""	"3"	""	"16"	""	"1"	""	"103"	""	"3"	""	"7"	""	"2"	""	"1"	""	"5"	""	"1"	""	"4"	""	"3"	""	"2"	""	"6"	""	"7"	""	"1"	""	"1"	""	"28"	""	"16"	""	"622"	""	""	""	"622"	""	""	""
"200"	""	"131"	""	"69"	""	"11"	""	"4"	""	"317"	""	"11"	""	"38"	""	"3"	""	"4"	""	"6"	""	"5"	""	"53"	""	"6"	""	"11"	""	"4"	""	"2"	""	"17"	""	"2"	""	"2"	""	"0"	""	"6"	""	"16"	""	"587"	""	""	""	"587"	""	""	""
"201"	""	"132"	""	"11"	""	"13"	""	"5"	""	"166"	""	"6"	""	"143"	""	"3"	""	"2"	""	"2"	""	"4"	""	"2"	""	"3"	""	"8"	""	"2"	""	"0"	""	"3"	""	"3"	""	"1"	""	"0"	""	"3"	""	"2"	""	"382"	""	""	""	"382"	""	""	""
"202"	""	"Total RN - 10"	""	"1642"	""	"683"	""	"50"	""	"961"	""	"62"	""	"1559"	""	"55"	""	"72"	""	"34"	""	"41"	""	"98"	""	"27"	""	"69"	""	"36"	""	"43"	""	"89"	""	"127"	""	"43"	""	"29"	""	"109"	""	"98"	""	"5927"	""	"0"	""	"5927"	""	"0"	""
"203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"205"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"206"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"207"	"Round- 11"	"B.F."	""	"6297"	""	"8546"	""	"811"	""	"8380"	""	"728"	""	"19544"	""	"764"	""	"1448"	""	"564"	""	"478"	""	"467"	""	"385"	""	"697"	""	"1051"	""	"1072"	""	"944"	""	"1417"	""	"813"	""	"310"	""	"1420"	""	"869"	""	"57005"	""	"0"	""	"57005"	""	"0"	""
"208"	""	"133"	""	"16"	""	"46"	""	"6"	""	"161"	""	"4"	""	"176"	""	"4"	""	"3"	""	"2"	""	"3"	""	"4"	""	"1"	""	"4"	""	"1"	""	"1"	""	"0"	""	"7"	""	"1"	""	"5"	""	"36"	""	"3"	""	"484"	""	""	""	"484"	""	""	""
"209"	""	"134"	""	"11"	""	"7"	""	"3"	""	"52"	""	"7"	""	"87"	""	"6"	""	"26"	""	"4"	""	"4"	""	"2"	""	"2"	""	"5"	""	"1"	""	"2"	""	"3"	""	"2"	""	"2"	""	"2"	""	"116"	""	"5"	""	"349"	""	""	""	"349"	""	""	""
"210"	""	"135"	""	"43"	""	"93"	""	"3"	""	"60"	""	"7"	""	"312"	""	"13"	""	"20"	""	"4"	""	"3"	""	"3"	""	"6"	""	"3"	""	"4"	""	"2"	""	"2"	""	"11"	""	"11"	""	"6"	""	"30"	""	"5"	""	"641"	""	""	""	"641"	""	""	""
"211"	""	"136"	""	"19"	""	"17"	""	"2"	""	"18"	""	"3"	""	"339"	""	"15"	""	"15"	""	"5"	""	"3"	""	"22"	""	"2"	""	"9"	""	"8"	""	"2"	""	"17"	""	"19"	""	"9"	""	"4"	""	"52"	""	"35"	""	"615"	""	""	""	"615"	""	""	""
"212"	""	"137"	""	"39"	""	"28"	""	"2"	""	"33"	""	"10"	""	"332"	""	"10"	""	"10"	""	"2"	""	"5"	""	"0"	""	"0"	""	"4"	""	"7"	""	"1"	""	"1"	""	"17"	""	"7"	""	"7"	""	"12"	""	"4"	""	"531"	""	""	""	"531"	""	""	""
"213"	""	"138"	""	"40"	""	"38"	""	"4"	""	"46"	""	"1"	""	"344"	""	"4"	""	"4"	""	"1"	""	"4"	""	"4"	""	"1"	""	"6"	""	"5"	""	"3"	""	"3"	""	"4"	""	"3"	""	"0"	""	"3"	""	"7"	""	"525"	""	""	""	"525"	""	""	""
"214"	""	"139"	""	"29"	""	"9"	""	"1"	""	"117"	""	"6"	""	"175"	""	"6"	""	"5"	""	"8"	""	"9"	""	"5"	""	"4"	""	"5"	""	"12"	""	"4"	""	"3"	""	"14"	""	"7"	""	"1"	""	"10"	""	"4"	""	"434"	""	""	""	"434"	""	""	""
"215"	""	"140"	""	"29"	""	"45"	""	"9"	""	"198"	""	"15"	""	"125"	""	"13"	""	"6"	""	"3"	""	"8"	""	"5"	""	"1"	""	"9"	""	"5"	""	"3"	""	"5"	""	"11"	""	"3"	""	"3"	""	"23"	""	"7"	""	"526"	""	""	""	"526"	""	""	""
"216"	""	"141"	""	"39"	""	"95"	""	"2"	""	"7"	""	"3"	""	"284"	""	"3"	""	"4"	""	"2"	""	"5"	""	"0"	""	"1"	""	"2"	""	"2"	""	"3"	""	"1"	""	"0"	""	"4"	""	"2"	""	"1"	""	"3"	""	"463"	""	""	""	"463"	""	""	""
"217"	""	"142"	""	"41"	""	"41"	""	"1"	""	"0"	""	"7"	""	"179"	""	"8"	""	"8"	""	"5"	""	"4"	""	"0"	""	"3"	""	"3"	""	"1"	""	"1"	""	"3"	""	"4"	""	"0"	""	"1"	""	"5"	""	"7"	""	"322"	""	""	""	"322"	""	""	""
"218"	""	"143"	""	"129"	""	"14"	""	"2"	""	"61"	""	"5"	""	"104"	""	"11"	""	"10"	""	"6"	""	"5"	""	"3"	""	"4"	""	"7"	""	"5"	""	"9"	""	"17"	""	"3"	""	"2"	""	"1"	""	"2"	""	"10"	""	"410"	""	""	""	"410"	""	""	""
"219"	""	"144"	""	"58"	""	"154"	""	"10"	""	"67"	""	"14"	""	"46"	""	"6"	""	"7"	""	"6"	""	"3"	""	"2"	""	"1"	""	"4"	""	"8"	""	"17"	""	"2"	""	"5"	""	"1"	""	"1"	""	"6"	""	"1"	""	"419"	""	""	""	"419"	""	""	""
"220"	""	"145"	""	"207"	""	"63"	""	"6"	""	"50"	""	"7"	""	"211"	""	"5"	""	"9"	""	"3"	""	"8"	""	"3"	""	"1"	""	"4"	""	"7"	""	"23"	""	"3"	""	"8"	""	"7"	""	"3"	""	"14"	""	"8"	""	"650"	""	""	""	"650"	""	""	""
"221"	""	"146"	""	"133"	""	"23"	""	"3"	""	"13"	""	"0"	""	"200"	""	"1"	""	"1"	""	"1"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"2"	""	"4"	""	"0"	""	"0"	""	"3"	""	"1"	""	"389"	""	""	""	"389"	""	""	""
"222"	""	"Total RN- 11"	""	"833"	""	"673"	""	"54"	""	"883"	""	"89"	""	"2914"	""	"105"	""	"128"	""	"52"	""	"64"	""	"54"	""	"27"	""	"66"	""	"67"	""	"72"	""	"62"	""	"109"	""	"57"	""	"36"	""	"313"	""	"100"	""	"6758"	""	"0"	""	"6758"	""	"0"	""
"223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"225"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"226"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"227"	"Round- 12"	"B.F."	""	"7130"	""	"9219"	""	"865"	""	"9263"	""	"817"	""	"22458"	""	"869"	""	"1576"	""	"616"	""	"542"	""	"521"	""	"412"	""	"763"	""	"1118"	""	"1144"	""	"1006"	""	"1526"	""	"870"	""	"346"	""	"1733"	""	"969"	""	"63763"	""	"0"	""	"63763"	""	"0"	""
"228"	""	"147"	""	"64"	""	"74"	""	"4"	""	"220"	""	"12"	""	"68"	""	"5"	""	"5"	""	"7"	""	"6"	""	"5"	""	"3"	""	"29"	""	"9"	""	"4"	""	"18"	""	"13"	""	"6"	""	"6"	""	"7"	""	"12"	""	"577"	""	""	""	"577"	""	""	""
"229"	""	"148"	""	"242"	""	"68"	""	"6"	""	"12"	""	"2"	""	"111"	""	"4"	""	"3"	""	"27"	""	"5"	""	"5"	""	"2"	""	"9"	""	"4"	""	"6"	""	"13"	""	"20"	""	"4"	""	"4"	""	"9"	""	"15"	""	"571"	""	""	""	"571"	""	""	""
"230"	""	"149"	""	"8"	""	"54"	""	"6"	""	"69"	""	"9"	""	"5"	""	"3"	""	"6"	""	"2"	""	"1"	""	"6"	""	"1"	""	"180"	""	"2"	""	"2"	""	"5"	""	"8"	""	"5"	""	"1"	""	"12"	""	"0"	""	"385"	""	""	""	"385"	""	""	""
"231"	""	"149A"	""	"6"	""	"59"	""	"4"	""	"75"	""	"2"	""	"1"	""	"2"	""	"2"	""	"1"	""	"1"	""	"2"	""	"1"	""	"97"	""	"3"	""	"0"	""	"12"	""	"9"	""	"4"	""	"0"	""	"6"	""	"5"	""	"292"	""	""	""	"292"	""	""	""
"232"	""	"150"	""	"153"	""	"94"	""	"3"	""	"14"	""	"4"	""	"251"	""	"10"	""	"6"	""	"1"	""	"7"	""	"4"	""	"1"	""	"11"	""	"6"	""	"8"	""	"10"	""	"3"	""	"5"	""	"1"	""	"2"	""	"12"	""	"606"	""	""	""	"606"	""	""	""
"233"	""	"151"	""	"20"	""	"57"	""	"2"	""	"212"	""	"5"	""	"17"	""	"0"	""	"3"	""	"16"	""	"6"	""	"4"	""	"0"	""	"24"	""	"11"	""	"1"	""	"9"	""	"4"	""	"0"	""	"1"	""	"5"	""	"14"	""	"411"	""	""	""	"411"	""	""	""
