"Candidates.Name"	"ANIL.KUMAR.TRIVEDI"	"KUNWAR.VIJAY.SINGH"	"MANJU.PRAKASH"	"YOGEN.DRA.CHOUH.AN"	"SHYAM.LAL.SINGH.KUSHWA.HA"	"PROF..SUKHADA.PANDE"	"AGNI.DEO.RAY"	"UPENDR.A.KUMAR.DUBEY"	"UMA.SANKAR.RAY"	"OM.PRAKASH.SINGH"	"RAJ.ROUSHA.N.YADAV"	"RAM.KRIPAL.SINGH"	"HARI.KISHUN.RAM"	"TAFIR.HUSSIN"	"TARKE.SHWA.R.PASW.AN"	"DEV.NARAYA.N.SINGH.YADAV"	"BANSH.NARAYA.N.PANDEY"	"BRAHMA.NAND.YADAV"	"BHARTI.KUMARI.PANDEY"	"RAJIV.KUMAR"	"BIR.BAHADUR.UPADHAYA.Y"	"SUNITA.DEVI"	"HRIDAY.A.NARAYA.N.SINGH"	"ANOOP.PRAKASH"	"GAYAT.RI.DEVI"	"Total"
"232"	"200"	"25"	"177"	"121"	"9"	"59"	"111"	"7"	"5"	"1"	"9"	"104"	"9"	"3"	"10"	"6"	"13"	"6"	"11"	"7"	"2"	"3"	"5"	"5"	"37"	"26"	"771"
"233"	"201"	"7"	"111"	"44"	"2"	"82"	"164"	"5"	"2"	"2"	"6"	"126"	"11"	"6"	"8"	"6"	"10"	"1"	"2"	"1"	"1"	"3"	"4"	"0"	"12"	"29"	"645"
"234"	"202"	"2"	"50"	"1"	"0"	"181"	"15"	"0"	"2"	"7"	"3"	"50"	"6"	"1"	"1"	"3"	"7"	"1"	"1"	"0"	"1"	"4"	"0"	"0"	"3"	"51"	"390"
"235"	"203"	"7"	"45"	"282"	"5"	"124"	"163"	"9"	"6"	"3"	"3"	"66"	"6"	"1"	"14"	"1"	"4"	"2"	"2"	"5"	"2"	"6"	"1"	"2"	"2"	"28"	"789"
"236"	"204"	"0"	"3"	"18"	"1"	"17"	"24"	"24"	"6"	"0"	"3"	"5"	"1"	"0"	"9"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"0"	"4"	"366"	"3"	"494"
"237"	"205"	"1"	"0"	"53"	"0"	"21"	"19"	"3"	"14"	"0"	"1"	"0"	"4"	"0"	"10"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"5"	"2"	"265"	"8"	"409"
"238"	"206"	"0"	"11"	"38"	"2"	"44"	"30"	"9"	"9"	"3"	"7"	"206"	"4"	"2"	"9"	"0"	"5"	"1"	"0"	"3"	"0"	"8"	"3"	"3"	"191"	"8"	"596"
"239"	"207"	"3"	"38"	"91"	"2"	"110"	"27"	"0"	"8"	"1"	"4"	"25"	"3"	"0"	"9"	"1"	"3"	"0"	"1"	"0"	"0"	"6"	"3"	"4"	"44"	"5"	"388"
"240"	"208"	"12"	"73"	"159"	"3"	"216"	"63"	"1"	"2"	"0"	"1"	"13"	"5"	"3"	"2"	"0"	"3"	"0"	"0"	"6"	"0"	"1"	"1"	"2"	"20"	"41"	"627"
"241"	"209"	"11"	"91"	"17"	"1"	"49"	"28"	"9"	"10"	"1"	"3"	"132"	"4"	"4"	"17"	"3"	"8"	"7"	"4"	"1"	"0"	"3"	"4"	"2"	"210"	"33"	"652"
"242"	"209A"	"2"	"102"	"6"	"0"	"43"	"7"	"3"	"0"	"0"	"2"	"7"	"4"	"1"	"1"	"3"	"5"	"0"	"5"	"1"	"2"	"5"	"2"	"2"	"39"	"21"	"263"
"243"	"210"	"10"	"2"	"1"	"0"	"54"	"158"	"4"	"6"	"2"	"10"	"90"	"2"	"1"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"80"	"6"	"437"
"244"	"211"	"11"	"256"	"5"	"4"	"108"	"110"	"1"	"2"	"0"	"37"	"106"	"7"	"5"	"2"	"1"	"0"	"6"	"1"	"1"	"2"	"6"	"1"	"2"	"27"	"10"	"711"
"245"	"211A"	"1"	"20"	"9"	"0"	"48"	"89"	"1"	"3"	"4"	"60"	"66"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"4"	"2"	"2"	"5"	"10"	"329"
"246"	"212"	"6"	"208"	"6"	"0"	"73"	"10"	"5"	"0"	"0"	"65"	"11"	"2"	"1"	"9"	"4"	"3"	"1"	"1"	"1"	"0"	"2"	"1"	"0"	"5"	"68"	"482"
"247"	"213"	"5"	"20"	"29"	"2"	"21"	"102"	"3"	"2"	"2"	"24"	"41"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"2"	"2"	"1"	"36"	"18"	"317"
"248"	"214"	"6"	"47"	"48"	"1"	"34"	"88"	"1"	"0"	"2"	"4"	"238"	"6"	"2"	"7"	"4"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"3"	"10"	"510"
"249"	"215"	"1"	"15"	"153"	"3"	"243"	"26"	"2"	"3"	"1"	"12"	"55"	"5"	"0"	"3"	"0"	"2"	"4"	"1"	"2"	"1"	"8"	"2"	"4"	"7"	"13"	"566"
"250"	"Candidates Name"	"ANIL KUMAR TRIVEDI"	"KUNWAR VIJAY SINGH"	"MANJU PRAKASH"	"YOGEN DRA CHOUH AN"	"SHYAM LAL SINGH KUSHWA HA"	"PROF. SUKHADA PANDE"	"AGNI DEO RAY"	"UPENDR A KUMAR DUBEY"	"UMA SANKAR RAY"	"OM PRAKASH SINGH"	"RAJ ROUSHA N YADAV"	"RAM KRIPAL SINGH"	"HARI KISHUN RAM"	"TAFIR HUSSIN"	"TARKE SHWA R PASW AN"	"DEV NARAYA N SINGH YADAV"	"BANSH NARAYA N PANDEY"	"BRAHMA NAND YADAV"	"BHARTI KUMARI PANDEY"	"RAJIV KUMAR"	"BIR BAHADUR UPADHAYA Y"	"SUNITA DEVI"	"HRIDAY A NARAYA N SINGH"	"ANOOP PRAKASH"	"GAYAT RI DEVI"	"Total"
"251"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"255"	"216"	"7"	"1"	"82"	"3"	"41"	"98"	"4"	"3"	"2"	"13"	"127"	"3"	"1"	"4"	"3"	"5"	"0"	"0"	"6"	"1"	"5"	"10"	"2"	"12"	"25"	"458"
"256"	"217"	"5"	"314"	"14"	"2"	"21"	"20"	"3"	"1"	"1"	"1"	"39"	"2"	"2"	"1"	"2"	"6"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"12"	"451"
"257"	"218"	"20"	"56"	"9"	"3"	"48"	"206"	"2"	"1"	"2"	"1"	"15"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"4"	"5"	"1"	"3"	"7"	"387"
"258"	"219"	"5"	"12"	"97"	"3"	"122"	"75"	"3"	"2"	"1"	"3"	"54"	"5"	"3"	"19"	"1"	"5"	"3"	"3"	"4"	"4"	"8"	"7"	"5"	"3"	"26"	"473"
"259"	"220"	"2"	"0"	"19"	"0"	"111"	"51"	"5"	"2"	"2"	"30"	"267"	"7"	"3"	"1"	"4"	"5"	"4"	"1"	"0"	"2"	"6"	"5"	"3"	"8"	"31"	"569"
"260"	"221"	"1"	"79"	"119"	"4"	"131"	"30"	"0"	"1"	"1"	"0"	"3"	"2"	"3"	"2"	"1"	"3"	"2"	"1"	"3"	"0"	"1"	"0"	"1"	"7"	"23"	"418"
"261"	"222"	"17"	"122"	"23"	"1"	"182"	"108"	"6"	"0"	"3"	"5"	"15"	"28"	"4"	"3"	"4"	"10"	"4"	"0"	"2"	"0"	"4"	"2"	"1"	"5"	"24"	"573"
"262"	"Total:"	"3772"	"12624"	"9297"	"585"	"27801"	"47932"	"1065"	"542"	"416"	"2068"	"5117"	"1412"	"566"	"944"	"504"	"1284"	"545"	"271"	"331"	"257"	"657"	"712"	"400"	"4445"	"4251"	"127798"
"263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Postal Ballot"	"11"	"19"	"20"	"1"	"78"	"130"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"29"	"9"	"304"
"265"	"Grand Total:"	"3783"	"12643"	"9317"	"586"	"27879"	"48062"	"1065"	"543"	"416"	"2068"	"5119"	"1412"	"566"	"948"	"504"	"1284"	"545"	"271"	"331"	"257"	"657"	"712"	"400"	"4474"	"4260"	"128102"
"266"	"Place:                                                                                                                                                                                                                                                 Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Date: 24-Nov-10                                                                                                                                                                                                                 Assembly Constituency :200---Buxar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                                                                         Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
