"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy,  mi ; ksx esa yk; k t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"------------------------------------------------- fuokZpu {ks= esa   --------------------------------------------- ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"¼l l anh;  vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"188"	"170"	"1"	""	""	"78"	""	""	"1"	""	""	"50"	""	""	""	"27"	""	"12"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"171"	""	""	""	"0"	""	""	"171"	""	"0"	""	""	""	""	""	""
"189"	"171"	"16"	""	""	"138"	""	""	"4"	""	""	"226"	""	""	""	"13"	""	"15"	""	""	""	"2"	""	""	""	"2"	""	""	"7"	""	""	"423"	""	""	""	"0"	""	""	"423"	""	"0"	""	""	""	""	""	""
"190"	"172"	"18"	""	""	"66"	""	""	"0"	""	""	"107"	""	""	""	"19"	""	"101"	""	""	""	"13"	""	""	""	"9"	""	""	"15"	""	""	"348"	""	""	""	"0"	""	""	"348"	""	"0"	""	""	""	""	""	""
"191"	"173"	"3"	""	""	"111"	""	""	"4"	""	""	"50"	""	""	""	"1"	""	"82"	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	"254"	""	""	""	"0"	""	""	"254"	""	"0"	""	""	""	""	""	""
"192"	"174"	"14"	""	""	"68"	""	""	"10"	""	""	"61"	""	""	""	"5"	""	"210"	""	""	""	"7"	""	""	""	"4"	""	""	"9"	""	""	"388"	""	""	""	"0"	""	""	"388"	""	"0"	""	""	""	""	""	""
"193"	"175"	"0"	""	""	"11"	""	""	"2"	""	""	"264"	""	""	""	"0"	""	"51"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	"330"	""	""	""	"0"	""	""	"330"	""	"0"	""	""	""	""	""	""
"194"	"176"	"4"	""	""	"20"	""	""	"3"	""	""	"161"	""	""	""	"7"	""	"52"	""	""	""	"0"	""	""	""	"1"	""	""	"11"	""	""	"259"	""	""	""	"0"	""	""	"259"	""	"0"	""	""	""	""	""	""
"195"	"177"	"22"	""	""	"53"	""	""	"8"	""	""	"77"	""	""	""	"8"	""	"465"	""	""	""	"17"	""	""	""	"6"	""	""	"9"	""	""	"665"	""	""	""	"0"	""	""	"665"	""	"0"	""	""	""	""	""	""
"196"	"178"	"11"	""	""	"122"	""	""	"8"	""	""	"25"	""	""	""	"4"	""	"105"	""	""	""	"8"	""	""	""	"4"	""	""	"10"	""	""	"297"	""	""	""	"0"	""	""	"297"	""	"0"	""	""	""	""	""	""
"197"	"179"	"0"	""	""	"32"	""	""	"3"	""	""	"77"	""	""	""	"10"	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	"129"	""	""	""	"0"	""	""	"129"	""	"0"	""	""	""	""	""	""
"198"	"180"	"17"	""	""	"55"	""	""	"12"	""	""	"23"	""	""	""	"6"	""	"210"	""	""	""	"7"	""	""	""	"4"	""	""	"8"	""	""	"342"	""	""	""	"0"	""	""	"342"	""	"0"	""	""	""	""	""	""
"199"	"181"	"16"	""	""	"93"	""	""	"8"	""	""	"22"	""	""	""	"20"	""	"161"	""	""	""	"0"	""	""	""	"2"	""	""	"6"	""	""	"328"	""	""	""	"0"	""	""	"328"	""	"0"	""	""	""	""	""	""
"200"	"182"	"15"	""	""	"229"	""	""	"4"	""	""	"55"	""	""	""	"20"	""	"123"	""	""	""	"3"	""	""	""	"2"	""	""	"7"	""	""	"458"	""	""	""	"0"	""	""	"458"	""	"0"	""	""	""	""	""	""
"201"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"202"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"183"	"6"	""	""	"122"	""	""	"2"	""	""	"29"	""	""	""	"4"	""	"107"	""	""	""	"6"	""	""	""	"1"	""	""	"4"	""	""	"281"	""	""	""	"0"	""	""	"281"	""	"0"	""	""	""	""	""	""
"204"	"184"	"5"	""	""	"172"	""	""	"3"	""	""	"28"	""	""	""	"13"	""	"156"	""	""	""	"4"	""	""	""	"9"	""	""	"7"	""	""	"397"	""	""	""	"0"	""	""	"397"	""	"0"	""	""	""	""	""	""
"205"	"185"	"8"	""	""	"173"	""	""	"11"	""	""	"103"	""	""	""	"19"	""	"72"	""	""	""	"8"	""	""	""	"4"	""	""	"3"	""	""	"401"	""	""	""	"0"	""	""	"401"	""	"0"	""	""	""	""	""	""
"206"	"186"	"11"	""	""	"191"	""	""	"4"	""	""	"48"	""	""	""	"25"	""	"206"	""	""	""	"18"	""	""	""	"8"	""	""	"21"	""	""	"532"	""	""	""	"0"	""	""	"532"	""	"0"	""	""	""	""	""	""
"207"	"187"	"12"	""	""	"104"	""	""	"6"	""	""	"159"	""	""	""	"11"	""	"129"	""	""	""	"5"	""	""	""	"2"	""	""	"5"	""	""	"433"	""	""	""	"0"	""	""	"433"	""	"0"	""	""	""	""	""	""
"208"	"188"	"4"	""	""	"8"	""	""	"1"	""	""	"9"	""	""	""	"1"	""	"206"	""	""	""	"4"	""	""	""	"0"	""	""	"3"	""	""	"236"	""	""	""	"0"	""	""	"236"	""	"0"	""	""	""	""	""	""
"209"	"189"	"10"	""	""	"211"	""	""	"9"	""	""	"128"	""	""	""	"11"	""	"113"	""	""	""	"5"	""	""	""	"2"	""	""	"11"	""	""	"500"	""	""	""	"0"	""	""	"500"	""	"0"	""	""	""	""	""	""
"210"	"190"	"15"	""	""	"115"	""	""	"9"	""	""	"35"	""	""	""	"8"	""	"252"	""	""	""	"7"	""	""	""	"9"	""	""	"13"	""	""	"463"	""	""	""	"0"	""	""	"463"	""	"0"	""	""	""	""	""	""
"211"	"190"	"16"	""	""	"149"	""	""	"9"	""	""	"31"	""	""	""	"10"	""	"137"	""	""	""	"5"	""	""	""	"3"	""	""	"11"	""	""	"371"	""	""	""	"0"	""	""	"371"	""	"0"	""	""	""	""	""	""
"212"	"191"	"15"	""	""	"55"	""	""	"10"	""	""	"26"	""	""	""	"2"	""	"213"	""	""	""	"5"	""	""	""	"3"	""	""	"9"	""	""	"338"	""	""	""	"0"	""	""	"338"	""	"0"	""	""	""	""	""	""
"213"	"192"	"7"	""	""	"100"	""	""	"4"	""	""	"38"	""	""	""	"4"	""	"90"	""	""	""	"6"	""	""	""	"1"	""	""	"4"	""	""	"254"	""	""	""	"0"	""	""	"254"	""	"0"	""	""	""	""	""	""
"214"	"193"	"4"	""	""	"43"	""	""	"1"	""	""	"8"	""	""	""	"2"	""	"208"	""	""	""	"0"	""	""	""	"5"	""	""	"14"	""	""	"285"	""	""	""	"0"	""	""	"285"	""	"0"	""	""	""	""	""	""
"215"	"194"	"14"	""	""	"381"	""	""	"4"	""	""	"81"	""	""	""	"4"	""	"129"	""	""	""	"6"	""	""	""	"3"	""	""	"21"	""	""	"643"	""	""	""	"0"	""	""	"643"	""	"0"	""	""	""	""	""	""
"216"	"195"	"17"	""	""	"500"	""	""	"25"	""	""	"60"	""	""	""	"25"	""	"33"	""	""	""	"8"	""	""	""	"5"	""	""	"12"	""	""	"685"	""	""	""	"0"	""	""	"685"	""	"0"	""	""	""	""	""	""
"217"	"196"	"6"	""	""	"155"	""	""	"13"	""	""	"124"	""	""	""	"13"	""	"102"	""	""	""	"13"	""	""	""	"6"	""	""	"17"	""	""	"449"	""	""	""	"0"	""	""	"449"	""	"0"	""	""	""	""	""	""
"218"	"197"	"14"	""	""	"97"	""	""	"3"	""	""	"8"	""	""	""	"6"	""	"361"	""	""	""	"3"	""	""	""	"0"	""	""	"6"	""	""	"498"	""	""	""	"0"	""	""	"498"	""	"0"	""	""	""	""	""	""
"219"	"198"	"14"	""	""	"164"	""	""	"9"	""	""	"50"	""	""	""	"8"	""	"165"	""	""	""	"1"	""	""	""	"2"	""	""	"4"	""	""	"417"	""	""	""	"0"	""	""	"417"	""	"0"	""	""	""	""	""	""
"220"	"199"	"15"	""	""	"63"	""	""	"8"	""	""	"134"	""	""	""	"15"	""	"249"	""	""	""	"3"	""	""	""	"8"	""	""	"11"	""	""	"506"	""	""	""	"0"	""	""	"506"	""	"0"	""	""	""	""	""	""
"221"	"200"	"9"	""	""	"47"	""	""	"8"	""	""	"105"	""	""	""	"10"	""	"194"	""	""	""	"2"	""	""	""	"4"	""	""	"3"	""	""	"382"	""	""	""	"0"	""	""	"382"	""	"0"	""	""	""	""	""	""
"222"	"201"	"20"	""	""	"67"	""	""	"10"	""	""	"285"	""	""	""	"14"	""	"223"	""	""	""	"10"	""	""	""	"4"	""	""	"11"	""	""	"644"	""	""	""	"0"	""	""	"644"	""	"0"	""	""	""	""	""	""
"223"	"202"	"21"	""	""	"110"	""	""	"12"	""	""	"179"	""	""	""	"21"	""	"203"	""	""	""	"9"	""	""	""	"9"	""	""	"13"	""	""	"577"	""	""	""	"0"	""	""	"577"	""	"0"	""	""	""	""	""	""
"224"	"203"	"13"	""	""	"24"	""	""	"7"	""	""	"85"	""	""	""	"10"	""	"326"	""	""	""	"0"	""	""	""	"1"	""	""	"4"	""	""	"470"	""	""	""	"0"	""	""	"470"	""	"0"	""	""	""	""	""	""
"225"	"204"	"3"	""	""	"8"	""	""	"5"	""	""	"67"	""	""	""	"5"	""	"204"	""	""	""	"5"	""	""	""	"2"	""	""	"2"	""	""	"301"	""	""	""	"0"	""	""	"301"	""	"0"	""	""	""	""	""	""
"226"	"205"	"31"	""	""	"250"	""	""	"15"	""	""	"27"	""	""	""	"26"	""	"78"	""	""	""	"2"	""	""	""	"5"	""	""	"7"	""	""	"441"	""	""	""	"0"	""	""	"441"	""	"0"	""	""	""	""	""	""
"227"	"206"	"6"	""	""	"39"	""	""	"5"	""	""	"125"	""	""	""	"5"	""	"313"	""	""	""	"8"	""	""	""	"4"	""	""	"6"	""	""	"511"	""	""	""	"0"	""	""	"511"	""	"0"	""	""	""	""	""	""
"228"	"207"	"5"	""	""	"82"	""	""	"4"	""	""	"82"	""	""	""	"61"	""	"39"	""	""	""	"3"	""	""	""	"7"	""	""	"8"	""	""	"291"	""	""	""	"0"	""	""	"291"	""	"0"	""	""	""	""	""	""
"229"	"208"	"19"	""	""	"235"	""	""	"8"	""	""	"68"	""	""	""	"5"	""	"212"	""	""	""	"12"	""	""	""	"6"	""	""	"13"	""	""	"578"	""	""	""	"0"	""	""	"578"	""	"0"	""	""	""	""	""	""
"230"	"209"	"9"	""	""	"54"	""	""	"4"	""	""	"126"	""	""	""	"41"	""	"188"	""	""	""	"12"	""	""	""	"2"	""	""	"6"	""	""	"442"	""	""	""	"0"	""	""	"442"	""	"0"	""	""	""	""	""	""
"231"	"210"	"6"	""	""	"149"	""	""	"8"	""	""	"47"	""	""	""	"16"	""	"90"	""	""	""	"5"	""	""	""	"4"	""	""	"5"	""	""	"330"	""	""	""	"0"	""	""	"330"	""	"0"	""	""	""	""	""	""
"232"	"211"	"17"	""	""	"89"	""	""	"5"	""	""	"26"	""	""	""	"17"	""	"179"	""	""	""	"3"	""	""	""	"4"	""	""	"5"	""	""	"345"	""	""	""	"0"	""	""	"345"	""	"0"	""	""	""	""	""	""
"233"	"212"	"14"	""	""	"166"	""	""	"12"	""	""	"180"	""	""	""	"42"	""	"160"	""	""	""	"7"	""	""	""	"3"	""	""	"20"	""	""	"604"	""	""	""	"0"	""	""	"604"	""	"0"	""	""	""	""	""	""
"234"	"213"	"9"	""	""	"50"	""	""	"2"	""	""	"121"	""	""	""	"26"	""	"115"	""	""	""	"4"	""	""	""	"4"	""	""	"10"	""	""	"341"	""	""	""	"0"	""	""	"341"	""	"0"	""	""	""	""	""	""
"235"	"214"	"18"	""	""	"194"	""	""	"7"	""	""	"20"	""	""	""	"12"	""	"194"	""	""	""	"7"	""	""	""	"6"	""	""	"8"	""	""	"466"	""	""	""	"0"	""	""	"466"	""	"0"	""	""	""	""	""	""
"236"	"215"	"5"	""	""	"80"	""	""	"6"	""	""	"13"	""	""	""	"9"	""	"224"	""	""	""	"6"	""	""	""	"4"	""	""	"7"	""	""	"354"	""	""	""	"0"	""	""	"354"	""	"0"	""	""	""	""	""	""
"237"	"216"	"17"	""	""	"91"	""	""	"5"	""	""	"103"	""	""	""	"7"	""	"214"	""	""	""	"7"	""	""	""	"4"	""	""	"15"	""	""	"463"	""	""	""	"0"	""	""	"463"	""	"0"	""	""	""	""	""	""
"238"	"217"	"6"	""	""	"32"	""	""	"2"	""	""	"113"	""	""	""	"4"	""	"187"	""	""	""	"5"	""	""	""	"2"	""	""	"2"	""	""	"353"	""	""	""	"0"	""	""	"353"	""	"0"	""	""	""	""	""	""
"239"	"218"	"3"	""	""	"21"	""	""	"4"	""	""	"66"	""	""	""	"7"	""	"144"	""	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	"249"	""	""	""	"0"	""	""	"249"	""	"0"	""	""	""	""	""	""
"240"	"219"	"19"	""	""	"38"	""	""	"5"	""	""	"191"	""	""	""	"7"	""	"24"	""	""	""	"4"	""	""	""	"2"	""	""	"15"	""	""	"305"	""	""	""	"0"	""	""	"305"	""	"0"	""	""	""	""	""	""
"241"	"220"	"11"	""	""	"56"	""	""	"5"	""	""	"110"	""	""	""	"28"	""	"262"	""	""	""	"4"	""	""	""	"5"	""	""	"9"	""	""	"490"	""	""	""	"0"	""	""	"490"	""	"0"	""	""	""	""	""	""
"242"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"243"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"221"	""	"10"	""	""	"13"	""	""	"6"	""	""	"57"	""	""	"32"	""	""	"295"	""	""	""	"6"	""	""	""	"1"	""	""	"6"	""	""	"426"	""	""	"0"	""	""	"426"	""	""	"0"	""	""	""	""	""
"245"	"222"	""	"14"	""	""	"152"	""	""	"6"	""	""	"197"	""	""	"8"	""	""	"109"	""	""	""	"8"	""	""	""	"1"	""	""	"4"	""	""	"499"	""	""	"0"	""	""	"499"	""	""	"0"	""	""	""	""	""
"246"	"223"	""	"7"	""	""	"40"	""	""	"2"	""	""	"185"	""	""	"8"	""	""	"154"	""	""	""	"13"	""	""	""	"6"	""	""	"12"	""	""	"427"	""	""	"0"	""	""	"427"	""	""	"0"	""	""	""	""	""
"247"	"224"	""	"5"	""	""	"28"	""	""	"1"	""	""	"85"	""	""	"10"	""	""	"231"	""	""	""	"2"	""	""	""	"2"	""	""	"4"	""	""	"368"	""	""	"0"	""	""	"368"	""	""	"0"	""	""	""	""	""
"248"	"225"	""	"4"	""	""	"34"	""	""	"3"	""	""	"223"	""	""	"212"	""	""	"81"	""	""	""	"9"	""	""	""	"1"	""	""	"8"	""	""	"575"	""	""	"0"	""	""	"575"	""	""	"0"	""	""	""	""	""
"249"	"226"	""	"8"	""	""	"73"	""	""	"6"	""	""	"122"	""	""	"7"	""	""	"429"	""	""	""	"9"	""	""	""	"2"	""	""	"14"	""	""	"670"	""	""	"0"	""	""	"670"	""	""	"0"	""	""	""	""	""
"250"	"227"	""	"21"	""	""	"49"	""	""	"6"	""	""	"205"	""	""	"28"	""	""	"330"	""	""	""	"13"	""	""	""	"8"	""	""	"10"	""	""	"670"	""	""	"0"	""	""	"670"	""	""	"0"	""	""	""	""	""
"251"	"228"	""	"3"	""	""	"24"	""	""	"3"	""	""	"130"	""	""	"15"	""	""	"215"	""	""	""	"3"	""	""	""	"5"	""	""	"5"	""	""	"403"	""	""	"0"	""	""	"403"	""	""	"0"	""	""	""	""	""
"252"	"229"	""	"3"	""	""	"14"	""	""	"3"	""	""	"41"	""	""	"21"	""	""	"86"	""	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	"171"	""	""	"0"	""	""	"171"	""	""	"0"	""	""	""	""	""
"253"	"230"	""	"4"	""	""	"63"	""	""	"2"	""	""	"75"	""	""	"3"	""	""	"99"	""	""	""	"2"	""	""	""	"4"	""	""	"12"	""	""	"264"	""	""	"0"	""	""	"264"	""	""	"0"	""	""	""	""	""
"254"	"231"	""	"11"	""	""	"43"	""	""	"2"	""	""	"84"	""	""	"3"	""	""	"150"	""	""	""	"7"	""	""	""	"0"	""	""	"5"	""	""	"305"	""	""	"0"	""	""	"305"	""	""	"0"	""	""	""	""	""
"255"	"232"	""	"19"	""	""	"87"	""	""	"10"	""	""	"182"	""	""	"12"	""	""	"310"	""	""	""	"13"	""	""	""	"7"	""	""	"15"	""	""	"655"	""	""	"0"	""	""	"655"	""	""	"0"	""	""	""	""	""
"256"	"233"	""	"8"	""	""	"47"	""	""	"2"	""	""	"90"	""	""	"5"	""	""	"247"	""	""	""	"6"	""	""	""	"5"	""	""	"13"	""	""	"423"	""	""	"0"	""	""	"423"	""	""	"0"	""	""	""	""	""
"257"	"234"	""	"12"	""	""	"62"	""	""	"4"	""	""	"160"	""	""	"7"	""	""	"220"	""	""	""	"9"	""	""	""	"1"	""	""	"9"	""	""	"484"	""	""	"0"	""	""	"484"	""	""	"0"	""	""	""	""	""
"258"	"235"	""	"14"	""	""	"67"	""	""	"11"	""	""	"229"	""	""	"30"	""	""	"137"	""	""	""	"12"	""	""	""	"3"	""	""	"15"	""	""	"518"	""	""	"0"	""	""	"518"	""	""	"0"	""	""	""	""	""
"259"	"236"	""	"30"	""	""	"59"	""	""	"5"	""	""	"115"	""	""	"16"	""	""	"301"	""	""	""	"9"	""	""	""	"4"	""	""	"5"	""	""	"544"	""	""	"0"	""	""	"544"	""	""	"0"	""	""	""	""	""
"260"	"237"	""	"9"	""	""	"30"	""	""	"0"	""	""	"335"	""	""	"8"	""	""	"133"	""	""	""	"7"	""	""	""	"5"	""	""	"9"	""	""	"536"	""	""	"0"	""	""	"536"	""	""	"0"	""	""	""	""	""
"261"	"238"	""	"17"	""	""	"246"	""	""	"9"	""	""	"50"	""	""	"22"	""	""	"18"	""	""	""	"3"	""	""	""	"0"	""	""	"6"	""	""	"371"	""	""	"0"	""	""	"371"	""	""	"0"	""	""	""	""	""
"262"	"239"	""	"8"	""	""	"35"	""	""	"3"	""	""	"80"	""	""	"8"	""	""	"105"	""	""	""	"4"	""	""	""	"3"	""	""	"5"	""	""	"251"	""	""	"0"	""	""	"251"	""	""	"0"	""	""	""	""	""
"263"	"240"	""	"13"	""	""	"122"	""	""	"8"	""	""	"71"	""	""	"24"	""	""	"46"	""	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	"290"	""	""	"0"	""	""	"290"	""	""	"0"	""	""	""	""	""
"264"	"241"	""	"19"	""	""	"164"	""	""	"10"	""	""	"104"	""	""	"39"	""	""	"79"	""	""	""	"5"	""	""	""	"6"	""	""	"18"	""	""	"444"	""	""	"0"	""	""	"444"	""	""	"0"	""	""	""	""	""
"265"	"242"	""	"12"	""	""	"304"	""	""	"13"	""	""	"50"	""	""	"31"	""	""	"74"	""	""	""	"6"	""	""	""	"3"	""	""	"8"	""	""	"501"	""	""	"0"	""	""	"501"	""	""	"0"	""	""	""	""	""
"266"	"243"	""	"8"	""	""	"111"	""	""	"3"	""	""	"55"	""	""	"4"	""	""	"58"	""	""	""	"3"	""	""	""	"3"	""	""	"6"	""	""	"251"	""	""	"0"	""	""	"251"	""	""	"0"	""	""	""	""	""
"267"	"244"	""	"6"	""	""	"32"	""	""	"2"	""	""	"174"	""	""	"4"	""	""	"29"	""	""	""	"2"	""	""	""	"1"	""	""	"7"	""	""	"257"	""	""	"0"	""	""	"257"	""	""	"0"	""	""	""	""	""
"268"	"245"	""	"10"	""	""	"164"	""	""	"7"	""	""	"36"	""	""	"23"	""	""	"93"	""	""	""	"2"	""	""	""	"2"	""	""	"4"	""	""	"341"	""	""	"0"	""	""	"341"	""	""	"0"	""	""	""	""	""
"269"	"246"	""	"17"	""	""	"212"	""	""	"10"	""	""	"40"	""	""	"23"	""	""	"100"	""	""	""	"3"	""	""	""	"2"	""	""	"5"	""	""	"412"	""	""	"0"	""	""	"412"	""	""	"0"	""	""	""	""	""
"270"	"247"	""	"10"	""	""	"121"	""	""	"8"	""	""	"244"	""	""	"13"	""	""	"46"	""	""	""	"9"	""	""	""	"5"	""	""	"7"	""	""	"463"	""	""	"0"	""	""	"463"	""	""	"0"	""	""	""	""	""
"271"	"247A"	""	"12"	""	""	"97"	""	""	"29"	""	""	"118"	""	""	"11"	""	""	"72"	""	""	""	"4"	""	""	""	"3"	""	""	"5"	""	""	"351"	""	""	"0"	""	""	"351"	""	""	"0"	""	""	""	""	""
"272"	"248"	""	"18"	""	""	"43"	""	""	"16"	""	""	"131"	""	""	"6"	""	""	"382"	""	""	""	"16"	""	""	""	"14"	""	""	"19"	""	""	"645"	""	""	"0"	""	""	"645"	""	""	"0"	""	""	""	""	""
"273"	"248A"	""	"3"	""	""	"14"	""	""	"1"	""	""	"8"	""	""	"7"	""	""	"71"	""	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	"110"	""	""	"0"	""	""	"110"	""	""	"0"	""	""	""	""	""
"274"	"249"	""	"21"	""	""	"271"	""	""	"10"	""	""	"36"	""	""	"19"	""	""	"110"	""	""	""	"3"	""	""	""	"4"	""	""	"9"	""	""	"483"	""	""	"0"	""	""	"483"	""	""	"0"	""	""	""	""	""
"275"	"250"	""	"10"	""	""	"28"	""	""	"1"	""	""	"32"	""	""	"1"	""	""	"87"	""	""	""	"0"	""	""	""	"3"	""	""	"3"	""	""	"165"	""	""	"0"	""	""	"165"	""	""	"0"	""	""	""	""	""
"276"	"251"	""	"18"	""	""	"112"	""	""	"8"	""	""	"122"	""	""	"12"	""	""	"263"	""	""	""	"4"	""	""	""	"5"	""	""	"6"	""	""	"550"	""	""	"0"	""	""	"550"	""	""	"0"	""	""	""	""	""
"277"	"252"	""	"5"	""	""	"15"	""	""	"1"	""	""	"68"	""	""	"10"	""	""	"107"	""	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	"209"	""	""	"0"	""	""	"209"	""	""	"0"	""	""	""	""	""
"278"	"253"	""	"3"	""	""	"77"	""	""	"2"	""	""	"160"	""	""	"8"	""	""	"160"	""	""	""	"5"	""	""	""	"2"	""	""	"4"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	"0"	""	""	""	""	""
"279"	"254"	""	"13"	""	""	"217"	""	""	"5"	""	""	"192"	""	""	"18"	""	""	"70"	""	""	""	"6"	""	""	""	"4"	""	""	"4"	""	""	"529"	""	""	"0"	""	""	"529"	""	""	"0"	""	""	""	""	""
"280"	"255"	""	"15"	""	""	"80"	""	""	"12"	""	""	"238"	""	""	"20"	""	""	"70"	""	""	""	"3"	""	""	""	"4"	""	""	"8"	""	""	"450"	""	""	"0"	""	""	"450"	""	""	"0"	""	""	""	""	""
"281"	"255A"	""	"10"	""	""	"70"	""	""	"8"	""	""	"96"	""	""	"11"	""	""	"144"	""	""	""	"12"	""	""	""	"5"	""	""	"10"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	"0"	""	""	""	""	""
"282"	"256"	""	"8"	""	""	"32"	""	""	"3"	""	""	"130"	""	""	"28"	""	""	"99"	""	""	""	"5"	""	""	""	"1"	""	""	"1"	""	""	"307"	""	""	"0"	""	""	"307"	""	""	"0"	""	""	""	""	""
