"Total.No..of.Electors.in.Assembly.Constituency........199137"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"307"	"156 A"	"40"	"2"	"4"	"111"	"291"	"4"	"0"	"1"	"5"	"1"	"3"	"11"	"3"	"4"	"11"	"491"	"0"	"491"	"0"	""
"308"	"157"	"71"	"7"	"62"	"31"	"220"	"2"	"2"	"3"	"7"	"0"	"7"	"16"	"9"	"46"	"19"	"502"	"0"	"502"	"0"	""
"309"	"157 A"	"57"	"3"	"3"	"58"	"191"	"3"	"3"	"4"	"0"	"3"	"4"	"31"	"6"	"94"	"13"	"473"	"0"	"473"	"0"	""
"310"	"158"	"55"	"5"	"4"	"97"	"194"	"0"	"0"	"5"	"9"	"2"	"4"	"44"	"10"	"3"	"36"	"468"	"0"	"468"	"0"	""
"311"	"159"	"57"	"1"	"5"	"92"	"297"	"5"	"5"	"3"	"4"	"2"	"4"	"24"	"11"	"5"	"8"	"523"	"0"	"523"	"0"	""
"312"	"160"	"78"	"5"	"10"	"99"	"204"	"6"	"1"	"0"	"6"	"4"	"5"	"10"	"4"	"5"	"83"	"520"	"0"	"520"	"0"	""
"313"	"161"	"19"	"6"	"11"	"78"	"64"	"6"	"2"	"1"	"3"	"3"	"0"	"6"	"0"	"3"	"54"	"256"	"0"	"256"	"0"	""
"314"	"162"	"50"	"5"	"7"	"182"	"96"	"0"	"4"	"3"	"6"	"3"	"6"	"18"	"5"	"2"	"37"	"424"	"0"	"424"	"0"	""
"315"	"163"	"25"	"2"	"12"	"9"	"311"	"17"	"4"	"19"	"20"	"3"	"4"	"81"	"18"	"10"	"96"	"631"	"0"	"631"	"0"	""
"316"	"164"	"62"	"7"	"14"	"1"	"417"	"16"	"1"	"7"	"7"	"3"	"1"	"23"	"3"	"4"	"31"	"597"	"0"	"597"	"0"	""
"317"	"165"	"43"	"10"	"58"	"4"	"127"	"2"	"5"	"4"	"7"	"4"	"10"	"243"	"50"	"6"	"30"	"603"	"0"	"603"	"0"	""
"318"	"166"	"5"	"0"	"1"	"14"	"24"	"0"	"4"	"0"	"4"	"1"	"5"	"332"	"21"	"5"	"61"	"477"	"0"	"477"	"0"	""
"319"	"167"	"16"	"0"	"2"	"19"	"53"	"0"	"0"	"0"	"4"	"4"	"4"	"318"	"57"	"9"	"15"	"501"	"0"	"501"	"0"	""
"320"	"168"	"5"	"1"	"8"	"3"	"26"	"2"	"0"	"1"	"2"	"5"	"3"	"425"	"49"	"2"	"4"	"536"	"0"	"536"	"0"	""
"321"	"Total"	"583"	"54"	"201"	"798"	"2515"	"63"	"31"	"51"	"84"	"38"	"60"	"1582"	"246"	"198"	"498"	"7002"	"0"	"7002"	"0"	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 14)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"332"	"169"	"13"	"0"	"1"	"3"	"20"	"0"	"0"	"0"	"0"	"2"	"3"	"639"	"23"	"3"	"1"	"708"	"0"	"708"	"0"	""
"333"	"170"	"17"	"3"	"1"	"9"	"145"	"2"	"2"	"3"	"5"	"1"	"3"	"4"	"2"	"8"	"182"	"387"	"0"	"387"	"0"	""
"334"	"171"	"45"	"15"	"4"	"14"	"53"	"6"	"1"	"1"	"0"	"2"	"4"	"7"	"2"	"16"	"511"	"681"	"0"	"681"	"0"	""
"335"	"172"	"206"	"7"	"17"	"133"	"202"	"9"	"6"	"7"	"18"	"6"	"10"	"32"	"10"	"9"	"120"	"792"	"0"	"792"	"0"	""
"336"	"173"	"145"	"1"	"2"	"21"	"75"	"1"	"0"	"3"	"11"	"3"	"88"	"14"	"3"	"6"	"49"	"422"	"0"	"422"	"0"	""
"337"	"174"	"64"	"7"	"3"	"15"	"34"	"2"	"6"	"2"	"1"	"2"	"0"	"2"	"3"	"5"	"271"	"417"	"0"	"417"	"0"	""
"338"	"175"	"79"	"7"	"88"	"18"	"178"	"2"	"4"	"2"	"6"	"1"	"0"	"4"	"4"	"8"	"59"	"460"	"0"	"460"	"0"	""
"339"	"176"	"51"	"9"	"2"	"17"	"53"	"3"	"2"	"2"	"3"	"1"	"1"	"8"	"2"	"18"	"498"	"670"	"0"	"670"	"0"	""
"340"	"177"	"73"	"7"	"32"	"35"	"15"	"0"	"6"	"0"	"1"	"0"	"0"	"3"	"2"	"6"	"232"	"412"	"0"	"412"	"0"	""
"341"	"178"	"73"	"40"	"65"	"19"	"39"	"2"	"7"	"1"	"0"	"4"	"1"	"5"	"7"	"16"	"367"	"646"	"0"	"646"	"0"	""
"342"	"179"	"43"	"6"	"11"	"9"	"206"	"4"	"5"	"8"	"14"	"7"	"13"	"13"	"6"	"15"	"290"	"650"	"0"	"650"	"0"	""
"343"	"180"	"29"	"2"	"9"	"25"	"31"	"0"	"0"	"2"	"4"	"2"	"2"	"10"	"6"	"12"	"507"	"641"	"0"	"641"	"0"	""
"344"	"181"	"132"	"8"	"32"	"16"	"92"	"0"	"2"	"4"	"1"	"1"	"0"	"8"	"3"	"12"	"299"	"610"	"0"	"610"	"0"	""
"345"	"182"	"51"	"2"	"4"	"7"	"225"	"4"	"3"	"2"	"2"	"1"	"5"	"2"	"2"	"10"	"183"	"503"	"0"	"503"	"0"	""
"346"	"Total"	"1021"	"114"	"271"	"341"	"1368"	"35"	"44"	"37"	"66"	"33"	"130"	"751"	"75"	"144"	"3569"	"7999"	"0"	"7999"	"0"	""
"347"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 15)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"356"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"357"	"183"	"86"	"3"	"46"	"18"	"299"	"8"	"4"	"1"	"3"	"4"	"5"	"8"	"1"	"4"	"12"	"502"	"0"	"502"	"0"	""
"358"	"184"	"118"	"29"	"9"	"53"	"32"	"2"	"1"	"2"	"3"	"3"	"0"	"5"	"1"	"4"	"254"	"516"	"0"	"516"	"0"	""
"359"	"185"	"124"	"2"	"2"	"21"	"22"	"2"	"2"	"0"	"2"	"1"	"0"	"3"	"1"	"10"	"372"	"564"	"0"	"564"	"0"	""
"360"	"186"	"145"	"5"	"20"	"17"	"40"	"0"	"0"	"1"	"2"	"5"	"2"	"2"	"4"	"13"	"451"	"707"	"0"	"707"	"0"	""
"361"	"187"	"127"	"3"	"5"	"12"	"56"	"2"	"0"	"1"	"3"	"0"	"0"	"3"	"4"	"4"	"298"	"518"	"0"	"518"	"0"	""
"362"	"188"	"260"	"10"	"11"	"30"	"136"	"7"	"3"	"8"	"12"	"4"	"10"	"12"	"3"	"20"	"240"	"766"	"0"	"766"	"0"	""
"363"	"189"	"27"	"0"	"49"	"25"	"121"	"2"	"0"	"4"	"3"	"2"	"5"	"5"	"2"	"0"	"13"	"258"	"0"	"258"	"0"	""
"364"	"189 A"	"62"	"2"	"18"	"19"	"320"	"9"	"3"	"6"	"3"	"3"	"6"	"23"	"7"	"15"	"42"	"538"	"0"	"538"	"0"	""
"365"	"190"	"22"	"0"	"7"	"8"	"161"	"2"	"0"	"0"	"2"	"0"	"1"	"3"	"0"	"0"	"11"	"217"	"0"	"217"	"0"	""
"366"	"191"	"32"	"6"	"38"	"59"	"166"	"1"	"3"	"3"	"10"	"5"	"6"	"7"	"3"	"5"	"7"	"351"	"0"	"351"	"0"	""
"367"	"192"	"63"	"4"	"60"	"74"	"191"	"3"	"3"	"3"	"3"	"5"	"2"	"19"	"0"	"1"	"2"	"433"	"0"	"433"	"0"	""
"368"	"193"	"75"	"18"	"18"	"95"	"179"	"10"	"1"	"9"	"9"	"5"	"8"	"17"	"9"	"11"	"22"	"486"	"0"	"486"	"0"	""
"369"	"194"	"61"	"2"	"72"	"28"	"135"	"3"	"1"	"7"	"3"	"2"	"3"	"17"	"1"	"2"	"19"	"356"	"0"	"356"	"0"	""
"370"	"195"	"90"	"2"	"0"	"6"	"184"	"0"	"3"	"0"	"6"	"0"	"1"	"8"	"2"	"0"	"1"	"303"	"0"	"303"	"0"	""
"371"	"Total"	"1292"	"86"	"355"	"465"	"2042"	"51"	"24"	"45"	"64"	"39"	"49"	"132"	"38"	"89"	"1744"	"6515"	"0"	"6515"	"0"	""
"372"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 16)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"381"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"382"	"196"	"16"	"3"	"12"	"264"	"128"	"3"	"5"	"3"	"5"	"3"	"8"	"23"	"4"	"3"	"24"	"504"	"0"	"504"	"0"	""
"383"	"197"	"86"	"2"	"2"	"71"	"195"	"3"	"2"	"2"	"12"	"2"	"9"	"11"	"2"	"3"	"11"	"413"	"0"	"413"	"0"	""
"384"	"198"	"60"	"4"	"125"	"116"	"68"	"4"	"1"	"3"	"3"	"4"	"3"	"20"	"5"	"7"	"11"	"434"	"0"	"434"	"0"	""
"385"	"199"	"135"	"8"	"4"	"153"	"203"	"4"	"5"	"3"	"16"	"7"	"2"	"22"	"3"	"0"	"34"	"599"	"0"	"599"	"0"	""
"386"	"200"	"200"	"20"	"63"	"142"	"55"	"2"	"4"	"10"	"5"	"11"	"12"	"19"	"4"	"5"	"52"	"604"	"0"	"604"	"0"	""
"387"	"201"	"103"	"26"	"77"	"91"	"179"	"5"	"5"	"7"	"19"	"5"	"1"	"21"	"1"	"14"	"268"	"822"	"0"	"822"	"0"	""
"388"	"Total"	"600"	"63"	"283"	"837"	"828"	"21"	"22"	"28"	"60"	"32"	"35"	"116"	"19"	"32"	"400"	"3376"	"0"	"3376"	"0"	""
"389"	"Postal
Ballot"	"126"	"7"	"10"	"13"	"101"	"0"	"0"	"1"	"0"	"1"	"0"	"11"	"0"	"0"	"20"	"290"	"0"	"290"	"0"	""
"390"	"Grand
Total"	"24794"	"1642"	"4680"	"8243"	"45022"	"1300"	"446"	"706"	"1238"	"635"	"923"	"3980"	"817"	"1475"	"22381"	"118282"	"0"	"118282"	"0"	""
"391"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
