"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X265858.184.266042.36.Madhubani"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"300"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"303"	"B.F."	"8626"	"32155"	"35158"	"2771"	"508"	"936"	"562"	"529"	"506"	"1019"	"586"	"5619"	"850"	"811"	"1490"	"1380"	"93506"	"0"	"93506"	"0"
"304"	"195"	"21"	"95"	"259"	"11"	"3"	"4"	"0"	"4"	"7"	"11"	"3"	"33"	"4"	"18"	"23"	"7"	"503"	""	"503"	""
"305"	"195A"	"13"	"122"	"67"	"2"	"2"	"1"	"6"	"5"	"2"	"1"	"8"	"198"	"2"	"3"	"8"	"3"	"443"	""	"443"	""
"306"	"196"	"78"	"40"	"247"	"4"	"2"	"6"	"2"	"7"	"2"	"2"	"1"	"5"	"0"	"5"	"5"	"2"	"408"	""	"408"	""
"307"	"197"	"37"	"94"	"301"	"19"	"2"	"9"	"5"	"2"	"4"	"2"	"4"	"1"	"2"	"8"	"5"	"102"	"597"	""	"597"	""
"308"	"198"	"39"	"158"	"404"	"12"	"2"	"9"	"6"	"2"	"1"	"14"	"7"	"21"	"3"	"13"	"12"	"9"	"712"	""	"712"	""
"309"	"199"	"18"	"289"	"122"	"8"	"0"	"4"	"1"	"4"	"2"	"3"	"2"	"5"	"4"	"3"	"13"	"5"	"483"	""	"483"	""
"310"	"200"	"26"	"200"	"202"	"12"	"6"	"13"	"5"	"4"	"3"	"7"	"5"	"8"	"6"	"8"	"17"	"2"	"524"	""	"524"	""
"311"	"201"	"17"	"84"	"291"	"8"	"0"	"6"	"0"	"2"	"3"	"0"	"1"	"2"	"4"	"6"	"4"	"3"	"431"	""	"431"	""
"312"	"201A"	"17"	"141"	"189"	"5"	"1"	"4"	"2"	"2"	"5"	"3"	"3"	"3"	"2"	"7"	"4"	"5"	"393"	""	"393"	""
"313"	"202"	"19"	"95"	"360"	"5"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"6"	"1"	"4"	"4"	"9"	"512"	""	"512"	""
"314"	"203"	"36"	"237"	"272"	"9"	"1"	"9"	"2"	"7"	"4"	"11"	"3"	"1"	"3"	"5"	"13"	"33"	"646"	""	"646"	""
"315"	"204"	"48"	"192"	"155"	"9"	"1"	"10"	"1"	"4"	"4"	"13"	"2"	"7"	"0"	"7"	"7"	"5"	"465"	""	"465"	""
"316"	"205"	"22"	"131"	"246"	"3"	"2"	"4"	"1"	"3"	"2"	"5"	"1"	"0"	"4"	"3"	"3"	"0"	"430"	""	"430"	""
"317"	"206"	"16"	"369"	"36"	"4"	"0"	"1"	"0"	"1"	"4"	"9"	"2"	"1"	"4"	"6"	"28"	"12"	"493"	""	"493"	""
"318"	"Total -16"	"407"	"2247"	"3151"	"111"	"23"	"83"	"32"	"48"	"44"	"82"	"43"	"291"	"39"	"96"	"146"	"197"	"7040"	"0"	"7040"	"0"
"319"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"321"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"323"	"B.F."	"9033"	"34402"	"38309"	"2882"	"531"	"1019"	"594"	"577"	"550"	"1101"	"629"	"5910"	"889"	"907"	"1636"	"1577"	"100546"	"0"	"100546"	"0"
"324"	"207"	"20"	"576"	"54"	"6"	"1"	"3"	"8"	"1"	"1"	"11"	"1"	"0"	"0"	"1"	"8"	"2"	"693"	""	"693"	""
"325"	"208"	"19"	"112"	"114"	"17"	"4"	"7"	"3"	"6"	"2"	"6"	"1"	"1"	"4"	"34"	"5"	"13"	"348"	""	"348"	""
"326"	"209"	"4"	"197"	"2"	"1"	"0"	"2"	"3"	"1"	"0"	"1"	"1"	"1"	"1"	"55"	"4"	"1"	"274"	""	"274"	""
"327"	"210"	"26"	"93"	"228"	"5"	"2"	"3"	"1"	"4"	"0"	"1"	"3"	"0"	"0"	"4"	"5"	"9"	"384"	""	"384"	""
"328"	"211"	"9"	"155"	"46"	"1"	"0"	"2"	"0"	"1"	"0"	"3"	"2"	"0"	"1"	"17"	"0"	"0"	"237"	""	"237"	""
"329"	"211A"	"4"	"36"	"166"	"8"	"1"	"7"	"1"	"0"	"4"	"1"	"0"	"1"	"2"	"9"	"5"	"10"	"255"	""	"255"	""
"330"	"212"	"3"	"296"	"14"	"3"	"0"	"4"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"3"	"5"	"0"	"334"	""	"334"	""
"331"	"213"	"14"	"231"	"15"	"1"	"0"	"3"	"0"	"0"	"1"	"2"	"2"	"0"	"1"	"3"	"8"	"3"	"284"	""	"284"	""
"332"	"214"	"17"	"168"	"180"	"1"	"2"	"4"	"3"	"3"	"0"	"4"	"2"	"1"	"0"	"5"	"7"	"3"	"400"	""	"400"	""
"333"	"215"	"18"	"339"	"54"	"3"	"1"	"3"	"5"	"1"	"1"	"7"	"1"	"2"	"1"	"3"	"25"	"2"	"466"	""	"466"	""
"334"	"216"	"18"	"157"	"281"	"16"	"1"	"6"	"1"	"0"	"6"	"7"	"5"	"7"	"10"	"17"	"15"	"26"	"573"	""	"573"	""
"335"	"217"	"37"	"76"	"312"	"9"	"1"	"0"	"5"	"1"	"1"	"5"	"0"	"0"	"0"	"6"	"4"	"7"	"464"	""	"464"	""
"336"	"218"	"15"	"285"	"123"	"2"	"3"	"3"	"1"	"1"	"2"	"9"	"5"	"3"	"2"	"2"	"9"	"8"	"473"	""	"473"	""
"337"	"219"	"29"	"250"	"145"	"95"	"4"	"8"	"3"	"6"	"1"	"14"	"2"	"4"	"4"	"8"	"8"	"9"	"590"	""	"590"	""
"338"	"Total -17"	"233"	"2971"	"1734"	"168"	"20"	"55"	"37"	"26"	"19"	"72"	"26"	"20"	"26"	"167"	"108"	"93"	"5775"	"0"	"5775"	"0"
"339"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"341"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"342"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"343"	"B.F."	"9266"	"37373"	"40043"	"3050"	"551"	"1074"	"631"	"603"	"569"	"1173"	"655"	"5930"	"915"	"1074"	"1744"	"1670"	"106321"	"0"	"106321"	"0"
"344"	"220"	"32"	"179"	"246"	"22"	"3"	"6"	"40"	"7"	"3"	"6"	"5"	"6"	"10"	"12"	"27"	"19"	"623"	""	"623"	""
"345"	"221"	"22"	"287"	"6"	"1"	"0"	"4"	"1"	"0"	"2"	"8"	"0"	"1"	"1"	"0"	"19"	"3"	"355"	""	"355"	""
"346"	"222"	"28"	"528"	"49"	"1"	"2"	"4"	"18"	"1"	"3"	"3"	"1"	"0"	"1"	"3"	"16"	"7"	"665"	""	"665"	""
"347"	"223"	"24"	"362"	"90"	"7"	"3"	"7"	"6"	"4"	"1"	"3"	"0"	"1"	"2"	"2"	"14"	"4"	"530"	""	"530"	""
"348"	"224"	"14"	"285"	"72"	"4"	"3"	"2"	"4"	"0"	"0"	"3"	"1"	"3"	"2"	"1"	"5"	"2"	"401"	""	"401"	""
"349"	"225"	"24"	"542"	"22"	"1"	"3"	"4"	"7"	"1"	"3"	"11"	"2"	"1"	"3"	"0"	"13"	"2"	"639"	""	"639"	""
"350"	"226"	"42"	"475"	"217"	"15"	"1"	"10"	"3"	"2"	"1"	"7"	"2"	"0"	"5"	"3"	"8"	"6"	"797"	""	"797"	""
"351"	"227"	"44"	"215"	"122"	"5"	"3"	"8"	"2"	"1"	"0"	"4"	"2"	"1"	"1"	"4"	"6"	"5"	"423"	""	"423"	""
"352"	"228"	"38"	"130"	"231"	"5"	"2"	"7"	"3"	"1"	"1"	"2"	"3"	"2"	"2"	"8"	"19"	"11"	"465"	""	"465"	""
"353"	"229"	"64"	"29"	"225"	"6"	"2"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"3"	"1"	"5"	"342"	""	"342"	""
"354"	"230"	"29"	"193"	"159"	"13"	"4"	"10"	"3"	"2"	"2"	"7"	"6"	"3"	"4"	"4"	"7"	"5"	"451"	""	"451"	""
"355"	"231"	"30"	"49"	"92"	"2"	"0"	"3"	"83"	"1"	"3"	"3"	"0"	"1"	"2"	"0"	"0"	"4"	"273"	""	"273"	""
"356"	"232"	"16"	"167"	"212"	"6"	"1"	"6"	"6"	"2"	"0"	"7"	"3"	"6"	"8"	"12"	"9"	"8"	"469"	""	"469"	""
"357"	"233"	"21"	"233"	"77"	"3"	"4"	"11"	"2"	"1"	"3"	"7"	"0"	"4"	"5"	"6"	"17"	"16"	"410"	""	"410"	""
"358"	"Total -18"	"428"	"3674"	"1820"	"91"	"31"	"83"	"178"	"25"	"23"	"73"	"26"	"29"	"46"	"58"	"161"	"97"	"6843"	"0"	"6843"	"0"
"359"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"361"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"362"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"363"	"B.F."	"9694"	"41047"	"41863"	"3141"	"582"	"1157"	"809"	"628"	"592"	"1246"	"681"	"5959"	"961"	"1132"	"1905"	"1767"	"113164"	"0"	"113164"	"0"
"364"	"234"	"12"	"116"	"95"	"4"	"3"	"7"	"8"	"0"	"2"	"8"	"4"	"0"	"5"	"4"	"3"	"11"	"282"	""	"282"	""
"365"	"235"	"104"	"18"	"166"	"3"	"1"	"1"	"1"	"1"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"301"	""	"301"	""
"366"	"236"	"35"	"301"	"213"	"8"	"2"	"7"	"3"	"6"	"4"	"12"	"14"	"5"	"8"	"12"	"18"	"25"	"673"	""	"673"	""
"367"	"237"	"11"	"128"	"114"	"7"	"2"	"7"	"1"	"2"	"3"	"5"	"4"	"3"	"3"	"4"	"6"	"2"	"302"	""	"302"	""
"368"	"238"	"17"	"170"	"360"	"12"	"5"	"7"	"5"	"2"	"3"	"3"	"2"	"0"	"1"	"6"	"7"	"3"	"603"	""	"603"	""
"369"	"239"	"1"	"338"	"30"	"3"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"3"	"2"	"2"	"383"	""	"383"	""
"370"	"240"	"26"	"280"	"79"	"10"	"1"	"4"	"9"	"1"	"1"	"7"	"8"	"3"	"3"	"5"	"14"	"21"	"472"	""	"472"	""
"371"	"241"	"24"	"156"	"133"	"10"	"1"	"7"	"14"	"5"	"1"	"7"	"4"	"0"	"2"	"2"	"3"	"1"	"370"	""	"370"	""
"372"	"242"	"73"	"185"	"66"	"4"	"1"	"4"	"6"	"5"	"0"	"5"	"0"	"0"	"1"	"4"	"8"	"7"	"369"	""	"369"	""
"373"	"243"	"30"	"102"	"84"	"9"	"2"	"6"	"10"	"4"	"3"	"4"	"3"	"0"	"1"	"4"	"5"	"4"	"271"	""	"271"	""
"374"	"244"	"33"	"37"	"287"	"9"	"0"	"7"	"9"	"6"	"7"	"8"	"6"	"9"	"12"	"25"	"14"	"9"	"478"	""	"478"	""
"375"	"245"	"19"	"400"	"71"	"3"	"1"	"14"	"2"	"2"	"3"	"6"	"2"	"0"	"3"	"1"	"4"	"1"	"532"	""	"532"	""
"376"	"246"	"25"	"65"	"204"	"8"	"5"	"4"	"4"	"4"	"4"	"6"	"3"	"3"	"2"	"4"	"6"	"14"	"361"	""	"361"	""
"377"	"247"	"26"	"99"	"179"	"10"	"2"	"5"	"2"	"1"	"4"	"2"	"3"	"14"	"2"	"4"	"5"	"7"	"365"	""	"365"	""
"378"	"Total -19"	"436"	"2395"	"2081"	"100"	"26"	"80"	"74"	"40"	"35"	"78"	"53"	"39"	"43"	"78"	"96"	"108"	"5762"	"0"	"5762"	"0"
"379"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"381"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"382"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"383"	"B.F."	"10130"	"43442"	"43944"	"3241"	"608"	"1237"	"883"	"668"	"627"	"1324"	"734"	"5998"	"1004"	"1210"	"2001"	"1875"	"118926"	"0"	"118926"	"0"
"384"	"248"	"35"	"98"	"236"	"15"	"2"	"4"	"3"	"0"	"5"	"1"	"1"	"1"	"2"	"1"	"0"	"3"	"407"	""	"407"	""
"385"	"249"	"31"	"301"	"246"	"17"	"3"	"12"	"5"	"5"	"3"	"9"	"13"	"39"	"7"	"13"	"22"	"20"	"746"	""	"746"	""
"386"	"250"	"45"	"112"	"196"	"4"	"4"	"2"	"2"	"1"	"0"	"1"	"2"	"3"	"0"	"5"	"0"	"7"	"384"	""	"384"	""
"387"	"251"	"49"	"275"	"191"	"9"	"6"	"11"	"7"	"4"	"6"	"13"	"7"	"5"	"2"	"4"	"13"	"7"	"609"	""	"609"	""
"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"393"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"398"	"Total -20"	"160"	"786"	"869"	"45"	"15"	"29"	"17"	"10"	"14"	"24"	"23"	"48"	"11"	"23"	"35"	"37"	"2146"	"0"	"2146"	"0"
"399"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"401"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"402"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"403"	"Total No. of votes recorded at Polling stations"	"10290"	"44228"	"44813"	"3286"	"623"	"1266"	"900"	"678"	"641"	"1348"	"757"	"6046"	"1015"	"1233"	"2036"	"1912"	"121072"	"0"	"121072"	"0"
"404"	"No. of Votes recorded on postal ballot papers"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"5"	"11"	"0"
"405"	"TOTAL VOTES POLLED"	"10291"	"44229"	"44817"	"3286"	"623"	"1266"	"900"	"678"	"641"	"1348"	"757"	"6046"	"1015"	"1233"	"2036"	"1912"	"121078"	"5"	"121083"	"0"
