"Rounnd.No.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"                                                                                                           final result sheet                                                                                                            "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assmebly from the ………212 Dehri Assembly….Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"part-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency…231642………...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"8"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"276"	"14"	"190"	"105"	"1"	"18"	"6"	"3"	"3"	"0"	"1"	"4"	"0"	"0"	"4"	"319"	"55"	"3"	"5"	"527"	""	"527"	""
"277"	""	"Total"	"1441"	"294"	"1111"	"48"	"32"	"45"	"12"	"12"	"15"	"21"	"18"	"28"	"2894"	"228"	"18"	"79"	"6296"	"0"	"6296"	""
"278"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"281"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"282"	"1"	"191"	"199"	"9"	"45"	"4"	"5"	"1"	"2"	"1"	"3"	"5"	"2"	"3"	"329"	"13"	"4"	"6"	"631"	""	"631"	""
"283"	"2"	"192"	"147"	"5"	"33"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"6"	"253"	"12"	"2"	"3"	"464"	""	"464"	""
"284"	"3"	"193"	"145"	"24"	"60"	"3"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"4"	"311"	"10"	"5"	"4"	"572"	""	"572"	""
"285"	"4"	"194"	"45"	"25"	"267"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"60"	"7"	"2"	"4"	"414"	""	"414"	""
"286"	"5"	"195"	"33"	"11"	"77"	"2"	"1"	"1"	"0"	"1"	"2"	"2"	"2"	"1"	"364"	"7"	"1"	"4"	"509"	""	"509"	""
"287"	"6"	"196"	"76"	"0"	"10"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"311"	"1"	"1"	"3"	"410"	""	"410"	""
"288"	"7"	"197"	"49"	"4"	"19"	"5"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"4"	"317"	"2"	"2"	"5"	"412"	""	"412"	""
"289"	"8"	"198"	"75"	"3"	"6"	"3"	"2"	"2"	"0"	"2"	"0"	"1"	"0"	"2"	"194"	"6"	"0"	"6"	"302"	""	"302"	""
"290"	"9"	"199"	"129"	"5"	"28"	"3"	"4"	"0"	"1"	"0"	"1"	"3"	"2"	"2"	"318"	"8"	"0"	"3"	"507"	""	"507"	""
"291"	"10"	"200"	"24"	"17"	"255"	"4"	"0"	"2"	"2"	"1"	"0"	"0"	"2"	"1"	"142"	"9"	"1"	"6"	"466"	""	"466"	""
"292"	"11"	"201"	"38"	"39"	"373"	"5"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"0"	"97"	"2"	"1"	"8"	"570"	""	"570"	""
"293"	"12"	"202"	"59"	"37"	"279"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"78"	"4"	"0"	"3"	"465"	""	"465"	""
"294"	"13"	"203"	"51"	"6"	"53"	"5"	"7"	"7"	"2"	"0"	"0"	"2"	"3"	"5"	"453"	"2"	"0"	"4"	"600"	""	"600"	""
"295"	"14"	"204"	"63"	"5"	"112"	"2"	"6"	"3"	"0"	"0"	"1"	"4"	"1"	"2"	"425"	"15"	"5"	"3"	"647"	""	"647"	""
"296"	""	"Total"	"1133"	"190"	"1617"	"41"	"31"	"22"	"7"	"6"	"10"	"24"	"18"	"34"	"3652"	"98"	"24"	"62"	"6969"	"0"	"6969"	""
"297"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"300"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"301"	"1"	"205"	"288"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"140"	"1"	"1"	"4"	"442"	""	"442"	""
"302"	"2"	"206"	"166"	"7"	"65"	"3"	"10"	"6"	"2"	"0"	"3"	"3"	"3"	"6"	"292"	"0"	"3"	"5"	"574"	""	"574"	""
"303"	"3"	"207"	"81"	"4"	"78"	"3"	"4"	"1"	"0"	"0"	"1"	"2"	"0"	"9"	"410"	"4"	"1"	"4"	"602"	""	"602"	""
"304"	"4"	"208"	"48"	"21"	"220"	"3"	"1"	"3"	"2"	"4"	"2"	"4"	"2"	"4"	"393"	"7"	"1"	"3"	"718"	""	"718"	""
"305"	"5"	"209"	"16"	"12"	"139"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"133"	"5"	"1"	"7"	"320"	""	"320"	""
"306"	"6"	"210"	"48"	"5"	"139"	"4"	"1"	"7"	"0"	"0"	"1"	"1"	"0"	"3"	"313"	"2"	"0"	"1"	"525"	""	"525"	""
"307"	"7"	"211"	"49"	"5"	"125"	"5"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"359"	"2"	"1"	"2"	"554"	""	"554"	""
"308"	"8"	"212"	"17"	"9"	"98"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"0"	"1"	"199"	"4"	"1"	"0"	"338"	""	"338"	""
"309"	"9"	"213"	"40"	"13"	"240"	"3"	"2"	"1"	"0"	"4"	"1"	"1"	"0"	"1"	"165"	"2"	"0"	"6"	"479"	""	"479"	""
"310"	"10"	"214"	"55"	"8"	"108"	"3"	"2"	"0"	"0"	"2"	"0"	"1"	"1"	"3"	"614"	"7"	"2"	"7"	"813"	""	"813"	""
"311"	"11"	"215"	"50"	"18"	"294"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"119"	"2"	"2"	"2"	"496"	""	"496"	""
"312"	"12"	"216"	"75"	"8"	"189"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"4"	"298"	"1"	"2"	"3"	"585"	""	"585"	""
"313"	"13"	"217"	"104"	"5"	"165"	"6"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"267"	"3"	"0"	"6"	"562"	""	"562"	""
"314"	"14"	"218"	"25"	"4"	"142"	"4"	"3"	"2"	"2"	"4"	"2"	"2"	"1"	"3"	"418"	"4"	"1"	"4"	"621"	""	"621"	""
"315"	""	"Total"	"1062"	"121"	"2004"	"40"	"28"	"24"	"9"	"20"	"12"	"19"	"12"	"44"	"4120"	"44"	"16"	"54"	"7629"	"0"	"7629"	""
"316"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"319"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"320"	"1"	"219"	"78"	"8"	"133"	"2"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"2"	"308"	"8"	"0"	"2"	"547"	""	"547"	""
"321"	"2"	"220"	"33"	"5"	"160"	"3"	"3"	"2"	"0"	"1"	"0"	"1"	"0"	"4"	"186"	"7"	"0"	"3"	"408"	""	"408"	""
"322"	"3"	"221"	"26"	"0"	"301"	"5"	"1"	"1"	"0"	"2"	"1"	"3"	"0"	"2"	"287"	"13"	"0"	"4"	"646"	""	"646"	""
"323"	"4"	"222"	"19"	"3"	"152"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	"8"	"378"	"6"	"1"	"3"	"578"	""	"578"	""
"324"	"5"	"223"	"8"	"1"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"208"	"1"	"0"	"0"	"253"	""	"253"	""
"325"	"6"	"224"	"16"	"9"	"273"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"194"	"7"	"1"	"9"	"517"	""	"517"	""
"326"	"7"	"225"	"25"	"5"	"113"	"5"	"13"	"4"	"1"	"0"	"2"	"1"	"2"	"4"	"350"	"1"	"0"	"3"	"529"	""	"529"	""
"327"	"8"	"226"	"39"	"16"	"198"	"9"	"5"	"6"	"6"	"4"	"2"	"7"	"6"	"7"	"248"	"10"	"2"	"8"	"573"	""	"573"	""
"328"	"9"	"227"	"36"	"12"	"186"	"5"	"2"	"9"	"1"	"1"	"2"	"4"	"3"	"7"	"498"	"10"	"3"	"6"	"785"	""	"785"	""
"329"	"10"	"228"	"112"	"6"	"78"	"2"	"4"	"7"	"0"	"1"	"0"	"1"	"2"	"10"	"553"	"11"	"5"	"5"	"797"	""	"797"	""
"330"	"11"	"229"	"28"	"2"	"5"	"2"	"5"	"6"	"3"	"0"	"1"	"3"	"2"	"4"	"418"	"15"	"2"	"10"	"506"	""	"506"	""
"331"	"12"	"230"	"23"	"9"	"225"	"11"	"11"	"1"	"0"	"2"	"0"	"2"	"0"	"5"	"221"	"4"	"2"	"5"	"521"	""	"521"	""
"332"	"13"	"231"	"76"	"2"	"42"	"0"	"0"	"2"	"1"	"1"	"2"	"1"	"1"	"0"	"133"	"1"	"1"	"4"	"267"	""	"267"	""
"333"	"14"	"232"	"49"	"4"	"38"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"79"	"3"	"2"	"5"	"187"	""	"187"	""
"334"	""	"Total"	"568"	"82"	"1937"	"50"	"47"	"39"	"13"	"14"	"12"	"29"	"19"	"60"	"4061"	"97"	"19"	"67"	"7114"	"0"	"7114"	""
"335"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
