"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"260"	"187"	"38"	"76"	"124"	"241"	"7"	"5"	"1"	"3"	"6"	"2"	"0"	"4"	"18"	"13"	"19"	"15"	"4"	"4"	"580"	"0"	"580"	""
"261"	"188"	"184"	"47"	"193"	"47"	"6"	"2"	"5"	"0"	"3"	"9"	"3"	"1"	"2"	"9"	"53"	"17"	"9"	"5"	"595"	"0"	"595"	""
"262"	"189"	"69"	"231"	"199"	"180"	"1"	"4"	"5"	"3"	"8"	"3"	"4"	"1"	"10"	"6"	"4"	"12"	"0"	"2"	"742"	"0"	"742"	""
"263"	"190"	"33"	"7"	"456"	"190"	"6"	"1"	"0"	"0"	"3"	"3"	"3"	"2"	"5"	"6"	"19"	"3"	"3"	"0"	"740"	"0"	"740"	""
"264"	"TOTAL"	"12856"	"8586"	"35618"	"27642"	"913"	"359"	"953"	"457"	"637"	"2947"	"523"	"406"	"1367"	"1399"	"2472"	"1488"	"412"	"539"	"99574"	"0"	"99574"	""
"265"	"B.F."	"12856"	"8586"	"35618"	"27642"	"913"	"359"	"953"	"457"	"637"	"2947"	"523"	"406"	"1367"	"1399"	"2472"	"1488"	"412"	"539"	"99574"	"0"	"99574"	""
"266"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"268"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"269"	"191"	"19"	"8"	"66"	"298"	"8"	"6"	"0"	"0"	"2"	"1"	"1"	"3"	"2"	"2"	"4"	"0"	"1"	"0"	"421"	"0"	"421"	""
"270"	"192"	"83"	"0"	"47"	"88"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"3"	"4"	"1"	"1"	"3"	"241"	"0"	"241"	""
"271"	"193"	"90"	"15"	"413"	"204"	"14"	"6"	"2"	"3"	"10"	"7"	"3"	"0"	"19"	"24"	"7"	"6"	"2"	"11"	"836"	"0"	"836"	""
"272"	"194"	"307"	"18"	"67"	"189"	"3"	"2"	"0"	"1"	"1"	"10"	"0"	"1"	"6"	"2"	"3"	"11"	"5"	"1"	"627"	"0"	"627"	""
"273"	"195"	"41"	"10"	"282"	"135"	"5"	"7"	"2"	"4"	"5"	"6"	"9"	"7"	"21"	"20"	"18"	"12"	"3"	"4"	"591"	"0"	"591"	""
"274"	"196"	"64"	"6"	"139"	"29"	"8"	"22"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"3"	"282"	"0"	"282"	""
"275"	"197"	"129"	"21"	"354"	"95"	"10"	"0"	"3"	"1"	"4"	"5"	"5"	"4"	"8"	"7"	"5"	"3"	"3"	"4"	"661"	"0"	"661"	""
"276"	"198"	"143"	"73"	"145"	"100"	"6"	"2"	"1"	"3"	"5"	"7"	"1"	"3"	"12"	"9"	"13"	"15"	"1"	"3"	"542"	"0"	"542"	""
"277"	"199"	"71"	"2"	"493"	"80"	"3"	"1"	"4"	"3"	"3"	"8"	"3"	"5"	"15"	"20"	"9"	"6"	"1"	"17"	"744"	"0"	"744"	""
"278"	"200"	"93"	"3"	"119"	"63"	"2"	"0"	"1"	"0"	"1"	"4"	"0"	"4"	"2"	"1"	"3"	"2"	"2"	"3"	"303"	"0"	"303"	""
"279"	"201"	"20"	"11"	"85"	"86"	"1"	"5"	"0"	"1"	"4"	"2"	"3"	"1"	"1"	"4"	"26"	"4"	"3"	"12"	"269"	"0"	"269"	""
"280"	"202"	"134"	"27"	"131"	"142"	"6"	"2"	"2"	"0"	"4"	"3"	"1"	"2"	"7"	"3"	"3"	"11"	"3"	"49"	"530"	"0"	"530"	""
"281"	"203"	"82"	"39"	"175"	"78"	"4"	"0"	"1"	"1"	"1"	"6"	"0"	"5"	"11"	"8"	"6"	"12"	"5"	"3"	"437"	"0"	"437"	""
"282"	"204"	"12"	"22"	"139"	"62"	"3"	"2"	"1"	"3"	"2"	"5"	"0"	"2"	"8"	"10"	"11"	"3"	"2"	"21"	"308"	"0"	"308"	""
"283"	"TOTAL"	"14144"	"8841"	"38273"	"29291"	"987"	"417"	"974"	"478"	"679"	"3013"	"550"	"444"	"1483"	"1513"	"2584"	"1577"	"445"	"673"	"106366"	"0"	"106366"	""
"284"	"B.F."	"14144"	"8841"	"38273"	"29291"	"987"	"417"	"974"	"478"	"679"	"3013"	"550"	"444"	"1483"	"1513"	"2584"	"1577"	"445"	"673"	"106366"	"0"	"106366"	""
"285"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"287"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"288"	"205"	"40"	"2"	"142"	"61"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"4"	"2"	"8"	"1"	"0"	"11"	"280"	"0"	"280"	""
"289"	"206"	"7"	"34"	"303"	"38"	"5"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"5"	"1"	"2"	"1"	"401"	"0"	"401"	""
"290"	"207"	"194"	"192"	"108"	"60"	"5"	"3"	"3"	"2"	"2"	"27"	"5"	"1"	"5"	"7"	"15"	"24"	"15"	"73"	"741"	"0"	"741"	""
"291"	"208"	"94"	"2"	"77"	"135"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"16"	"4"	"1"	"0"	"335"	"0"	"335"	""
"292"	"209"	"39"	"13"	"238"	"166"	"6"	"1"	"6"	"2"	"3"	"11"	"1"	"0"	"12"	"3"	"6"	"4"	"1"	"0"	"512"	"0"	"512"	""
"293"	"210"	"31"	"40"	"73"	"198"	"11"	"5"	"0"	"0"	"8"	"1"	"4"	"2"	"10"	"4"	"11"	"8"	"2"	"2"	"410"	"0"	"410"	""
"294"	"211"	"165"	"63"	"89"	"99"	"3"	"3"	"1"	"3"	"2"	"12"	"2"	"2"	"9"	"5"	"23"	"14"	"5"	"10"	"510"	"0"	"510"	""
"295"	"212"	"190"	"14"	"76"	"70"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"22"	"0"	"1"	"0"	"378"	"0"	"378"	""
"296"	"213"	"24"	"102"	"127"	"346"	"6"	"4"	"0"	"2"	"3"	"0"	"1"	"1"	"9"	"4"	"2"	"5"	"2"	"1"	"639"	"0"	"639"	""
"297"	"214"	"240"	"61"	"302"	"142"	"10"	"5"	"4"	"1"	"12"	"20"	"2"	"7"	"12"	"8"	"5"	"16"	"1"	"8"	"856"	"0"	"856"	""
"298"	"215"	"295"	"8"	"266"	"104"	"4"	"3"	"0"	"2"	"5"	"29"	"4"	"1"	"5"	"8"	"5"	"7"	"1"	"0"	"747"	"0"	"747"	""
"299"	"216"	"75"	"14"	"434"	"177"	"5"	"3"	"2"	"3"	"3"	"14"	"0"	"1"	"3"	"6"	"1"	"3"	"1"	"3"	"748"	"0"	"748"	""
"300"	"217"	"63"	"40"	"272"	"161"	"8"	"1"	"1"	"2"	"6"	"16"	"2"	"4"	"7"	"6"	"7"	"4"	"11"	"23"	"634"	"0"	"634"	""
"301"	"218"	"9"	"31"	"227"	"105"	"9"	"4"	"3"	"0"	"1"	"5"	"0"	"2"	"3"	"4"	"1"	"7"	"2"	"6"	"419"	"0"	"419"	""
"302"	"TOTAL"	"15610"	"9457"	"41007"	"31153"	"1063"	"449"	"994"	"496"	"727"	"3158"	"571"	"465"	"1565"	"1574"	"2711"	"1675"	"490"	"811"	"113976"	"0"	"113976"	""
"303"	"B.F."	"15610"	"9457"	"41007"	"31153"	"1063"	"449"	"994"	"496"	"727"	"3158"	"571"	"465"	"1565"	"1574"	"2711"	"1675"	"490"	"811"	"113976"	"0"	"113976"	""
"304"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"307"	"219"	"39"	"16"	"165"	"97"	"3"	"2"	"2"	"0"	"1"	"7"	"2"	"0"	"6"	"18"	"4"	"6"	"2"	"2"	"372"	"0"	"372"	""
"308"	"220"	"108"	"3"	"195"	"111"	"2"	"2"	"1"	"1"	"1"	"4"	"0"	"2"	"3"	"10"	"6"	"4"	"9"	"8"	"470"	"0"	"470"	""
"309"	"221"	"51"	"14"	"463"	"154"	"12"	"3"	"1"	"3"	"2"	"4"	"1"	"0"	"7"	"6"	"1"	"3"	"0"	"0"	"725"	"0"	"725"	""
"310"	"222"	"4"	"1"	"13"	"213"	"5"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"6"	"0"	"0"	"1"	"1"	"1"	"247"	"0"	"247"	""
"311"	"223"	"32"	"157"	"426"	"145"	"3"	"1"	"14"	"3"	"5"	"5"	"1"	"1"	"10"	"12"	"13"	"8"	"1"	"6"	"843"	"0"	"843"	""
"312"	"224"	"80"	"14"	"603"	"26"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"9"	"2"	"2"	"0"	"0"	"745"	"0"	"745"	""
"313"	"225"	"23"	"29"	"347"	"370"	"10"	"1"	"5"	"2"	"8"	"20"	"3"	"7"	"14"	"5"	"36"	"9"	"2"	"38"	"929"	"0"	"929"	""
"314"	"226"	"193"	"2"	"19"	"10"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"1"	"5"	"3"	"0"	"0"	"239"	"0"	"239"	""
"315"	"227"	"29"	"49"	"290"	"53"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"33"	"3"	"10"	"0"	"2"	"0"	"1"	"477"	"0"	"477"	""
"316"	"228"	"7"	"3"	"304"	"63"	"3"	"3"	"0"	"3"	"3"	"0"	"3"	"57"	"6"	"4"	"6"	"4"	"0"	"0"	"469"	"0"	"469"	""
"317"	"229"	"226"	"4"	"135"	"110"	"5"	"1"	"1"	"2"	"5"	"13"	"1"	"8"	"8"	"6"	"2"	"9"	"7"	"5"	"548"	"0"	"548"	""
"318"	"230"	"92"	"90"	"108"	"7"	"1"	"0"	"1"	"1"	"0"	"4"	"0"	"2"	"1"	"4"	"2"	"3"	"0"	"0"	"316"	"0"	"316"	""
"319"	"231"	"159"	"13"	"220"	"162"	"3"	"2"	"2"	"1"	"4"	"5"	"1"	"4"	"5"	"2"	"3"	"10"	"9"	"12"	"617"	"0"	"617"	""
"320"	"232"	"32"	"3"	"182"	"310"	"10"	"2"	"2"	"1"	"3"	"3"	"2"	"1"	"6"	"6"	"8"	"0"	"11"	"3"	"585"	"0"	"585"	""
"321"	"TOTAL"	"16685"	"9855"	"44477"	"32984"	"1125"	"470"	"1023"	"515"	"762"	"3229"	"586"	"580"	"1643"	"1667"	"2799"	"1739"	"532"	"887"	"121558"	"0"	"121558"	""
"322"	"B.F."	"16685"	"9855"	"44477"	"32984"	"1125"	"470"	"1023"	"515"	"762"	"3229"	"586"	"580"	"1643"	"1667"	"2799"	"1739"	"532"	"887"	"121558"	"0"	"121558"	""
"323"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"325"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"326"	"233"	"86"	"2"	"43"	"170"	"5"	"1"	"5"	"0"	"3"	"0"	"2"	"2"	"11"	"3"	"4"	"14"	"5"	"0"	"356"	"0"	"356"	""
"327"	"234"	"170"	"29"	"177"	"152"	"10"	"8"	"4"	"0"	"8"	"35"	"1"	"3"	"15"	"6"	"11"	"11"	"14"	"14"	"668"	"0"	"668"	""
"328"	"235"	"72"	"11"	"277"	"135"	"7"	"1"	"11"	"3"	"6"	"37"	"4"	"4"	"7"	"3"	"16"	"6"	"1"	"2"	"603"	"0"	"603"	""
"329"	"236"	"356"	"10"	"27"	"20"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"9"	"5"	"1"	"436"	"0"	"436"	""
"330"	"237"	"286"	"1"	"50"	"36"	"4"	"2"	"1"	"0"	"2"	"44"	"2"	"0"	"3"	"0"	"5"	"6"	"4"	"0"	"446"	"0"	"446"	""
"331"	"238"	"110"	"13"	"344"	"140"	"19"	"4"	"19"	"6"	"2"	"19"	"8"	"3"	"19"	"26"	"4"	"22"	"3"	"6"	"767"	"0"	"767"	""
"332"	"239"	"99"	"22"	"181"	"73"	"1"	"1"	"2"	"2"	"5"	"2"	"4"	"4"	"3"	"8"	"6"	"15"	"3"	"12"	"443"	"0"	"443"	""
"333"	"240"	"50"	"2"	"129"	"75"	"1"	"0"	"4"	"0"	"2"	"3"	"2"	"8"	"0"	"1"	"56"	"1"	"1"	"1"	"336"	"0"	"336"	""
"334"	"241"	"61"	"21"	"175"	"138"	"6"	"2"	"5"	"0"	"3"	"85"	"3"	"0"	"8"	"6"	"2"	"10"	"0"	"5"	"530"	"0"	"530"	""
"335"	"242"	"151"	"1"	"73"	"21"	"3"	"0"	"3"	"0"	"1"	"1"	"1"	"2"	"4"	"2"	"0"	"14"	"2"	"3"	"282"	"0"	"282"	""
"336"	"243"	"100"	"7"	"177"	"100"	"1"	"1"	"4"	"0"	"0"	"2"	"1"	"1"	"4"	"1"	"2"	"7"	"2"	"1"	"411"	"0"	"411"	""
"337"	"244"	"44"	"0"	"40"	"153"	"4"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"3"	"0"	"4"	"3"	"2"	"0"	"259"	"0"	"259"	""
"338"	"245"	"224"	"13"	"112"	"145"	"8"	"2"	"1"	"2"	"9"	"8"	"2"	"1"	"8"	"6"	"27"	"3"	"2"	"0"	"573"	"0"	"573"	""
"339"	"246"	"7"	"33"	"36"	"151"	"4"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"5"	"0"	"19"	"2"	"0"	"2"	"266"	"0"	"266"	""
"340"	"TOTAL"	"18501"	"10020"	"46318"	"34493"	"1198"	"494"	"1083"	"530"	"808"	"3466"	"618"	"614"	"1735"	"1729"	"2955"	"1862"	"576"	"934"	"127934"	"0"	"127934"	""
"341"	"B.F."	"18501"	"10020"	"46318"	"34493"	"1198"	"494"	"1083"	"530"	"808"	"3466"	"618"	"614"	"1735"	"1729"	"2955"	"1862"	"576"	"934"	"127934"	"0"	"127934"	""
"342"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"344"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"345"	"247"	"37"	"49"	"114"	"77"	"9"	"2"	"0"	"1"	"1"	"1"	"2"	"8"	"8"	"1"	"2"	"17"	"0"	"0"	"329"	"0"	"329"	""
"346"	"248"	"119"	"26"	"41"	"64"	"4"	"2"	"0"	"1"	"0"	"2"	"2"	"0"	"5"	"0"	"1"	"4"	"3"	"1"	"275"	"0"	"275"	""
"347"	"249"	"63"	"2"	"44"	"179"	"4"	"2"	"0"	"0"	"1"	"5"	"3"	"1"	"3"	"12"	"0"	"2"	"0"	"1"	"322"	"0"	"322"	""
"348"	"250"	"9"	"0"	"80"	"124"	"1"	"3"	"1"	"1"	"3"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"227"	"0"	"227"	""
"349"	"251"	"129"	"8"	"467"	"76"	"2"	"8"	"2"	"1"	"1"	"10"	"0"	"2"	"2"	"4"	"11"	"6"	"1"	"66"	"796"	"0"	"796"	""
"350"	"252"	"13"	"63"	"277"	"51"	"2"	"1"	"1"	"0"	"5"	"1"	"1"	"1"	"0"	"2"	"0"	"4"	"0"	"0"	"422"	"0"	"422"	""
"351"	"253"	"151"	"48"	"117"	"126"	"9"	"2"	"2"	"2"	"3"	"55"	"0"	"2"	"11"	"2"	"6"	"5"	"4"	"6"	"551"	"0"	"551"	""
"352"	"254"	"39"	"29"	"237"	"195"	"1"	"6"	"3"	"2"	"4"	"8"	"1"	"5"	"18"	"7"	"9"	"17"	"6"	"4"	"591"	"0"	"591"	""
"353"	"255"	"17"	"29"	"195"	"324"	"7"	"2"	"1"	"2"	"3"	"4"	"0"	"0"	"12"	"4"	"5"	"14"	"0"	"0"	"619"	"0"	"619"	""
"354"	"256"	"22"	"3"	"180"	"62"	"6"	"9"	"2"	"0"	"5"	"5"	"1"	"1"	"1"	"7"	"30"	"53"	"3"	"2"	"392"	"0"	"392"	""
"355"	"257"	"148"	"12"	"163"	"21"	"4"	"4"	"2"	"3"	"2"	"4"	"2"	"0"	"1"	"7"	"4"	"8"	"3"	"0"	"388"	"0"	"388"	""
"356"	"258"	"6"	"14"	"2"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"9"	"41"	"7"	"76"	"2"	"75"	"3"	"0"	"241"	"0"	"241"	""
"357"	"259"	"78"	"34"	"214"	"45"	"3"	"3"	"0"	"1"	"1"	"3"	"1"	"2"	"2"	"6"	"12"	"2"	"2"	"21"	"430"	"0"	"430"	""
"358"	"260"	"27"	"0"	"100"	"65"	"3"	"2"	"0"	"0"	"1"	"4"	"2"	"2"	"5"	"8"	"0"	"1"	"2"	"2"	"224"	"0"	"224"	""
"359"	"TOTAL"	"19359"	"10337"	"48549"	"35902"	"1254"	"540"	"1100"	"544"	"839"	"3570"	"642"	"679"	"1813"	"1865"	"3038"	"2070"	"603"	"1037"	"133741"	"0"	"133741"	""
"360"	"B.F."	"19359"	"10337"	"48549"	"35902"	"1254"	"540"	"1100"	"544"	"839"	"3570"	"642"	"679"	"1813"	"1865"	"3038"	"2070"	"603"	"1037"	"133741"	"0"	"133741"	""
"361"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"363"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"364"	"261"	"89"	"9"	"264"	"142"	"5"	"2"	"1"	"0"	"1"	"16"	"2"	"3"	"1"	"5"	"3"	"40"	"0"	"1"	"584"	"0"	"584"	""
"365"	"262"	"0"	"0"	"42"	"12"	"10"	"239"	"1"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"310"	"0"	"310"	""
"366"	"263"	"58"	"5"	"142"	"191"	"12"	"3"	"2"	"0"	"3"	"4"	"50"	"3"	"16"	"6"	"13"	"5"	"7"	"4"	"524"	"0"	"524"	""
"367"	"264"	"234"	"60"	"142"	"101"	"15"	"0"	"0"	"0"	"2"	"2"	"42"	"2"	"8"	"8"	"7"	"6"	"4"	"1"	"634"	"0"	"634"	""
"368"	"265"	"73"	"0"	"93"	"67"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"244"	"0"	"244"	""
"369"	"266"	"11"	"4"	"361"	"134"	"2"	"1"	"5"	"0"	"2"	"6"	"0"	"0"	"4"	"4"	"1"	"1"	"1"	"46"	"583"	"0"	"583"	""
"370"	"267"	"88"	"82"	"87"	"14"	"3"	"7"	"0"	"3"	"3"	"14"	"3"	"0"	"1"	"6"	"6"	"4"	"1"	"20"	"342"	"0"	"342"	""
"371"	"268"	"15"	"12"	"130"	"59"	"4"	"0"	"2"	"0"	"1"	"2"	"6"	"0"	"1"	"1"	"3"	"2"	"0"	"2"	"240"	"0"	"240"	""
"372"	"269"	"64"	"9"	"160"	"127"	"3"	"5"	"3"	"0"	"4"	"5"	"17"	"0"	"4"	"0"	"2"	"2"	"0"	"1"	"406"	"0"	"406"	""
"373"	"270"	"20"	"13"	"67"	"99"	"3"	"2"	"3"	"0"	"1"	"4"	"3"	"3"	"6"	"5"	"3"	"7"	"0"	"4"	"243"	"0"	"243"	""
"374"	"271"	"135"	"2"	"138"	"94"	"3"	"3"	"0"	"1"	"5"	"7"	"0"	"4"	"7"	"4"	"10"	"9"	"9"	"15"	"446"	"0"	"446"	""
"375"	"272"	"30"	"34"	"364"	"15"	"4"	"0"	"1"	"2"	"1"	"7"	"4"	"2"	"3"	"11"	"5"	"7"	"1"	"0"	"491"	"0"	"491"	""
"376"	"273"	"33"	"42"	"255"	"235"	"14"	"3"	"1"	"2"	"5"	"2"	"11"	"4"	"27"	"9"	"8"	"7"	"2"	"6"	"666"	"0"	"666"	""
"377"	"274"	"33"	"4"	"112"	"161"	"6"	"2"	"0"	"0"	"5"	"2"	"1"	"4"	"9"	"5"	"3"	"5"	"3"	"1"	"356"	"0"	"356"	""
"378"	"TOTAL"	"20242"	"10613"	"50906"	"37353"	"1341"	"808"	"1119"	"553"	"873"	"3642"	"784"	"705"	"1901"	"1929"	"3104"	"2167"	"632"	"1138"	"139810"	"0"	"139810"	""
"379"	"B.F."	"20242"	"10613"	"50906"	"37353"	"1341"	"808"	"1119"	"553"	"873"	"3642"	"784"	"705"	"1901"	"1929"	"3104"	"2167"	"632"	"1138"	"139810"	"0"	"139810"	""
"380"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"382"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"383"	"275"	"5"	"39"	"111"	"300"	"5"	"3"	"1"	"0"	"4"	"1"	"2"	"0"	"9"	"1"	"9"	"3"	"2"	"6"	"501"	"0"	"501"	""
"384"	"276"	"15"	"5"	"64"	"476"	"6"	"4"	"0"	"0"	"1"	"11"	"0"	"0"	"4"	"1"	"1"	"0"	"0"	"12"	"600"	"0"	"600"	""
"385"	"277"	"15"	"2"	"12"	"292"	"10"	"2"	"1"	"0"	"0"	"3"	"0"	"3"	"1"	"0"	"1"	"1"	"0"	"3"	"346"	"0"	"346"	""
"386"	"278"	"94"	"3"	"100"	"116"	"2"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"10"	"18"	"2"	"3"	"0"	"4"	"358"	"0"	"358"	""
"387"	"279"	"33"	"4"	"35"	"231"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"8"	"1"	"0"	"321"	"0"	"321"	""
"388"	"280"	"34"	"46"	"185"	"149"	"7"	"6"	"0"	"0"	"1"	"1"	"0"	"1"	"9"	"3"	"28"	"14"	"4"	"2"	"490"	"0"	"490"	""
