"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"
"174"	"Round"	""	""	""	""	""	"941"	""	"2487"	""	"1565"	""	"82"	""	"39"	""	"31"	"13"	"28"	"50"	""	"39"	""	"111"	"41"	"31"	""	"580"	""	"40"	""	"46"	"90"	""	"51"	""	"70"	""	"106"	""	"54"	""	"32"	"168"	""	"34"	"34"	"73"	"568"	""	"36"	""	"101"	""	"38955"	""	""
"175"	"84"	""	""	""	""	""	"36"	""	"54"	""	"11"	""	"2"	""	"1"	""	"4"	"1"	"1"	"1"	""	"1"	""	"21"	"1"	"2"	""	"8"	""	"2"	""	"0"	"2"	""	"0"	""	"5"	""	"4"	""	"3"	""	"1"	"1"	""	"0"	"0"	"2"	"170"	""	"3"	""	"2"	""	"339"	""	""
"176"	"85"	""	""	""	""	""	"117"	""	"335"	""	"17"	""	"3"	""	"1"	""	"0"	"0"	"1"	"1"	""	"0"	""	"1"	"0"	"1"	""	"47"	""	"7"	""	"0"	"1"	""	"1"	""	"0"	""	"2"	""	"0"	""	"2"	"0"	""	"0"	"1"	"1"	"0"	""	"0"	""	"3"	""	"542"	""	""
"177"	"86"	""	""	""	""	""	"103"	""	"385"	""	"19"	""	"0"	""	"0"	""	"1"	"0"	"1"	"1"	""	"2"	""	"6"	"1"	"1"	""	"2"	""	"8"	""	"2"	"2"	""	"5"	""	"2"	""	"2"	""	"0"	""	"0"	"1"	""	"0"	"0"	"4"	"1"	""	"1"	""	"5"	""	"555"	""	""
"178"	"87"	""	""	""	""	""	"29"	""	"147"	""	"45"	""	"11"	""	"8"	""	"3"	"3"	"9"	"6"	""	"1"	""	"8"	"3"	"3"	""	"5"	""	"18"	""	"12"	"6"	""	"8"	""	"4"	""	"19"	""	"242"	""	"9"	"1"	""	"4"	"4"	"6"	"24"	""	"1"	""	"13"	""	"652"	""	""
"179"	"88"	""	""	""	""	""	"16"	""	"11"	""	"18"	""	"0"	""	"0"	""	"1"	"1"	"0"	"1"	""	"0"	""	"4"	"2"	"4"	""	"0"	""	"10"	""	"1"	"6"	""	"1"	""	"3"	""	"15"	""	"399"	""	"19"	"1"	""	"1"	"5"	"2"	"7"	""	"4"	""	"9"	""	"541"	""	""
"180"	"89"	""	""	""	""	""	"11"	""	"43"	""	"69"	""	"5"	""	"2"	""	"0"	"3"	"4"	"2"	""	"3"	""	"33"	"3"	"2"	""	"42"	""	"15"	""	"2"	"3"	""	"0"	""	"1"	""	"12"	""	"244"	""	"5"	"0"	""	"1"	"2"	"1"	"57"	""	"0"	""	"0"	""	"565"	""	""
"181"	"90"	""	""	""	""	""	"69"	""	"52"	""	"19"	""	"5"	""	"2"	""	"3"	"4"	"1"	"6"	""	"1"	""	"27"	"3"	"2"	""	"13"	""	"8"	""	"6"	"2"	""	"4"	""	"6"	""	"5"	""	"36"	""	"6"	"1"	""	"0"	"0"	"0"	"9"	""	"2"	""	"3"	""	"295"	""	""
"182"	"91"	""	""	""	""	""	"9"	""	"29"	""	"32"	""	"1"	""	"0"	""	"1"	"0"	"0"	"0"	""	"0"	""	"1"	"0"	"1"	""	"4"	""	"39"	""	"0"	"14"	""	"0"	""	"0"	""	"3"	""	"67"	""	"10"	"2"	""	"2"	"1"	"9"	"8"	""	"9"	""	"14"	""	"256"	""	""
"183"	"92"	""	""	""	""	""	"4"	""	"15"	""	"38"	""	"1"	""	"1"	""	"2"	"0"	"2"	"2"	""	"1"	""	"3"	"3"	"5"	""	"22"	""	"4"	""	"0"	"9"	""	"8"	""	"7"	""	"7"	""	"57"	""	"6"	"5"	""	"5"	"1"	"10"	"14"	""	"12"	""	"11"	""	"255"	""	""
"184"	"93"	""	""	""	""	""	"31"	""	"130"	""	"17"	""	"3"	""	"6"	""	"5"	"6"	"20"	"10"	""	"9"	""	"128"	"8"	"6"	""	"41"	""	"12"	""	"14"	"10"	""	"8"	""	"5"	""	"14"	""	"11"	""	"9"	"11"	""	"7"	"4"	"4"	"13"	""	"3"	""	"6"	""	"551"	""	""
"185"	"94"	""	""	""	""	""	"5"	""	"47"	""	"37"	""	"4"	""	"3"	""	"6"	"0"	"0"	"4"	""	"1"	""	"64"	"0"	"2"	""	"6"	""	"1"	""	"1"	"3"	""	"4"	""	"5"	""	"3"	""	"1"	""	"2"	"5"	""	"0"	"1"	"4"	"8"	""	"4"	""	"8"	""	"229"	""	""
"186"	"95"	""	""	""	""	""	"19"	""	"146"	""	"61"	""	"3"	""	"3"	""	"3"	"2"	"4"	"2"	""	"3"	""	"39"	"2"	"4"	""	"23"	""	"6"	""	"6"	"12"	""	"5"	""	"7"	""	"4"	""	"5"	""	"4"	"2"	""	"1"	"4"	"3"	"4"	""	"2"	""	"5"	""	"384"	""	""
"187"	"96"	""	""	""	""	""	"11"	""	"221"	""	"60"	""	"5"	""	"3"	""	"4"	"3"	"3"	"6"	""	"5"	""	"86"	"1"	"5"	""	"27"	""	"41"	""	"7"	"35"	""	"25"	""	"11"	""	"15"	""	"45"	""	"12"	"2"	""	"11"	"20"	"18"	"23"	""	"10"	""	"25"	""	"740"	""	""
"188"	"97"	""	""	""	""	""	"212"	""	"68"	""	"52"	""	"0"	""	"2"	""	"1"	"2"	"0"	"2"	""	"1"	""	"35"	"1"	"3"	""	"15"	""	"4"	""	"2"	"10"	""	"2"	""	"1"	""	"1"	""	"4"	""	"0"	"3"	""	"2"	"5"	"2"	"10"	""	"0"	""	"6"	""	"446"	""	""
"189"	"Round"	""	""	""	""	""	"672"	""	"1683"	""	"495"	""	"43"	""	"32"	""	"34"	"25"	"46"	"44"	""	"28"	""	"456"	"28"	"41"	""	"255"	""	"175"	""	"53"	"115"	""	"71"	""	"57"	""	"106"	""	"1114"	""	"85"	"35"	""	"34"	"48"	"66"	"348"	""	"51"	""	"110"	""	"45305"	""	""
"190"	"98"	""	""	""	""	""	"7"	""	"24"	""	"60"	""	"2"	""	"6"	""	"5"	"1"	"4"	"5"	""	"6"	""	"71"	"3"	"5"	""	"2"	""	"1"	""	"2"	"2"	""	"3"	""	"1"	""	"0"	""	"7"	""	"2"	"1"	""	"0"	"2"	"4"	"22"	""	"0"	""	"1"	""	"249"	""	""
"191"	"99"	""	""	""	""	""	"47"	""	"136"	""	"85"	""	"1"	""	"2"	""	"8"	"2"	"5"	"12"	""	"12"	""	"89"	"8"	"2"	""	"30"	""	"15"	""	"5"	"13"	""	"3"	""	"18"	""	"13"	""	"4"	""	"3"	"15"	""	"7"	"11"	"6"	"10"	""	"6"	""	"11"	""	"579"	""	""
"192"	"100"	""	""	""	""	""	"38"	""	"108"	""	"39"	""	"3"	""	"3"	""	"5"	"0"	"2"	"4"	""	"1"	""	"18"	"3"	"3"	""	"38"	""	"10"	""	"1"	"6"	""	"5"	""	"7"	""	"4"	""	"8"	""	"0"	"1"	""	"1"	"4"	"6"	"41"	""	"3"	""	"5"	""	"367"	""	""
"193"	"101"	""	""	""	""	""	"80"	""	"23"	""	"90"	""	"3"	""	"4"	""	"8"	"1"	"4"	"3"	""	"1"	""	"144"	"6"	"2"	""	"12"	""	"20"	""	"6"	"9"	""	"4"	""	"8"	""	"5"	""	"5"	""	"4"	"2"	""	"4"	"11"	"13"	"35"	""	"7"	""	"6"	""	"520"	""	""
"194"	"102"	""	""	""	""	""	"142"	""	"72"	""	"112"	""	"7"	""	"0"	""	"6"	"2"	"3"	"5"	""	"0"	""	"50"	"1"	"0"	""	"13"	""	"2"	""	"4"	"5"	""	"6"	""	"10"	""	"1"	""	"3"	""	"1"	"0"	""	"1"	"2"	"1"	"25"	""	"1"	""	"3"	""	"478"	""	""
"195"	"103"	""	""	""	""	""	"9"	""	"84"	""	"71"	""	"5"	""	"3"	""	"2"	"0"	"2"	"3"	""	"2"	""	"59"	"2"	"4"	""	"15"	""	"5"	""	"3"	"9"	""	"4"	""	"4"	""	"8"	""	"3"	""	"1"	"3"	""	"3"	"5"	"10"	"120"	""	"6"	""	"4"	""	"449"	""	""
"196"	"104"	""	""	""	""	""	"136"	""	"97"	""	"51"	""	"3"	""	"3"	""	"5"	"3"	"0"	"4"	""	"1"	""	"60"	"7"	"5"	""	"5"	""	"2"	""	"2"	"9"	""	"1"	""	"9"	""	"4"	""	"0"	""	"10"	"1"	""	"0"	"6"	"6"	"82"	""	"6"	""	"12"	""	"530"	""	""
"197"	"105"	""	""	""	""	""	"4"	""	"26"	""	"15"	""	"2"	""	"4"	""	"0"	"1"	"2"	"2"	""	"3"	""	"52"	"2"	"0"	""	"0"	""	"0"	""	"0"	"3"	""	"1"	""	"2"	""	"2"	""	"25"	""	"3"	"0"	""	"1"	"2"	"0"	"24"	""	"1"	""	"1"	""	"178"	""	""
"198"	"106"	""	""	""	""	""	"51"	""	"151"	""	"126"	""	"3"	""	"7"	""	"6"	"2"	"1"	"4"	""	"1"	""	"23"	"2"	"2"	""	"9"	""	"6"	""	"14"	"0"	""	"1"	""	"1"	""	"1"	""	"3"	""	"1"	"0"	""	"0"	"0"	"0"	"8"	""	"0"	""	"0"	""	"423"	""	""
"199"	"107"	""	""	""	""	""	"53"	""	"134"	""	"128"	""	"12"	""	"3"	""	"4"	"1"	"4"	"2"	""	"2"	""	"7"	"3"	"0"	""	"6"	""	"2"	""	"59"	"12"	""	"6"	""	"0"	""	"5"	""	"7"	""	"2"	"4"	""	"1"	"1"	"1"	"20"	""	"2"	""	"4"	""	"485"	""	""
"200"	"108"	""	""	""	""	""	"1"	""	"22"	""	"4"	""	"0"	""	"0"	""	"0"	"0"	"0"	"0"	""	"1"	""	"0"	"0"	"0"	""	"2"	""	"2"	""	"0"	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"145"	"0"	""	"0"	"1"	"1"	"1"	""	"1"	""	"1"	""	"184"	""	""
"201"	"109"	""	""	""	""	""	"17"	""	"41"	""	"157"	""	"2"	""	"22"	""	"1"	"1"	"2"	"3"	""	"1"	""	"25"	"1"	"1"	""	"13"	""	"1"	""	"27"	"1"	""	"3"	""	"0"	""	"2"	""	"1"	""	"0"	"1"	""	"2"	"1"	"3"	"24"	""	"3"	""	"0"	""	"356"	""	""
"202"	"110"	""	""	""	""	""	"13"	""	"184"	""	"48"	""	"5"	""	"0"	""	"4"	"1"	"2"	"2"	""	"8"	""	"6"	"1"	"3"	""	"74"	""	"4"	""	"6"	"4"	""	"5"	""	"2"	""	"3"	""	"7"	""	"2"	"1"	""	"1"	"2"	"0"	"4"	""	"3"	""	"3"	""	"398"	""	""
"203"	"111"	""	""	""	""	""	"59"	""	"192"	""	"152"	""	"6"	""	"2"	""	"0"	"3"	"1"	"3"	""	"6"	""	"4"	"2"	"5"	""	"36"	""	"4"	""	"7"	"6"	""	"10"	""	"1"	""	"2"	""	"5"	""	"2"	"4"	""	"1"	"2"	"1"	"4"	""	"3"	""	"7"	""	"530"	""	""
"204"	"Round"	""	""	""	""	""	"657"	""	"1294"	""	"1138"	""	"54"	""	"59"	""	"54"	"18"	"32"	"52"	""	"45"	""	"608"	"41"	"32"	""	"255"	""	"74"	""	"136"	"79"	""	"53"	""	"64"	""	"50"	""	"78"	""	"176"	"33"	""	"22"	"50"	"52"	"420"	""	"42"	""	"58"	""	"51031"	""	""
"205"	"112"	""	""	""	""	""	"31"	""	"172"	""	"80"	""	"2"	""	"1"	""	"3"	"2"	"1"	"1"	""	"2"	""	"1"	"1"	"1"	""	"3"	""	"3"	""	"1"	"3"	""	"1"	""	"3"	""	"3"	""	"0"	""	"1"	"4"	""	"1"	"1"	"2"	"3"	""	"0"	""	"1"	""	"328"	""	""
"206"	"113"	""	""	""	""	""	"185"	""	"47"	""	"97"	""	"2"	""	"6"	""	"2"	"3"	"3"	"6"	""	"10"	""	"5"	"3"	"1"	""	"58"	""	"3"	""	"6"	"3"	""	"2"	""	"0"	""	"2"	""	"1"	""	"0"	"22"	""	"0"	"2"	"0"	"2"	""	"0"	""	"3"	""	"474"	""	""
"207"	"0"	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"0"	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"0"	"520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"0"	"661"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"0"	"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"0"	"366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"0"	"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"0"	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"0"	"609"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"0"	"727"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"0"	"689"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"0"	"638"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"0"	"595"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"0"	"38955"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"0"	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"0"	"542"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"0"	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"0"	"652"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"0"	"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"0"	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"0"	"295"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"0"	"256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"0"	"255"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"0"	"551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"0"	"229"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"0"	"384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"0"	"740"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"0"	"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"0"	"45305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"0"	"249"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"0"	"579"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"0"	"367"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"0"	"520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"0"	"478"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"0"	"449"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"0"	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"0"	"178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"0"	"423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"0"	"485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"0"	"184"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"0"	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"0"	"398"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"0"	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"0"	"51031"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"0"	"328"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"0"	"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"114"	""	""	""	""	""	"209"	""	"53"	""	"13"	""	"7"	""	"0"	""	"2"	"0"	"0"	"4"	""	"1"	""	"3"	"3"	"0"	""	"46"	""	"2"	""	"1"	"1"	""	"2"	""	"1"	""	"1"	""	"2"	""	"0"	"1"	""	"0"	"1"	"1"	"0"	""	"0"	""	"1"	""	"355"	""	""
"254"	"115"	""	""	""	""	""	"5"	""	"603"	""	"25"	""	"1"	""	"0"	""	"0"	"0"	"0"	"3"	""	"1"	""	"0"	"0"	"1"	""	"0"	""	"3"	""	"1"	"2"	""	"2"	""	"0"	""	"1"	""	"1"	""	"0"	"0"	""	"0"	"4"	"0"	"0"	""	"0"	""	"0"	""	"653"	""	""
"255"	"116"	""	""	""	""	""	"60"	""	"189"	""	"97"	""	"3"	""	"3"	""	"1"	"0"	"5"	"1"	""	"0"	""	"12"	"5"	"1"	""	"3"	""	"2"	""	"2"	"7"	""	"5"	""	"2"	""	"3"	""	"5"	""	"1"	"1"	""	"1"	"2"	"1"	"1"	""	"3"	""	"6"	""	"422"	""	""
"256"	"117"	""	""	""	""	""	"191"	""	"186"	""	"64"	""	"2"	""	"2"	""	"3"	"0"	"4"	"2"	""	"3"	""	"31"	"3"	"2"	""	"19"	""	"1"	""	"4"	"3"	""	"0"	""	"0"	""	"0"	""	"17"	""	"2"	"2"	""	"0"	"0"	"1"	"16"	""	"1"	""	"7"	""	"566"	""	""
"257"	"118"	""	""	""	""	""	"99"	""	"252"	""	"81"	""	"7"	""	"11"	""	"6"	"0"	"2"	"1"	""	"0"	""	"11"	"2"	"1"	""	"7"	""	"5"	""	"1"	"4"	""	"6"	""	"2"	""	"1"	""	"7"	""	"0"	"3"	""	"0"	"1"	"0"	"7"	""	"4"	""	"8"	""	"529"	""	""
"258"	"119"	""	""	""	""	""	"43"	""	"183"	""	"71"	""	"4"	""	"4"	""	"4"	"4"	"1"	"1"	""	"2"	""	"2"	"3"	"3"	""	"7"	""	"4"	""	"2"	"5"	""	"4"	""	"15"	""	"2"	""	"2"	""	"0"	"1"	""	"0"	"1"	"0"	"3"	""	"1"	""	"1"	""	"373"	""	""
"259"	"120"	""	""	""	""	""	"40"	""	"75"	""	"72"	""	"4"	""	"2"	""	"4"	"2"	"2"	"0"	""	"1"	""	"9"	"1"	"0"	""	"11"	""	"5"	""	"1"	"7"	""	"1"	""	"2"	""	"5"	""	"0"	""	"1"	"2"	""	"3"	"3"	"10"	"9"	""	"4"	""	"4"	""	"280"	""	""
"260"	"121"	""	""	""	""	""	"22"	""	"54"	""	"172"	""	"4"	""	"7"	""	"6"	"1"	"4"	"1"	""	"2"	""	"15"	"0"	"3"	""	"24"	""	"1"	""	"3"	"4"	""	"2"	""	"36"	""	"6"	""	"3"	""	"3"	"2"	""	"0"	"2"	"3"	"27"	""	"2"	""	"3"	""	"412"	""	""
"261"	"122"	""	""	""	""	""	"107"	""	"123"	""	"95"	""	"3"	""	"2"	""	"3"	"0"	"0"	"6"	""	"1"	""	"14"	"6"	"0"	""	"4"	""	"3"	""	"4"	"4"	""	"1"	""	"2"	""	"5"	""	"9"	""	"1"	"2"	""	"0"	"5"	"3"	"25"	""	"2"	""	"5"	""	"435"	""	""
"262"	"123"	""	""	""	""	""	"29"	""	"378"	""	"90"	""	"4"	""	"0"	""	"4"	"0"	"1"	"3"	""	"7"	""	"7"	"0"	"1"	""	"10"	""	"1"	""	"2"	"6"	""	"5"	""	"7"	""	"9"	""	"4"	""	"0"	"1"	""	"1"	"0"	"5"	"3"	""	"6"	""	"14"	""	"598"	""	""
"263"	"124"	""	""	""	""	""	"76"	""	"115"	""	"65"	""	"4"	""	"1"	""	"1"	"1"	"0"	"1"	""	"3"	""	"4"	"1"	"1"	""	"29"	""	"1"	""	"3"	"2"	""	"4"	""	"2"	""	"5"	""	"4"	""	"0"	"1"	""	"0"	"1"	"2"	"2"	""	"3"	""	"4"	""	"336"	""	""
