"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"219"	"160"	"5"	"124"	"9"	"23"	"156"	"4"	"0"	"1"	"0"	"0"	"2"	"31"	"4"	"1"	"1"	"5"	"5"	"6"	"2"	"1"	"1"	"4"	"385"	"0"	"385"	""
"220"	"161"	"1"	"96"	"2"	"6"	"120"	"3"	"2"	"1"	"1"	"1"	"3"	"90"	"2"	"1"	"0"	"1"	"2"	"4"	"2"	"0"	"2"	"5"	"345"	"0"	"345"	""
"221"	"162"	"7"	"13"	"6"	"31"	"268"	"4"	"3"	"1"	"5"	"2"	"1"	"79"	"2"	"2"	"0"	"4"	"0"	"22"	"3"	"0"	"10"	"3"	"466"	"0"	"466"	""
"222"	"163"	"37"	"253"	"9"	"46"	"204"	"5"	"2"	"0"	"4"	"1"	"1"	"85"	"4"	"2"	"0"	"2"	"2"	"12"	"5"	"3"	"3"	"6"	"686"	"0"	"686"	""
"223"	"164"	"10"	"72"	"8"	"176"	"107"	"0"	"2"	"4"	"1"	"1"	"2"	"16"	"1"	"2"	"2"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"411"	"0"	"411"	""
"224"	"165"	"10"	"73"	"7"	"163"	"215"	"1"	"2"	"1"	"3"	"4"	"1"	"37"	"4"	"4"	"5"	"5"	"3"	"6"	"2"	"12"	"4"	"7"	"569"	"0"	"569"	""
"225"	"166"	"4"	"605"	"2"	"2"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"18"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"5"	"655"	"0"	"655"	""
"226"	"TOTAL"	"4230"	"17615"	"3064"	"5588"	"27803"	"450"	"275"	"318"	"596"	"322"	"339"	"4083"	"5909"	"622"	"504"	"1130"	"1679"	"3784"	"355"	"258"	"473"	"588"	"79985"	"0"	"79985"	""
"227"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"229"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"230"	"B.F."	"4230"	"17615"	"3064"	"5588"	"27803"	"450"	"275"	"318"	"596"	"322"	"339"	"4083"	"5909"	"622"	"504"	"1130"	"1679"	"3784"	"355"	"258"	"473"	"588"	"79985"	"0"	"79985"	""
"231"	"167"	"7"	"89"	"4"	"367"	"28"	"1"	"0"	"2"	"0"	"0"	"5"	"18"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"528"	"0"	"528"	""
"232"	"168"	"2"	"27"	"8"	"442"	"51"	"5"	"0"	"1"	"0"	"1"	"1"	"85"	"3"	"0"	"1"	"2"	"0"	"1"	"4"	"4"	"1"	"1"	"640"	"0"	"640"	""
"233"	"169"	"10"	"111"	"3"	"19"	"69"	"1"	"0"	"2"	"1"	"5"	"1"	"375"	"3"	"2"	"1"	"2"	"1"	"26"	"4"	"2"	"2"	"4"	"644"	"0"	"644"	""
"234"	"170"	"9"	"57"	"1"	"2"	"51"	"3"	"6"	"5"	"2"	"3"	"8"	"363"	"9"	"1"	"4"	"1"	"3"	"20"	"3"	"2"	"2"	"7"	"562"	"0"	"562"	""
"235"	"171"	"4"	"111"	"2"	"41"	"66"	"0"	"1"	"0"	"1"	"0"	"12"	"29"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"272"	"0"	"272"	""
"236"	"172"	"5"	"853"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"871"	"0"	"871"	""
"237"	"173"	"1"	"411"	"5"	"50"	"49"	"2"	"0"	"0"	"2"	"0"	"0"	"18"	"0"	"1"	"1"	"2"	"0"	"4"	"4"	"0"	"0"	"2"	"552"	"0"	"552"	""
"238"	"174"	"4"	"394"	"4"	"0"	"66"	"2"	"0"	"0"	"0"	"0"	"0"	"26"	"3"	"1"	"0"	"0"	"1"	"17"	"19"	"0"	"7"	"2"	"546"	"0"	"546"	""
"239"	"175"	"29"	"257"	"14"	"83"	"215"	"0"	"2"	"1"	"1"	"4"	"1"	"6"	"3"	"7"	"2"	"11"	"11"	"10"	"1"	"7"	"8"	"22"	"695"	"0"	"695"	""
"240"	"176"	"7"	"27"	"6"	"191"	"91"	"1"	"0"	"3"	"3"	"1"	"0"	"6"	"4"	"4"	"2"	"7"	"0"	"0"	"0"	"5"	"1"	"0"	"359"	"0"	"359"	""
"241"	"177"	"4"	"63"	"13"	"105"	"44"	"0"	"0"	"0"	"3"	"1"	"1"	"52"	"2"	"0"	"1"	"1"	"2"	"8"	"4"	"1"	"2"	"3"	"310"	"0"	"310"	""
"242"	"178"	"13"	"73"	"13"	"148"	"162"	"3"	"4"	"1"	"5"	"2"	"1"	"5"	"21"	"5"	"2"	"8"	"7"	"2"	"6"	"1"	"7"	"3"	"492"	"0"	"492"	""
"243"	"179"	"23"	"101"	"8"	"57"	"149"	"2"	"1"	"2"	"5"	"2"	"0"	"7"	"5"	"6"	"2"	"2"	"8"	"2"	"5"	"4"	"5"	"4"	"400"	"0"	"400"	""
"244"	"180"	"13"	"93"	"13"	"183"	"336"	"4"	"4"	"1"	"6"	"1"	"5"	"21"	"15"	"6"	"6"	"10"	"1"	"1"	"3"	"1"	"3"	"4"	"730"	"0"	"730"	""
"245"	"TOTAL"	"4361"	"20282"	"3160"	"7279"	"29184"	"474"	"293"	"336"	"625"	"342"	"374"	"5096"	"5981"	"656"	"527"	"1177"	"1714"	"3876"	"409"	"289"	"511"	"640"	"87586"	"0"	"87586"	""
"246"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"249"	"B.F."	"4361"	"20282"	"3160"	"7279"	"29184"	"474"	"293"	"336"	"625"	"342"	"374"	"5096"	"5981"	"656"	"527"	"1177"	"1714"	"3876"	"409"	"289"	"511"	"640"	"87586"	"0"	"87586"	""
"250"	"181"	"19"	"119"	"13"	"4"	"135"	"7"	"1"	"2"	"2"	"1"	"3"	"106"	"3"	"5"	"3"	"12"	"2"	"5"	"2"	"0"	"3"	"3"	"450"	"0"	"450"	""
"251"	"182"	"11"	"214"	"13"	"44"	"113"	"2"	"0"	"4"	"3"	"2"	"2"	"64"	"4"	"1"	"2"	"1"	"7"	"6"	"4"	"0"	"4"	"2"	"503"	"0"	"503"	""
"252"	"183"	"17"	"94"	"4"	"16"	"113"	"2"	"2"	"2"	"4"	"0"	"0"	"58"	"0"	"1"	"0"	"0"	"1"	"6"	"1"	"0"	"0"	"2"	"323"	"0"	"323"	""
"253"	"184"	"35"	"64"	"3"	"59"	"84"	"5"	"2"	"7"	"4"	"2"	"3"	"159"	"3"	"3"	"4"	"16"	"3"	"20"	"1"	"0"	"0"	"0"	"477"	"0"	"477"	""
"254"	"185"	"17"	"169"	"11"	"14"	"154"	"4"	"5"	"5"	"7"	"3"	"2"	"74"	"10"	"6"	"7"	"53"	"11"	"66"	"2"	"5"	"3"	"7"	"635"	"0"	"635"	""
"255"	"186"	"113"	"96"	"9"	"22"	"229"	"6"	"3"	"4"	"8"	"12"	"3"	"110"	"7"	"6"	"9"	"29"	"7"	"7"	"0"	"3"	"6"	"8"	"697"	"0"	"697"	""
"256"	"187"	"16"	"269"	"9"	"44"	"77"	"4"	"0"	"7"	"6"	"4"	"4"	"126"	"7"	"15"	"11"	"17"	"4"	"15"	"2"	"3"	"5"	"6"	"651"	"0"	"651"	""
"257"	"188"	"12"	"100"	"7"	"9"	"175"	"3"	"0"	"6"	"7"	"5"	"7"	"114"	"4"	"3"	"3"	"5"	"1"	"22"	"0"	"1"	"4"	"7"	"495"	"0"	"495"	""
"258"	"189"	"25"	"89"	"10"	"8"	"177"	"5"	"2"	"1"	"3"	"1"	"1"	"73"	"5"	"1"	"1"	"3"	"4"	"3"	"0"	"1"	"4"	"3"	"420"	"0"	"420"	""
"259"	"190"	"18"	"280"	"13"	"18"	"155"	"6"	"2"	"3"	"6"	"2"	"3"	"104"	"1"	"4"	"4"	"18"	"0"	"10"	"0"	"0"	"0"	"7"	"654"	"0"	"654"	""
"260"	"191"	"19"	"78"	"1"	"4"	"55"	"2"	"1"	"0"	"0"	"1"	"1"	"3"	"4"	"2"	"4"	"1"	"1"	"25"	"0"	"0"	"5"	"0"	"207"	"0"	"207"	""
"261"	"192"	"61"	"125"	"8"	"22"	"221"	"4"	"3"	"1"	"3"	"1"	"4"	"41"	"3"	"4"	"3"	"6"	"10"	"12"	"2"	"2"	"1"	"12"	"549"	"0"	"549"	""
"262"	"193"	"22"	"37"	"8"	"8"	"195"	"2"	"3"	"4"	"2"	"1"	"3"	"29"	"5"	"1"	"3"	"3"	"8"	"6"	"1"	"2"	"3"	"6"	"352"	"0"	"352"	""
"263"	"194"	"15"	"31"	"12"	"21"	"246"	"8"	"1"	"5"	"7"	"1"	"1"	"10"	"5"	"2"	"4"	"6"	"5"	"11"	"1"	"1"	"2"	"1"	"396"	"0"	"396"	""
"264"	"TOTAL"	"4761"	"22047"	"3281"	"7572"	"31313"	"534"	"318"	"387"	"687"	"378"	"411"	"6167"	"6042"	"710"	"585"	"1347"	"1778"	"4090"	"425"	"307"	"551"	"704"	"94395"	"0"	"94395"	""
"265"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"267"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"268"	"B.F."	"4761"	"22047"	"3281"	"7572"	"31313"	"534"	"318"	"387"	"687"	"378"	"411"	"6167"	"6042"	"710"	"585"	"1347"	"1778"	"4090"	"425"	"307"	"551"	"704"	"94395"	"0"	"94395"	""
"269"	"195"	"35"	"28"	"9"	"2"	"196"	"7"	"0"	"3"	"4"	"2"	"2"	"89"	"0"	"2"	"2"	"9"	"1"	"8"	"1"	"0"	"1"	"6"	"407"	"0"	"407"	""
"270"	"196"	"18"	"367"	"18"	"13"	"222"	"4"	"1"	"4"	"0"	"3"	"3"	"19"	"4"	"7"	"7"	"3"	"3"	"2"	"0"	"2"	"6"	"3"	"709"	"0"	"709"	""
"271"	"197"	"15"	"62"	"6"	"15"	"107"	"3"	"6"	"2"	"2"	"7"	"8"	"222"	"0"	"4"	"3"	"16"	"1"	"1"	"1"	"1"	"7"	"2"	"491"	"0"	"491"	""
"272"	"198"	"8"	"50"	"4"	"7"	"53"	"6"	"3"	"6"	"0"	"7"	"3"	"95"	"6"	"2"	"6"	"3"	"7"	"218"	"2"	"1"	"11"	"2"	"500"	"0"	"500"	""
"273"	"199"	"12"	"74"	"7"	"10"	"172"	"3"	"2"	"0"	"6"	"7"	"3"	"105"	"3"	"4"	"3"	"2"	"2"	"2"	"1"	"1"	"0"	"3"	"422"	"0"	"422"	""
"274"	"200"	"14"	"199"	"7"	"14"	"88"	"5"	"2"	"3"	"1"	"3"	"3"	"100"	"8"	"1"	"3"	"7"	"1"	"9"	"1"	"1"	"1"	"0"	"471"	"0"	"471"	""
"275"	"201"	"8"	"121"	"9"	"6"	"127"	"3"	"1"	"3"	"7"	"4"	"6"	"99"	"3"	"5"	"5"	"9"	"4"	"6"	"0"	"0"	"6"	"7"	"439"	"0"	"439"	""
"276"	"202"	"15"	"23"	"8"	"1"	"48"	"1"	"1"	"3"	"0"	"3"	"0"	"58"	"4"	"2"	"2"	"3"	"3"	"4"	"1"	"1"	"2"	"5"	"188"	"0"	"188"	""
"277"	"203"	"12"	"11"	"8"	"3"	"99"	"1"	"0"	"0"	"2"	"1"	"0"	"77"	"0"	"2"	"1"	"0"	"3"	"5"	"0"	"0"	"1"	"0"	"226"	"0"	"226"	""
"278"	"204"	"24"	"32"	"8"	"7"	"220"	"3"	"3"	"3"	"2"	"5"	"2"	"36"	"11"	"2"	"4"	"11"	"2"	"4"	"3"	"4"	"8"	"5"	"399"	"0"	"399"	""
"279"	"205"	"17"	"97"	"12"	"22"	"190"	"5"	"4"	"6"	"5"	"14"	"6"	"128"	"6"	"10"	"6"	"21"	"4"	"3"	"6"	"2"	"6"	"4"	"574"	"0"	"574"	""
"280"	"206"	"21"	"52"	"9"	"7"	"126"	"3"	"0"	"1"	"2"	"8"	"10"	"59"	"10"	"15"	"7"	"23"	"1"	"7"	"3"	"1"	"3"	"3"	"371"	"0"	"371"	""
"281"	"207"	"33"	"21"	"4"	"2"	"201"	"0"	"0"	"1"	"1"	"2"	"1"	"10"	"2"	"2"	"0"	"6"	"2"	"3"	"1"	"1"	"2"	"3"	"298"	"0"	"298"	""
"282"	"208"	"18"	"72"	"2"	"8"	"147"	"4"	"2"	"5"	"3"	"6"	"10"	"151"	"10"	"11"	"3"	"23"	"7"	"1"	"5"	"2"	"13"	"9"	"512"	"0"	"512"	""
"283"	"TOTAL"	"5011"	"23256"	"3392"	"7689"	"33309"	"582"	"343"	"427"	"722"	"450"	"468"	"7415"	"6109"	"779"	"637"	"1483"	"1819"	"4363"	"450"	"324"	"618"	"756"	"100402"	"0"	"100402"	""
"284"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"286"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"287"	"B.F."	"5011"	"23256"	"3392"	"7689"	"33309"	"582"	"343"	"427"	"722"	"450"	"468"	"7415"	"6109"	"779"	"637"	"1483"	"1819"	"4363"	"450"	"324"	"618"	"756"	"100402"	"0"	"100402"	""
"288"	"209"	"30"	"211"	"17"	"7"	"180"	"5"	"3"	"4"	"4"	"5"	"10"	"31"	"6"	"8"	"8"	"19"	"3"	"6"	"1"	"0"	"2"	"2"	"562"	"0"	"562"	""
"289"	"210"	"41"	"53"	"9"	"18"	"128"	"1"	"2"	"5"	"10"	"2"	"6"	"138"	"4"	"7"	"7"	"14"	"3"	"4"	"1"	"1"	"4"	"4"	"462"	"0"	"462"	""
"290"	"211"	"20"	"334"	"10"	"3"	"131"	"1"	"4"	"2"	"3"	"5"	"2"	"118"	"5"	"7"	"5"	"3"	"9"	"15"	"7"	"5"	"8"	"14"	"711"	"0"	"711"	""
"291"	"212"	"41"	"236"	"10"	"6"	"107"	"4"	"3"	"4"	"1"	"7"	"2"	"196"	"3"	"9"	"0"	"1"	"6"	"5"	"4"	"2"	"4"	"13"	"664"	"0"	"664"	""
"292"	"213"	"11"	"176"	"13"	"7"	"315"	"5"	"3"	"2"	"2"	"0"	"2"	"49"	"5"	"4"	"1"	"4"	"15"	"11"	"4"	"3"	"12"	"8"	"652"	"0"	"652"	""
"293"	"214"	"21"	"82"	"8"	"9"	"387"	"4"	"2"	"1"	"3"	"4"	"3"	"15"	"1"	"2"	"3"	"1"	"29"	"10"	"3"	"3"	"16"	"20"	"627"	"0"	"627"	""
"294"	"215"	"26"	"42"	"16"	"13"	"569"	"5"	"0"	"1"	"3"	"5"	"12"	"25"	"3"	"5"	"2"	"6"	"4"	"2"	"0"	"0"	"7"	"4"	"750"	"0"	"750"	""
"295"	"216"	"19"	"237"	"20"	"4"	"326"	"6"	"3"	"7"	"5"	"6"	"5"	"14"	"6"	"8"	"7"	"8"	"9"	"7"	"27"	"0"	"5"	"11"	"740"	"0"	"740"	""
"296"	"217"	"36"	"126"	"12"	"4"	"146"	"7"	"1"	"3"	"4"	"7"	"4"	"134"	"4"	"8"	"6"	"16"	"5"	"4"	"1"	"0"	"8"	"4"	"540"	"0"	"540"	""
"297"	"218"	"84"	"122"	"9"	"4"	"56"	"2"	"1"	"4"	"2"	"7"	"5"	"160"	"7"	"4"	"3"	"2"	"17"	"35"	"4"	"4"	"3"	"13"	"548"	"0"	"548"	""
"298"	"219"	"9"	"94"	"6"	"6"	"262"	"3"	"1"	"2"	"2"	"2"	"2"	"11"	"1"	"3"	"1"	"8"	"14"	"15"	"0"	"6"	"6"	"7"	"461"	"0"	"461"	""
"299"	"220"	"20"	"134"	"7"	"5"	"171"	"2"	"1"	"3"	"2"	"1"	"4"	"20"	"5"	"12"	"2"	"4"	"1"	"5"	"2"	"3"	"1"	"8"	"413"	"0"	"413"	""
"300"	"221"	"6"	"72"	"22"	"5"	"376"	"2"	"2"	"0"	"4"	"1"	"1"	"6"	"3"	"2"	"1"	"3"	"1"	"21"	"1"	"3"	"4"	"3"	"539"	"0"	"539"	""
"301"	"222"	"10"	"72"	"32"	"29"	"215"	"5"	"2"	"3"	"9"	"3"	"5"	"34"	"5"	"6"	"6"	"7"	"3"	"4"	"3"	"0"	"3"	"6"	"462"	"0"	"462"	""
"302"	"TOTAL"	"5385"	"25247"	"3583"	"7809"	"36678"	"634"	"371"	"468"	"776"	"505"	"531"	"8366"	"6167"	"864"	"689"	"1579"	"1938"	"4507"	"508"	"354"	"701"	"873"	"108533"	"0"	"108533"	""
"303"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"305"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"306"	"B.F."	"5385"	"25247"	"3583"	"7809"	"36678"	"634"	"371"	"468"	"776"	"505"	"531"	"8366"	"6167"	"864"	"689"	"1579"	"1938"	"4507"	"508"	"354"	"701"	"873"	"108533"	"0"	"108533"	""
"307"	"223"	"5"	"22"	"127"	"36"	"262"	"5"	"7"	"1"	"6"	"6"	"9"	"90"	"15"	"6"	"4"	"5"	"3"	"8"	"2"	"1"	"4"	"2"	"626"	"0"	"626"	""
"308"	"224"	"7"	"48"	"39"	"6"	"224"	"9"	"6"	"8"	"7"	"3"	"6"	"56"	"5"	"4"	"3"	"6"	"0"	"11"	"0"	"2"	"9"	"9"	"468"	"0"	"468"	""
"309"	"225"	"12"	"196"	"12"	"1"	"120"	"1"	"1"	"5"	"4"	"1"	"4"	"35"	"5"	"9"	"5"	"7"	"3"	"8"	"1"	"6"	"2"	"5"	"443"	"0"	"443"	""
"310"	"226"	"26"	"169"	"33"	"4"	"211"	"5"	"3"	"5"	"1"	"3"	"7"	"96"	"3"	"2"	"2"	"4"	"1"	"2"	"0"	"0"	"3"	"0"	"580"	"0"	"580"	""
"311"	"227"	"122"	"181"	"7"	"80"	"106"	"5"	"0"	"1"	"0"	"0"	"0"	"19"	"3"	"3"	"0"	"3"	"8"	"8"	"2"	"1"	"2"	"3"	"554"	"0"	"554"	""
"312"	"228"	"12"	"30"	"4"	"6"	"54"	"3"	"2"	"1"	"4"	"3"	"5"	"167"	"2"	"2"	"2"	"5"	"6"	"1"	"2"	"1"	"1"	"2"	"315"	"0"	"315"	""
"313"	"229"	"41"	"62"	"11"	"21"	"181"	"4"	"1"	"5"	"5"	"2"	"2"	"32"	"8"	"10"	"4"	"13"	"0"	"64"	"4"	"2"	"4"	"3"	"479"	"0"	"479"	""
"314"	"230"	"23"	"66"	"99"	"70"	"84"	"4"	"3"	"3"	"4"	"7"	"4"	"104"	"4"	"9"	"3"	"20"	"6"	"22"	"2"	"2"	"3"	"7"	"549"	"0"	"549"	""
"315"	"231"	"51"	"73"	"52"	"7"	"175"	"2"	"0"	"3"	"1"	"1"	"1"	"35"	"3"	"0"	"3"	"5"	"4"	"27"	"4"	"2"	"1"	"4"	"454"	"0"	"454"	""
"316"	"232"	"26"	"173"	"23"	"4"	"140"	"3"	"0"	"0"	"4"	"4"	"2"	"20"	"1"	"5"	"1"	"2"	"5"	"14"	"5"	"0"	"1"	"5"	"438"	"0"	"438"	""
"317"	"233"	"5"	"154"	"11"	"17"	"97"	"2"	"1"	"2"	"3"	"0"	"3"	"23"	"11"	"7"	"3"	"9"	"7"	"6"	"1"	"1"	"1"	"4"	"368"	"0"	"368"	""
"318"	"234"	"6"	"215"	"3"	"2"	"19"	"0"	"0"	"2"	"0"	"0"	"1"	"35"	"2"	"3"	"2"	"3"	"0"	"6"	"0"	"0"	"0"	"2"	"301"	"0"	"301"	""
"319"	"235"	"32"	"201"	"60"	"22"	"93"	"3"	"0"	"0"	"1"	"2"	"0"	"42"	"4"	"5"	"2"	"3"	"3"	"2"	"0"	"0"	"0"	"9"	"484"	"0"	"484"	""
"320"	"236"	"42"	"108"	"12"	"5"	"220"	"5"	"0"	"4"	"1"	"3"	"5"	"129"	"10"	"5"	"4"	"12"	"1"	"1"	"0"	"0"	"1"	"1"	"569"	"0"	"569"	""
"321"	"TOTAL"	"5795"	"26945"	"4076"	"8090"	"38664"	"685"	"395"	"508"	"817"	"540"	"580"	"9249"	"6243"	"934"	"727"	"1676"	"1985"	"4687"	"531"	"372"	"733"	"929"	"115161"	"0"	"115161"	""
"322"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"324"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"325"	"B.F."	"5795"	"26945"	"4076"	"8090"	"38664"	"685"	"395"	"508"	"817"	"540"	"580"	"9249"	"6243"	"934"	"727"	"1676"	"1985"	"4687"	"531"	"372"	"733"	"929"	"115161"	"0"	"115161"	""
"326"	"237"	"17"	"16"	"0"	"2"	"13"	"0"	"0"	"2"	"0"	"0"	"1"	"8"	"0"	"2"	"1"	"1"	"0"	"135"	"1"	"1"	"1"	"1"	"202"	"0"	"202"	""
"327"	"238"	"11"	"227"	"18"	"10"	"109"	"9"	"7"	"11"	"7"	"3"	"3"	"8"	"20"	"16"	"9"	"22"	"6"	"79"	"2"	"1"	"4"	"11"	"593"	"0"	"593"	""
"328"	"239"	"12"	"61"	"22"	"50"	"207"	"8"	"4"	"5"	"7"	"3"	"10"	"22"	"157"	"5"	"6"	"24"	"11"	"13"	"0"	"6"	"6"	"10"	"649"	"0"	"649"	""
