"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"101&  xksi kxat   fo/kku  l Hkk fuokZpu {ks= l s fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"306"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"307"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"308"	"208"	"7"	"425"	"7"	"65"	"4"	"2"	"3"	"0"	"1"	"1"	"3"	"12"	"2"	"532"	"0"	"532"	""
"309"	"209"	"35"	"382"	"7"	"144"	"13"	"3"	"1"	"3"	"2"	"8"	"6"	"9"	"23"	"636"	"0"	"636"	""
"310"	"210"	"20"	"438"	"10"	"92"	"4"	"3"	"4"	"2"	"4"	"4"	"3"	"23"	"23"	"630"	"0"	"630"	""
"311"	"211"	"41"	"55"	"13"	"346"	"44"	"4"	"2"	"7"	"6"	"7"	"5"	"0"	"7"	"537"	"0"	"537"	""
"312"	"212"	"17"	"149"	"12"	"90"	"19"	"2"	"1"	"14"	"4"	"3"	"4"	"14"	"8"	"337"	"0"	"337"	""
"313"	"213"	"33"	"345"	"23"	"353"	"13"	"7"	"3"	"15"	"9"	"7"	"18"	"29"	"30"	"885"	"0"	"885"	""
"314"	"214"	"14"	"548"	"2"	"59"	"3"	"2"	"2"	"2"	"1"	"1"	"2"	"9"	"6"	"651"	"0"	"651"	""
"315"	"215"	"11"	"205"	"10"	"56"	"5"	"4"	"3"	"3"	"2"	"1"	"2"	"6"	"7"	"315"	"0"	"315"	""
"316"	"216"	"17"	"285"	"8"	"34"	"1"	"3"	"1"	"0"	"3"	"1"	"1"	"7"	"6"	"367"	"0"	"367"	""
"317"	"217"	"28"	"198"	"2"	"212"	"8"	"3"	"1"	"3"	"4"	"9"	"3"	"17"	"20"	"508"	"0"	"508"	""
"318"	"218"	"12"	"477"	"4"	"37"	"2"	"1"	"0"	"4"	"1"	"1"	"1"	"18"	"10"	"568"	"0"	"568"	""
"319"	"219"	"16"	"396"	"6"	"104"	"4"	"0"	"0"	"3"	"5"	"5"	"3"	"12"	"8"	"562"	"0"	"562"	""
"320"	"220"	"34"	"74"	"6"	"405"	"15"	"6"	"2"	"6"	"13"	"10"	"4"	"18"	"19"	"612"	"0"	"612"	""
"321"	"221"	"15"	"238"	"5"	"157"	"2"	"2"	"1"	"0"	"3"	"5"	"3"	"15"	"6"	"452"	"0"	"452"	""
"322"	"; ksx"	"300"	"4215"	"115"	"2154"	"137"	"42"	"24"	"62"	"58"	"63"	"58"	"189"	"175"	"7592"	"0"	"7592"	""
"323"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"7024"	"32876"	"3238"	"46682"	"2254"	"658"	"554"	"917"	"997"	"922"	"878"	"2427"	"2184"	"101611"	"0"	"101611"	""
"324"	"d qy  ; ksx"	"7324"	"37091"	"3353"	"48836"	"2391"	"700"	"578"	"979"	"1055"	"985"	"936"	"2616"	"2359"	"109203"	"0"	"109203"	""
"325"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"326"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"327"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"328"	"222"	"66"	"66"	"15"	"291"	"19"	"1"	"7"	"5"	"8"	"7"	"0"	"5"	"11"	"501"	"0"	"501"	""
"329"	"223"	"58"	"117"	"3"	"229"	"5"	"5"	"2"	"3"	"5"	"10"	"7"	"18"	"16"	"478"	"0"	"478"	""
"330"	"224"	"14"	"160"	"6"	"355"	"6"	"5"	"4"	"1"	"7"	"3"	"6"	"16"	"19"	"602"	"0"	"602"	""
"331"	"225"	"36"	"87"	"4"	"302"	"5"	"6"	"0"	"2"	"2"	"3"	"6"	"2"	"7"	"462"	"0"	"462"	""
"332"	"226"	"35"	"105"	"5"	"265"	"8"	"3"	"3"	"3"	"4"	"2"	"5"	"11"	"3"	"452"	"0"	"452"	""
"333"	"227"	"11"	"158"	"8"	"285"	"6"	"4"	"4"	"2"	"5"	"2"	"3"	"8"	"12"	"508"	"0"	"508"	""
"334"	"228"	"27"	"133"	"5"	"233"	"11"	"4"	"2"	"8"	"9"	"7"	"7"	"10"	"31"	"487"	"0"	"487"	""
"335"	"229"	"16"	"213"	"6"	"173"	"13"	"4"	"2"	"8"	"10"	"10"	"10"	"40"	"41"	"546"	"0"	"546"	""
"336"	"230"	"19"	"93"	"15"	"302"	"19"	"9"	"7"	"6"	"10"	"4"	"8"	"10"	"17"	"519"	"0"	"519"	""
"337"	"231"	"31"	"110"	"15"	"435"	"18"	"3"	"3"	"4"	"6"	"16"	"8"	"15"	"14"	"678"	"0"	"678"	""
"338"	"232"	"20"	"425"	"3"	"11"	"1"	"1"	"3"	"0"	"0"	"2"	"0"	"18"	"12"	"496"	"0"	"496"	""
"339"	"233"	"19"	"110"	"2"	"210"	"13"	"2"	"6"	"4"	"5"	"3"	"1"	"6"	"2"	"383"	"0"	"383"	""
"340"	"234"	"30"	"3"	"6"	"182"	"10"	"2"	"4"	"2"	"6"	"3"	"5"	"1"	"3"	"257"	"0"	"257"	""
"341"	"235"	"21"	"179"	"11"	"259"	"9"	"6"	"5"	"3"	"1"	"6"	"10"	"11"	"4"	"525"	"0"	"525"	""
"342"	"; ksx"	"403"	"1959"	"104"	"3532"	"143"	"55"	"52"	"51"	"78"	"78"	"76"	"171"	"192"	"6894"	"0"	"6894"	""
"343"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"7324"	"37091"	"3353"	"48836"	"2391"	"700"	"578"	"979"	"1055"	"985"	"936"	"2616"	"2359"	"109203"	"0"	"109203"	""
"344"	"d qy  ; ksx"	"7727"	"39050"	"3457"	"52368"	"2534"	"755"	"630"	"1030"	"1133"	"1063"	"1012"	"2787"	"2551"	"116097"	"0"	"116097"	""
"345"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"346"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"347"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"348"	"236"	"16"	"127"	"4"	"151"	"4"	"1"	"1"	"1"	"4"	"4"	"1"	"6"	"1"	"321"	"0"	"321"	""
"349"	"237"	"54"	"267"	"39"	"442"	"14"	"3"	"8"	"2"	"6"	"17"	"14"	"30"	"0"	"896"	"0"	"896"	""
"350"	"238"	"7"	"25"	"6"	"344"	"14"	"3"	"4"	"4"	"7"	"7"	"1"	"3"	"8"	"433"	"0"	"433"	""
"351"	"239"	"56"	"73"	"6"	"331"	"5"	"0"	"3"	"1"	"6"	"5"	"3"	"8"	"4"	"501"	"0"	"501"	""
"352"	"240"	"33"	"245"	"14"	"311"	"11"	"2"	"4"	"4"	"5"	"9"	"5"	"9"	"13"	"665"	"0"	"665"	""
"353"	"241"	"11"	"196"	"14"	"387"	"17"	"0"	"2"	"7"	"3"	"9"	"4"	"18"	"8"	"676"	"0"	"676"	""
"354"	"242"	"17"	"345"	"9"	"126"	"6"	"2"	"4"	"9"	"1"	"1"	"2"	"9"	"3"	"534"	"0"	"534"	""
"355"	"243"	"5"	"114"	"36"	"279"	"15"	"3"	"4"	"1"	"5"	"7"	"6"	"11"	"21"	"507"	"0"	"507"	""
"356"	"244"	"12"	"80"	"9"	"251"	"9"	"2"	"0"	"0"	"5"	"13"	"6"	"6"	"10"	"403"	"0"	"403"	""
"357"	"245"	"8"	"260"	"19"	"64"	"4"	"2"	"0"	"0"	"0"	"2"	"0"	"12"	"2"	"373"	"0"	"373"	""
"358"	"246"	"11"	"91"	"28"	"90"	"3"	"2"	"1"	"1"	"0"	"4"	"3"	"6"	"8"	"248"	"0"	"248"	""
"359"	"247"	"39"	"146"	"12"	"270"	"6"	"0"	"4"	"2"	"0"	"1"	"0"	"6"	"9"	"495"	"0"	"495"	""
"360"	"248"	"27"	"101"	"16"	"149"	"5"	"3"	"0"	"0"	"1"	"4"	"1"	"5"	"9"	"321"	"0"	"321"	""
"361"	"249"	"14"	"67"	"30"	"178"	"9"	"4"	"0"	"2"	"3"	"8"	"1"	"6"	"3"	"325"	"0"	"325"	""
"362"	"; ksx"	"310"	"2137"	"242"	"3373"	"122"	"27"	"35"	"34"	"46"	"91"	"47"	"135"	"99"	"6698"	"0"	"6698"	""
"363"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"7727"	"39050"	"3457"	"52368"	"2534"	"755"	"630"	"1030"	"1133"	"1063"	"1012"	"2787"	"2551"	"116097"	"0"	"116097"	""
"364"	"d qy  ; ksx"	"8037"	"41187"	"3699"	"55741"	"2656"	"782"	"665"	"1064"	"1179"	"1154"	"1059"	"2922"	"2650"	"122795"	"0"	"122795"	""
"365"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"366"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"367"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"368"	"250"	"2"	"64"	"67"	"260"	"7"	"3"	"2"	"5"	"6"	"17"	"8"	"14"	"32"	"487"	"0"	"487"	""
"369"	"251"	"16"	"98"	"75"	"239"	"1"	"3"	"2"	"1"	"3"	"8"	"4"	"10"	"15"	"475"	"0"	"475"	""
"370"	"252"	"24"	"188"	"5"	"199"	"2"	"1"	"2"	"1"	"1"	"5"	"3"	"11"	"13"	"455"	"0"	"455"	""
"371"	"253"	"21"	"102"	"49"	"41"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"9"	"5"	"231"	"0"	"231"	""
"372"	"254"	"76"	"33"	"7"	"371"	"20"	"3"	"3"	"1"	"4"	"10"	"6"	"4"	"19"	"557"	"0"	"557"	""
"373"	"255"	"43"	"27"	"2"	"208"	"4"	"1"	"2"	"1"	"0"	"2"	"2"	"3"	"1"	"296"	"0"	"296"	""
"374"	"256"	"108"	"90"	"2"	"160"	"5"	"2"	"2"	"0"	"4"	"8"	"3"	"16"	"23"	"423"	"0"	"423"	""
"375"	"257"	"29"	"84"	"5"	"480"	"16"	"2"	"4"	"4"	"2"	"13"	"2"	"18"	"19"	"678"	"0"	"678"	""
"376"	"258"	"46"	"156"	"64"	"121"	"7"	"8"	"3"	"7"	"10"	"17"	"11"	"23"	"21"	"494"	"0"	"494"	""
"377"	"259"	"81"	"37"	"50"	"122"	"6"	"3"	"2"	"2"	"2"	"2"	"4"	"6"	"10"	"327"	"0"	"327"	""
"378"	"; ksx"	"446"	"879"	"326"	"2201"	"69"	"27"	"27"	"22"	"33"	"83"	"43"	"114"	"158"	"4423"	"0"	"4423"	""
"379"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"8037"	"41187"	"3699"	"55741"	"2656"	"782"	"665"	"1064"	"1179"	"1154"	"1059"	"2922"	"2650"	"122795"	"0"	"122795"	""
"380"	"d qy  ; ksx"	"8483"	"42066"	"4025"	"57942"	"2725"	"809"	"687"	"1086"	"1212"	"1237"	"1102"	"3036"	"2808"	"127218"	"0"	"127218"	""
"381"	"Mkd  er i =ksa
i j
vfHkfyf[ kr er ksa dh
l a[ ; k"	"5"	"51"	"0"	"68"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"126"	"7"	"133"	""
"382"	"Mkys x; s
dqy  er"	"8488"	"42117"	"4025"	"58010"	"2726"	"809"	"687"	"1086"	"1213"	"1237"	"1102"	"3036"	"2808"	"127344"	"7"	"127351"	""
"383"	"fuokZph  i nkf/kd kj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"101&  xksi ky xat   fo/kku  l Hkk  {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
