"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X243458.102.243560.35.Bisfi"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"313"	"207"	"44"	"455"	"3"	"1"	"84"	"3"	"1"	"0"	"5"	"3"	"0"	"1"	"3"	"6"	"8"	"617"	""	"617"	""
"314"	"208"	"27"	"146"	"10"	"9"	"186"	"10"	"2"	"1"	"13"	"2"	"3"	"1"	"2"	"0"	"17"	"429"	""	"429"	""
"315"	"209"	"41"	"320"	"9"	"7"	"226"	"11"	"7"	"5"	"5"	"7"	"3"	"1"	"2"	"7"	"15"	"666"	""	"666"	""
"316"	"210"	"46"	"211"	"3"	"2"	"299"	"12"	"5"	"8"	"3"	"5"	"4"	"4"	"4"	"10"	"12"	"628"	""	"628"	""
"317"	"211"	"56"	"321"	"2"	"6"	"54"	"10"	"4"	"3"	"3"	"2"	"6"	"3"	"5"	"11"	"8"	"494"	""	"494"	""
"318"	"Total -16"	"447"	"2434"	"41"	"48"	"2150"	"1336"	"71"	"47"	"64"	"46"	"33"	"32"	"36"	"85"	"162"	"7032"	"0"	"7032"	"0"
"319"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"321"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"323"	"B.F."	"7631"	"43099"	"1303"	"768"	"33924"	"6989"	"882"	"972"	"823"	"941"	"794"	"2141"	"709"	"1105"	"3111"	"105192"	"0"	"105192"	"0"
"324"	"211A"	"14"	"77"	"2"	"1"	"80"	"6"	"0"	"3"	"0"	"3"	"2"	"3"	"2"	"2"	"5"	"200"	""	"200"	""
"325"	"212"	"40"	"360"	"12"	"7"	"152"	"28"	"5"	"8"	"2"	"3"	"2"	"1"	"8"	"5"	"9"	"642"	""	"642"	""
"326"	"213"	"11"	"280"	"15"	"4"	"93"	"8"	"4"	"7"	"1"	"2"	"8"	"9"	"93"	"20"	"20"	"575"	""	"575"	""
"327"	"214"	"5"	"129"	"1"	"1"	"151"	"3"	"2"	"0"	"2"	"0"	"0"	"1"	"135"	"0"	"3"	"433"	""	"433"	""
"328"	"215"	"9"	"50"	"4"	"3"	"199"	"4"	"4"	"2"	"3"	"1"	"9"	"4"	"0"	"3"	"12"	"307"	""	"307"	""
"329"	"216"	"13"	"321"	"4"	"11"	"224"	"8"	"2"	"9"	"2"	"5"	"3"	"2"	"4"	"4"	"11"	"623"	""	"623"	""
"330"	"217"	"40"	"28"	"4"	"7"	"443"	"13"	"6"	"13"	"3"	"10"	"20"	"7"	"18"	"7"	"22"	"641"	""	"641"	""
"331"	"218"	"59"	"94"	"3"	"7"	"210"	"13"	"6"	"8"	"4"	"8"	"10"	"35"	"6"	"10"	"12"	"485"	""	"485"	""
"332"	"218A"	"5"	"73"	"6"	"1"	"44"	"5"	"2"	"7"	"2"	"5"	"6"	"75"	"26"	"14"	"23"	"294"	""	"294"	""
"333"	"219"	"37"	"452"	"5"	"2"	"36"	"7"	"1"	"1"	"2"	"1"	"1"	"2"	"3"	"8"	"10"	"568"	""	"568"	""
"334"	"220"	"40"	"384"	"6"	"5"	"188"	"6"	"1"	"4"	"2"	"0"	"4"	"1"	"2"	"5"	"6"	"654"	""	"654"	""
"335"	"221"	"41"	"435"	"7"	"1"	"5"	"8"	"0"	"1"	"3"	"1"	"1"	"2"	"2"	"10"	"8"	"525"	""	"525"	""
"336"	"222"	"10"	"137"	"1"	"4"	"245"	"6"	"4"	"9"	"3"	"2"	"7"	"3"	"7"	"2"	"22"	"462"	""	"462"	""
"337"	"223"	"8"	"73"	"2"	"2"	"159"	"3"	"1"	"2"	"1"	"3"	"3"	"2"	"11"	"3"	"13"	"286"	""	"286"	""
"338"	"Total -17"	"332"	"2893"	"72"	"56"	"2229"	"118"	"38"	"74"	"30"	"44"	"76"	"147"	"317"	"93"	"176"	"6695"	"0"	"6695"	"0"
"339"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"341"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"342"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"343"	"B.F."	"7963"	"45992"	"1375"	"824"	"36153"	"7107"	"920"	"1046"	"853"	"985"	"870"	"2288"	"1026"	"1198"	"3287"	"111887"	"0"	"111887"	"0"
"344"	"224"	"18"	"337"	"2"	"2"	"94"	"5"	"2"	"4"	"1"	"0"	"1"	"4"	"3"	"5"	"11"	"489"	""	"489"	""
"345"	"225"	"13"	"361"	"6"	"3"	"285"	"31"	"4"	"12"	"5"	"3"	"4"	"5"	"12"	"4"	"7"	"755"	""	"755"	""
"346"	"226"	"13"	"85"	"6"	"2"	"187"	"21"	"1"	"8"	"2"	"1"	"5"	"0"	"3"	"4"	"14"	"352"	""	"352"	""
"347"	"227"	"11"	"21"	"2"	"2"	"488"	"17"	"2"	"12"	"8"	"4"	"9"	"8"	"9"	"4"	"19"	"616"	""	"616"	""
"348"	"228"	"9"	"54"	"6"	"4"	"329"	"13"	"4"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"7"	"433"	""	"433"	""
"349"	"229"	"20"	"140"	"2"	"0"	"20"	"3"	"19"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"212"	""	"212"	""
"350"	"229A"	"17"	"179"	"9"	"5"	"112"	"7"	"3"	"8"	"1"	"1"	"1"	"1"	"3"	"3"	"11"	"361"	""	"361"	""
"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"353"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"358"	"Total -18"	"101"	"1177"	"33"	"18"	"1515"	"97"	"35"	"48"	"18"	"10"	"21"	"21"	"31"	"22"	"71"	"3218"	"0"	"3218"	"0"
"359"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"361"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"362"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"363"	"Total No. of votes recorded at Polling stations"	"8064"	"47169"	"1408"	"842"	"37668"	"7204"	"955"	"1094"	"871"	"995"	"891"	"2309"	"1057"	"1220"	"3358"	"115105"	"0"	"115105"	"0"
"364"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"TOTAL VOTES POLLED"	"8064"	"47169"	"1408"	"842"	"37668"	"7204"	"955"	"1094"	"871"	"995"	"891"	"2309"	"1057"	"1220"	"3358"	"115105"	"0"	"115105"	"0"
