"er.nku.dsUnz.l.a....k"	"t.xekr.ks.nsoh"	"uSeqy..gd..fl.Ì.hdh"	"i.zHkwukFk.fl.ag"	"fot......kadj..nwcs"	"fcuksn.dqekj..fl.ag"	"eksgEen.vl.xj"	"vkse.i.zdk..k...kno"	"vmu.vyh"	"t.kosn.csx"	"i.j.egal...feJk"	"cy.sUnz.dqekj..j.k."	"j.ke.uj.s..k.i.f.Mr"	"fcfi.u.fcgkj.h.fl.ag"	"vfuy....kno"	"mes..k.l.kg"	"doy....kno"	"t....i.zdk..k...kno"	"i.j.es..oj..fl.ag"	"foÿek.i.zl.kn"	"fot....dqekj..fl.ag"	"fczt.s..k.dqekj..j.k."	"l.R..nso.fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"390"	209	2	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	273	1	1	1	0	282	NA	NA	NA
"391"	210	155	5	5	17	97	10	8	4	3	3	5	13	0	10	9	32	26	43	10	7	5	8	475	NA	NA	NA
"392"	NA	948	37	52	197	413	33	22	20	77	10	29	66	22	54	39	95	94	652	27	47	19	36	2989	0	0	0
"393"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"394"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"395"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"396"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"397"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"398"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"399"	211	187	4	20	13	38	6	4	1	3	0	1	8	0	4	6	3	23	106	4	9	6	13	459	NA	NA	NA
"400"	212	213	4	3	13	163	5	4	5	4	1	4	12	2	1	5	13	10	16	5	8	5	2	498	NA	NA	NA
"401"	213	78	2	1	9	12	0	0	0	0	4	0	1	1	6	2	3	2	61	0	1	1	1	185	NA	NA	NA
"402"	214	285	10	4	12	80	2	7	4	2	0	6	7	0	3	4	5	4	18	4	3	7	2	469	NA	NA	NA
"403"	215	165	4	1	23	20	0	0	3	1	2	1	2	0	8	2	5	6	41	2	12	5	4	307	NA	NA	NA
"404"	216	229	4	5	2	61	3	1	0	2	1	3	2	2	13	1	4	9	42	5	7	4	6	406	NA	NA	NA
"405"	217	336	9	1	19	120	10	4	3	6	4	12	25	4	44	18	55	59	15	7	7	16	25	799	NA	NA	NA
"406"	218	374	12	9	15	120	7	4	6	7	9	15	27	6	8	13	42	42	21	4	7	10	12	770	NA	NA	NA
"407"	NA	1867	49	44	106	614	33	24	22	25	21	42	84	15	87	51	130	155	320	31	54	54	65	3893	0	0	0
"408"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"409"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"410"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"411"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"412"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"413"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"414"	219	259	0	1	1	1	1	1	1	5	3	2	7	2	16	3	10	17	51	2	12	2	7	404	NA	NA	NA
"415"	NA	106	4	5	8	26	2	3	3	2	0	4	3	1	46	12	6	32	133	6	6	7	15	430	NA	NA	NA
"416"	220	136	4	7	5	24	0	0	2	0	1	4	2	1	9	4	6	11	108	6	15	20	7	372	NA	NA	NA
"417"	221	275	3	4	9	26	3	3	2	4	1	2	9	2	20	9	13	28	85	5	22	4	13	542	NA	NA	NA
"418"	222	288	4	0	3	93	7	5	1	0	2	2	4	4	25	2	7	22	71	4	15	8	1	568	NA	NA	NA
"419"	223	321	5	5	2	34	2	3	6	3	7	7	18	5	127	6	15	16	30	2	11	3	6	634	NA	NA	NA
"420"	224	74	3	8	11	13	1	3	1	5	4	3	11	6	239	13	10	28	41	10	14	3	9	510	NA	NA	NA
"421"	225	321	4	2	49	155	0	1	0	1	0	1	3	1	3	0	13	25	35	4	8	3	8	637	NA	NA	NA
"422"	NA	1780	27	32	88	372	16	19	16	20	18	25	57	22	485	49	80	179	554	39	103	50	66	4097	0	0	0
"423"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"424"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"425"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"426"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"427"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"428"	226	336	7	4	46	43	6	2	0	4	4	2	8	1	5	2	4	3	54	4	3	4	5	547	NA	NA	NA
"429"	227	59	3	2	14	7	2	1	0	0	0	0	1	0	1	0	4	4	9	2	1	0	1	111	NA	NA	NA
"430"	228	107	3	9	85	19	1	1	1	5	1	1	1	1	9	2	5	8	2	2	8	1	5	277	NA	NA	NA
"431"	229	163	1	1	40	96	2	2	0	0	1	1	1	3	3	0	3	4	4	1	3	1	0	330	NA	NA	NA
"432"	NA	160	2	2	54	31	2	2	0	3	0	1	7	3	3	0	4	18	2	4	14	4	9	325	NA	NA	NA
"433"	230	273	1	6	14	149	2	2	0	0	3	3	6	0	7	4	12	32	15	3	5	9	4	550	NA	NA	NA
"434"	231	258	8	1	11	188	7	4	3	13	1	6	14	3	3	6	18	16	2	2	5	9	10	588	NA	NA	NA
"435"	232	163	6	4	21	100	6	1	0	2	2	4	7	3	20	2	17	3	2	0	0	0	2	365	NA	NA	NA
"436"	NA	1519	31	29	285	633	28	15	4	27	12	18	45	14	51	16	67	88	90	18	39	28	36	3093	0	0	0
"437"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"438"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"439"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"440"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"441"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"442"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"443"	233	208	5	1	13	74	2	0	0	4	1	3	5	0	5	1	4	13	3	2	15	3	2	364	NA	NA	NA
"444"	234	236	3	0	4	33	0	0	0	0	2	2	3	0	0	1	10	25	3	2	5	3	12	344	NA	NA	NA
"445"	NA	81	6	2	21	154	8	2	2	5	4	8	15	2	6	4	20	5	1	2	0	6	6	360	NA	NA	NA
"446"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
"447"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
"448"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
"449"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
"450"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
"451"	NA	525	14	3	38	261	10	2	2	9	7	13	23	2	11	6	34	43	7	6	20	12	20	1068	0	0	0
"452"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"453"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"454"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"455"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
