"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 163&csygj  fo/kku   l Hkk fuokZpu {ks= esa fo/kku l Hkk l nL;  ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼l l anh;   vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ 163&csygj  fo/kku l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k 247575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"289"	"257"	"121"	"34"	"5"	"25"	"4"	"4"	"0"	"39"	"4"	"53"	"11"	"12"	"6"	"16"	"334"	"0"	"334"	"0"
"290"	"258"	"330"	"9"	"8"	"20"	"6"	"4"	"2"	"22"	"5"	"20"	"3"	"4"	"6"	"11"	"450"	"0"	"450"	"0"
"291"	"259"	"157"	"156"	"13"	"40"	"8"	"0"	"3"	"63"	"4"	"34"	"6"	"31"	"24"	"25"	"564"	"0"	"564"	"0"
"292"	"260"	"133"	"49"	"62"	"42"	"11"	"3"	"7"	"26"	"3"	"37"	"1"	"49"	"1"	"11"	"435"	"0"	"435"	"0"
"293"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"294"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"295"	"261"	"128"	"31"	"15"	"105"	"10"	"12"	"5"	"51"	"7"	"141"	"10"	"15"	"9"	"22"	"561"	"0"	"561"	"0"
"296"	"262"	"93"	"11"	"4"	"83"	"6"	"3"	"5"	"13"	"3"	"14"	"4"	"4"	"2"	"10"	"255"	"0"	"255"	"0"
"297"	"263"	"264"	"53"	"25"	"74"	"19"	"5"	"11"	"48"	"7"	"82"	"12"	"28"	"9"	"26"	"663"	"0"	"663"	"0"
"298"	"264"	"137"	"7"	"11"	"51"	"6"	"2"	"3"	"34"	"4"	"56"	"4"	"9"	"2"	"6"	"332"	"0"	"332"	"0"
"299"	"265"	"35"	"5"	"4"	"99"	"4"	"1"	"0"	"4"	"1"	"6"	"0"	"2"	"1"	"6"	"168"	"0"	"168"	"0"
"300"	"266"	"151"	"16"	"7"	"159"	"4"	"3"	"2"	"17"	"2"	"37"	"4"	"4"	"1"	"8"	"415"	"0"	"415"	"0"
"301"	"267"	"124"	"16"	"2"	"103"	"4"	"1"	"4"	"22"	"2"	"33"	"5"	"3"	"6"	"35"	"360"	"0"	"360"	"0"
"302"	"268"	"74"	"18"	"8"	"174"	"9"	"3"	"2"	"50"	"3"	"71"	"12"	"16"	"12"	"46"	"498"	"0"	"498"	"0"
"303"	"269"	"300"	"20"	"11"	"128"	"4"	"2"	"9"	"14"	"4"	"43"	"2"	"13"	"6"	"15"	"571"	"0"	"571"	"0"
"304"	"270"	"112"	"15"	"2"	"61"	"5"	"1"	"1"	"25"	"5"	"43"	"7"	"8"	"11"	"14"	"310"	"0"	"310"	"0"
"305"	"271"	"97"	"42"	"7"	"114"	"8"	"5"	"8"	"127"	"6"	"33"	"7"	"37"	"16"	"36"	"543"	"0"	"543"	"0"
"306"	"272"	"281"	"25"	"58"	"90"	"20"	"8"	"9"	"61"	"6"	"89"	"10"	"32"	"8"	"27"	"724"	"0"	"724"	"0"
"307"	"273"	"84"	"127"	"18"	"109"	"10"	"5"	"6"	"39"	"5"	"17"	"3"	"26"	"6"	"10"	"465"	"0"	"465"	"0"
"308"	"274"	"117"	"28"	"11"	"367"	"14"	"5"	"3"	"29"	"1"	"31"	"4"	"10"	"2"	"11"	"633"	"0"	"633"	"0"
"309"	"er nku dsUnzksa i j
vfHkfyf[ kr  er ksa dh dqy  l a[ ; k"	"33771"	"9121"	"2938"	"26154"	"6690"	"1458"	"1089"	"8925"	"905"	"11155"	"1583"	"10051"	"2568"	"3922"	"120330"	"0"	"120330"	"0"
"310"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k"	"5"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15"	"1"	"16"	"0"
"311"	"Mky s  x,  d qy
er"	"33776"	"9125"	"2938"	"26160"	"6690"	"1458"	"1089"	"8925"	"905"	"11155"	"1583"	"10051"	"2568"	"3922"	"120345"	"1"	"120346"	"0"
"312"	"LFkku   %"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"r kj h[ k %                                                                                                                                                                                      fj VfuZax vkWfQl j"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
