"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"302"	"B.F."	"2609"	"1477"	"26443"	"38538"	"744"	"15163"	"589"	"529"	"584"	"480"	"930"	"1456"	"675"	"1611"	"91828"	"0"	"91828"	"0"
"303"	"209"	"3"	"1"	"202"	"23"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"239"	"0"	"239"	"0"
"304"	"210"	"5"	"6"	"215"	"117"	"5"	"114"	"3"	"4"	"3"	"3"	"3"	"11"	"2"	"14"	"505"	"0"	"505"	"0"
"305"	"211"	"7"	"26"	"196"	"71"	"5"	"92"	"1"	"1"	"6"	"3"	"1"	"4"	"3"	"10"	"426"	"0"	"426"	"0"
"306"	"212"	"25"	"7"	"44"	"79"	"2"	"41"	"1"	"4"	"3"	"4"	"2"	"6"	"1"	"9"	"228"	"0"	"228"	"0"
"307"	"213"	"10"	"7"	"94"	"191"	"10"	"322"	"9"	"2"	"19"	"7"	"10"	"10"	"7"	"20"	"718"	"0"	"718"	"0"
"308"	"214"	"0"	"3"	"150"	"226"	"2"	"128"	"0"	"1"	"2"	"0"	"2"	"5"	"0"	"3"	"522"	"0"	"522"	"0"
"309"	"215"	"4"	"7"	"9"	"203"	"7"	"218"	"9"	"2"	"15"	"4"	"11"	"5"	"6"	"12"	"512"	"0"	"512"	"0"
"310"	"216"	"3"	"1"	"185"	"38"	"2"	"98"	"2"	"1"	"0"	"0"	"1"	"3"	"4"	"4"	"342"	"0"	"342"	"0"
"311"	"217"	"6"	"3"	"53"	"156"	"3"	"43"	"0"	"3"	"3"	"3"	"4"	"2"	"3"	"4"	"286"	"0"	"286"	"0"
"312"	"218"	"11"	"3"	"164"	"256"	"17"	"227"	"10"	"11"	"11"	"9"	"10"	"12"	"6"	"15"	"762"	"0"	"762"	"0"
"313"	"219"	"5"	"1"	"42"	"116"	"2"	"71"	"0"	"2"	"8"	"6"	"5"	"6"	"5"	"6"	"275"	"0"	"275"	"0"
"314"	"220"	"2"	"8"	"38"	"147"	"0"	"24"	"3"	"1"	"6"	"3"	"4"	"5"	"5"	"11"	"257"	"0"	"257"	"0"
"315"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"317"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"318"	"221"	"11"	"2"	"187"	"132"	"6"	"53"	"1"	"3"	"2"	"2"	"4"	"9"	"9"	"13"	"434"	"0"	"434"	"0"
"319"	"222"	"12"	"1"	"45"	"159"	"5"	"71"	"3"	"3"	"8"	"2"	"8"	"8"	"8"	"12"	"345"	"0"	"345"	"0"
"320"	"Total"	"2713"	"1553"	"28067"	"40452"	"813"	"16669"	"631"	"567"	"670"	"526"	"995"	"1544"	"735"	"1744"	"97679"	"0"	"97679"	"0"
"321"	"B.F."	"2713"	"1553"	"28067"	"40452"	"813"	"16669"	"631"	"567"	"670"	"526"	"995"	"1544"	"735"	"1744"	"97679"	"0"	"97679"	"0"
"322"	"223"	"8"	"4"	"253"	"37"	"1"	"20"	"1"	"1"	"1"	"0"	"1"	"5"	"0"	"8"	"340"	"0"	"340"	"0"
"323"	"224"	"8"	"13"	"154"	"140"	"9"	"157"	"5"	"8"	"13"	"3"	"5"	"13"	"7"	"10"	"545"	"0"	"545"	"0"
"324"	"225"	"23"	"35"	"164"	"163"	"2"	"20"	"2"	"5"	"1"	"4"	"12"	"20"	"19"	"21"	"491"	"0"	"491"	"0"
"325"	"226"	"2"	"4"	"254"	"37"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"6"	"1"	"6"	"316"	"0"	"316"	"0"
"326"	"227"	"9"	"1"	"93"	"18"	"5"	"139"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"273"	"0"	"273"	"0"
"327"	"228"	"1"	"0"	"241"	"23"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"4"	"1"	"7"	"283"	"0"	"283"	"0"
"328"	"229"	"3"	"5"	"113"	"140"	"3"	"11"	"3"	"0"	"1"	"0"	"3"	"3"	"5"	"6"	"296"	"0"	"296"	"0"
"329"	"230"	"7"	"11"	"171"	"225"	"1"	"6"	"0"	"0"	"0"	"4"	"6"	"6"	"0"	"1"	"438"	"0"	"438"	"0"
"330"	"231"	"2"	"13"	"104"	"89"	"2"	"21"	"3"	"0"	"0"	"2"	"1"	"2"	"3"	"0"	"242"	"0"	"242"	"0"
"331"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"333"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"334"	"232"	"16"	"0"	"144"	"141"	"0"	"88"	"2"	"2"	"1"	"1"	"4"	"11"	"8"	"8"	"426"	"0"	"426"	"0"
"335"	"233"	"13"	"8"	"324"	"113"	"2"	"193"	"2"	"4"	"5"	"3"	"11"	"10"	"8"	"14"	"710"	"0"	"710"	"0"
"336"	"234"	"5"	"3"	"144"	"96"	"23"	"160"	"1"	"4"	"1"	"3"	"6"	"8"	"4"	"9"	"467"	"0"	"467"	"0"
"337"	"235"	"62"	"4"	"47"	"66"	"1"	"116"	"1"	"2"	"1"	"0"	"7"	"6"	"3"	"1"	"317"	"0"	"317"	"0"
"338"	"236"	"0"	"5"	"231"	"160"	"5"	"100"	"2"	"3"	"1"	"2"	"3"	"5"	"0"	"9"	"526"	"0"	"526"	"0"
"339"	"Total"	"2872"	"1659"	"30504"	"41900"	"869"	"17703"	"655"	"600"	"698"	"548"	"1057"	"1644"	"794"	"1846"	"103349"	"0"	"103349"	"0"
"340"	"B.F."	"2872"	"1659"	"30504"	"41900"	"869"	"17703"	"655"	"600"	"698"	"548"	"1057"	"1644"	"794"	"1846"	"103349"	"0"	"103349"	"0"
"341"	"237"	"52"	"9"	"130"	"272"	"3"	"89"	"4"	"2"	"4"	"2"	"6"	"17"	"7"	"14"	"611"	"0"	"611"	"0"
"342"	"238"	"2"	"2"	"243"	"25"	"1"	"11"	"3"	"1"	"1"	"1"	"0"	"2"	"0"	"1"	"293"	"0"	"293"	"0"
"343"	"239"	"44"	"6"	"179"	"66"	"2"	"8"	"0"	"0"	"1"	"1"	"3"	"6"	"1"	"5"	"322"	"0"	"322"	"0"
"344"	"240"	"10"	"5"	"77"	"108"	"0"	"11"	"2"	"0"	"2"	"2"	"7"	"8"	"2"	"4"	"238"	"0"	"238"	"0"
"345"	"241"	"48"	"1"	"133"	"291"	"3"	"87"	"2"	"5"	"3"	"1"	"6"	"5"	"8"	"11"	"604"	"0"	"604"	"0"
"346"	"242"	"31"	"5"	"71"	"127"	"1"	"82"	"2"	"1"	"1"	"0"	"2"	"7"	"0"	"1"	"331"	"0"	"331"	"0"
"347"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"349"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"350"	"243"	"13"	"4"	"30"	"106"	"4"	"87"	"6"	"2"	"2"	"1"	"12"	"15"	"2"	"5"	"289"	"0"	"289"	"0"
"351"	"244"	"21"	"6"	"273"	"203"	"2"	"196"	"1"	"2"	"3"	"0"	"5"	"3"	"1"	"2"	"718"	"0"	"718"	"0"
"352"	"245"	"3"	"4"	"116"	"11"	"2"	"77"	"4"	"0"	"4"	"2"	"1"	"3"	"0"	"3"	"230"	"0"	"230"	"0"
"353"	"246"	"2"	"5"	"24"	"120"	"2"	"28"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"186"	"0"	"186"	"0"
"354"	"247"	"36"	"14"	"113"	"80"	"0"	"150"	"4"	"3"	"4"	"1"	"5"	"9"	"3"	"11"	"433"	"0"	"433"	"0"
"355"	"248"	"14"	"13"	"91"	"99"	"1"	"28"	"1"	"1"	"0"	"2"	"2"	"3"	"1"	"2"	"258"	"0"	"258"	"0"
"356"	"249"	"34"	"3"	"264"	"97"	"5"	"36"	"1"	"0"	"1"	"1"	"2"	"11"	"1"	"3"	"459"	"0"	"459"	"0"
"357"	"250"	"1"	"10"	"37"	"305"	"1"	"39"	"1"	"0"	"0"	"1"	"3"	"1"	"0"	"1"	"400"	"0"	"400"	"0"
"358"	"Total"	"3183"	"1746"	"32285"	"43810"	"896"	"18632"	"686"	"618"	"725"	"563"	"1111"	"1737"	"820"	"1909"	"108721"	"0"	"108721"	"0"
"359"	"B.F."	"3183"	"1746"	"32285"	"43810"	"896"	"18632"	"686"	"618"	"725"	"563"	"1111"	"1737"	"820"	"1909"	"108721"	"0"	"108721"	"0"
"360"	"251"	"5"	"10"	"85"	"175"	"8"	"53"	"4"	"2"	"4"	"1"	"5"	"3"	"4"	"3"	"362"	"0"	"362"	"0"
"361"	"252"	"3"	"2"	"204"	"43"	"1"	"27"	"1"	"2"	"1"	"3"	"1"	"11"	"1"	"8"	"308"	"0"	"308"	"0"
"362"	"253"	"21"	"1"	"137"	"71"	"0"	"156"	"1"	"2"	"2"	"0"	"0"	"0"	"2"	"1"	"394"	"0"	"394"	"0"
"363"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"365"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"366"	"254"	"8"	"6"	"216"	"125"	"2"	"83"	"3"	"1"	"1"	"3"	"1"	"11"	"4"	"14"	"478"	"0"	"478"	"0"
"367"	"255"	"3"	"14"	"24"	"334"	"7"	"58"	"1"	"1"	"0"	"0"	"4"	"9"	"3"	"8"	"466"	"0"	"466"	"0"
"368"	"256"	"40"	"4"	"13"	"74"	"3"	"293"	"4"	"3"	"3"	"1"	"4"	"2"	"3"	"4"	"451"	"0"	"451"	"0"
"369"	"257"	"56"	"2"	"65"	"95"	"4"	"217"	"4"	"7"	"3"	"0"	"2"	"2"	"2"	"7"	"466"	"0"	"466"	"0"
"370"	"258"	"89"	"9"	"185"	"71"	"2"	"100"	"4"	"5"	"3"	"2"	"8"	"16"	"3"	"16"	"513"	"0"	"513"	"0"
"371"	"259"	"7"	"6"	"125"	"172"	"3"	"233"	"5"	"3"	"8"	"3"	"3"	"9"	"2"	"0"	"579"	"0"	"579"	"0"
"372"	"260"	"6"	"6"	"132"	"72"	"5"	"208"	"4"	"0"	"5"	"3"	"8"	"5"	"3"	"3"	"460"	"0"	"460"	"0"
"373"	"261"	"3"	"6"	"102"	"192"	"3"	"114"	"5"	"6"	"8"	"3"	"5"	"10"	"2"	"9"	"468"	"0"	"468"	"0"
"374"	"262"	"22"	"12"	"414"	"181"	"9"	"50"	"4"	"3"	"1"	"1"	"1"	"9"	"5"	"7"	"719"	"0"	"719"	"0"
"375"	"263"	"5"	"10"	"124"	"382"	"1"	"62"	"2"	"1"	"2"	"1"	"2"	"7"	"1"	"4"	"604"	"0"	"604"	"0"
"376"	"264"	"3"	"8"	"138"	"84"	"1"	"102"	"1"	"0"	"2"	"0"	"0"	"2"	"0"	"5"	"346"	"0"	"346"	"0"
"377"	"Total"	"3454"	"1842"	"34249"	"45881"	"945"	"20388"	"729"	"654"	"768"	"584"	"1155"	"1833"	"855"	"1998"	"115335"	"0"	"115335"	"0"
"378"	"B.F."	"3454"	"1842"	"34249"	"45881"	"945"	"20388"	"729"	"654"	"768"	"584"	"1155"	"1833"	"855"	"1998"	"115335"	"0"	"115335"	"0"
"379"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"381"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"382"	"265"	"8"	"9"	"107"	"170"	"6"	"172"	"1"	"2"	"2"	"0"	"5"	"4"	"3"	"6"	"495"	"0"	"495"	"0"
"383"	"266"	"6"	"9"	"162"	"214"	"5"	"280"	"8"	"5"	"7"	"8"	"3"	"5"	"6"	"7"	"725"	"0"	"725"	"0"
"384"	"267"	"25"	"6"	"256"	"132"	"5"	"9"	"2"	"2"	"0"	"1"	"2"	"5"	"1"	"4"	"450"	"0"	"450"	"0"
"385"	"268"	"4"	"3"	"133"	"110"	"2"	"20"	"0"	"0"	"1"	"1"	"1"	"9"	"1"	"4"	"289"	"0"	"289"	"0"
"386"	"269"	"0"	"7"	"129"	"19"	"3"	"87"	"1"	"1"	"2"	"1"	"0"	"6"	"0"	"2"	"258"	"0"	"258"	"0"
"387"	"270"	"3"	"13"	"217"	"9"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"3"	"2"	"11"	"262"	"0"	"262"	"0"
"388"	"271"	"4"	"11"	"136"	"228"	"6"	"79"	"2"	"3"	"1"	"1"	"2"	"5"	"4"	"11"	"493"	"0"	"493"	"0"
"389"	"272"	"2"	"3"	"9"	"122"	"4"	"389"	"7"	"7"	"8"	"2"	"10"	"5"	"1"	"7"	"576"	"0"	"576"	"0"
"390"	"273"	"4"	"22"	"145"	"144"	"1"	"70"	"1"	"3"	"0"	"1"	"1"	"4"	"3"	"2"	"401"	"0"	"401"	"0"
"391"	"274"	"32"	"30"	"211"	"171"	"9"	"46"	"9"	"7"	"3"	"1"	"6"	"15"	"10"	"9"	"559"	"0"	"559"	"0"
"392"	"275"	"3"	"36"	"179"	"190"	"3"	"61"	"4"	"2"	"9"	"3"	"5"	"15"	"7"	"20"	"537"	"0"	"537"	"0"
"393"	"276"	"5"	"12"	"245"	"141"	"4"	"49"	"1"	"1"	"0"	"2"	"4"	"9"	"0"	"4"	"477"	"0"	"477"	"0"
"394"	"277"	"31"	"7"	"58"	"202"	"6"	"44"	"1"	"5"	"1"	"4"	"1"	"9"	"4"	"5"	"378"	"0"	"378"	"0"
"395"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"397"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"398"	"278"	"14"	"22"	"207"	"133"	"3"	"23"	"0"	"3"	"1"	"3"	"3"	"6"	"7"	"11"	"436"	"0"	"436"	"0"
"399"	"Total"	"3595"	"2032"	"36443"	"47866"	"1003"	"21717"	"768"	"695"	"803"	"613"	"1198"	"1933"	"904"	"2101"	"121671"	"0"	"121671"	"0"
"400"	"B.F."	"3595"	"2032"	"36443"	"47866"	"1003"	"21717"	"768"	"695"	"803"	"613"	"1198"	"1933"	"904"	"2101"	"121671"	"0"	"121671"	"0"
"401"	"279"	"5"	"9"	"86"	"84"	"2"	"264"	"8"	"4"	"7"	"5"	"9"	"2"	"3"	"12"	"500"	"0"	"500"	"0"
"402"	"280"	"14"	"8"	"151"	"62"	"4"	"298"	"12"	"4"	"6"	"7"	"19"	"13"	"7"	"28"	"633"	"0"	"633"	"0"
"403"	"281"	"19"	"18"	"139"	"258"	"5"	"104"	"2"	"2"	"3"	"3"	"8"	"12"	"3"	"8"	"584"	"0"	"584"	"0"
"404"	"282"	"0"	"0"	"0"	"512"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"513"	"0"	"513"	"0"
"405"	"283"	"21"	"13"	"132"	"137"	"3"	"102"	"3"	"7"	"8"	"6"	"12"	"20"	"10"	"35"	"509"	"0"	"509"	"0"
"406"	"284"	"18"	"6"	"233"	"217"	"1"	"89"	"6"	"3"	"4"	"3"	"5"	"13"	"1"	"5"	"604"	"0"	"604"	"0"
"407"	"285"	"2"	"72"	"61"	"111"	"0"	"27"	"0"	"4"	"2"	"0"	"4"	"3"	"2"	"0"	"288"	"0"	"288"	"0"
"408"	"286"	"1"	"12"	"151"	"134"	"5"	"150"	"5"	"4"	"2"	"3"	"8"	"2"	"2"	"5"	"484"	"0"	"484"	"0"
"409"	"287"	"3"	"6"	"186"	"102"	"1"	"78"	"4"	"1"	"2"	"1"	"4"	"8"	"4"	"4"	"404"	"0"	"404"	"0"
"410"	"288"	"13"	"5"	"187"	"177"	"7"	"137"	"11"	"4"	"10"	"3"	"7"	"29"	"4"	"20"	"614"	"0"	"614"	"0"
"411"	"289"	"5"	"16"	"183"	"46"	"1"	"147"	"3"	"2"	"4"	"1"	"7"	"11"	"0"	"8"	"434"	"0"	"434"	"0"
"412"	"290"	"15"	"8"	"376"	"16"	"1"	"57"	"0"	"7"	"1"	"3"	"1"	"5"	"3"	"6"	"499"	"0"	"499"	"0"
"413"	"TOTAL"	"3711"	"2205"	"38328"	"49722"	"1034"	"23170"	"822"	"737"	"852"	"648"	"1282"	"2051"	"943"	"2232"	"127737"	"0"	"127737"	"0"
"414"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"416"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"417"	"Total No. of votes recorded at Polling Stations"	"3711"	"2205"	"38328"	"49722"	"1034"	"23170"	"822"	"737"	"852"	"648"	"1282"	"2051"	"943"	"2232"	"127737"	"0"	"127737"	"0"
"418"	"No. of votes recorded on postal ballot papers"	"0"	"1"	"8"	"29"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"47"	"6"	"53"	"0"
"419"	"Total votes Polled"	"3711"	"2206"	"38336"	"49751"	"1034"	"23179"	"822"	"737"	"852"	"648"	"1282"	"2051"	"943"	"2232"	"127784"	"6"	"127790"	"0"
"420"	"Place : SASARAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"Date : 24.11.2010                                                                                                                                                                                               RETURNING OFFICER, 213-KARAKAT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
