"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X233736.116.233852.33.Khajauli"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"300"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"303"	"B.F."	"17122"	"41820"	"4851"	"1846"	"31737"	"1429"	"1850"	"957"	"3800"	"729"	"885"	"1133"	"762"	"833"	"2133"	"1632"	"113519"	"0"	"113519"	"0"
"304"	"199"	"20"	"115"	"187"	"8"	"183"	"16"	"20"	"6"	"31"	"7"	"6"	"5"	"3"	"4"	"15"	"13"	"639"	""	"639"	""
"305"	"200"	"28"	"136"	"64"	"4"	"130"	"3"	"9"	"3"	"7"	"5"	"5"	"3"	"4"	"4"	"19"	"10"	"434"	""	"434"	""
"306"	"201"	"33"	"206"	"60"	"6"	"91"	"4"	"7"	"11"	"15"	"4"	"5"	"6"	"9"	"8"	"24"	"18"	"507"	""	"507"	""
"307"	"202"	"50"	"62"	"79"	"8"	"182"	"14"	"9"	"7"	"18"	"4"	"2"	"3"	"0"	"5"	"6"	"5"	"454"	""	"454"	""
"308"	"203"	"67"	"224"	"118"	"14"	"178"	"30"	"9"	"3"	"30"	"9"	"5"	"9"	"5"	"8"	"13"	"13"	"735"	""	"735"	""
"309"	"204"	"18"	"8"	"83"	"8"	"32"	"5"	"5"	"18"	"13"	"37"	"143"	"7"	"10"	"5"	"5"	"7"	"404"	""	"404"	""
"310"	"205"	"8"	"54"	"73"	"12"	"84"	"6"	"4"	"4"	"1"	"11"	"153"	"5"	"5"	"4"	"8"	"8"	"440"	""	"440"	""
"311"	"206"	"28"	"82"	"111"	"7"	"121"	"0"	"10"	"4"	"1"	"6"	"5"	"2"	"3"	"6"	"8"	"4"	"398"	""	"398"	""
"312"	"207"	"28"	"231"	"81"	"9"	"24"	"6"	"5"	"4"	"4"	"5"	"23"	"2"	"1"	"2"	"6"	"3"	"434"	""	"434"	""
"313"	"208"	"37"	"430"	"102"	"14"	"55"	"10"	"13"	"7"	"10"	"3"	"11"	"7"	"6"	"1"	"9"	"8"	"723"	""	"723"	""
"314"	"209"	"53"	"40"	"226"	"13"	"201"	"7"	"23"	"7"	"9"	"16"	"42"	"9"	"17"	"14"	"18"	"16"	"711"	""	"711"	""
"315"	"210"	"41"	"150"	"171"	"13"	"110"	"4"	"6"	"3"	"12"	"1"	"4"	"0"	"4"	"3"	"9"	"3"	"534"	""	"534"	""
"316"	"211"	"71"	"139"	"42"	"5"	"51"	"5"	"7"	"3"	"11"	"2"	"3"	"6"	"3"	"6"	"5"	"5"	"364"	""	"364"	""
"317"	"212"	"48"	"21"	"184"	"7"	"92"	"4"	"5"	"3"	"9"	"2"	"5"	"1"	"4"	"10"	"2"	"4"	"401"	""	"401"	""
"318"	"Total -16"	"530"	"1898"	"1581"	"128"	"1534"	"114"	"132"	"83"	"171"	"112"	"412"	"65"	"74"	"80"	"147"	"117"	"7178"	"0"	"7178"	"0"
"319"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"321"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"323"	"B.F."	"17652"	"43718"	"6432"	"1974"	"33271"	"1543"	"1982"	"1040"	"3971"	"841"	"1297"	"1198"	"836"	"913"	"2280"	"1749"	"120697"	"0"	"120697"	"0"
"324"	"213"	"33"	"225"	"49"	"46"	"286"	"8"	"9"	"4"	"8"	"4"	"11"	"17"	"4"	"1"	"15"	"6"	"726"	""	"726"	""
"325"	"214"	"37"	"173"	"97"	"8"	"182"	"6"	"8"	"3"	"3"	"3"	"2"	"2"	"1"	"6"	"9"	"1"	"541"	""	"541"	""
"326"	"215"	"13"	"181"	"49"	"3"	"58"	"2"	"1"	"2"	"16"	"0"	"2"	"4"	"3"	"2"	"5"	"4"	"345"	""	"345"	""
"327"	"216"	"17"	"71"	"58"	"20"	"132"	"8"	"13"	"6"	"14"	"10"	"7"	"3"	"6"	"9"	"11"	"7"	"392"	""	"392"	""
"328"	"216A"	"17"	"177"	"47"	"5"	"66"	"2"	"5"	"0"	"8"	"5"	"2"	"2"	"2"	"2"	"2"	"8"	"350"	""	"350"	""
"329"	"217"	"27"	"222"	"56"	"9"	"77"	"8"	"7"	"11"	"43"	"6"	"7"	"16"	"9"	"11"	"16"	"17"	"542"	""	"542"	""
"330"	"218"	"20"	"190"	"53"	"11"	"174"	"7"	"16"	"9"	"5"	"7"	"1"	"9"	"6"	"24"	"10"	"8"	"550"	""	"550"	""
"331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"332"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"336"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"338"	"Total -17"	"164"	"1239"	"409"	"102"	"975"	"41"	"59"	"35"	"97"	"35"	"32"	"53"	"31"	"55"	"68"	"51"	"3446"	"0"	"3446"	"0"
"339"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"341"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"342"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"343"	"Total No. of votes recorded at Polling stations"	"17816"	"44957"	"6841"	"2076"	"34246"	"1584"	"2041"	"1075"	"4068"	"876"	"1329"	"1251"	"867"	"968"	"2348"	"1800"	"124143"	"0"	"124143"	"0"
"344"	"No. of Votes recorded on postal ballot papers"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"345"	"TOTAL VOTES POLLED"	"17816"	"44959"	"6841"	"2076"	"34246"	"1584"	"2041"	"1075"	"4068"	"876"	"1329"	"1251"	"867"	"968"	"2348"	"1800"	"124145"	"0"	"124145"	"0"
