"TOTAL.NO..OF.ELECTORS.IN.ASSEMBLY.CONSTITUENCY....235140"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"225"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"226"	"BF"	"23526"	"656"	"9384"	"15312"	"30188"	"502"	"214"	"233"	"478"	"2515"	"4374"	"296"	"1679"	"228"	"383"	"800"	"542"	"110"	"201"	"616"	"488"	"320"	"93045"	"0"	"93045"	"0"
"227"	"169"	"69"	"1"	"1"	"7"	"263"	"0"	"1"	"0"	"2"	"8"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"50"	"1"	"1"	"466"	""	"466"	""
"228"	"170"	"398"	"8"	"109"	"15"	"88"	"1"	"2"	"0"	"0"	"4"	"158"	"1"	"9"	"1"	"1"	"0"	"2"	"0"	"0"	"3"	"1"	"0"	"801"	""	"801"	""
"229"	"171"	"286"	"4"	"83"	"48"	"119"	"4"	"0"	"1"	"7"	"1"	"20"	"3"	"2"	"4"	"2"	"14"	"3"	"0"	"0"	"3"	"3"	"4"	"611"	""	"611"	""
"230"	"172"	"154"	"8"	"24"	"85"	"243"	"8"	"7"	"0"	"7"	"78"	"21"	"1"	"3"	"1"	"3"	"4"	"11"	"2"	"3"	"6"	"6"	"6"	"681"	""	"681"	""
"231"	"173"	"42"	"0"	"15"	"36"	"200"	"3"	"0"	"1"	"24"	"237"	"18"	"4"	"2"	"2"	"0"	"7"	"1"	"2"	"2"	"1"	"6"	"6"	"609"	""	"609"	""
"232"	"174"	"146"	"5"	"18"	"40"	"85"	"1"	"0"	"2"	"12"	"306"	"19"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"644"	""	"644"	""
"233"	"175"	"241"	"2"	"13"	"21"	"160"	"2"	"3"	"1"	"3"	"78"	"73"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"7"	"2"	"2"	"2"	"616"	""	"616"	""
"234"	"176"	"7"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"58"	""	"58"	""
"235"	"177"	"8"	"0"	"0"	"38"	"2"	"24"	"1"	"0"	"1"	"1"	"20"	"1"	"2"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"106"	""	"106"	""
"236"	"178"	"44"	"4"	"0"	"22"	"6"	"188"	"3"	"2"	"1"	"1"	"73"	"4"	"2"	"3"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"2"	"373"	""	"373"	""
"237"	"179"	"28"	"1"	"16"	"12"	"71"	"113"	"2"	"5"	"2"	"10"	"281"	"6"	"0"	"2"	"4"	"19"	"1"	"1"	"4"	"7"	"13"	"8"	"606"	""	"606"	""
"238"	"180"	"71"	"2"	"8"	"4"	"57"	"70"	"3"	"1"	"0"	"2"	"28"	"0"	"0"	"1"	"1"	"4"	"5"	"0"	"1"	"1"	"0"	"0"	"259"	""	"259"	""
"239"	"181"	"8"	"0"	"2"	"5"	"37"	"71"	"1"	"1"	"0"	"4"	"32"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	""	"163"	""
"240"	"182"	"31"	"3"	"182"	"104"	"257"	"16"	"3"	"5"	"9"	"6"	"8"	"44"	"1"	"1"	"6"	"4"	"7"	"0"	"1"	"1"	"5"	"2"	"696"	""	"696"	""
"241"	"TOTAL"	"25059"	"694"	"9856"	"15750"	"31778"	"1004"	"240"	"253"	"546"	"3251"	"5229"	"360"	"1703"	"244"	"408"	"871"	"574"	"120"	"221"	"691"	"526"	"356"	"99734"	"0"	"99734"	"0"
"242"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"243"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"244"	"BF"	"25059"	"694"	"9856"	"15750"	"31778"	"1004"	"240"	"253"	"546"	"3251"	"5229"	"360"	"1703"	"244"	"408"	"871"	"574"	"120"	"221"	"691"	"526"	"356"	"99734"	"0"	"99734"	"0"
"245"	"183"	"231"	"5"	"202"	"52"	"143"	"7"	"3"	"4"	"3"	"3"	"18"	"20"	"1"	"1"	"9"	"13"	"3"	"0"	"2"	"1"	"5"	"0"	"726"	""	"726"	""
"246"	"184"	"86"	"3"	"106"	"10"	"255"	"16"	"0"	"2"	"2"	"4"	"4"	"5"	"1"	"2"	"3"	"6"	"7"	"2"	"2"	"5"	"6"	"5"	"532"	""	"532"	""
"247"	"185"	"8"	"3"	"56"	"11"	"124"	"106"	"2"	"3"	"1"	"2"	"78"	"5"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"4"	"1"	"1"	"412"	""	"412"	""
"248"	"186"	"19"	"0"	"27"	"32"	"252"	"22"	"2"	"1"	"7"	"2"	"10"	"8"	"2"	"1"	"2"	"4"	"2"	"2"	"0"	"1"	"3"	"1"	"400"	""	"400"	""
"249"	"187"	"116"	"27"	"356"	"23"	"238"	"7"	"6"	"0"	"4"	"24"	"5"	"4"	"5"	"7"	"8"	"13"	"5"	"1"	"0"	"1"	"3"	"2"	"855"	""	"855"	""
"250"	"188"	"253"	"14"	"239"	"24"	"94"	"1"	"1"	"1"	"3"	"11"	"2"	"13"	"3"	"3"	"5"	"17"	"5"	"4"	"0"	"1"	"1"	"1"	"696"	""	"696"	""
"251"	"189"	"116"	"18"	"33"	"35"	"281"	"1"	"0"	"2"	"1"	"25"	"2"	"4"	"1"	"2"	"2"	"3"	"0"	"0"	"1"	"2"	"1"	"0"	"530"	""	"530"	""
"252"	"190"	"122"	"2"	"144"	"229"	"101"	"2"	"3"	"1"	"3"	"0"	"7"	"4"	"5"	"1"	"3"	"9"	"2"	"1"	"0"	"4"	"2"	"3"	"648"	""	"648"	""
"253"	"191"	"93"	"2"	"102"	"102"	"458"	"5"	"2"	"1"	"0"	"1"	"91"	"3"	"0"	"0"	"1"	"8"	"2"	"0"	"0"	"7"	"6"	"4"	"888"	""	"888"	""
"254"	"192"	"40"	"8"	"118"	"16"	"423"	"5"	"3"	"0"	"4"	"3"	"13"	"1"	"3"	"1"	"4"	"10"	"0"	"0"	"3"	"0"	"3"	"1"	"659"	""	"659"	""
"255"	"193"	"60"	"1"	"34"	"24"	"281"	"4"	"0"	"1"	"1"	"2"	"1"	"2"	"2"	"0"	"2"	"1"	"1"	"0"	"1"	"1"	"5"	"2"	"426"	""	"426"	""
"256"	"194"	"188"	"2"	"125"	"7"	"255"	"3"	"1"	"0"	"1"	"1"	"15"	"0"	"0"	"1"	"2"	"2"	"1"	"0"	"1"	"3"	"4"	"3"	"615"	""	"615"	""
"257"	"195"	"169"	"14"	"39"	"28"	"74"	"1"	"9"	"0"	"1"	"1"	"3"	"0"	"0"	"1"	"1"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"348"	""	"348"	""
"258"	"196"	"87"	"0"	"144"	"140"	"151"	"2"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"7"	"0"	"0"	"1"	"1"	"0"	"0"	"540"	""	"540"	""
"259"	"TOTAL"	"26647"	"793"	"11581"	"16483"	"34908"	"1186"	"272"	"270"	"578"	"3331"	"5478"	"430"	"1728"	"266"	"453"	"968"	"606"	"130"	"232"	"722"	"567"	"380"	"108009"	"0"	"108009"	"0"
"260"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"261"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"262"	"BF"	"26647"	"793"	"11581"	"16483"	"34908"	"1186"	"272"	"270"	"578"	"3331"	"5478"	"430"	"1728"	"266"	"453"	"968"	"606"	"130"	"232"	"722"	"567"	"380"	"108009"	"0"	"108009"	"0"
"263"	"197"	"88"	"1"	"124"	"30"	"100"	"1"	"0"	"3"	"0"	"1"	"15"	"0"	"3"	"3"	"0"	"1"	"5"	"1"	"1"	"0"	"1"	"0"	"378"	""	"378"	""
"264"	"198"	"105"	"2"	"244"	"27"	"253"	"4"	"0"	"6"	"1"	"3"	"3"	"0"	"0"	"2"	"1"	"6"	"1"	"0"	"4"	"2"	"6"	"4"	"674"	""	"674"	""
"265"	"199"	"35"	"0"	"61"	"12"	"110"	"1"	"1"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"7"	"0"	"238"	""	"238"	""
"266"	"200"	"115"	"5"	"143"	"39"	"245"	"6"	"3"	"4"	"7"	"16"	"67"	"7"	"1"	"6"	"6"	"6"	"4"	"1"	"7"	"1"	"4"	"3"	"696"	""	"696"	""
"267"	"201"	"6"	"2"	"85"	"12"	"46"	"1"	"0"	"0"	"0"	"0"	"27"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"4"	"1"	"188"	""	"188"	""
"268"	"202"	"149"	"5"	"95"	"7"	"178"	"3"	"0"	"0"	"2"	"18"	"0"	"0"	"0"	"1"	"2"	"15"	"4"	"0"	"0"	"7"	"2"	"1"	"489"	""	"489"	""
"269"	"203 A"	"61"	"4"	"197"	"7"	"98"	"1"	"1"	"1"	"0"	"5"	"6"	"0"	"1"	"1"	"2"	"9"	"2"	"1"	"1"	"8"	"0"	"0"	"406"	""	"406"	""
"270"	"203"	"118"	"3"	"170"	"22"	"120"	"2"	"1"	"2"	"2"	"4"	"1"	"1"	"3"	"1"	"3"	"9"	"3"	"1"	"2"	"3"	"1"	"2"	"474"	""	"474"	""
"271"	"204"	"223"	"3"	"91"	"7"	"56"	"2"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"4"	"4"	"8"	"6"	"1"	"2"	"2"	"2"	"1"	"421"	""	"421"	""
"272"	"205"	"82"	"0"	"87"	"12"	"33"	"0"	"0"	"0"	"1"	"2"	"14"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"235"	""	"235"	""
"273"	"206"	"57"	"3"	"46"	"22"	"147"	"4"	"0"	"3"	"4"	"3"	"5"	"3"	"3"	"1"	"2"	"5"	"8"	"2"	"2"	"3"	"9"	"12"	"344"	""	"344"	""
"274"	"207"	"129"	"4"	"48"	"6"	"119"	"5"	"1"	"1"	"0"	"0"	"22"	"1"	"2"	"0"	"1"	"9"	"2"	"0"	"1"	"0"	"0"	"1"	"352"	""	"352"	""
"275"	"208"	"200"	"3"	"81"	"13"	"192"	"0"	"2"	"0"	"3"	"2"	"18"	"3"	"3"	"2"	"10"	"9"	"7"	"2"	"0"	"2"	"3"	"2"	"557"	""	"557"	""
"276"	"209"	"27"	"4"	"244"	"33"	"100"	"0"	"0"	"2"	"1"	"1"	"3"	"4"	"0"	"8"	"3"	"13"	"5"	"1"	"2"	"2"	"2"	"1"	"456"	""	"456"	""
"277"	"TOTAL"	"28042"	"832"	"13297"	"16732"	"36705"	"1216"	"282"	"292"	"603"	"3390"	"5661"	"451"	"1747"	"296"	"488"	"1059"	"655"	"140"	"259"	"754"	"608"	"408"	"113917"	"0"	"113917"	"0"
"278"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"279"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"280"	"BF"	"28042"	"832"	"13297"	"16732"	"36705"	"1216"	"282"	"292"	"603"	"3390"	"5661"	"451"	"1747"	"296"	"488"	"1059"	"655"	"140"	"259"	"754"	"608"	"408"	"113917"	"0"	"113917"	"0"
"281"	"210"	"110"	"9"	"291"	"20"	"254"	"6"	"2"	"4"	"3"	"0"	"2"	"2"	"1"	"0"	"6"	"4"	"3"	"0"	"0"	"1"	"2"	"0"	"720"	""	"720"	""
"282"	"211"	"143"	"0"	"13"	"3"	"105"	"1"	"0"	"1"	"1"	"8"	"2"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"283"	""	"283"	""
"283"	"212"	"50"	"6"	"52"	"17"	"200"	"3"	"0"	"0"	"5"	"0"	"8"	"2"	"0"	"2"	"3"	"1"	"5"	"4"	"1"	"3"	"10"	"5"	"377"	""	"377"	""
"284"	"212"	"77"	"4"	"21"	"54"	"179"	"1"	"0"	"0"	"2"	"12"	"5"	"3"	"4"	"0"	"0"	"2"	"9"	"1"	"6"	"3"	"2"	"7"	"392"	""	"392"	""
"285"	"213"	"21"	"2"	"56"	"51"	"354"	"3"	"0"	"0"	"0"	"9"	"6"	"2"	"1"	"0"	"1"	"1"	"13"	"4"	"2"	"4"	"3"	"2"	"535"	""	"535"	""
"286"	"214"	"355"	"8"	"39"	"13"	"127"	"1"	"3"	"1"	"1"	"6"	"3"	"0"	"0"	"2"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"566"	""	"566"	""
"287"	"215"	"20"	"2"	"119"	"25"	"231"	"6"	"1"	"4"	"8"	"2"	"19"	"5"	"4"	"4"	"6"	"13"	"2"	"0"	"4"	"0"	"1"	"1"	"477"	""	"477"	""
"288"	"215 A"	"169"	"1"	"69"	"43"	"140"	"2"	"1"	"1"	"3"	"2"	"11"	"5"	"0"	"1"	"3"	"15"	"0"	"0"	"0"	"0"	"2"	"0"	"468"	""	"468"	""
"289"	"216"	"190"	"5"	"174"	"66"	"142"	"2"	"2"	"0"	"1"	"0"	"3"	"2"	"5"	"1"	"15"	"6"	"5"	"0"	"0"	"1"	"4"	"2"	"626"	""	"626"	""
"290"	"217"	"67"	"4"	"65"	"11"	"98"	"2"	"2"	"1"	"4"	"2"	"5"	"3"	"1"	"3"	"8"	"7"	"6"	"0"	"6"	"2"	"70"	"4"	"371"	""	"371"	""
"291"	"218"	"169"	"11"	"56"	"14"	"253"	"16"	"2"	"2"	"6"	"10"	"4"	"0"	"3"	"2"	"3"	"6"	"3"	"2"	"2"	"4"	"25"	"3"	"596"	""	"596"	""
"292"	"219"	"43"	"1"	"91"	"254"	"204"	"5"	"2"	"4"	"4"	"12"	"57"	"3"	"7"	"2"	"7"	"8"	"1"	"0"	"5"	"7"	"13"	"4"	"734"	""	"734"	""
"293"	"220"	"123"	"5"	"122"	"22"	"145"	"11"	"3"	"2"	"10"	"4"	"9"	"14"	"11"	"11"	"13"	"30"	"1"	"0"	"0"	"4"	"8"	"3"	"551"	""	"551"	""
"294"	"221"	"61"	"0"	"27"	"6"	"209"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"309"	""	"309"	""
"295"	"TOTAL"	"29640"	"890"	"14492"	"17331"	"39346"	"1275"	"300"	"313"	"651"	"3459"	"5795"	"493"	"1786"	"325"	"554"	"1156"	"707"	"151"	"285"	"783"	"749"	"441"	"120922"	"0"	"120922"	"0"
"296"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"297"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"298"	"BF"	"29640"	"890"	"14492"	"17331"	"39346"	"1275"	"300"	"313"	"651"	"3459"	"5795"	"493"	"1786"	"325"	"554"	"1156"	"707"	"151"	"285"	"783"	"749"	"441"	"120922"	"0"	"120922"	"0"
"299"	"222"	"168"	"4"	"89"	"39"	"273"	"4"	"1"	"1"	"1"	"3"	"5"	"1"	"1"	"1"	"1"	"6"	"22"	"1"	"7"	"2"	"16"	"1"	"647"	""	"647"	""
"300"	"223"	"63"	"2"	"7"	"35"	"72"	"1"	"0"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	""	"188"	""
"301"	"224"	"122"	"5"	"78"	"18"	"222"	"3"	"2"	"0"	"1"	"1"	"14"	"2"	"1"	"1"	"5"	"3"	"1"	"1"	"1"	"1"	"6"	"2"	"490"	""	"490"	""
"302"	"225"	"88"	"12"	"27"	"8"	"74"	"2"	"0"	"0"	"0"	"0"	"31"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"250"	""	"250"	""
"303"	"226"	"290"	"6"	"49"	"73"	"260"	"5"	"1"	"2"	"3"	"22"	"4"	"3"	"4"	"2"	"16"	"8"	"22"	"4"	"4"	"6"	"2"	"6"	"792"	""	"792"	""
"304"	"227"	"43"	"0"	"56"	"19"	"158"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"283"	""	"283"	""
"305"	"228"	"189"	"4"	"52"	"35"	"181"	"3"	"2"	"0"	"2"	"21"	"4"	"3"	"4"	"2"	"0"	"5"	"5"	"0"	"2"	"0"	"7"	"0"	"521"	""	"521"	""
"306"	"229 A"	"84"	"14"	"56"	"30"	"219"	"3"	"1"	"1"	"3"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"8"	"1"	"0"	"0"	"1"	"4"	"432"	""	"432"	""
"307"	"229"	"72"	"6"	"162"	"29"	"202"	"12"	"4"	"1"	"1"	"8"	"10"	"1"	"1"	"1"	"4"	"3"	"1"	"0"	"0"	"0"	"2"	"0"	"520"	""	"520"	""
"308"	"230 A"	"28"	"6"	"131"	"21"	"263"	"5"	"1"	"0"	"1"	"2"	"2"	"5"	"1"	"8"	"4"	"6"	"4"	"0"	"0"	"1"	"2"	"1"	"492"	""	"492"	""
"309"	"230"	"211"	"5"	"30"	"17"	"165"	"1"	"1"	"3"	"2"	"1"	"5"	"3"	"0"	"2"	"1"	"14"	"3"	"1"	"1"	"0"	"0"	"2"	"468"	""	"468"	""
"310"	"231"	"131"	"4"	"185"	"11"	"103"	"5"	"1"	"0"	"4"	"0"	"0"	"7"	"8"	"5"	"10"	"10"	"5"	"0"	"7"	"1"	"5"	"6"	"508"	""	"508"	""
"311"	"232"	"74"	"2"	"164"	"10"	"10"	"3"	"0"	"1"	"1"	"1"	"50"	"0"	"11"	"2"	"1"	"3"	"0"	"1"	"1"	"0"	"3"	"2"	"340"	""	"340"	""
"312"	"233"	"53"	"3"	"156"	"11"	"199"	"2"	"1"	"1"	"3"	"6"	"14"	"1"	"2"	"0"	"4"	"4"	"1"	"0"	"0"	"2"	"0"	"1"	"464"	""	"464"	""
"313"	"TOTAL"	"31256"	"963"	"15734"	"17687"	"41747"	"1324"	"315"	"324"	"673"	"3528"	"5941"	"524"	"1821"	"349"	"602"	"1221"	"780"	"160"	"308"	"796"	"796"	"468"	"127317"	"0"	"127317"	"0"
"314"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"315"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"316"	"BF"	"31256"	"963"	"15734"	"17687"	"41747"	"1324"	"315"	"324"	"673"	"3528"	"5941"	"524"	"1821"	"349"	"602"	"1221"	"780"	"160"	"308"	"796"	"796"	"468"	"127317"	"0"	"127317"	"0"
"317"	"234"	"29"	"3"	"189"	"4"	"109"	"5"	"1"	"0"	"1"	"0"	"3"	"2"	"14"	"2"	"1"	"6"	"1"	"1"	"0"	"1"	"1"	"2"	"375"	""	"375"	""
"318"	"235"	"47"	"0"	"36"	"3"	"138"	"5"	"0"	"0"	"5"	"62"	"110"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"412"	""	"412"	""
"319"	"236"	"126"	"4"	"26"	"62"	"78"	"0"	"5"	"2"	"3"	"39"	"139"	"4"	"2"	"4"	"5"	"7"	"2"	"0"	"0"	"1"	"0"	"4"	"513"	""	"513"	""
"320"	"237"	"12"	"1"	"73"	"9"	"134"	"27"	"2"	"4"	"2"	"120"	"47"	"1"	"2"	"2"	"2"	"3"	"1"	"1"	"1"	"2"	"0"	"0"	"446"	""	"446"	""
"321"	"238"	"47"	"2"	"211"	"18"	"80"	"2"	"0"	"1"	"2"	"7"	"149"	"1"	"3"	"0"	"5"	"3"	"1"	"1"	"0"	"2"	"4"	"0"	"539"	""	"539"	""
"322"	"239"	"11"	"5"	"44"	"9"	"79"	"4"	"1"	"0"	"1"	"2"	"17"	"5"	"1"	"1"	"6"	"10"	"2"	"0"	"0"	"0"	"3"	"2"	"203"	""	"203"	""
"323"	"240"	"113"	"16"	"8"	"36"	"191"	"6"	"3"	"1"	"11"	"18"	"62"	"3"	"3"	"4"	"7"	"24"	"4"	"1"	"8"	"2"	"3"	"7"	"531"	""	"531"	""
"324"	"241"	"106"	"2"	"32"	"6"	"199"	"17"	"2"	"1"	"7"	"11"	"18"	"5"	"4"	"0"	"3"	"5"	"10"	"2"	"4"	"2"	"6"	"2"	"444"	""	"444"	""
"325"	"242"	"53"	"4"	"15"	"84"	"111"	"4"	"2"	"2"	"3"	"12"	"31"	"1"	"2"	"1"	"1"	"7"	"1"	"1"	"1"	"1"	"1"	"1"	"339"	""	"339"	""
"326"	"243"	"51"	"2"	"30"	"8"	"82"	"10"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"13"	"3"	"2"	"210"	""	"210"	""
"327"	"244"	"108"	"2"	"49"	"7"	"80"	"6"	"3"	"2"	"1"	"0"	"13"	"0"	"0"	"0"	"2"	"6"	"3"	"0"	"1"	"0"	"2"	"3"	"288"	""	"288"	""
"328"	"245"	"6"	"2"	"17"	"3"	"79"	"13"	"0"	"4"	"1"	"2"	"26"	"2"	"0"	"0"	"1"	"5"	"3"	"3"	"0"	"2"	"1"	"2"	"172"	""	"172"	""
"329"	"246"	"3"	"0"	"63"	"46"	"166"	"43"	"0"	"2"	"3"	"94"	"4"	"4"	"2"	"3"	"4"	"5"	"4"	"0"	"3"	"3"	"0"	"1"	"453"	""	"453"	""
"330"	"247"	"18"	"4"	"41"	"6"	"194"	"86"	"1"	"2"	"1"	"7"	"4"	"0"	"1"	"3"	"5"	"3"	"7"	"4"	"0"	"1"	"6"	"1"	"395"	""	"395"	""
"331"	"TOTAL"	"31986"	"1010"	"16568"	"17988"	"43467"	"1552"	"336"	"345"	"714"	"3904"	"6566"	"552"	"1855"	"369"	"646"	"1306"	"824"	"174"	"326"	"826"	"827"	"496"	"132637"	"0"	"132637"	"0"
"332"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"333"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
