"er.nku.dsUnz.l.a....k"	"bUnznso.i.zl.kn"	"t.qYQdkj..vyh"	"r.kj.ds..oj....kno"	"X.kesZUnz.dq0.oekZ"	"HkwesUnz.ukj.k...k.fl.ag"	"eukst...dqekj..fl.ag"	"pr.qxqZu.i.zl.kn.pkSgku"	"f.Hkqou.j.ke"	"eqfu.eaxy..nso...kkL.h"	"j.kt.fd..kksj..fr.okj.h"	"j.kek...k.fl.ag"	"l.qt.hr..l.qHkkuh"	"l.qj.sUnz.fl.ag...kno"	"t.xnh..k.fl.ag"	"i.ou.i.zl.kn"	"i.zHkqukFk.l.kg"	"j.kds..k.feJ"	"j.kev..ks...k.Hkxr"	"j.s.kq...kno"	"l.R..nso.i.zl.kn.fl.ag"	"gfuQ.val.kj.h"	"gseUr..dqekj..fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy.l.a....k"
"391"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"392"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"393"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"394"	219	104	7	8	64	183	9	7	2	7	5	11	11	5	8	6	37	13	1	0	11	52	9	NA	NA	NA	NA
"395"	220	26	3	10	45	109	4	1	1	3	1	8	3	6	12	2	8	10	8	3	229	23	9	NA	NA	NA	NA
"396"	221	15	0	5	3	79	2	0	0	2	1	2	0	0	3	2	7	53	1	1	95	1	3	NA	NA	NA	NA
"397"	222	186	6	15	11	212	9	6	2	4	3	4	12	1	1	5	7	8	24	1	13	9	2	NA	NA	NA	NA
"398"	223	203	7	8	25	89	1	0	0	0	2	6	2	1	2	6	11	8	1	6	12	56	2	NA	NA	NA	NA
"399"	224	155	6	10	0	94	3	3	0	0	2	5	1	6	4	3	4	18	13	6	101	51	17	NA	NA	NA	NA
"400"	225	172	13	4	10	77	1	1	1	1	0	1	2	2	0	3	4	29	7	3	17	13	10	NA	NA	NA	NA
"401"	226	251	11	10	22	223	10	2	2	1	1	7	3	1	0	2	6	19	5	5	19	5	13	NA	NA	NA	NA
"402"	NA	689	29	56	148	766	28	17	5	16	14	36	29	19	30	24	74	110	48	17	461	192	42	0	0	0	0
"403"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"404"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"405"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"406"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"407"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"408"	227	202	10	8	20	126	7	3	18	4	3	6	4	5	5	11	25	50	9	12	7	20	23	NA	NA	NA	NA
"409"	228	183	2	2	7	391	4	3	1	1	0	0	4	0	3	1	9	8	3	1	5	6	4	NA	NA	NA	NA
"410"	229	177	6	6	20	55	2	3	0	3	2	10	2	0	3	2	4	16	13	4	122	9	6	NA	NA	NA	NA
"411"	230	119	20	12	12	164	9	33	3	4	3	10	2	6	4	1	5	6	4	4	12	77	7	NA	NA	NA	NA
"412"	231	84	4	10	7	283	3	1	1	5	1	2	8	2	16	3	4	23	13	6	38	20	35	NA	NA	NA	NA
"413"	232	123	13	3	9	152	5	0	1	4	1	3	2	4	0	1	4	14	4	3	11	4	10	NA	NA	NA	NA
"414"	233	57	1	2	8	80	1	0	0	4	2	3	0	1	1	1	2	16	7	7	395	14	9	NA	NA	NA	NA
"415"	234	122	8	8	40	212	6	7	5	0	2	14	8	17	7	5	33	6	2	5	13	71	8	NA	NA	NA	NA
"416"	NA	888	55	41	75	1171	30	43	24	21	10	31	22	17	31	19	51	117	46	30	195	136	85	0	0	0	0
"417"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"418"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"419"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"420"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"421"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"422"	235	167	8	8	21	114	5	2	3	6	6	20	6	11	9	10	57	10	6	1	66	35	10	NA	NA	NA	NA
"423"	236	89	0	1	2	30	0	0	0	0	0	2	0	1	1	1	1	0	0	0	28	1	2	NA	NA	NA	NA
"424"	237	183	6	14	41	298	14	10	10	5	6	19	13	3	9	5	22	24	2	5	42	13	8	NA	NA	NA	NA
"425"	238	184	9	13	12	183	12	5	1	0	2	8	8	2	3	4	11	18	14	3	123	22	11	NA	NA	NA	NA
"426"	239	290	8	7	7	40	0	0	2	2	2	4	1	1	1	1	9	34	15	16	18	10	19	NA	NA	NA	NA
"427"	240	336	8	2	9	15	1	6	1	1	0	4	2	1	0	2	8	1	3	2	13	34	10	NA	NA	NA	NA
"428"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"429"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"430"	NA	1249	39	45	92	680	32	23	17	14	16	57	30	19	23	23	108	87	40	27	290	115	60	0	0	0	0
"431"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"432"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"433"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
