"ELECTION.TO.THE.HOUSE.OF.THE.PEOPLE.FORM.THE.27.BAJPATTI.PARLIAMENTARY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"303"	"204"	"5"	"198"	""	"6"	"118"	"9"	"2"	"56"	"1"	"2"	"7"	"3"	"1"	"143"	"10"	"9"	"367"	"0"	"367"	"0"
"304"	"205"	"5"	"199"	""	"3"	"109"	"3"	"1"	"16"	"1"	"0"	"0"	"0"	"3"	"14"	"0"	"1"	"151"	"0"	"151"	"0"
"305"	"206"	"5"	"200"	""	"4"	"27"	"2"	"3"	"10"	"0"	"0"	"1"	"2"	"16"	"794"	"9"	"12"	"880"	"0"	"880"	"0"
"306"	"207"	"5"	"201"	""	"5"	"63"	"20"	"3"	"6"	"3"	"0"	"3"	"5"	"3"	"455"	"12"	"12"	"590"	"0"	"590"	"0"
"307"	"208"	"5"	"202"	""	"14"	"107"	"26"	"5"	"370"	"1"	"7"	"9"	"12"	"4"	"104"	"29"	"21"	"709"	"0"	"709"	"0"
"308"	"209"	"5"	"203"	""	"25"	"147"	"8"	"8"	"183"	"8"	"4"	"7"	"0"	"0"	"14"	"5"	"6"	"415"	"0"	"415"	"0"
"309"	"210"	"5"	"204"	""	"18"	"325"	"12"	"4"	"183"	"1"	"3"	"4"	"3"	"2"	"143"	"12"	"10"	"720"	"0"	"720"	"0"
"310"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"314"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"315"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"316"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"317"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"318"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"319"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"320"	"211"	"5"	"205"	""	"5"	"151"	"16"	"3"	"235"	"2"	"5"	"7"	"5"	"1"	"54"	"4"	"0"	"488"	"0"	"488"	"0"
"321"	"212"	"5"	"206"	""	"5"	"60"	"7"	"5"	"260"	"9"	"1"	"9"	"8"	"4"	"21"	"9"	"19"	"417"	"0"	"417"	"0"
"322"	"213"	"5"	"207"	""	"0"	"7"	"5"	"1"	"59"	"1"	"1"	"0"	"1"	"3"	"350"	"1"	"3"	"432"	"0"	"432"	"0"
"323"	"214"	"5"	"208"	""	"15"	"392"	"7"	"1"	"78"	"1"	"0"	"11"	"1"	"2"	"18"	"7"	"9"	"542"	"0"	"542"	"0"
"324"	"215"	"5"	"209"	""	"8"	"273"	"20"	"6"	"21"	"3"	"3"	"7"	"3"	"2"	"50"	"7"	"15"	"418"	"0"	"418"	"0"
"325"	"216"	"5"	"210"	""	"21"	"647"	"16"	"2"	"8"	"0"	"1"	"5"	"2"	"5"	"70"	"3"	"6"	"786"	"0"	"786"	"0"
"326"	"217"	"5"	"211"	""	"8"	"430"	"15"	"5"	"23"	"0"	"1"	"2"	"1"	"0"	"40"	"2"	"5"	"532"	"0"	"532"	"0"
"327"	"218"	"5"	"212"	""	"7"	"286"	"25"	"2"	"98"	"4"	"2"	"15"	"2"	"3"	"60"	"15"	"15"	"534"	"0"	"534"	"0"
"328"	"219"	"5"	"213"	""	"5"	"255"	"15"	"0"	"44"	"2"	"1"	"21"	"3"	"3"	"8"	"0"	"3"	"360"	"0"	"360"	"0"
"329"	"220"	"5"	"214"	""	"8"	"5"	"5"	"0"	"16"	"1"	"4"	"3"	"1"	"3"	"426"	"64"	"124"	"660"	"0"	"660"	"0"
"330"	"221"	"5"	"215"	""	"10"	"168"	"9"	"12"	"251"	"6"	"16"	"23"	"7"	"9"	"50"	"18"	"11"	"590"	"0"	"590"	"0"
"331"	"222"	"5"	"216"	""	"8"	"162"	"9"	"5"	"43"	"3"	"4"	"5"	"1"	"11"	"140"	"8"	"16"	"415"	"0"	"415"	"0"
"332"	"223"	"5"	"217"	""	"2"	"8"	"4"	"0"	"9"	"0"	"0"	"2"	"0"	"2"	"114"	"20"	"57"	"218"	"0"	"218"	"0"
"333"	"224"	"5"	"218"	""	"16"	"171"	"6"	"5"	"68"	"4"	"2"	"11"	"0"	"1"	"43"	"18"	"18"	"363"	"0"	"363"	"0"
"334"	"225"	"5"	"219"	""	"1"	"108"	"5"	"4"	"129"	"3"	"4"	"3"	"3"	"2"	"146"	"4"	"6"	"418"	"0"	"418"	"0"
"335"	"226"	"5"	"220"	""	"5"	"198"	"8"	"5"	"100"	"5"	"4"	"2"	"0"	"4"	"64"	"6"	"7"	"408"	"0"	"408"	"0"
"336"	"227"	"5"	"221"	""	"13"	"160"	"5"	"3"	"150"	"5"	"7"	"8"	"5"	"7"	"175"	"9"	"12"	"559"	"0"	"559"	"0"
"337"	"228"	"5"	"222"	""	"8"	"84"	"17"	"9"	"235"	"2"	"3"	"5"	"2"	"2"	"54"	"6"	"2"	"429"	"0"	"429"	"0"
"338"	"229"	"5"	"223"	""	"9"	"209"	"8"	"2"	"63"	"1"	"3"	"6"	"5"	"3"	"4"	"14"	"16"	"343"	"0"	"343"	"0"
"339"	"230"	"5"	"224"	""	"6"	"34"	"18"	"2"	"239"	"2"	"6"	"3"	"0"	"2"	"134"	"8"	"4"	"458"	"0"	"458"	"0"
"340"	"231"	"5"	"225"	""	"6"	"50"	"5"	"0"	"203"	"1"	"2"	"4"	"2"	"6"	"16"	"2"	"3"	"300"	"0"	"300"	"0"
"341"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"345"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"346"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"347"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"348"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"349"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"350"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"351"	"232"	"5"	"226"	""	"7"	"109"	"9"	"2"	"133"	"8"	"4"	"6"	"5"	"5"	"66"	"12"	"9"	"375"	"0"	"375"	"0"
"352"	"233"	"5"	"227"	""	"3"	"202"	"8"	"0"	"383"	"2"	"6"	"6"	"4"	"0"	"56"	"6"	"6"	"682"	"0"	"682"	"0"
"353"	"234"	"5"	"228"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"354"	"235"	"5"	"229"	""	"14"	"75"	"16"	"3"	"99"	"4"	"4"	"12"	"3"	"4"	"45"	"14"	"24"	"317"	"0"	"317"	"0"
"355"	"236"	"5"	"230"	""	"8"	"21"	"26"	"1"	"342"	"5"	"8"	"9"	"4"	"29"	"22"	"6"	"10"	"491"	"0"	"491"	"0"
"356"	"237"	"5"	"231"	""	"13"	"400"	"11"	"1"	"83"	"4"	"4"	"1"	"4"	"0"	"42"	"4"	"1"	"568"	"0"	"568"	"0"
"357"	"238"	"5"	"232"	""	"8"	"43"	"162"	"4"	"89"	"4"	"5"	"4"	"0"	"1"	"12"	"6"	"1"	"339"	"0"	"339"	"0"
"358"	"239"	"5"	"233"	""	"4"	"125"	"4"	"2"	"10"	"29"	"4"	"5"	"0"	"0"	"0"	"2"	"1"	"186"	"0"	"186"	"0"
"359"	"240"	"5"	"234"	""	"3"	"160"	"32"	"1"	"101"	"0"	"0"	"2"	"6"	"7"	"153"	"4"	"6"	"475"	"0"	"475"	"0"
"360"	"241"	"5"	"235"	""	"8"	"85"	"26"	"3"	"301"	"18"	"13"	"25"	"5"	"7"	"33"	"17"	"29"	"570"	"0"	"570"	"0"
"361"	"242"	"5"	"236"	""	"14"	"57"	"41"	"9"	"263"	"15"	"17"	"9"	"3"	"4"	"37"	"11"	"11"	"491"	"0"	"491"	"0"
"362"	"243"	"5"	"237"	""	"2"	"11"	"203"	"4"	"42"	"5"	"1"	"2"	"1"	"1"	"1"	"2"	"7"	"282"	"0"	"282"	"0"
"363"	"244"	"5"	"238"	""	"5"	"7"	"193"	"5"	"44"	"1"	"3"	"4"	"1"	"2"	"4"	"2"	"6"	"277"	"0"	"277"	"0"
"364"	"245"	"5"	"239"	""	"14"	"37"	"430"	"13"	"137"	"5"	"20"	"12"	"5"	"7"	"22"	"15"	"26"	"743"	"0"	"743"	"0"
"365"	"246"	"5"	"240"	""	"5"	"72"	"36"	"3"	"3"	"115"	"9"	"4"	"3"	"3"	"3"	"4"	"9"	"269"	"0"	"269"	"0"
"366"	"247"	"5"	"240"	"A"	"4"	"90"	"41"	"2"	"63"	"42"	"7"	"3"	"2"	"4"	"26"	"3"	"11"	"298"	"0"	"298"	"0"
"367"	"248"	"5"	"241"	""	"4"	"39"	"276"	"7"	"22"	"1"	"2"	"5"	"0"	"0"	"7"	"2"	"0"	"365"	"0"	"365"	"0"
"368"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"372"	""	""	""	""	"Anwar Ali"	"Md. Anwarul Haque"	"Gajadh ar Thakur"	"Mukesh Kumar Ravi"	"Ranju Geeta"	"Neyaz Ahmad Siddiq ee"	"Ahiraj Shailend ra Bhushan"	"Ishtiaq ue"	"Deven dra Jha"	"Birendr a Kumar"	"Ravindra Kumar Shahi"	"Vijay Kumar Jha"	"Sumitra Devi"	""	""	""	""
"373"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"374"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"375"	"Total No. of votes recorded at Polling stations"	""	""	""	"2472"	"41306"	"5574"	"932"	"44726"	"1389"	"1397"	"1982"	"802"	"692"	"10428"	"1917"	"2501"	"116118"	"0"	"116118"	"0"
"376"	"No. of votes recorded on Postal ballot papers"	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"377"	"Total votes polled"	""	""	""	"2472"	"41306"	"5574"	"932"	"44726"	"1389"	"1397"	"1982"	"802"	"692"	"10428"	"1917"	"2501"	"116118"	"0"	"116118"	"0"
"378"	"Place : M.P.High School,Dumra, Sitamarhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"Date : 24th November, 2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"384"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"385"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"386"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"387"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"388"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"389"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"390"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"27 - BAJPATTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
