"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"226"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"227"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"228"	"Round 9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"113"	"167"	"30"	"44"	""	"280"	"5"	"1"	"8"	"7"	"6"	"45"	""	"2"	""	"2"	""	"1"	"5"	"0"	"1"	"2"	"33"	""	"6"	"645"	""	"645"	""	""
"230"	"114"	"122"	"44"	"4"	""	"131"	"2"	"0"	"4"	"2"	"2"	"4"	""	"2"	""	"1"	""	"1"	"4"	"1"	"7"	"3"	"1"	""	"1"	"336"	""	"336"	""	""
"231"	"115"	"81"	"62"	"67"	""	"134"	"3"	"1"	"2"	"80"	"3"	"0"	""	"1"	""	"1"	""	"2"	"14"	"2"	"0"	"0"	"7"	""	"0"	"460"	""	"460"	""	""
"232"	"116"	"136"	"26"	"10"	""	"24"	"1"	"0"	"1"	"2"	"11"	"11"	""	"1"	""	"1"	""	"1"	"3"	"2"	"3"	"4"	"3"	""	"0"	"240"	""	"240"	""	""
"233"	"117"	"18"	"37"	"7"	""	"164"	"6"	"3"	"3"	"2"	"1"	"6"	""	"0"	""	"3"	""	"2"	"0"	"2"	"11"	"1"	"13"	""	"2"	"281"	""	"281"	""	""
"234"	"118"	"305"	"13"	"16"	""	"6"	"0"	"0"	"3"	"2"	"11"	"69"	""	"3"	""	"2"	""	"0"	"3"	"1"	"11"	"3"	"5"	""	"9"	"462"	""	"462"	""	""
"235"	"119"	"401"	"2"	"11"	""	"10"	"0"	"0"	"8"	"4"	"7"	"44"	""	"0"	""	"0"	""	"2"	"4"	"1"	"5"	"0"	"4"	""	"1"	"504"	""	"504"	""	""
"236"	"120"	"268"	"8"	"6"	""	"150"	"2"	"1"	"2"	"0"	"4"	"8"	""	"0"	""	"4"	""	"3"	"3"	"3"	"5"	"4"	"21"	""	"2"	"494"	""	"494"	""	""
"237"	"121"	"125"	"1"	"37"	""	"23"	"2"	"0"	"5"	"5"	"8"	"110"	""	"4"	""	"0"	""	"2"	"1"	"2"	"6"	"6"	"4"	""	"11"	"352"	""	"352"	""	""
"238"	"122"	"130"	"3"	"6"	""	"1"	"0"	"0"	"2"	"1"	"8"	"241"	""	"3"	""	"1"	""	"1"	"72"	"0"	"5"	"5"	"9"	""	"0"	"488"	""	"488"	""	""
"239"	"123"	"306"	"15"	"13"	""	"58"	"1"	"1"	"2"	"0"	"6"	"10"	""	"2"	""	"3"	""	"2"	"3"	"1"	"2"	"1"	"13"	""	"0"	"439"	""	"439"	""	""
"240"	"124"	"249"	"5"	"2"	""	"81"	"0"	"1"	"1"	"2"	"1"	"3"	""	"0"	""	"0"	""	"0"	"1"	"0"	"2"	"7"	"4"	""	"2"	"361"	""	"361"	""	""
"241"	"125"	"211"	"1"	"12"	""	"30"	"1"	"0"	"1"	"1"	"3"	"0"	""	"0"	""	"0"	""	"1"	"0"	"2"	"0"	"3"	"121"	""	"0"	"387"	""	"387"	""	""
"242"	"126"	"264"	"10"	"38"	""	"106"	"4"	"0"	"0"	"2"	"0"	"1"	""	"0"	""	"0"	""	"0"	"2"	"0"	"4"	"4"	"12"	""	"3"	"450"	""	"450"	""	""
"243"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"246"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"247"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Total"	"2783"	"257"	"273"	""	"1198"	"27"	"8"	"42"	"110"	"71"	"552"	""	"18"	""	"18"	""	"18"	"115"	"17"	"62"	"43"	"250"	"37"	""	"5899"	""	"5899"	""	""
"249"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"253"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"254"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"255"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"256"	"Round 10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"127"	"119"	"4"	"16"	""	"209"	"6"	"0"	"5"	"12"	"1"	"0"	""	"0"	""	"3"	""	"11"	"2"	"4"	"4"	"13"	"13"	""	"8"	"430"	""	"430"	""	""
"258"	"128"	"413"	"145"	"14"	""	"71"	"0"	"0"	"2"	"2"	"1"	"2"	""	"0"	""	"1"	""	"2"	"5"	"0"	"3"	"1"	"3"	""	"6"	"671"	""	"671"	""	""
"259"	"129"	"324"	"2"	"31"	""	"194"	"1"	"7"	"9"	"8"	"7"	"6"	""	"2"	""	"6"	""	"10"	"10"	"5"	"13"	"6"	"5"	""	"7"	"653"	""	"653"	""	""
"260"	"130"	"278"	"106"	"57"	""	"189"	"9"	"4"	"19"	"1"	"2"	"9"	""	"2"	""	"2"	""	"3"	"11"	"4"	"10"	"6"	"23"	""	"20"	"755"	""	"755"	""	""
"261"	"131"	"124"	"6"	"64"	""	"44"	"6"	"1"	"2"	"7"	"6"	"0"	""	"1"	""	"0"	""	"1"	"2"	"1"	"3"	"3"	"0"	""	"1"	"272"	""	"272"	""	""
"262"	"132"	"105"	"1"	"161"	""	"5"	"3"	"0"	"1"	"1"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	"0"	"1"	"2"	"0"	""	"0"	"280"	""	"280"	""	""
"263"	"133"	"108"	"5"	"43"	""	"24"	"0"	"1"	"0"	"3"	"3"	"3"	""	"1"	""	"0"	""	"1"	"6"	"1"	"6"	"4"	"2"	""	"2"	"213"	""	"213"	""	""
"264"	"134"	"136"	"49"	"47"	""	"82"	"8"	"0"	"4"	"2"	"3"	"2"	""	"1"	""	"4"	""	"4"	"38"	"1"	"5"	"5"	"5"	""	"5"	"401"	""	"401"	""	""
"265"	"135"	"33"	"32"	"13"	""	"286"	"8"	"3"	"0"	"0"	"3"	"3"	""	"2"	""	"1"	""	"2"	"3"	"1"	"6"	"3"	"20"	""	"9"	"428"	""	"428"	""	""
"266"	"136"	"92"	"5"	"16"	""	"49"	"2"	"0"	"4"	"0"	"0"	"2"	""	"0"	""	"0"	""	"0"	"22"	"0"	"1"	"1"	"15"	""	"1"	"210"	""	"210"	""	""
"267"	"137"	"216"	"4"	"41"	""	"21"	"1"	"0"	"1"	"2"	"1"	"1"	""	"0"	""	"1"	""	"4"	"2"	"1"	"6"	"9"	"0"	""	"6"	"317"	""	"317"	""	""
"268"	"138"	"135"	"23"	"17"	""	"33"	"1"	"4"	"2"	"6"	"5"	"0"	""	"1"	""	"0"	""	"3"	"3"	"3"	"5"	"2"	"0"	""	"2"	"245"	""	"245"	""	""
"269"	"139"	"4"	"0"	"3"	""	"197"	"1"	"4"	"2"	"0"	"0"	"0"	""	"1"	""	"0"	""	"0"	"27"	"0"	"1"	"2"	"1"	""	"0"	"243"	""	"243"	""	""
"270"	"140"	"96"	"8"	"5"	""	"117"	"2"	"2"	"46"	"5"	"1"	"11"	""	"0"	""	"2"	""	"1"	"5"	"0"	"1"	"10"	"101"	""	"9"	"422"	""	"422"	""	""
"271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"274"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"275"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Total"	"2183"	"390"	"528"	""	"1521"	"48"	"26"	"97"	"49"	"33"	"39"	""	"11"	""	"20"	""	"42"	"136"	"21"	"65"	"67"	"188"	"76"	""	"5540"	""	"5540"	""	""
"277"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"281"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"282"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"283"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"284"	"Round 11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"141"	"176"	"46"	"8"	""	"237"	"4"	"2"	"13"	"21"	"9"	"3"	""	"0"	""	"3"	""	"3"	"4"	"1"	"3"	"5"	"80"	""	"2"	"620"	""	"620"	""	""
"286"	"142"	"86"	"30"	"3"	""	"252"	"3"	"3"	"0"	"2"	"3"	"2"	""	"1"	""	"1"	""	"1"	"3"	"2"	"6"	"13"	"45"	""	"3"	"459"	""	"459"	""	""
"287"	"143"	"152"	"5"	"49"	""	"247"	"5"	"2"	"5"	"3"	"2"	"5"	""	"0"	""	"2"	""	"4"	"11"	"3"	"10"	"16"	"62"	""	"7"	"590"	""	"590"	""	""
"288"	"144"	"7"	"1"	"3"	""	"329"	"7"	"3"	"2"	"0"	"1"	"2"	""	"0"	""	"2"	""	"2"	"1"	"1"	"1"	"7"	"94"	""	"7"	"470"	""	"470"	""	""
"289"	"145"	"19"	"7"	"2"	""	"280"	"6"	"0"	"4"	"1"	"0"	"3"	""	"0"	""	"1"	""	"2"	"0"	"1"	"4"	"4"	"158"	""	"3"	"495"	""	"495"	""	""
"290"	"146"	"111"	"62"	"33"	""	"24"	"1"	"4"	"1"	"7"	"1"	"7"	""	"1"	""	"0"	""	"4"	"12"	"3"	"9"	"5"	"3"	""	"10"	"298"	""	"298"	""	""
"291"	"147"	"84"	"3"	"49"	""	"207"	"5"	"3"	"4"	"3"	"2"	"0"	""	"0"	""	"2"	""	"2"	"5"	"0"	"4"	"6"	"5"	""	"4"	"388"	""	"388"	""	""
"292"	"148"	"192"	"2"	"60"	""	"14"	"0"	"0"	"2"	"5"	"3"	"31"	""	"1"	""	"0"	""	"1"	"23"	"1"	"3"	"6"	"12"	""	"4"	"360"	""	"360"	""	""
"293"	"149"	"93"	"93"	"10"	""	"162"	"4"	"2"	"3"	"61"	"7"	"16"	""	"2"	""	"4"	""	"2"	"1"	"1"	"7"	"6"	"6"	""	"35"	"515"	""	"515"	""	""
"294"	"150"	"167"	"2"	"118"	""	"38"	"0"	"0"	"1"	"2"	"2"	"6"	""	"1"	""	"0"	""	"1"	"0"	"2"	"3"	"1"	"8"	""	"5"	"357"	""	"357"	""	""
"295"	"151"	"228"	"8"	"100"	""	"88"	"1"	"2"	"3"	"5"	"4"	"10"	""	"1"	""	"1"	""	"3"	"13"	"4"	"10"	"3"	"13"	""	"3"	"500"	""	"500"	""	""
"296"	"151 'A'"	"72"	"2"	"21"	""	"93"	"1"	"0"	"4"	"8"	"5"	"21"	""	"1"	""	"5"	""	"4"	"5"	"1"	"18"	"3"	"10"	""	"2"	"276"	""	"276"	""	""
"297"	"152"	"67"	"1"	"35"	""	"12"	"1"	"1"	"3"	"1"	"1"	"6"	""	"0"	""	"0"	""	"0"	"11"	"0"	"1"	"0"	"1"	""	"0"	"141"	""	"141"	""	""
"298"	"153"	"122"	"51"	"6"	""	"63"	"1"	"3"	"1"	"2"	"6"	"25"	""	"4"	""	"1"	""	"3"	"6"	"6"	"9"	"9"	"1"	""	"9"	"328"	""	"328"	""	""
"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"302"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Total"	"1576"	"313"	"497"	""	"2046"	"39"	"25"	"46"	"121"	"46"	"137"	""	"12"	""	"22"	""	"32"	"95"	"26"	"88"	"84"	"498"	"94"	""	"5797"	""	"5797"	""	""
"305"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"309"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"310"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"311"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"312"	"Round 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"154"	"12"	"20"	"2"	""	"205"	"4"	"1"	"4"	"0"	"0"	"13"	""	"0"	""	"1"	""	"1"	"2"	"0"	"2"	"3"	"9"	""	"1"	"280"	""	"280"	""	""
"314"	"155"	"83"	"4"	"41"	""	"200"	"5"	"3"	"3"	"0"	"12"	"136"	""	"2"	""	"4"	""	"6"	"10"	"2"	"8"	"8"	"17"	""	"19"	"563"	""	"563"	""	""
"315"	"156"	"98"	"1"	"48"	""	"8"	"1"	"1"	"6"	"13"	"12"	"93"	""	"6"	""	"1"	""	"2"	"11"	"4"	"17"	"8"	"0"	""	"30"	"360"	""	"360"	""	""
"316"	"157"	"12"	"4"	"6"	""	"85"	"1"	"2"	"3"	"13"	"2"	"28"	""	"1"	""	"1"	""	"10"	"247"	"7"	"6"	"1"	"0"	""	"1"	"430"	""	"430"	""	""
"317"	"158"	"8"	"6"	"1"	""	"215"	"5"	"0"	"1"	"1"	"0"	"1"	""	"0"	""	"0"	""	"2"	"4"	"0"	"1"	"0"	"16"	""	"1"	"262"	""	"262"	""	""
"318"	"159"	"63"	"10"	"12"	""	"120"	"2"	"4"	"5"	"16"	"11"	"103"	""	"1"	""	"3"	""	"4"	"21"	"4"	"6"	"10"	"7"	""	"3"	"405"	""	"405"	""	""
"319"	"160"	"78"	"1"	"28"	""	"3"	"3"	"0"	"6"	"1"	"8"	"54"	""	"0"	""	"2"	""	"1"	"8"	"0"	"4"	"3"	"3"	""	"1"	"204"	""	"204"	""	""
"320"	"161"	"74"	"8"	"69"	""	"71"	"5"	"2"	"6"	"4"	"14"	"71"	""	"5"	""	"5"	""	"2"	"12"	"4"	"15"	"2"	"8"	""	"9"	"386"	""	"386"	""	""
"321"	"162"	"77"	"4"	"89"	""	"203"	"2"	"2"	"4"	"1"	"5"	"10"	""	"1"	""	"2"	""	"0"	"1"	"7"	"19"	"1"	"2"	""	"6"	"436"	""	"436"	""	""
"322"	"163"	"87"	"4"	"127"	""	"162"	"3"	"2"	"5"	"0"	"13"	"57"	""	"3"	""	"8"	""	"5"	"4"	"0"	"7"	"0"	"3"	""	"0"	"490"	""	"490"	""	""
"323"	"164"	"81"	"5"	"106"	""	"47"	"1"	"3"	"6"	"6"	"11"	"129"	""	"3"	""	"3"	""	"2"	"3"	"3"	"9"	"3"	"2"	""	"2"	"425"	""	"425"	""	""
"324"	"165"	"134"	"7"	"12"	""	"256"	"7"	"6"	"2"	"31"	"17"	"78"	""	"4"	""	"5"	""	"3"	"3"	"3"	"11"	"13"	"36"	""	"47"	"675"	""	"675"	""	""
"325"	"166"	"146"	"2"	"7"	""	"87"	"1"	"3"	"4"	"6"	"9"	"180"	""	"1"	""	"1"	""	"2"	"4"	"2"	"4"	"3"	"0"	""	"1"	"463"	""	"463"	""	""
"326"	"167"	"140"	"11"	"59"	""	"99"	"3"	"3"	"5"	"5"	"11"	"103"	""	"2"	""	"1"	""	"3"	"1"	"2"	"6"	"6"	"7"	""	"23"	"490"	""	"490"	""	""
"327"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"330"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Total"	"1093"	"87"	"607"	""	"1761"	"43"	"32"	"60"	"97"	"125"	"1056"	""	"29"	""	"37"	""	"43"	"331"	"38"	"115"	"61"	"110"	"144"	""	"5869"	""	"5869"	""	""
"333"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"337"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
