"Total.No..of.Electors.in.Assembly.Constituency........200204"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"06- Nautan Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"294"	"164"	"31"	"5"	"155"	"89"	"213"	"17"	"10"	"7"	"8"	"10"	"6"	"133"	"18"	"4"	"5"	"6"	"717"	"0"	"717"	"0"	""
"295"	"165"	"13"	"2"	"58"	"34"	"101"	"14"	"15"	"3"	"3"	"23"	"13"	"79"	"78"	"1"	"3"	"4"	"444"	"0"	"444"	"0"	""
"296"	"Total"	"485"	"64"	"786"	"1802"	"2890"	"229"	"245"	"60"	"75"	"180"	"303"	"399"	"325"	"101"	"76"	"164"	"8184"	"0"	"8184"	"0"	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"06- Nautan Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"307"	"165 A"	"53"	"7"	"158"	"27"	"53"	"15"	"4"	"0"	"2"	"5"	"7"	"9"	"24"	"20"	"3"	"5"	"392"	"0"	"392"	"0"	""
"308"	"166"	"191"	"11"	"107"	"315"	"27"	"15"	"7"	"9"	"16"	"32"	"8"	"10"	"44"	"20"	"11"	"15"	"838"	"0"	"838"	"0"	""
"309"	"167"	"54"	"1"	"190"	"154"	"116"	"14"	"1"	"1"	"9"	"43"	"4"	"8"	"6"	"6"	"2"	"5"	"614"	"0"	"614"	"0"	""
"310"	"168"	"60"	"6"	"10"	"151"	"161"	"12"	"4"	"3"	"4"	"20"	"5"	"7"	"15"	"9"	"13"	"6"	"486"	"0"	"486"	"0"	""
"311"	"169"	"5"	"0"	"387"	"41"	"139"	"9"	"2"	"2"	"3"	"4"	"8"	"53"	"3"	"6"	"4"	"3"	"669"	"0"	"669"	"0"	""
"312"	"170"	"32"	"10"	"138"	"99"	"161"	"8"	"4"	"3"	"2"	"7"	"1"	"10"	"7"	"6"	"3"	"4"	"495"	"0"	"495"	"0"	""
"313"	"171"	"27"	"12"	"47"	"168"	"368"	"22"	"11"	"7"	"8"	"78"	"15"	"13"	"19"	"14"	"10"	"12"	"831"	"0"	"831"	"0"	""
"314"	"172"	"40"	"7"	"148"	"114"	"104"	"28"	"2"	"19"	"3"	"63"	"14"	"9"	"23"	"10"	"11"	"20"	"615"	"0"	"615"	"0"	""
"315"	"173"	"28"	"3"	"1"	"121"	"224"	"19"	"3"	"7"	"7"	"20"	"10"	"13"	"6"	"4"	"6"	"10"	"482"	"0"	"482"	"0"	""
"316"	"174"	"13"	"5"	"226"	"11"	"69"	"111"	"7"	"1"	"4"	"18"	"6"	"4"	"2"	"4"	"2"	"3"	"486"	"0"	"486"	"0"	""
"317"	"175"	"3"	"4"	"197"	"36"	"10"	"83"	"7"	"2"	"4"	"14"	"4"	"5"	"6"	"2"	"2"	"3"	"382"	"0"	"382"	"0"	""
"318"	"176"	"15"	"5"	"96"	"51"	"311"	"70"	"9"	"8"	"7"	"34"	"10"	"13"	"8"	"8"	"10"	"32"	"687"	"0"	"687"	"0"	""
"319"	"177"	"7"	"2"	"54"	"15"	"250"	"69"	"3"	"1"	"2"	"30"	"5"	"0"	"6"	"2"	"1"	"6"	"453"	"0"	"453"	"0"	""
"320"	"178"	"10"	"15"	"24"	"21"	"273"	"11"	"2"	"8"	"6"	"58"	"5"	"14"	"16"	"10"	"6"	"18"	"497"	"0"	"497"	"0"	""
"321"	"Total"	"538"	"88"	"1783"	"1324"	"2266"	"486"	"66"	"71"	"77"	"426"	"102"	"168"	"185"	"121"	"84"	"142"	"7927"	"0"	"7927"	"0"	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"06- Nautan Legislative Assembly Constituency (Round - 14)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"332"	"179"	"17"	"10"	"25"	"115"	"248"	"47"	"8"	"25"	"3"	"5"	"11"	"4"	"3"	"8"	"9"	"6"	"544"	"0"	"544"	"0"	""
"333"	"180"	"13"	"4"	"17"	"95"	"360"	"55"	"5"	"7"	"5"	"6"	"12"	"8"	"4"	"8"	"4"	"3"	"606"	"0"	"606"	"0"	""
"334"	"181"	"7"	"0"	"19"	"38"	"386"	"18"	"10"	"75"	"2"	"12"	"19"	"4"	"4"	"4"	"2"	"23"	"623"	"0"	"623"	"0"	""
"335"	"182"	"18"	"27"	"40"	"81"	"424"	"48"	"10"	"50"	"5"	"14"	"32"	"10"	"13"	"15"	"8"	"26"	"821"	"0"	"821"	"0"	""
"336"	"183"	"34"	"6"	"27"	"56"	"50"	"30"	"2"	"4"	"4"	"28"	"6"	"3"	"5"	"4"	"6"	"2"	"267"	"0"	"267"	"0"	""
"337"	"184"	"37"	"4"	"13"	"105"	"205"	"77"	"4"	"11"	"7"	"61"	"23"	"5"	"19"	"14"	"10"	"6"	"601"	"0"	"601"	"0"	""
"338"	"185"	"18"	"1"	"17"	"14"	"44"	"6"	"12"	"6"	"9"	"224"	"12"	"5"	"9"	"3"	"5"	"4"	"389"	"0"	"389"	"0"	""
"339"	"186"	"6"	"8"	"5"	"54"	"205"	"5"	"10"	"13"	"7"	"117"	"20"	"4"	"19"	"11"	"9"	"16"	"509"	"0"	"509"	"0"	""
"340"	"187"	"67"	"13"	"43"	"113"	"119"	"51"	"6"	"8"	"9"	"233"	"9"	"1"	"14"	"1"	"9"	"13"	"709"	"0"	"709"	"0"	""
"341"	"188"	"3"	"7"	"7"	"10"	"164"	"10"	"6"	"8"	"6"	"183"	"6"	"4"	"11"	"3"	"3"	"8"	"439"	"0"	"439"	"0"	""
"342"	"189"	"44"	"4"	"13"	"49"	"122"	"35"	"10"	"9"	"4"	"210"	"17"	"10"	"19"	"14"	"3"	"10"	"573"	"0"	"573"	"0"	""
"343"	"190"	"7"	"0"	"13"	"25"	"114"	"14"	"2"	"3"	"0"	"13"	"5"	"2"	"2"	"5"	"1"	"5"	"211"	"0"	"211"	"0"	""
"344"	"191"	"5"	"1"	"11"	"142"	"135"	"10"	"9"	"2"	"5"	"14"	"1"	"1"	"7"	"2"	"1"	"2"	"348"	"0"	"348"	"0"	""
"345"	"192"	"15"	"0"	"7"	"78"	"80"	"26"	"6"	"203"	"7"	"5"	"5"	"3"	"9"	"4"	"2"	"4"	"454"	"0"	"454"	"0"	""
"346"	"Total"	"291"	"85"	"257"	"975"	"2656"	"432"	"100"	"424"	"73"	"1125"	"178"	"64"	"138"	"96"	"72"	"128"	"7094"	"0"	"7094"	"0"	""
"347"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"06- Nautan Legislative Assembly Constituency (Round - 15)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"356"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"357"	"193"	"12"	"3"	"27"	"28"	"149"	"120"	"3"	"63"	"2"	"5"	"11"	"4"	"4"	"2"	"0"	"5"	"438"	"0"	"438"	"0"	""
"358"	"194"	"60"	"5"	"78"	"161"	"303"	"10"	"8"	"4"	"9"	"45"	"15"	"3"	"9"	"8"	"3"	"6"	"727"	"0"	"727"	"0"	""
"359"	"195"	"7"	"4"	"12"	"177"	"152"	"34"	"3"	"2"	"3"	"14"	"2"	"7"	"13"	"23"	"10"	"9"	"472"	"0"	"472"	"0"	""
"360"	"196"	"7"	"7"	"103"	"32"	"224"	"23"	"8"	"2"	"6"	"39"	"10"	"4"	"10"	"5"	"4"	"9"	"493"	"0"	"493"	"0"	""
"361"	"197"	"111"	"7"	"66"	"309"	"72"	"9"	"4"	"1"	"7"	"19"	"18"	"10"	"20"	"12"	"15"	"9"	"689"	"0"	"689"	"0"	""
"362"	"198"	"63"	"5"	"23"	"163"	"110"	"15"	"3"	"4"	"1"	"10"	"4"	"5"	"12"	"14"	"5"	"1"	"438"	"0"	"438"	"0"	""
"363"	"Total"	"260"	"31"	"309"	"870"	"1010"	"211"	"29"	"76"	"28"	"132"	"60"	"33"	"68"	"64"	"37"	"39"	"3257"	"0"	"3257"	"0"	""
"364"	"Postal
Ballot"	"27"	"3"	"16"	"71"	"84"	"31"	"0"	"4"	"1"	"3"	"1"	"0"	"3"	"1"	"0"	"0"	"245"	"4"	"249"	"0"	""
"365"	"Grand
Total"	"8521"	"1717"	"15764"	"18130"	"40894"	"6484"	"1019"	"1110"	"840"	"4288"	"2079"	"1497"	"3930"	"1707"	"1204"	"2923"	"112107"	"4"	"112111"	"0"	""
"366"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
