"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Form.20"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"348"	"193"	"38"	"738"	"33"	"36"	"12"	"1"	"2"	"1"	"2"	"1"	"2"	"4"	"2"	"1"	"32"	"5"	"9"	"919"
"349"	"194"	"11"	"354"	"36"	"113"	"15"	"2"	"1"	"5"	"2"	"3"	"1"	"3"	"4"	"5"	"68"	"26"	"9"	"658"
"350"	"195"	"13"	"489"	"11"	"65"	"76"	"3"	"4"	"5"	"5"	"4"	"2"	"2"	"2"	"10"	"23"	"9"	"18"	"741"
"351"	""	"279"	"3988"	"229"	"4106"	"221"	"32"	"91"	"32"	"21"	"28"	"19"	"57"	"97"	"105"	"208"	"129"	"130"	"9772"
"352"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"353"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"354"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"356"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"359"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"360"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"362"	"Round-16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"196"	"8"	"338"	"17"	"86"	"14"	"4"	"2"	"1"	"3"	"2"	"1"	"1"	"8"	"5"	"22"	"14"	"13"	"539"
"364"	"197"	"10"	"476"	"10"	"39"	"36"	"1"	"1"	"4"	"0"	"2"	"2"	"4"	"6"	"11"	"55"	"32"	"10"	"699"
"365"	"198"	"36"	"492"	"22"	"80"	"7"	"5"	"12"	"4"	"4"	"2"	"1"	"3"	"2"	"5"	"8"	"4"	"12"	"699"
"366"	"199"	"12"	"586"	"40"	"227"	"5"	"2"	"6"	"2"	"1"	"4"	"2"	"4"	"1"	"10"	"17"	"13"	"5"	"937"
"367"	"200"	"22"	"462"	"36"	"266"	"8"	"1"	"15"	"4"	"5"	"4"	"6"	"10"	"24"	"11"	"19"	"56"	"22"	"971"
"368"	"201"	"12"	"508"	"19"	"14"	"2"	"0"	"1"	"3"	"23"	"2"	"1"	"0"	"2"	"0"	"2"	"3"	"8"	"600"
"369"	"202"	"24"	"332"	"18"	"140"	"22"	"3"	"8"	"0"	"5"	"6"	"4"	"6"	"7"	"13"	"7"	"10"	"19"	"624"
"370"	"203"	"5"	"273"	"25"	"41"	"292"	"2"	"18"	"5"	"8"	"6"	"5"	"8"	"8"	"14"	"213"	"25"	"5"	"953"
"371"	"204"	"7"	"432"	"10"	"7"	"89"	"2"	"2"	"2"	"2"	"4"	"3"	"5"	"2"	"7"	"49"	"15"	"3"	"641"
"372"	"205"	"9"	"320"	"22"	"15"	"77"	"2"	"0"	"0"	"2"	"0"	"1"	"1"	"3"	"11"	"99"	"18"	"6"	"586"
"373"	"206"	"16"	"185"	"11"	"411"	"21"	"5"	"24"	"3"	"5"	"3"	"3"	"10"	"22"	"16"	"18"	"37"	"37"	"827"
"374"	"207"	"12"	"445"	"7"	"115"	"3"	"1"	"4"	"0"	"3"	"2"	"5"	"8"	"16"	"12"	"20"	"17"	"12"	"682"
"375"	"208"	"18"	"405"	"23"	"251"	"8"	"4"	"10"	"3"	"1"	"3"	"1"	"6"	"3"	"6"	"11"	"7"	"2"	"762"
"376"	"209"	"8"	"304"	"17"	"224"	"9"	"2"	"9"	"3"	"4"	"3"	"3"	"9"	"19"	"12"	"16"	"12"	"1"	"655"
"377"	""	"199"	"5558"	"277"	"1916"	"593"	"34"	"112"	"34"	"66"	"43"	"38"	"75"	"123"	"133"	"556"	"263"	"155"	"10175"
"378"	"Round-17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"210"	"10"	"361"	"7"	"166"	"2"	"0"	"2"	"0"	"0"	"3"	"1"	"1"	"6"	"6"	"12"	"8"	"3"	"588"
"380"	"211"	"11"	"25"	"3"	"410"	"17"	"1"	"4"	"0"	"0"	"4"	"2"	"2"	"23"	"5"	"1"	"9"	"2"	"519"
"381"	"212"	"10"	"398"	"22"	"184"	"13"	"2"	"5"	"2"	"2"	"2"	"6"	"5"	"6"	"5"	"11"	"29"	"18"	"720"
"382"	"213"	"8"	"206"	"15"	"251"	"9"	"4"	"6"	"5"	"4"	"3"	"3"	"8"	"21"	"9"	"14"	"28"	"15"	"609"
"383"	"214"	"15"	"181"	"33"	"321"	"16"	"5"	"12"	"2"	"5"	"3"	"3"	"8"	"4"	"12"	"6"	"6"	"21"	"653"
"384"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"385"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"386"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"388"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"391"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"392"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"394"	"215"	"16"	"7"	"23"	"489"	"6"	"1"	"6"	"4"	"2"	"4"	"1"	"2"	"25"	"10"	"5"	"5"	"35"	"641"
"395"	"216"	"34"	"5"	"20"	"455"	"134"	"4"	"12"	"3"	"3"	"6"	"1"	"1"	"2"	"13"	"2"	"1"	"5"	"701"
"396"	"217"	"39"	"88"	"26"	"267"	"123"	"6"	"11"	"1"	"3"	"6"	"2"	"8"	"13"	"12"	"9"	"23"	"14"	"651"
"397"	"218"	"14"	"6"	"11"	"420"	"54"	"2"	"16"	"2"	"0"	"2"	"3"	"1"	"6"	"7"	"0"	"3"	"16"	"563"
"398"	"219"	"22"	"110"	"15"	"449"	"26"	"5"	"7"	"1"	"0"	"2"	"2"	"3"	"6"	"7"	"12"	"4"	"2"	"673"
"399"	"220"	"14"	"5"	"12"	"630"	"22"	"1"	"5"	"0"	"1"	"4"	"0"	"2"	"7"	"4"	"2"	"0"	"0"	"709"
"400"	"221"	"22"	"46"	"22"	"259"	"7"	"1"	"7"	"3"	"3"	"2"	"1"	"1"	"3"	"7"	"9"	"10"	"9"	"412"
"401"	"222"	"28"	"15"	"14"	"355"	"14"	"2"	"5"	"1"	"1"	"1"	"0"	"6"	"13"	"9"	"2"	"1"	"6"	"473"
"402"	"223"	"12"	"3"	"12"	"384"	"14"	"2"	"12"	"0"	"1"	"2"	"0"	"1"	"6"	"8"	"2"	"3"	"2"	"464"
"403"	""	"255"	"1456"	"235"	"5040"	"457"	"36"	"110"	"24"	"25"	"44"	"25"	"49"	"141"	"114"	"87"	"130"	"148"	"8376"
"404"	"Round-18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"224"	"31"	"20"	"10"	"470"	"26"	"2"	"16"	"1"	"0"	"1"	"1"	"6"	"12"	"9"	"10"	"7"	"40"	"662"
"406"	"225"	"28"	"161"	"21"	"510"	"23"	"4"	"21"	"5"	"2"	"3"	"2"	"0"	"7"	"15"	"4"	"6"	"13"	"825"
"407"	""	"59"	"181"	"31"	"980"	"49"	"6"	"37"	"6"	"2"	"4"	"3"	"6"	"19"	"24"	"14"	"13"	"53"	"1487"
"408"	"Total:"	"4300"	"70460"	"8185"	"43636"	"2386"	"678"	"1379"	"601"	"574"	"555"	"494"	"743"	"1454"	"1885"	"2534"	"2145"	"1953"	"143962"
"409"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"Postal Ballot"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"411"	"Grand Total:"	"4300"	"70463"	"8185"	"43636"	"2386"	"678"	"1379"	"601"	"574"	"555"	"494"	"743"	"1454"	"1885"	"2534"	"2145"	"1953"	"143965"
"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
