"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X261312.83.261395.39.Phulparas"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"249"	"168"	"15"	"403"	"0"	"4"	"18"	"35"	"13"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"9"	"1"	"2"	"1"	"26"	"533"	""	"533"	""
"250"	"169"	"12"	"74"	"2"	"3"	"27"	"2"	"1"	"2"	"0"	"5"	"11"	"3"	"2"	"4"	"2"	"6"	"8"	"10"	"6"	"377"	"557"	""	"557"	""
"251"	"170"	"14"	"113"	"2"	"3"	"62"	"4"	"8"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"6"	"17"	"8"	"5"	"450"	"699"	""	"699"	""
"252"	"171"	"14"	"115"	"3"	"5"	"20"	"10"	"6"	"1"	"2"	"17"	"15"	"6"	"7"	"6"	"11"	"43"	"9"	"8"	"8"	"200"	"506"	""	"506"	""
"253"	"172"	"20"	"175"	"2"	"9"	"34"	"13"	"4"	"3"	"2"	"3"	"7"	"1"	"3"	"6"	"2"	"14"	"8"	"9"	"7"	"438"	"760"	""	"760"	""
"254"	"173"	"11"	"82"	"6"	"8"	"45"	"37"	"8"	"2"	"2"	"36"	"21"	"3"	"5"	"11"	"1"	"32"	"14"	"3"	"8"	"372"	"707"	""	"707"	""
"255"	"174"	"17"	"36"	"15"	"14"	"96"	"7"	"3"	"5"	"2"	"8"	"18"	"2"	"10"	"5"	"10"	"27"	"10"	"6"	"11"	"253"	"555"	""	"555"	""
"256"	"175"	"20"	"92"	"7"	"3"	"4"	"4"	"1"	"2"	"1"	"1"	"7"	"1"	"3"	"0"	"3"	"8"	"15"	"3"	"9"	"416"	"600"	""	"600"	""
"257"	"176"	"17"	"64"	"1"	"3"	"33"	"4"	"3"	"1"	"0"	"5"	"14"	"0"	"2"	"6"	"5"	"10"	"26"	"10"	"4"	"452"	"660"	""	"660"	""
"258"	"Total -13"	"228"	"2048"	"61"	"99"	"887"	"211"	"87"	"30"	"16"	"101"	"120"	"39"	"43"	"81"	"50"	"179"	"131"	"86"	"70"	"3092"	"7659"	"0"	"7659"	"0"
"259"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"263"	"B.F."	"3240"	"26774"	"1801"	"2651"	"16242"	"4811"	"4805"	"1094"	"573"	"5702"	"2030"	"807"	"1070"	"1425"	"1167"	"5525"	"1214"	"7267"	"585"	"4081"	"92864"	"0"	"92864"	"0"
"264"	"177"	"2"	"35"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"3"	"3"	"1"	"0"	"1"	"1"	"4"	"16"	"4"	"2"	"320"	"398"	""	"398"	""
"265"	"178"	"20"	"43"	"4"	"6"	"113"	"6"	"5"	"7"	"2"	"6"	"13"	"11"	"4"	"12"	"10"	"20"	"28"	"4"	"11"	"221"	"546"	""	"546"	""
"266"	"179"	"18"	"58"	"4"	"8"	"273"	"3"	"8"	"3"	"2"	"6"	"12"	"2"	"1"	"1"	"2"	"6"	"8"	"2"	"3"	"44"	"464"	""	"464"	""
"267"	"180"	"13"	"33"	"0"	"4"	"45"	"5"	"3"	"2"	"3"	"16"	"15"	"4"	"9"	"10"	"16"	"77"	"31"	"8"	"9"	"435"	"738"	""	"738"	""
"268"	"181"	"3"	"70"	"5"	"3"	"111"	"6"	"2"	"6"	"2"	"3"	"11"	"4"	"3"	"3"	"3"	"17"	"4"	"8"	"4"	"249"	"517"	""	"517"	""
"269"	"182"	"26"	"34"	"9"	"5"	"315"	"12"	"2"	"5"	"3"	"3"	"6"	"4"	"2"	"2"	"5"	"14"	"7"	"11"	"4"	"188"	"657"	""	"657"	""
"270"	"183"	"17"	"111"	"4"	"6"	"290"	"13"	"10"	"7"	"6"	"10"	"11"	"9"	"8"	"6"	"10"	"39"	"18"	"9"	"5"	"62"	"651"	""	"651"	""
"271"	"184"	"7"	"35"	"1"	"2"	"17"	"4"	"1"	"1"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"4"	"12"	"11"	"9"	"180"	"289"	""	"289"	""
"272"	"185"	"33"	"45"	"5"	"3"	"33"	"11"	"15"	"1"	"4"	"2"	"11"	"3"	"4"	"9"	"3"	"12"	"15"	"6"	"8"	"248"	"471"	""	"471"	""
"273"	"186"	"23"	"8"	"1"	"9"	"88"	"4"	"1"	"4"	"2"	"8"	"7"	"2"	"6"	"4"	"2"	"11"	"9"	"2"	"3"	"207"	"401"	""	"401"	""
"274"	"187"	"89"	"79"	"10"	"22"	"186"	"7"	"8"	"25"	"3"	"10"	"10"	"2"	"3"	"5"	"2"	"10"	"3"	"4"	"1"	"68"	"547"	""	"547"	""
"275"	"188"	"5"	"41"	"3"	"0"	"8"	"1"	"1"	"0"	"0"	"2"	"3"	"1"	"3"	"0"	"3"	"14"	"5"	"3"	"3"	"105"	"201"	""	"201"	""
"276"	"189"	"9"	"215"	"3"	"9"	"31"	"2"	"4"	"1"	"3"	"3"	"5"	"4"	"2"	"7"	"3"	"6"	"20"	"16"	"15"	"267"	"625"	""	"625"	""
"277"	"190"	"12"	"201"	"8"	"16"	"136"	"4"	"5"	"1"	"0"	"3"	"13"	"0"	"0"	"1"	"1"	"1"	"15"	"21"	"8"	"109"	"555"	""	"555"	""
"278"	"Total -14"	"277"	"1008"	"57"	"94"	"1648"	"79"	"66"	"63"	"31"	"75"	"124"	"47"	"45"	"62"	"61"	"235"	"191"	"109"	"85"	"2703"	"7060"	"0"	"7060"	"0"
"279"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"283"	"B.F."	"3517"	"27782"	"1858"	"2745"	"17890"	"4890"	"4871"	"1157"	"604"	"5777"	"2154"	"854"	"1115"	"1487"	"1228"	"5760"	"1405"	"7376"	"670"	"6784"	"99924"	"0"	"99924"	"0"
"284"	"191"	"6"	"116"	"0"	"3"	"13"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"1"	"3"	"23"	"177"	""	"177"	""
"285"	"192"	"12"	"115"	"3"	"7"	"4"	"8"	"0"	"1"	"0"	"6"	"16"	"12"	"9"	"11"	"4"	"12"	"8"	"6"	"34"	"204"	"472"	""	"472"	""
"286"	"193"	"35"	"128"	"9"	"21"	"69"	"4"	"12"	"10"	"8"	"74"	"17"	"12"	"5"	"14"	"9"	"16"	"16"	"32"	"31"	"188"	"710"	""	"710"	""
"287"	"194"	"15"	"94"	"12"	"7"	"6"	"52"	"4"	"1"	"0"	"4"	"10"	"5"	"6"	"11"	"4"	"13"	"11"	"22"	"9"	"102"	"388"	""	"388"	""
"288"	"195"	"17"	"111"	"4"	"6"	"7"	"41"	"3"	"3"	"2"	"3"	"12"	"5"	"2"	"4"	"4"	"19"	"1"	"28"	"8"	"97"	"377"	""	"377"	""
"289"	"196"	"14"	"186"	"7"	"8"	"40"	"28"	"4"	"4"	"2"	"1"	"5"	"5"	"2"	"5"	"1"	"27"	"4"	"22"	"2"	"28"	"395"	""	"395"	""
"290"	"197"	"9"	"110"	"2"	"5"	"5"	"4"	"8"	"14"	"4"	"7"	"5"	"2"	"3"	"1"	"2"	"1"	"9"	"16"	"5"	"18"	"230"	""	"230"	""
"291"	"198"	"28"	"71"	"6"	"7"	"155"	"6"	"7"	"4"	"2"	"4"	"6"	"7"	"2"	"5"	"5"	"20"	"4"	"13"	"1"	"11"	"364"	""	"364"	""
"292"	"199"	"17"	"40"	"10"	"5"	"43"	"6"	"6"	"4"	"1"	"5"	"8"	"1"	"2"	"4"	"6"	"7"	"13"	"7"	"5"	"50"	"240"	""	"240"	""
"293"	"200"	"36"	"83"	"18"	"30"	"180"	"4"	"66"	"9"	"5"	"7"	"8"	"3"	"2"	"3"	"2"	"2"	"4"	"4"	"2"	"23"	"491"	""	"491"	""
"294"	"201"	"12"	"285"	"8"	"11"	"7"	"2"	"2"	"3"	"4"	"4"	"12"	"11"	"6"	"7"	"9"	"20"	"2"	"10"	"0"	"46"	"461"	""	"461"	""
"295"	"202"	"18"	"220"	"2"	"11"	"13"	"6"	"3"	"1"	"2"	"8"	"14"	"3"	"5"	"5"	"5"	"6"	"1"	"4"	"4"	"42"	"373"	""	"373"	""
"296"	"203"	"21"	"120"	"7"	"7"	"99"	"32"	"20"	"5"	"5"	"4"	"6"	"4"	"3"	"3"	"7"	"15"	"2"	"5"	"4"	"12"	"381"	""	"381"	""
"297"	"204"	"4"	"141"	"2"	"5"	"134"	"6"	"3"	"1"	"0"	"2"	"2"	"2"	"0"	"2"	"1"	"1"	"1"	"4"	"0"	"3"	"314"	""	"314"	""
"298"	"Total -15"	"244"	"1820"	"90"	"133"	"775"	"201"	"140"	"62"	"35"	"129"	"121"	"72"	"49"	"76"	"59"	"160"	"78"	"174"	"108"	"847"	"5373"	"0"	"5373"	"0"
"299"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"303"	"B.F."	"3761"	"29602"	"1948"	"2878"	"18665"	"5091"	"5011"	"1219"	"639"	"5906"	"2275"	"926"	"1164"	"1563"	"1287"	"5920"	"1483"	"7550"	"778"	"7631"	"105297"	"0"	"105297"	"0"
"304"	"205"	"12"	"167"	"11"	"7"	"51"	"7"	"3"	"3"	"1"	"6"	"3"	"1"	"3"	"6"	"4"	"6"	"12"	"9"	"2"	"104"	"418"	""	"418"	""
"305"	"206"	"24"	"134"	"9"	"7"	"243"	"14"	"10"	"1"	"2"	"5"	"9"	"6"	"4"	"5"	"7"	"9"	"11"	"5"	"1"	"29"	"535"	""	"535"	""
"306"	"207"	"6"	"124"	"39"	"3"	"9"	"2"	"1"	"1"	"1"	"1"	"4"	"0"	"0"	"1"	"2"	"2"	"2"	"5"	"0"	"3"	"206"	""	"206"	""
"307"	"208"	"5"	"286"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"5"	"2"	"2"	"311"	""	"311"	""
"308"	"209"	"5"	"259"	"5"	"2"	"28"	"0"	"0"	"0"	"0"	"2"	"9"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"6"	"322"	""	"322"	""
"309"	"210"	"3"	"119"	"5"	"10"	"46"	"3"	"11"	"0"	"4"	"5"	"6"	"3"	"4"	"3"	"2"	"7"	"3"	"6"	"5"	"10"	"255"	""	"255"	""
"310"	"211"	"7"	"68"	"4"	"0"	"21"	"1"	"0"	"2"	"2"	"10"	"35"	"3"	"2"	"6"	"8"	"13"	"2"	"4"	"3"	"261"	"452"	""	"452"	""
"311"	"212"	"12"	"43"	"3"	"0"	"35"	"2"	"2"	"1"	"2"	"5"	"71"	"1"	"0"	"2"	"0"	"8"	"8"	"5"	"7"	"125"	"332"	""	"332"	""
"312"	"213"	"18"	"28"	"2"	"3"	"18"	"0"	"6"	"5"	"2"	"1"	"27"	"0"	"0"	"3"	"2"	"11"	"11"	"1"	"1"	"168"	"307"	""	"307"	""
"313"	"214"	"6"	"61"	"1"	"3"	"101"	"3"	"12"	"2"	"2"	"17"	"11"	"0"	"2"	"1"	"5"	"5"	"0"	"0"	"3"	"9"	"244"	""	"244"	""
"314"	"215"	"4"	"58"	"1"	"8"	"63"	"0"	"6"	"1"	"2"	"6"	"9"	"2"	"1"	"3"	"2"	"3"	"0"	"4"	"2"	"23"	"198"	""	"198"	""
"315"	"216"	"8"	"63"	"5"	"12"	"99"	"2"	"6"	"3"	"5"	"25"	"9"	"4"	"2"	"4"	"6"	"1"	"10"	"2"	"3"	"18"	"287"	""	"287"	""
"316"	"217"	"13"	"363"	"11"	"17"	"8"	"5"	"3"	"2"	"2"	"11"	"181"	"5"	"2"	"4"	"1"	"3"	"9"	"6"	"4"	"6"	"656"	""	"656"	""
"317"	"218"	"7"	"132"	"1"	"28"	"4"	"2"	"1"	"1"	"0"	"10"	"158"	"2"	"2"	"3"	"2"	"0"	"0"	"1"	"1"	"3"	"358"	""	"358"	""
"318"	"Total -16"	"130"	"1905"	"100"	"101"	"728"	"41"	"62"	"22"	"25"	"105"	"532"	"29"	"23"	"41"	"41"	"72"	"69"	"54"	"34"	"767"	"4881"	"0"	"4881"	"0"
"319"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"321"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"323"	"B.F."	"3891"	"31507"	"2048"	"2979"	"19393"	"5132"	"5073"	"1241"	"664"	"6011"	"2807"	"955"	"1187"	"1604"	"1328"	"5992"	"1552"	"7604"	"812"	"8398"	"110178"	"0"	"110178"	"0"
"324"	"219"	"3"	"165"	"2"	"18"	"10"	"4"	"3"	"4"	"3"	"19"	"268"	"9"	"4"	"10"	"3"	"5"	"1"	"14"	"17"	"24"	"586"	""	"586"	""
"325"	"220"	"10"	"12"	"2"	"15"	"151"	"6"	"6"	"2"	"2"	"8"	"63"	"2"	"2"	"2"	"3"	"8"	"4"	"1"	"1"	"9"	"309"	""	"309"	""
"326"	"221"	"4"	"26"	"4"	"7"	"15"	"0"	"4"	"0"	"0"	"10"	"63"	"2"	"0"	"1"	"0"	"1"	"3"	"3"	"3"	"0"	"146"	""	"146"	""
"327"	"222"	"13"	"77"	"0"	"3"	"9"	"0"	"1"	"1"	"0"	"1"	"24"	"1"	"0"	"5"	"1"	"2"	"7"	"3"	"2"	"1"	"151"	""	"151"	""
"328"	"223"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"339"	"1"	"0"	"0"	"0"	"5"	"0"	"2"	"0"	"0"	"371"	""	"371"	""
"329"	"224"	"23"	"106"	"4"	"14"	"82"	"3"	"3"	"1"	"3"	"7"	"79"	"11"	"8"	"9"	"8"	"31"	"2"	"6"	"2"	"4"	"406"	""	"406"	""
"330"	"225"	"3"	"52"	"2"	"7"	"95"	"1"	"9"	"1"	"2"	"2"	"2"	"1"	"0"	"0"	"1"	"1"	"7"	"11"	"2"	"8"	"207"	""	"207"	""
"331"	"226"	"14"	"173"	"6"	"7"	"72"	"1"	"5"	"3"	"1"	"2"	"14"	"1"	"0"	"1"	"0"	"1"	"6"	"2"	"0"	"3"	"312"	""	"312"	""
"332"	"227"	"7"	"220"	"3"	"20"	"68"	"0"	"12"	"3"	"6"	"13"	"12"	"7"	"4"	"6"	"7"	"7"	"4"	"3"	"1"	"3"	"406"	""	"406"	""
"333"	"228"	"11"	"89"	"5"	"5"	"89"	"4"	"3"	"5"	"3"	"37"	"14"	"2"	"3"	"2"	"4"	"14"	"6"	"52"	"9"	"101"	"458"	""	"458"	""
"334"	"229"	"10"	"171"	"7"	"15"	"103"	"6"	"4"	"5"	"8"	"1"	"15"	"6"	"4"	"6"	"1"	"12"	"5"	"13"	"3"	"8"	"403"	""	"403"	""
"335"	"230"	"8"	"67"	"9"	"3"	"158"	"10"	"2"	"2"	"1"	"24"	"40"	"8"	"4"	"17"	"9"	"40"	"1"	"3"	"4"	"12"	"422"	""	"422"	""
"336"	"231"	"13"	"82"	"2"	"4"	"25"	"0"	"3"	"3"	"0"	"7"	"3"	"3"	"0"	"1"	"1"	"7"	"4"	"15"	"2"	"48"	"223"	""	"223"	""
"337"	"231A"	"14"	"67"	"4"	"5"	"59"	"4"	"4"	"3"	"4"	"21"	"9"	"1"	"9"	"2"	"5"	"11"	"18"	"24"	"12"	"167"	"443"	""	"443"	""
"338"	"Total -17"	"134"	"1329"	"50"	"123"	"936"	"39"	"59"	"33"	"33"	"153"	"945"	"55"	"38"	"62"	"43"	"145"	"68"	"152"	"58"	"388"	"4843"	"0"	"4843"	"0"
"339"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"341"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"342"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"343"	"B.F."	"4025"	"32836"	"2098"	"3102"	"20329"	"5171"	"5132"	"1274"	"697"	"6164"	"3752"	"1010"	"1225"	"1666"	"1371"	"6137"	"1620"	"7756"	"870"	"8786"	"115021"	"0"	"115021"	"0"
"344"	"232"	"27"	"408"	"17"	"15"	"65"	"22"	"4"	"7"	"6"	"22"	"16"	"7"	"5"	"19"	"4"	"13"	"6"	"25"	"6"	"4"	"698"	""	"698"	""
"345"	"233"	"19"	"104"	"5"	"11"	"60"	"102"	"9"	"3"	"3"	"34"	"10"	"3"	"2"	"4"	"5"	"4"	"4"	"5"	"0"	"15"	"402"	""	"402"	""
"346"	"234"	"17"	"209"	"5"	"5"	"62"	"5"	"6"	"1"	"5"	"4"	"4"	"3"	"0"	"2"	"2"	"7"	"2"	"4"	"0"	"2"	"345"	""	"345"	""
"347"	"235"	"20"	"40"	"6"	"5"	"65"	"3"	"22"	"10"	"5"	"23"	"8"	"2"	"8"	"161"	"8"	"6"	"22"	"33"	"16"	"27"	"490"	""	"490"	""
"348"	"236"	"8"	"34"	"1"	"5"	"98"	"4"	"4"	"5"	"1"	"14"	"56"	"0"	"1"	"1"	"2"	"5"	"0"	"2"	"0"	"2"	"243"	""	"243"	""
"349"	"237"	"20"	"118"	"3"	"8"	"95"	"16"	"4"	"2"	"2"	"5"	"4"	"3"	"1"	"2"	"4"	"16"	"0"	"9"	"2"	"7"	"321"	""	"321"	""
"350"	"238"	"15"	"116"	"3"	"6"	"204"	"15"	"24"	"35"	"12"	"6"	"8"	"7"	"5"	"9"	"8"	"27"	"3"	"3"	"1"	"7"	"514"	""	"514"	""
"351"	"239"	"69"	"205"	"30"	"27"	"198"	"6"	"30"	"5"	"8"	"12"	"10"	"9"	"1"	"7"	"10"	"12"	"12"	"7"	"7"	"11"	"676"	""	"676"	""
"352"	"240"	"65"	"188"	"2"	"4"	"35"	"12"	"9"	"2"	"2"	"3"	"5"	"16"	"2"	"4"	"13"	"26"	"4"	"3"	"0"	"7"	"402"	""	"402"	""
"353"	"241"	"5"	"67"	"3"	"6"	"87"	"8"	"5"	"8"	"1"	"1"	"2"	"7"	"1"	"6"	"4"	"4"	"2"	"0"	"1"	"10"	"228"	""	"228"	""
"354"	"241A"	"23"	"147"	"7"	"7"	"159"	"12"	"10"	"9"	"1"	"1"	"6"	"2"	"3"	"15"	"3"	"4"	"3"	"5"	"4"	"11"	"432"	""	"432"	""
"355"	"242"	"35"	"115"	"8"	"19"	"78"	"9"	"8"	"4"	"4"	"13"	"8"	"10"	"5"	"7"	"6"	"10"	"11"	"21"	"2"	"25"	"398"	""	"398"	""
"356"	"243"	"41"	"131"	"7"	"8"	"72"	"36"	"5"	"5"	"4"	"4"	"4"	"1"	"2"	"3"	"3"	"7"	"5"	"12"	"0"	"21"	"371"	""	"371"	""
"357"	"244"	"13"	"179"	"5"	"17"	"125"	"3"	"4"	"4"	"8"	"12"	"8"	"18"	"6"	"11"	"20"	"23"	"3"	"10"	"9"	"1"	"479"	""	"479"	""
"358"	"Total -18"	"377"	"2061"	"102"	"143"	"1403"	"253"	"144"	"100"	"62"	"154"	"149"	"88"	"42"	"251"	"92"	"164"	"77"	"139"	"48"	"150"	"5999"	"0"	"5999"	"0"
"359"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"361"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"362"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"363"	"B.F."	"4402"	"34897"	"2200"	"3245"	"21732"	"5424"	"5276"	"1374"	"759"	"6318"	"3901"	"1098"	"1267"	"1917"	"1463"	"6301"	"1697"	"7895"	"918"	"8936"	"121020"	"0"	"121020"	"0"
"364"	"245"	"34"	"80"	"8"	"13"	"228"	"18"	"7"	"6"	"2"	"14"	"13"	"34"	"11"	"12"	"21"	"31"	"5"	"10"	"6"	"21"	"574"	""	"574"	""
"365"	"246"	"7"	"35"	"6"	"8"	"60"	"7"	"7"	"3"	"5"	"8"	"13"	"3"	"1"	"38"	"4"	"17"	"0"	"2"	"1"	"11"	"236"	""	"236"	""
"366"	"247"	"27"	"39"	"4"	"3"	"93"	"8"	"14"	"75"	"6"	"7"	"16"	"0"	"2"	"11"	"4"	"17"	"33"	"13"	"15"	"90"	"477"	""	"477"	""
"367"	"248"	"13"	"106"	"8"	"8"	"143"	"4"	"17"	"25"	"199"	"21"	"22"	"7"	"6"	"3"	"6"	"18"	"17"	"8"	"4"	"8"	"643"	""	"643"	""
"368"	"249"	"34"	"100"	"9"	"6"	"121"	"10"	"2"	"4"	"4"	"8"	"3"	"1"	"3"	"3"	"1"	"6"	"1"	"1"	"0"	"4"	"321"	""	"321"	""
"369"	"250"	"20"	"125"	"22"	"22"	"280"	"5"	"12"	"5"	"7"	"3"	"15"	"6"	"6"	"19"	"4"	"10"	"5"	"8"	"1"	"2"	"577"	""	"577"	""
"370"	"251"	"24"	"209"	"6"	"7"	"86"	"6"	"3"	"1"	"4"	"6"	"16"	"5"	"6"	"21"	"11"	"9"	"2"	"2"	"1"	"3"	"428"	""	"428"	""
"371"	"252"	"12"	"43"	"13"	"7"	"185"	"19"	"5"	"2"	"3"	"26"	"8"	"9"	"6"	"13"	"14"	"18"	"1"	"1"	"1"	"7"	"393"	""	"393"	""
"372"	"252A"	"14"	"72"	"10"	"6"	"164"	"4"	"4"	"4"	"0"	"4"	"4"	"2"	"5"	"19"	"3"	"8"	"13"	"17"	"4"	"15"	"372"	""	"372"	""
"373"	"253"	"26"	"62"	"9"	"7"	"310"	"10"	"43"	"13"	"12"	"9"	"8"	"10"	"7"	"17"	"17"	"28"	"6"	"1"	"0"	"3"	"598"	""	"598"	""
