"fo.kku.l.Hkk..ks..l.a....k...oa.uke..04.cxgk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&235166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"266"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"267"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"268"	"211"	"4"	"275"	"49"	"14"	"8"	"12"	"3"	"0"	"0"	"5"	"29"	"2"	"2"	"2"	"2"	"2"	"409"	""	"409"	""
"269"	"212"	"15"	"229"	"10"	"7"	"90"	"3"	"4"	"1"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"1"	"371"	""	"371"	""
"270"	"213"	"29"	"375"	"6"	"3"	"49"	"3"	"3"	"2"	"2"	"2"	"5"	"0"	"0"	"0"	"2"	"7"	"488"	""	"488"	""
"271"	"214"	"1"	"148"	"103"	"6"	"9"	"1"	"1"	"1"	"1"	"5"	"103"	"0"	"7"	"2"	"2"	"6"	"396"	""	"396"	""
"272"	"215"	"14"	"234"	"31"	"4"	"53"	"4"	"3"	"2"	"1"	"4"	"23"	"3"	"3"	"2"	"2"	"4"	"387"	""	"387"	""
"273"	"216"	"8"	"192"	"51"	"8"	"13"	"3"	"3"	"2"	"6"	"4"	"108"	"5"	"10"	"3"	"10"	"6"	"432"	""	"432"	""
"274"	"217"	"8"	"128"	"15"	"1"	"6"	"0"	"4"	"0"	"0"	"5"	"27"	"4"	"2"	"0"	"0"	"1"	"201"	""	"201"	""
"275"	"218"	"28"	"287"	"40"	"4"	"55"	"4"	"3"	"1"	"0"	"3"	"32"	"5"	"4"	"2"	"2"	"4"	"474"	""	"474"	""
"276"	"219"	"5"	"264"	"20"	"19"	"67"	"1"	"0"	"3"	"3"	"6"	"71"	"5"	"8"	"5"	"3"	"8"	"488"	""	"488"	""
"277"	"220"	"8"	"94"	"37"	"21"	"95"	"1"	"3"	"3"	"2"	"2"	"34"	"1"	"3"	"4"	"0"	"0"	"308"	""	"308"	""
"278"	"221"	"15"	"151"	"5"	"5"	"71"	"4"	"9"	"7"	"4"	"6"	"82"	"9"	"10"	"4"	"6"	"9"	"397"	""	"397"	""
"279"	"222"	"12"	"175"	"73"	"17"	"124"	"6"	"5"	"3"	"4"	"4"	"10"	"11"	"8"	"7"	"2"	"13"	"474"	""	"474"	""
"280"	"223"	"14"	"201"	"102"	"1"	"9"	"6"	"1"	"2"	"2"	"2"	"27"	"3"	"2"	"2"	"3"	"0"	"377"	""	"377"	""
"281"	"224"	"34"	"133"	"6"	"1"	"24"	"3"	"8"	"4"	"2"	"2"	"104"	"1"	"10"	"0"	"3"	"2"	"337"	""	"337"	""
"282"	"VksVy"	"195"	"2886"	"548"	"111"	"673"	"51"	"50"	"31"	"28"	"50"	"665"	"49"	"69"	"33"	"37"	"63"	"5539"	"0"	"5539"	"0"
"283"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &04&cxgk"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"fuokZpdksa dh dqy  l a[ ; k&235166                                                                                                   vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"290"	"225"	"17"	"173"	"85"	"15"	"109"	"6"	"10"	"5"	"4"	"8"	"128"	"5"	"3"	"3"	"0"	"6"	"577"	""	"577"	""
"291"	"226"	"1"	"86"	"1"	"0"	"60"	"1"	"0"	"0"	"1"	"1"	"4"	"4"	"0"	"1"	"1"	"2"	"163"	""	"163"	""
"292"	"227"	"22"	"88"	"112"	"17"	"246"	"3"	"2"	"2"	"4"	"0"	"21"	"3"	"10"	"0"	"2"	"8"	"540"	""	"540"	""
"293"	"228"	"24"	"191"	"45"	"2"	"102"	"4"	"1"	"2"	"1"	"3"	"6"	"7"	"2"	"5"	"4"	"10"	"409"	""	"409"	""
"294"	"VksVy"	"64"	"538"	"243"	"34"	"517"	"14"	"13"	"9"	"10"	"12"	"159"	"19"	"15"	"9"	"7"	"26"	"1689"	""	"1689"	"0"
