"TOTAL.NO.OF.ELECTORS.IN.93.KUDHANI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X210265"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"203"	"188"	""	""	"95"	""	"76"	"35"	"5"	""	"2"	"3"	"2"	"1"	"1"	"5"	"3"	"6"	"1"	"4"	"4"	"12"	"4"	"17"	"0"	"13"	"1"	"0"	"0"	"2"	"292"	""	""	""
"204"	"189"	""	""	"192"	""	"94"	"9"	"2"	""	"0"	"1"	"0"	"0"	"5"	"1"	"5"	"3"	"0"	"2"	"4"	"9"	"27"	"12"	"5"	"11"	"3"	"7"	"7"	"6"	"405"	""	""	""
"205"	"190"	""	""	"106"	""	"97"	"59"	"0"	""	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"7"	"8"	"5"	"4"	"12"	"2"	"5"	"0"	"3"	"0"	"0"	"314"	""	""	""
"206"	"191"	""	""	"45"	""	"62"	"11"	"2"	""	"0"	"1"	"2"	"0"	"2"	"2"	"1"	"0"	"2"	"2"	"3"	"0"	"0"	"10"	"0"	"7"	"0"	"0"	"0"	"1"	"153"	""	""	""
"207"	"192"	""	""	"55"	""	"90"	"12"	"3"	""	"0"	"3"	"0"	"0"	"0"	"5"	"0"	"2"	"2"	"4"	"2"	"2"	"3"	"25"	"1"	"8"	"1"	"1"	"1"	"4"	"224"	""	""	""
"208"	"193"	""	""	"120"	""	"95"	"43"	"38"	""	"5"	"1"	"3"	"2"	"7"	"3"	"2"	"2"	"8"	"8"	"7"	"19"	"10"	"16"	"3"	"37"	"0"	"2"	"3"	"6"	"440"	""	""	""
"209"	"194"	""	""	"72"	""	"39"	"11"	"32"	""	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"3"	"0"	"19"	"0"	"0"	"0"	"0"	"188"	""	""	""
"210"	"195"	""	""	"193"	""	"43"	"11"	"7"	""	"0"	"2"	"0"	"1"	"5"	"2"	"2"	"4"	"2"	"10"	"8"	"11"	"8"	"22"	"1"	"48"	"2"	"2"	"1"	"2"	"387"	""	""	""
"211"	"196"	""	""	"240"	""	"54"	"36"	"1"	""	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"5"	"10"	"3"	"5"	"0"	"38"	"0"	"1"	"2"	"1"	"403"	""	""	""
"212"	"197"	""	""	"45"	""	"65"	"34"	"14"	""	"2"	"3"	"4"	"1"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"4"	"0"	"2"	"1"	"7"	"2"	"0"	"2"	"0"	"195"	""	""	""
"213"	"198"	""	""	"108"	""	"56"	"27"	"1"	""	"0"	"2"	"1"	"17"	"0"	"1"	"1"	"2"	"1"	"2"	"5"	"10"	"6"	"28"	"1"	"20"	"0"	"0"	"8"	"1"	"298"	""	""	""
"214"	"199"	""	""	"39"	""	"383"	"56"	"3"	""	"5"	"33"	"2"	"1"	"3"	"7"	"0"	"1"	"1"	"3"	"9"	"7"	"6"	"13"	"4"	"15"	"2"	"3"	"3"	"4"	"603"	""	""	""
"215"	"200"	""	""	"140"	""	"102"	"83"	"48"	""	"1"	"7"	"1"	"2"	"4"	"1"	"2"	"1"	"0"	"5"	"3"	"0"	"10"	"2"	"4"	"48"	"5"	"2"	"5"	"3"	"479"	""	""	""
"216"	"201"	""	""	"96"	""	"18"	"12"	"1"	""	"2"	"1"	"1"	"1"	"0"	"3"	"2"	"2"	"1"	"1"	"2"	"5"	"6"	"6"	"0"	"3"	"0"	"0"	"1"	"1"	"165"	""	""	""
"217"	"202"	""	""	"91"	""	"6"	"147"	"2"	""	"0"	"0"	"0"	"4"	"4"	"4"	"0"	"1"	"2"	"2"	"4"	"2"	"3"	"2"	"4"	"20"	"1"	"0"	"0"	"5"	"304"	""	""	""
"218"	"203"	""	""	"82"	""	"200"	"10"	"30"	""	"2"	"4"	"2"	"2"	"1"	"3"	"2"	"4"	"4"	"5"	"15"	"9"	"5"	"13"	"0"	"17"	"0"	"2"	"1"	"2"	"415"	""	""	""
"219"	"204"	""	""	"154"	""	"200"	"34"	"11"	""	"3"	"12"	"5"	"6"	"3"	"4"	"3"	"0"	"4"	"8"	"13"	"7"	"6"	"13"	"4"	"129"	"1"	"2"	"1"	"6"	"629"	""	""	""
"220"	"205"	""	""	"35"	""	"139"	"55"	"4"	""	"1"	"3"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"10"	"2"	"5"	"0"	"0"	"2"	"3"	"269"	""	""	""
"221"	"206"	""	""	"62"	""	"194"	"119"	"22"	""	"3"	"9"	"0"	"1"	"3"	"3"	"7"	"2"	"4"	"8"	"12"	"8"	"2"	"3"	"3"	"9"	"0"	"1"	"1"	"2"	"478"	""	""	""
"222"	"207"	""	""	"242"	""	"146"	"91"	"1"	""	"1"	"8"	"2"	"5"	"14"	"6"	"4"	"4"	"5"	"23"	"17"	"43"	"7"	"21"	"0"	"31"	"0"	"0"	"3"	"11"	"685"	""	""	""
"223"	"208"	""	""	"150"	""	"128"	"200"	"4"	""	"2"	"10"	"3"	"6"	"1"	"0"	"1"	"2"	"1"	"8"	"9"	"17"	"4"	"5"	"1"	"7"	"1"	"0"	"0"	"4"	"564"	""	""	""
"224"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"226"	"209"	""	""	"161"	""	"181"	"12"	"7"	""	"1"	"4"	"2"	"0"	"1"	"2"	"3"	"4"	"0"	"8"	"7"	"13"	"11"	"35"	"4"	"14"	"2"	"3"	"4"	"13"	"492"	""	""	""
"227"	"210"	""	""	"180"	""	"143"	"56"	"14"	""	"7"	"9"	"3"	"3"	"9"	"7"	"4"	"5"	"8"	"20"	"13"	"25"	"5"	"18"	"2"	"23"	"2"	"2"	"1"	"9"	"568"	""	""	""
"228"	"211"	""	""	"198"	""	"275"	"24"	"7"	""	"0"	"3"	"3"	"3"	"1"	"2"	"1"	"2"	"1"	"4"	"12"	"11"	"23"	"11"	"3"	"19"	"3"	"1"	"2"	"6"	"615"	""	""	""
"229"	"212"	""	""	"34"	""	"211"	"7"	"19"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"8"	"1"	"13"	"0"	"1"	"0"	"0"	"297"	""	""	""
"230"	"213"	""	""	"219"	""	"275"	"11"	"4"	""	"3"	"5"	"3"	"1"	"2"	"5"	"1"	"2"	"0"	"4"	"4"	"10"	"6"	"6"	"2"	"23"	"0"	"0"	"1"	"4"	"591"	""	""	""
"231"	"214"	""	""	"49"	""	"69"	"42"	"6"	""	"1"	"1"	"6"	"5"	"2"	"6"	"1"	"1"	"0"	"3"	"0"	"5"	"2"	"3"	"0"	"2"	"0"	"1"	"0"	"2"	"207"	""	""	""
"232"	"215"	""	""	"123"	""	"176"	"37"	"12"	""	"1"	"2"	"3"	"1"	"1"	"2"	"2"	"0"	"0"	"6"	"7"	"9"	"9"	"12"	"1"	"21"	"0"	"2"	"3"	"4"	"434"	""	""	""
"233"	"216"	""	""	"315"	""	"119"	"29"	"11"	""	"3"	"1"	"0"	"6"	"3"	"2"	"0"	"1"	"4"	"7"	"4"	"12"	"12"	"5"	"2"	"94"	"3"	"2"	"1"	"2"	"638"	""	""	""
"234"	"217"	""	""	"233"	""	"40"	"13"	"0"	""	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"5"	"0"	"2"	"2"	"1"	"0"	"2"	"1"	"306"	""	""	""
"235"	"218"	""	""	"129"	""	"31"	"25"	"2"	""	"0"	"1"	"1"	"1"	"6"	"4"	"2"	"1"	"3"	"6"	"8"	"4"	"8"	"35"	"0"	"35"	"1"	"3"	"4"	"5"	"315"	""	""	""
"236"	"219"	""	""	"129"	""	"73"	"17"	"4"	""	"2"	"0"	"2"	"3"	"3"	"1"	"1"	"2"	"1"	"5"	"7"	"9"	"21"	"14"	"8"	"84"	"7"	"1"	"5"	"7"	"406"	""	""	""
"237"	"220"	""	""	"100"	""	"58"	"5"	"6"	""	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"4"	"0"	"23"	"0"	"0"	"0"	"0"	"201"	""	""	""
"238"	"221"	""	""	"303"	""	"78"	"23"	"7"	""	"1"	"9"	"2"	"9"	"6"	"1"	"6"	"3"	"4"	"12"	"11"	"13"	"15"	"4"	"4"	"26"	"0"	"0"	"4"	"5"	"546"	""	""	""
"239"	"222"	""	""	"304"	""	"170"	"49"	"15"	""	"1"	"1"	"2"	"4"	"3"	"1"	"4"	"0"	"4"	"9"	"20"	"30"	"25"	"8"	"1"	"16"	"0"	"1"	"4"	"5"	"677"	""	""	""
"240"	"223"	""	""	"83"	""	"80"	"76"	"5"	""	"1"	"4"	"2"	"2"	"2"	"5"	"2"	"2"	"4"	"5"	"6"	"14"	"5"	"17"	"4"	"27"	"2"	"2"	"1"	"2"	"353"	""	""	""
"241"	"224"	""	""	"75"	""	"185"	"10"	"4"	""	"1"	"3"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"5"	"11"	"7"	"6"	"2"	"14"	"0"	"1"	"1"	"4"	"336"	""	""	""
"242"	"225"	""	""	"86"	""	"16"	"37"	"1"	""	"0"	"2"	"3"	"4"	"4"	"5"	"2"	"1"	"2"	"8"	"7"	"11"	"4"	"85"	"2"	"37"	"0"	"1"	"0"	"3"	"321"	""	""	""
"243"	"226"	""	""	"215"	""	"96"	"15"	"21"	""	"3"	"6"	"1"	"0"	"4"	"2"	"1"	"3"	"2"	"10"	"9"	"7"	"11"	"33"	"5"	"71"	"6"	"3"	"6"	"3"	"533"	""	""	""
"244"	"227"	""	""	"84"	""	"21"	"5"	"1"	""	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"125"	""	""	""
"245"	"228"	""	""	"106"	""	"27"	"9"	"1"	""	"1"	"3"	"1"	"1"	"7"	"1"	"1"	"1"	"0"	"5"	"6"	"9"	"18"	"0"	"4"	"37"	"0"	"2"	"3"	"7"	"250"	""	""	""
"246"	"229"	""	""	"131"	""	"32"	"26"	"3"	""	"4"	"2"	"7"	"4"	"3"	"2"	"2"	"4"	"1"	"8"	"14"	"18"	"22"	"6"	"1"	"57"	"5"	"5"	"4"	"6"	"367"	""	""	""
"247"	"230"	""	""	"44"	""	"184"	"10"	"4"	""	"0"	"2"	"2"	"0"	"3"	"1"	"0"	"0"	"0"	"3"	"3"	"3"	"1"	"12"	"1"	"17"	"0"	"0"	"0"	"0"	"290"	""	""	""
"248"	"231"	""	""	"32"	""	"197"	"3"	"1"	""	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"19"	"0"	"0"	"1"	"0"	"257"	""	""	""
"249"	"232"	""	""	"145"	""	"36"	"47"	"4"	""	"3"	"0"	"5"	"1"	"4"	"1"	"0"	"3"	"0"	"6"	"3"	"13"	"10"	"8"	"0"	"2"	"0"	"2"	"0"	"3"	"296"	""	""	""
"250"	"30463   35019   15276    2114      572      877      443      498      604      677      340      469      482    1264    1978    2160    1614    3511      566    8121      337      340      494      963           109182"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"TOTAL VOTES POLLED"	""	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	"PS NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	""	""	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	""	""	""	""	"BHAGWANLAL SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	""	""	""	"VINITA VIJAY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	""	""	""	""	"SAMEER KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	""	""	""	""	"DINESH KUMAR KUSHWAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	""	""	""	""	"DEVENDRA RAKESH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	""	""	""	"NEELU SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"109182"	""	"109182"	""	"MAHENDRA PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	""	""	""	""	"MITHILESH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	""	""	""	""	"MOHAMMAD SHAMIM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	""	""	""	""	"MD. RAHAMTULLAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	""	""	""	""	"RAM DAYAL RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	""	""	""	""	"REYAJ AHMAD ATISH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	""	""	""	""	"MD. SALEEM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	""	""	""	"ASHOK KUMAR LALAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	""	""	""	"AHMAD RAZA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	""	""	""	"GEORGE FERNANDES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	""	""	""	""	"TARKESHWAR PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	""	""	""	""	"VIJENDRA CHAUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	""	""	""	"VINOD PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	""	""	""	""	"SHAMBHU SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	""	""	""	""	"SADANAND KISHORE THAKUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	""	""	""	""	"SYED ALAMDAR SUSSAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	""	""	""	""	"NO OF REJECTED VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	""	""	""	""	"TOTAL NO OF TENDER VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
