"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"
"341"	"214"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"85"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"4"	""	""	""	"104"	""	""	""	""	""	""	""
"342"	"215"	""	""	""	""	"12"	""	""	""	""	"29"	""	""	""	""	"49"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	"46"	""	""	""	"1"	""	""	"1"	""	""	""	"152"	""	""	""	""	""	""	""
"343"	"216"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"    0  "	""	""	""	""	""	""	""
"344"	"217"	""	""	""	""	"12"	""	""	""	""	"203"	""	""	""	""	"236"	""	""	""	""	"92"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"26"	""	""	""	"2"	""	""	"0"	""	""	""	"576"	""	""	""	""	""	""	""
"345"	"218"	""	""	""	""	"21"	""	""	""	""	"107"	""	""	""	""	"62"	""	""	""	""	"309"	""	""	""	""	""	"7"	""	""	""	"6"	""	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	"18"	""	""	""	"2"	""	""	"5"	""	""	""	"546  "	""	""	""	""	""	""	""
"346"	"219"	""	""	""	""	"16"	""	""	""	""	"126"	""	""	""	""	"84"	""	""	""	""	"72"	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	"22"	""	""	""	"0"	""	""	"2"	""	""	""	"329"	""	""	""	""	""	""	""
"347"	"220"	""	""	""	""	"8"	""	""	""	""	"126"	""	""	""	""	"125"	""	""	""	""	"62"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"17"	""	""	""	"2"	""	""	"1"	""	""	""	"344  "	""	""	""	""	""	""	""
"348"	"221"	""	""	""	""	"4"	""	""	""	""	"68"	""	""	""	""	"145"	""	""	""	""	"9"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"5"	""	""	""	"  1"	""	""	"0"	""	""	""	"236"	""	""	""	""	""	""	""
"349"	"222"	""	""	""	""	"6"	""	""	""	""	"15"	""	""	""	""	"157"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"189"	""	""	""	""	""	""	""
"350"	"223"	""	""	""	""	"2"	""	""	""	""	"21"	""	""	""	""	"41"	""	""	""	""	"28"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"97"	""	""	""	""	""	""	""
"351"	"224"	""	""	""	""	"8"	""	""	""	""	"14"	""	""	""	""	"22"	""	""	""	""	"470"	""	""	""	""	""	"10"	""	""	""	"6"	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	""	"540"	""	""	""	""	""	""	""
"352"	"225"	""	""	""	""	"21"	""	""	""	""	"113"	""	""	""	""	"90"	""	""	""	""	"64"	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"29"	""	""	""	"3"	""	""	"3"	""	""	""	"329"	""	""	""	""	""	""	""
"353"	"226"	""	""	""	""	"4"	""	""	""	""	"151"	""	""	""	""	"86"	""	""	""	""	"37"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"9"	""	""	""	"0"	""	""	"0"	""	""	""	"289"	""	""	""	""	""	""	""
"354"	"227"	""	""	""	""	"1"	""	""	""	""	"40"	""	""	""	""	"2"	""	""	""	""	"107"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"156"	""	""	""	""	""	""	""
"355"	"228"	""	""	""	""	"3"	""	""	""	""	"106"	""	""	""	""	"155"	""	""	""	""	"20"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"289"	""	""	""	""	""	""	""
"356"	"229"	""	""	""	""	"47"	""	""	""	""	"61"	""	""	""	""	"169"	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"297"	""	""	""	""	""	""	""
"357"	"230"	""	""	""	""	"3"	""	""	""	""	"31"	""	""	""	""	"18"	""	""	""	""	"134"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"195"	""	""	""	""	""	""	""
"358"	"231"	""	""	""	""	"15"	""	""	""	""	"12"	""	""	""	""	"39"	""	""	""	""	"42"	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	"3"	""	""	""	"123"	""	""	""	""	""	""	""
"359"	"232"	""	""	""	""	"5"	""	""	""	""	"328"	""	""	""	""	"55"	""	""	""	""	"111"	""	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"5"	""	""	""	"0"	""	""	"0"	""	""	""	"512"	""	""	""	""	""	""	""
"360"	"233"	""	""	""	""	"2"	""	""	""	""	"175"	""	""	""	""	"43"	""	""	""	""	"60"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	"13"	""	""	""	"0"	""	""	"1"	""	""	""	"302"	""	""	""	""	""	""	""
"361"	"234"	""	""	""	""	"19"	""	""	""	""	"45"	""	""	""	""	"128"	""	""	""	""	"17"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"5"	""	""	""	"2"	""	""	""	"4"	""	""	"26"	""	""	""	"0"	""	""	"1"	""	""	""	"249"	""	""	""	""	""	""	""
"362"	"235"	""	""	""	""	"11"	""	""	""	""	"63"	""	""	""	""	"83"	""	""	""	""	"53"	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"6.."	""	""	""	"4"	""	""	""	"4"	""	""	""	"0"	""	""	"68"	""	""	""	"0"	""	""	"1"	""	""	""	"297"	""	""	""	""	""	""	""
"363"	"236"	""	""	""	""	"4"	""	""	""	""	"15"	""	""	""	""	"28"	""	""	""	""	"49"	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	"99"	""	""	""	"2"	""	""	"1"	""	""	""	"204"	""	""	""	""	""	""	""
"364"	"237              .  6             14          191            31            0            24              0              7             1             0              5             0             1           280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"238"	""	""	""	""	"10·"	""	""	""	""	"-·l'      27"	""	""	""	""	"166"	""	""	""	""	"48"	""	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"1"	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"36"	""	""	""	"6"	""	""	"3"	""	""	"306"	""	""	""	""	""	""	""	""
"366"	"239"	""	""	""	""	"-c ·.   -9,"	""	""	""	""	"105"	""	""	""	""	"145"	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	"13"	""	""	""	"3"	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	"42"	""	""	""	"1"	""	""	"1"	""	""	"334"	""	""	""	""	""	""	""	""
"367"	"240"	""	""	""	""	"5"	""	""	""	""	"99"	""	""	""	""	"46"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"12"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"164"	""	""	""	""	""	""	""	""
"368"	"241               >•  3             32           57              2             0              0              0              3             0              1            13             0             0            111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Total:               2798        2192        18233       16803       2171           568          400           459        1603          339         6188          270          540        72298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"Date: 16-May-09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	".  .   ·.. .. ·Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"RETURNING  Ol=FfeER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"APUAMENf ARI CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Printed Using ROIARQ Counting Tool Ver. 1.0 of National lriformatlcs Centre,Bihar                                                                                                               Page ./ o/ 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"·------·   .   ----·--,:!*"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	".  ...-_  -                                                                      Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	",.                                                    FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"·ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 33--BUXAR CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Parliament Constituency :33---BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Assembly Constituency :201·-Dumraon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"candidates     a                                                     No of vi 11id votes caste Ir favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"Name         0 ,,....:.                                                            z          z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"Form-20  (Part-1-B) No of Voters :221301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	",:<                                            ;"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"0::                                                                          Cl)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"';.t...:!."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"!:::           (/)                                                0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"0                <(                   z                          0::               :::>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"BOOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"(!)                 0                z          Q.                     Q.                                                <(                   ::.::                                                          2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	".s       :c          z           <"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	":a:::>:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"z          ::!:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"N..O         .:::  ..J        (!)                 w"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	":c          z          0              z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"-,."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	":::>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"0  -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"z           z          m          :5        z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"<(                   ::.:: >"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"U)                                                                       w"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"j                     :c              w"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"ffi ti:                                cij"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"= E,-4                                                                 :::>                                             0               zm  0::  <"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"v       e o"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"..,      <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	":c                        ..J                                         :::> :::>       :::> :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	",::Q  E,-4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"0               Q.                     Q.                                                j   Q.                                        (/)  0         (/)m"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"l             1.5             16           17          llS               IY               20           21       (I) LL            L3            24           25          Lo                 21         LlS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"1                475             1           90           10             0            0             11             0             0             0                                                        fi11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"2                 419             3           75           22             0             1             1            0             0              1                                                       522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"3                355             3           95           22              1            3             1             2             0             7                                                        489"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"4                301             2          329             1             0             1             1             0             0             0                                                        635"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"5                  86             2            58            2             0             0             0             0             0             0                                                        148"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"6                 422             1            14             0             4             0             0             0             0              1                                                        442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"7                 390             3           43             9             4            6            18             9             1             5                                                        488"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"8                536             0            59             2             4             4              1             0             2             0                                                        608"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"9                 516             1          101           12             1           0             2             3             1             3                                                       640"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"10               410             2            48             6             7             2             1             1             5             9                                                        491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"11               417             3          113            3             1            0               0             0              1             2                                                        540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
