"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"354"	"250"	17	12	15	445	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	495	NA	495	NA
"355"	"251"	4	378	2	79	3	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	471	NA	471	NA
"356"	"252"	17	90	30	136	4	3	1	0	1	1	2	2	1	1	2	7	2	2	1	3	0	0	0	0	1	307	NA	307	NA
"357"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"358"	"Total"	235	1668	127	3268	28	15	5	88	22	7	5	4	7	10	4	34	23	17	14	14	2	6	3	5	55	5666	NA	5666	NA
"359"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"360"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"361"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"362"	"Round 19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"363"	"253"	5	216	2	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	NA	276	NA
"364"	"254"	9	898	0	48	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	958	NA	958	NA
"365"	"255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA
"366"	"256"	7	161	8	19	4	3	1	2	1	3	1	0	1	2	0	4	8	2	4	3	1	0	1	2	1	239	NA	239	NA
"367"	"257"	5	16	1	614	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	643	NA	643	NA
"368"	"258"	181	433	41	47	1	3	0	2	0	2	0	0	0	0	1	4	4	0	1	1	0	1	0	1	1	724	NA	724	NA
"369"	"259"	360	59	7	29	1	1	0	0	0	1	0	0	0	0	0	1	2	1	2	2	1	1	0	0	1	469	NA	469	NA
"370"	"260"	3	79	16	216	4	3	1	0	2	1	2	2	2	3	3	8	1	2	3	4	2	1	1	2	3	364	NA	364	NA
"371"	"261"	11	688	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	NA	702	NA
"372"	"262"	8	62	26	325	6	1	0	6	1	1	1	1	1	2	0	3	0	2	1	1	1	0	0	0	1	450	NA	450	NA
"373"	"263"	24	312	8	25	2	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	377	NA	377	NA
"374"	"264"	44	261	5	193	1	1	1	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	518	NA	518	NA
"375"	"265"	26	160	8	100	8	1	2	8	8	2	0	0	0	1	0	5	10	5	3	1	1	1	0	2	2	354	NA	354	NA
"376"	"266"	135	465	0	5	0	0	1	43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	651	NA	651	NA
"377"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"378"	"Total"	818	3810	123	1675	34	14	6	70	12	10	5	3	4	8	4	29	25	12	15	17	6	4	3	7	11	6725	NA	6725	NA
"379"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"380"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"381"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"382"	"Round 20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"383"	"267"	17	351	1	24	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	401	NA	401	NA
"384"	"268"	35	294	1	1	1	1	1	3	0	2	3	2	2	7	7	21	1	1	3	2	0	0	2	4	5	399	NA	399	NA
"385"	"269"	33	200	6	5	3	2	2	2	2	2	3	0	2	5	3	8	6	4	7	1	4	2	1	4	6	313	NA	313	NA
"386"	"270"	3	128	5	698	3	2	0	2	0	0	0	0	1	0	1	3	1	1	1	0	1	1	0	0	1	852	NA	852	NA
"387"	"271"	2	342	5	206	1	3	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	563	NA	563	NA
"388"	"272"	6	82	5	562	3	1	0	4	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	670	NA	670	NA
"389"	"273"	3	358	2	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	NA	453	NA
"390"	"274"	0	19	4	779	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	806	NA	806	NA
"391"	"275"	1	62	5	357	1	3	1	0	0	0	1	2	0	1	1	2	1	6	2	2	0	2	0	2	2	454	NA	454	NA
"392"	"276"	14	139	5	42	6	1	2	1	1	1	1	2	3	3	2	7	1	1	4	0	0	0	0	0	0	236	NA	236	NA
"393"	"277"	22	35	2	140	4	1	3	0	0	1	0	0	2	1	3	0	2	1	1	0	0	0	0	0	0	218	NA	218	NA
"394"	"278"	6	95	1	351	3	2	0	1	0	2	1	0	2	0	0	1	3	0	1	2	1	1	0	1	1	475	NA	475	NA
"395"	"279"	6	21	0	20	0	1	4	2	1	1	1	3	2	1	7	8	1	1	1	0	0	0	2	1	8	92	NA	92	NA
"396"	"280"	14	189	3	201	1	0	1	1	0	0	0	0	1	0	0	3	0	1	1	4	0	0	2	0	0	422	NA	422	NA
"397"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"398"	"Total"	162	2315	45	3476	30	17	14	19	4	11	10	10	16	18	24	58	18	18	21	12	7	6	7	12	24	6354	NA	6354	NA
"399"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"400"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"401"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"402"	"Round 21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"403"	"281"	2	590	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	NA	601	NA
"404"	"282"	13	40	6	162	6	0	1	2	0	2	1	2	7	6	2	25	4	3	0	1	1	1	0	0	5	290	NA	290	NA
"405"	"283"	1	512	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	NA	521	NA
"406"	"284"	33	776	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811	NA	811	NA
"407"	"285"	4	123	7	332	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	472	NA	472	NA
"408"	"286"	7	408	3	96	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	517	NA	517	NA
"409"	"287"	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	NA	418	NA
"410"	"288"	15	395	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	NA	411	NA
"411"	"289"	15	312	4	122	2	4	2	3	1	2	0	1	3	3	2	3	5	6	0	2	0	2	0	0	1	495	NA	495	NA
"412"	"290"	260	49	5	68	4	6	1	5	2	6	2	0	1	3	7	41	4	3	1	6	2	0	0	0	4	480	NA	480	NA
"413"	"291"	12	41	5	365	2	0	1	3	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	434	NA	434	NA
"414"	"292"	267	622	2	15	0	0	0	0	0	0	1	0	0	0	0	5	3	11	1	2	0	0	0	0	2	931	NA	931	NA
"415"	"293"	11	646	1	17	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	NA	677	NA
"416"	"294"	11	280	10	60	1	0	0	0	1	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	1	369	NA	369	NA
"417"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"418"	"Total"	651	5212	48	1246	24	11	5	15	7	10	5	3	13	12	12	77	17	25	2	11	4	3	1	0	13	7427	NA	7427	NA
"419"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"420"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"421"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"422"	"Round 22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"423"	"295"	10	544	0	28	1	4	1	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1	0	594	NA	594	NA
"424"	"296"	12	434	3	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	476	NA	476	NA
"425"	"297"	33	635	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	675	NA	675	NA
"426"	"298"	26	89	8	178	2	0	2	3	38	1	1	0	0	1	0	7	0	0	0	0	0	0	0	0	0	356	NA	356	NA
"427"	"299"	24	246	3	146	2	3	1	0	2	1	2	0	0	4	0	4	0	1	3	0	0	0	0	0	0	442	NA	442	NA
"428"	"300"	5	548	1	31	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	589	NA	589	NA
"429"	"301"	25	124	14	111	4	9	3	1	2	3	3	2	8	4	10	8	9	7	3	2	0	0	3	2	2	359	NA	359	NA
"430"	"302"	36	484	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	NA	521	NA
"431"	"303"	4	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	NA	401	NA
"432"	"304"	9	915	2	21	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	951	NA	951	NA
"433"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"434"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"435"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"436"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"437"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"438"	"Total"	184	4416	34	543	13	17	7	6	42	5	6	2	8	10	11	22	9	8	10	2	1	0	3	3	2	5364	NA	5364	NA
"439"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
