"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947....U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915....U.0938..U.0902...U.092F..U.093E."
"161"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"162"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"163"	""	"136"	"35"	"6"	"111"	"77"	"2"	"3"	"0"	"1"	"1"	"0"	"11"	"2"	"3"	"1"	"3"	"8"	"264"	"0"	"264"	"0"	"0"
"164"	""	"137"	"107"	"30"	"77"	"243"	"5"	"3"	"5"	"5"	"4"	"2"	"24"	"5"	"2"	"1"	"1"	"4"	"518"	"0"	"518"	"0"	"0"
"165"	""	"138"	"15"	"58"	"6"	"135"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"219"	"0"	"219"	"0"	"0"
"166"	""	"139"	"7"	"2"	"186"	"46"	"3"	"3"	"1"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"261"	"0"	"261"	"0"	"0"
"167"	""	"140"	"6"	"0"	"8"	"33"	"1"	"0"	"0"	"1"	"4"	"1"	"26"	"2"	"1"	"1"	"0"	"1"	"85"	"0"	"85"	"0"	"0"
"168"	"<U+092F><U+094B><U+0917>"	""	"1425"	"267"	"1896"	"1285"	"39"	"21"	"11"	"14"	"31"	"11"	"74"	"25"	"39"	"30"	"14"	"54"	"5236"	"0"	"5236"	"0"	"0"
"169"	""	"141"	"78"	"5"	"4"	"146"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"5"	"247"	"0"	"247"	"0"	"0"
"170"	""	"142"	"28"	"21"	"393"	"121"	"5"	"0"	"0"	"2"	"15"	"1"	"0"	"0"	"2"	"14"	"2"	"4"	"608"	"0"	"608"	"0"	"0"
"171"	""	"143"	"4"	"1"	"119"	"24"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"153"	"0"	"153"	"0"	"0"
"172"	""	"144"	"4"	"8"	"24"	"49"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"90"	"0"	"90"	"0"	"0"
"173"	""	"145"	"4"	"0"	"25"	"192"	"7"	"1"	"3"	"1"	"63"	"4"	"8"	"3"	"5"	"1"	"7"	"4"	"328"	"0"	"328"	"0"	"0"
"174"	""	"146"	"33"	"11"	"139"	"62"	"5"	"3"	"2"	"2"	"2"	"0"	"2"	"0"	"3"	"5"	"2"	"3"	"274"	"0"	"274"	"0"	"0"
"175"	""	"147"	"82"	"8"	"152"	"73"	"5"	"2"	"0"	"4"	"1"	"1"	"3"	"3"	"5"	"1"	"1"	"8"	"349"	"0"	"349"	"0"	"0"
"176"	""	"148"	"2"	"244"	"6"	"53"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"310"	"0"	"310"	"0"	"0"
"177"	""	"149"	"71"	"141"	"220"	"35"	"1"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"2"	"2"	"1"	"2"	"482"	"0"	"482"	"0"	"0"
"178"	""	"150"	"3"	"8"	"275"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"1"	"1"	"300"	"0"	"300"	"0"	"0"
"179"	""	"151"	"110"	"25"	"172"	"81"	"1"	"4"	"1"	"1"	"3"	"0"	"0"	"0"	"5"	"6"	"3"	"14"	"426"	"0"	"426"	"0"	"0"
"180"	""	"152"	"382"	"62"	"74"	"83"	"7"	"2"	"2"	"2"	"5"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"625"	"0"	"625"	"0"	"0"
"181"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"182"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"183"	""	"153"	"54"	"5"	"63"	"127"	"5"	"0"	"1"	"2"	"3"	"6"	"2"	"3"	"7"	"5"	"1"	"12"	"296"	"0"	"296"	"0"	"0"
"184"	""	"154"	"11"	"18"	"159"	"49"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"244"	"0"	"244"	"0"	"0"
"185"	"<U+092F><U+094B><U+0917>"	""	"866"	"557"	"1825"	"1097"	"44"	"17"	"11"	"16"	"94"	"17"	"20"	"11"	"35"	"43"	"19"	"60"	"4732"	"0"	"4732"	"0"	"0"
"186"	""	"155"	"12"	"0"	"178"	"9"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"202"	"0"	"202"	"0"	"0"
"187"	""	"156"	"24"	"70"	"61"	"326"	"5"	"1"	"1"	"1"	"1"	"1"	"6"	"0"	"2"	"0"	"2"	"1"	"502"	"0"	"502"	"0"	"0"
"188"	""	"157"	"96"	"27"	"181"	"293"	"5"	"11"	"2"	"4"	"3"	"1"	"11"	"4"	"10"	"7"	"6"	"15"	"676"	"0"	"676"	"0"	"0"
"189"	""	"158"	"42"	"69"	"143"	"254"	"12"	"29"	"1"	"2"	"4"	"4"	"9"	"2"	"9"	"3"	"2"	"12"	"597"	"0"	"597"	"0"	"0"
"190"	""	"159"	"60"	"3"	"148"	"316"	"4"	"21"	"0"	"0"	"2"	"5"	"3"	"2"	"5"	"4"	"0"	"5"	"578"	"0"	"578"	"0"	"0"
"191"	""	"160"	"52"	"21"	"203"	"274"	"7"	"8"	"3"	"3"	"7"	"2"	"11"	"5"	"0"	"6"	"0"	"2"	"604"	"0"	"604"	"0"	"0"
"192"	""	"161"	"276"	"9"	"93"	"4"	"1"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"5"	"1"	"5"	"401"	"0"	"401"	"0"	"0"
"193"	""	"162"	"18"	"0"	"255"	"8"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"9"	"1"	"6"	"304"	"0"	"304"	"0"	"0"
"194"	""	"163"	"37"	"5"	"53"	"53"	"3"	"1"	"1"	"3"	"21"	"3"	"5"	"1"	"3"	"1"	"1"	"3"	"194"	"0"	"194"	"0"	"0"
"195"	""	"164"	"15"	"9"	"574"	"114"	"2"	"11"	"1"	"2"	"2"	"3"	"2"	"2"	"11"	"6"	"0"	"13"	"767"	"0"	"767"	"0"	"0"
"196"	""	"165"	"3"	"7"	"53"	"600"	"7"	"22"	"0"	"0"	"23"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"721"	"0"	"721"	"0"	"0"
"197"	""	"166"	"10"	"0"	"411"	"29"	"0"	"3"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"460"	"0"	"460"	"0"	"0"
"198"	""	"167"	"17"	"28"	"44"	"209"	"7"	"2"	"6"	"2"	"23"	"10"	"8"	"4"	"8"	"3"	"4"	"5"	"380"	"0"	"380"	"0"	"0"
"199"	""	"168"	"9"	"39"	"77"	"71"	"3"	"1"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"211"	"0"	"211"	"0"	"0"
"200"	"<U+092F><U+094B><U+0917>"	""	"671"	"287"	"2474"	"2560"	"58"	"114"	"17"	"21"	"96"	"32"	"59"	"21"	"50"	"46"	"19"	"72"	"6597"	"0"	"6597"	"0"	"0"
"201"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"202"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"203"	""	"169"	"144"	"45"	"79"	"128"	"2"	"40"	"1"	"1"	"5"	"2"	"9"	"2"	"6"	"4"	"6"	"21"	"495"	"0"	"495"	"0"	"0"
"204"	""	"170"	"266"	"42"	"56"	"133"	"4"	"74"	"5"	"1"	"7"	"5"	"1"	"0"	"2"	"0"	"3"	"3"	"602"	"0"	"602"	"0"	"0"
"205"	""	"171"	"51"	"107"	"81"	"78"	"4"	"2"	"0"	"1"	"6"	"3"	"1"	"0"	"6"	"3"	"1"	"7"	"351"	"0"	"351"	"0"	"0"
"206"	""	"172"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"
"207"	""	"173"	"22"	"56"	"64"	"240"	"2"	"4"	"3"	"0"	"0"	"1"	"2"	"2"	"4"	"6"	"4"	"5"	"415"	"0"	"415"	"0"	"0"
"208"	""	"174"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"209"	""	"175"	"18"	"9"	"46"	"358"	"8"	"3"	"1"	"0"	"12"	"4"	"1"	"1"	"8"	"3"	"0"	"6"	"478"	"0"	"478"	"0"	"0"
"210"	""	"176"	"10"	"3"	"342"	"79"	"2"	"3"	"3"	"0"	"3"	"3"	"5"	"12"	"17"	"15"	"5"	"12"	"514"	"0"	"514"	"0"	"0"
"211"	""	"177"	"20"	"11"	"53"	"188"	"3"	"1"	"0"	"4"	"31"	"5"	"1"	"1"	"1"	"2"	"0"	"6"	"327"	"0"	"327"	"0"	"0"
"212"	""	"178"	"10"	"17"	"49"	"133"	"10"	"1"	"1"	"5"	"29"	"7"	"4"	"5"	"4"	"5"	"3"	"12"	"295"	"0"	"295"	"0"	"0"
"213"	""	"179"	"85"	"69"	"62"	"174"	"23"	"4"	"3"	"5"	"98"	"1"	"9"	"5"	"3"	"1"	"2"	"6"	"550"	"0"	"550"	"0"	"0"
"214"	""	"180"	"7"	"6"	"316"	"9"	"7"	"3"	"5"	"2"	"69"	"3"	"2"	"0"	"2"	"3"	"1"	"5"	"440"	"0"	"440"	"0"	"0"
"215"	""	"181"	"25"	"24"	"182"	"419"	"1"	"13"	"0"	"1"	"14"	"0"	"4"	"0"	"5"	"1"	"1"	"0"	"690"	"0"	"690"	"0"	"0"
"216"	""	"182"	"21"	"30"	"187"	"151"	"0"	"11"	"0"	"0"	"2"	"3"	"2"	"1"	"1"	"0"	"2"	"0"	"411"	"0"	"411"	"0"	"0"
"217"	"<U+092F><U+094B><U+0917>"	""	"679"	"419"	"1517"	"2091"	"66"	"159"	"22"	"20"	"276"	"37"	"41"	"29"	"59"	"43"	"28"	"83"	"5569"	"0"	"5569"	"0"	"0"
"218"	""	"183"	"34"	"67"	"34"	"128"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"4"	"0"	"2"	"0"	"276"	"0"	"276"	"0"	"0"
"219"	""	"184"	"30"	"111"	"166"	"216"	"1"	"4"	"4"	"0"	"2"	"7"	"8"	"5"	"2"	"4"	"4"	"14"	"578"	"0"	"578"	"0"	"0"
"220"	""	"185"	"28"	"79"	"163"	"295"	"3"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"3"	"4"	"1"	"6"	"587"	"0"	"587"	"0"	"0"
"221"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"222"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"223"	""	"186"	"2"	"0"	"222"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"0"	"228"	"0"	"0"
"224"	""	"187"	"25"	"2"	"232"	"16"	"0"	"0"	"1"	"0"	"9"	"0"	"1"	"1"	"2"	"1"	"2"	"1"	"293"	"0"	"293"	"0"	"0"
"225"	""	"188"	"14"	"43"	"12"	"131"	"5"	"2"	"0"	"3"	"70"	"4"	"5"	"1"	"4"	"0"	"7"	"2"	"303"	"0"	"303"	"0"	"0"
"226"	""	"189"	"45"	"58"	"150"	"72"	"6"	"9"	"3"	"11"	"80"	"5"	"3"	"5"	"4"	"2"	"5"	"7"	"465"	"0"	"465"	"0"	"0"
"227"	""	"190"	"29"	"2"	"288"	"31"	"0"	"0"	"0"	"1"	"10"	"1"	"1"	"1"	"0"	"6"	"0"	"0"	"370"	"0"	"370"	"0"	"0"
"228"	""	"191"	"71"	"26"	"4"	"286"	"3"	"0"	"2"	"4"	"3"	"1"	"6"	"2"	"6"	"2"	"0"	"8"	"424"	"0"	"424"	"0"	"0"
"229"	""	"192"	"45"	"56"	"30"	"87"	"5"	"3"	"0"	"3"	"17"	"0"	"6"	"2"	"3"	"2"	"4"	"9"	"272"	"0"	"272"	"0"	"0"
"230"	""	"193"	"1"	"21"	"460"	"11"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"499"	"0"	"499"	"0"	"0"
"231"	""	"194"	"1"	"2"	"219"	"24"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"251"	"0"	"251"	"0"	"0"
"232"	""	"195"	"5"	"7"	"109"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"180"	"0"	"180"	"0"	"0"
"233"	""	"196"	"17"	"33"	"301"	"270"	"12"	"5"	"0"	"1"	"2"	"1"	"13"	"5"	"5"	"3"	"2"	"9"	"679"	"0"	"679"	"0"	"0"
"234"	"<U+092F><U+094B><U+0917>"	""	"347"	"507"	"2390"	"1624"	"37"	"25"	"13"	"24"	"199"	"20"	"45"	"25"	"36"	"26"	"28"	"59"	"5405"	"0"	"5405"	"0"	"0"
"235"	""	"197"	"201"	"9"	"6"	"137"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"356"	"0"	"356"	"0"	"0"
"236"	""	"198"	"7"	"1"	"186"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"0"	"202"	"0"	"0"
"237"	""	"199"	"18"	"75"	"102"	"277"	"4"	"0"	"0"	"1"	"1"	"3"	"3"	"2"	"1"	"2"	"2"	"4"	"495"	"0"	"495"	"0"	"0"
"238"	""	"200"	"26"	"30"	"64"	"59"	"3"	"1"	"4"	"5"	"71"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"272"	"0"	"272"	"0"	"0"
"239"	""	"201"	"16"	"78"	"150"	"167"	"2"	"3"	"0"	"0"	"2"	"2"	"1"	"0"	"2"	"2"	"6"	"9"	"440"	"0"	"440"	"0"	"0"
"240"	""	"202"	"80"	"36"	"89"	"212"	"5"	"1"	"0"	"4"	"4"	"5"	"6"	"5"	"2"	"3"	"1"	"4"	"457"	"0"	"457"	"0"	"0"
