"fo.kku..l.Hkk..ks...l.a....k...oa.uke..01.okYehfduxj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdks dh dqy  l a[ ; k&241591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"267"	"203"	"0"	"33"	"5"	"7"	"45"	"3"	"1"	"1"	"0"	"0"	"5"	"2"	"0"	"1"	"0"	"0"	"103"	""	"103"	""
"268"	"204"	"0"	"6"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	""	"10"	""
"269"	"205"	"4"	"45"	"1"	"2"	"77"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"3"	"141"	""	"141"	""
"270"	"206"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	""	"4"	""
"271"	"207"	"1"	"111"	"5"	"21"	"4"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"3"	"4"	"3"	"166"	""	"166"	""
"272"	"208"	"9"	"90"	"8"	"204"	"18"	"6"	"4"	"3"	"4"	"3"	"9"	"2"	"9"	"3"	"5"	"22"	"399"	""	"399"	""
"273"	"209"	"10"	"95"	"24"	"185"	"25"	"4"	"6"	"2"	"3"	"1"	"9"	"2"	"1"	"5"	"4"	"19"	"395"	""	"395"	""
"274"	"210"	"4"	"131"	"61"	"17"	"24"	"0"	"3"	"0"	"1"	"0"	"5"	"3"	"0"	"0"	"5"	"13"	"267"	""	"267"	""
"275"	"VksVy"	"56"	"1486"	"232"	"730"	"337"	"24"	"29"	"13"	"23"	"15"	"95"	"24"	"21"	"28"	"35"	"93"	"3241"	"0"	"3241"	"0"
"276"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"277"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"278"	"211"	"14"	"115"	"12"	"20"	"223"	"7"	"2"	"2"	"4"	"4"	"7"	"7"	"0"	"4"	"2"	"12"	"435"	""	"435"	""
"279"	"212"	"9"	"287"	"41"	"11"	"33"	"3"	"6"	"3"	"4"	"0"	"4"	"4"	"2"	"4"	"15"	"11"	"437"	""	"437"	""
"280"	"213"	"22"	"277"	"61"	"29"	"92"	"8"	"2"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"3"	"502"	""	"502"	""
"281"	"214"	"8"	"137"	"105"	"40"	"35"	"2"	"2"	"4"	"0"	"3"	"1"	"2"	"2"	"3"	"4"	"4"	"352"	""	"352"	""
"282"	"215"	"19"	"365"	"10"	"28"	"101"	"7"	"6"	"1"	"6"	"5"	"5"	"3"	"1"	"3"	"1"	"9"	"570"	""	"570"	""
"283"	"216"	"30"	"190"	"37"	"87"	"27"	"5"	"3"	"3"	"9"	"12"	"18"	"6"	"8"	"8"	"4"	"24"	"471"	""	"471"	""
"284"	"217"	"6"	"96"	"20"	"58"	"24"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"6"	"219"	""	"219"	""
"285"	"218"	"11"	"3"	"9"	"191"	"16"	"1"	"3"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"240"	""	"240"	""
"286"	"219"	"65"	"212"	"13"	"10"	"5"	"2"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"312"	""	"312"	""
"287"	"220"	"8"	"59"	"29"	"4"	"6"	"0"	"2"	"1"	"1"	"1"	"3"	"3"	"1"	"1"	"3"	"3"	"125"	""	"125"	""
"288"	"221"	"0"	"1"	"95"	"0"	"9"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"108"	""	"108"	""
"289"	"222"	"1"	"48"	"54"	"15"	"65"	"4"	"2"	"1"	"0"	"4"	"6"	"3"	"3"	"4"	"3"	"5"	"218"	""	"218"	""
"290"	"223"	"6"	"26"	"0"	"0"	"24"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"61"	""	"61"	""
"291"	"224"	"10"	"46"	"1"	"4"	"16"	"1"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"92"	""	"92"	""
"292"	"VksVy"	"209"	"1862"	"487"	"497"	"676"	"42"	"38"	"18"	"26"	"39"	"50"	"30"	"20"	"30"	"37"	"81"	"4142"	"0"	"4142"	"0"
"293"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"294"	"225"	"16"	"185"	"150"	"42"	"83"	"5"	"6"	"2"	"1"	"5"	"7"	"1"	"5"	"4"	"3"	"2"	"517"	""	"517"	""
"295"	"226"	"15"	"161"	"33"	"22"	"46"	"9"	"7"	"2"	"0"	"2"	"16"	"0"	"1"	"5"	"6"	"17"	"342"	""	"342"	""
"296"	"227"	"46"	"221"	"41"	"10"	"16"	"2"	"1"	"2"	"1"	"2"	"3"	"3"	"1"	"4"	"3"	"5"	"361"	""	"361"	""
"297"	"228"	"40"	"168"	"42"	"9"	"24"	"2"	"1"	"1"	"1"	"3"	"3"	"1"	"5"	"1"	"11"	"3"	"315"	""	"315"	""
"298"	"229"	"3"	"83"	"60"	"9"	"43"	"2"	"7"	"3"	"4"	"4"	"4"	"2"	"1"	"0"	"0"	"1"	"226"	""	"226"	""
"299"	"230"	"1"	"39"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"50"	""	"50"	""
"300"	"231"	"11"	"152"	"16"	"5"	"5"	"2"	"0"	"0"	"2"	"5"	"1"	"2"	"2"	"0"	"1"	"0"	"204"	""	"204"	""
"301"	"232"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"302"	"233"	"11"	"102"	"25"	"7"	"67"	"3"	"2"	"1"	"3"	"1"	"8"	"4"	"5"	"7"	"8"	"15"	"269"	""	"269"	""
"303"	"234"	"12"	"91"	"12"	"2"	"51"	"2"	"0"	"1"	"1"	"1"	"2"	"2"	"0"	"2"	"2"	"3"	"184"	""	"184"	""
"304"	"235"	"51"	"199"	"88"	"14"	"10"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"372"	""	"372"	""
"305"	"236"	"31"	"128"	"88"	"7"	"76"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"2"	"6"	"343"	""	"343"	""
"306"	"237"	"27"	"242"	"22"	"2"	"19"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"321"	""	"321"	""
"307"	"238"	"7"	"76"	"1"	"1"	"11"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"101"	""	"101"	""
"308"	"VksVy"	"271"	"1847"	"579"	"131"	"452"	"35"	"26"	"14"	"14"	"24"	"44"	"21"	"23"	"25"	"41"	"58"	"3605"	"0"	"3605"	"0"
"309"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"310"	"239"	"16"	"62"	"17"	"66"	"68"	"2"	"5"	"1"	"0"	"3"	"5"	"3"	"4"	"4"	"2"	"11"	"269"	""	"269"	""
"311"	"240"	"48"	"363"	"61"	"105"	"43"	"13"	"8"	"3"	"10"	"8"	"3"	"4"	"1"	"3"	"1"	"5"	"679"	""	"679"	""
"312"	"241"	"15"	"250"	"13"	"181"	"28"	"2"	"3"	"0"	"2"	"3"	"7"	"6"	"1"	"3"	"5"	"7"	"526"	""	"526"	""
"313"	"242"	"12"	"138"	"18"	"76"	"50"	"4"	"3"	"1"	"1"	"2"	"1"	"3"	"0"	"0"	"0"	"1"	"310"	""	"310"	""
"314"	"243"	"6"	"122"	"13"	"152"	"26"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"7"	"10"	"344"	""	"344"	""
"315"	"244"	"6"	"32"	"151"	"29"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"232"	""	"232"	""
"316"	"245"	"24"	"191"	"59"	"130"	"18"	"3"	"5"	"4"	"3"	"1"	"3"	"2"	"3"	"4"	"8"	"18"	"476"	""	"476"	""
"317"	"246"	"22"	"112"	"19"	"12"	"201"	"5"	"2"	"0"	"3"	"2"	"3"	"0"	"1"	"1"	"6"	"6"	"395"	""	"395"	""
"318"	"247"	"29"	"101"	"11"	"47"	"74"	"3"	"2"	"0"	"0"	"2"	"4"	"1"	"1"	"2"	"1"	"6"	"284"	""	"284"	""
"319"	"248"	"20"	"170"	"8"	"10"	"83"	"2"	"2"	"2"	"2"	"2"	"1"	"0"	"4"	"5"	"3"	"10"	"324"	""	"324"	""
"320"	"249"	"0"	"24"	"0"	"0"	"14"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"3"	"5"	"54"	""	"54"	""
"321"	"VksVy"	"198"	"1565"	"370"	"808"	"609"	"38"	"36"	"12"	"21"	"23"	"30"	"23"	"17"	"25"	"37"	"81"	"3893"	"0"	"3893"	"0"
