"TOTAL.NO.OF.ELECTORS.IN.92.SAKRA.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X196221"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"215"	"196"	"262"	"227"	"20"	"43"	"6"	"11"	"6"	"1"	"12"	"11"	"4"	"4"	"3"	"9"	"9"	"8"	"8"	"9"	"2"	"27"	"3"	"1"	"2"	"4"	"692"	""	""
"216"	"197"	"163"	"131"	"76"	"2"	"4"	"2"	"0"	"3"	"0"	"3"	"0"	"0"	"1"	"2"	"3"	"3"	"4"	"4"	"1"	"10"	"0"	"2"	"0"	"2"	"416"	""	""
"217"	"198"	"48"	"119"	"55"	"4"	"2"	"2"	"2"	"2"	"2"	"3"	"0"	"2"	"4"	"1"	"23"	"8"	"11"	"13"	"5"	"95"	"6"	"0"	"8"	"3"	"418"	""	""
"218"	"199"	"72"	"147"	"94"	"9"	"18"	"22"	"7"	"1"	"9"	"9"	"8"	"6"	"2"	"8"	"4"	"5"	"12"	"14"	"0"	"8"	"2"	"1"	"0"	"1"	"459"	""	""
"219"	"200"	"42"	"309"	"64"	"11"	"7"	"10"	"5"	"8"	"4"	"12"	"1"	"2"	"0"	"3"	"3"	"7"	"3"	"19"	"2"	"9"	"0"	"2"	"1"	"1"	"525"	""	""
"220"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"222"	"201"	"18"	"472"	"17"	"0"	"0"	"1"	"0"	"7"	"3"	"4"	"1"	"1"	"0"	"1"	"8"	"8"	"0"	"1"	"0"	"9"	"0"	"0"	"1"	"1"	"553"	""	""
"223"	"202"	"7"	"79"	"135"	"2"	"0"	"3"	"1"	"2"	"1"	"2"	"2"	"0"	"4"	"5"	"7"	"2"	"2"	"6"	"0"	"4"	"2"	"0"	"0"	"1"	"267"	""	""
"224"	"203"	"25"	"272"	"39"	"7"	"2"	"4"	"5"	"1"	"5"	"0"	"1"	"0"	"1"	"5"	"3"	"3"	"15"	"32"	"6"	"63"	"3"	"5"	"5"	"11"	"513"	""	""
"225"	"204"	"142"	"160"	"58"	"4"	"7"	"6"	"3"	"4"	"11"	"1"	"3"	"2"	"3"	"3"	"8"	"4"	"11"	"16"	"1"	"65"	"3"	"5"	"3"	"6"	"529"	""	""
"226"	"205"	"66"	"283"	"7"	"3"	"3"	"2"	"4"	"1"	"2"	"1"	"0"	"1"	"1"	"4"	"4"	"4"	"17"	"15"	"5"	"6"	"3"	"2"	"0"	"6"	"440"	""	""
"227"	"206"	"102"	"187"	"27"	"6"	"2"	"11"	"4"	"2"	"3"	"4"	"5"	"3"	"2"	"5"	"11"	"8"	"4"	"4"	"0"	"15"	"1"	"0"	"0"	"0"	"406"	""	""
"228"	"207"	"77"	"73"	"131"	"7"	"1"	"4"	"1"	"3"	"7"	"7"	"2"	"3"	"3"	"2"	"5"	"19"	"17"	"11"	"4"	"37"	"2"	"6"	"2"	"15"	"439"	""	""
"229"	"208"	"148"	"189"	"51"	"4"	"0"	"10"	"2"	"2"	"1"	"5"	"1"	"1"	"1"	"2"	"4"	"11"	"18"	"20"	"6"	"45"	"3"	"5"	"5"	"5"	"539"	""	""
"230"	"209"	"127"	"24"	"44"	"16"	"4"	"2"	"0"	"1"	"4"	"5"	"2"	"2"	"2"	"2"	"5"	"8"	"10"	"14"	"2"	"61"	"3"	"4"	"2"	"4"	"348"	""	""
"231"	"210"	"207"	"76"	"57"	"8"	"4"	"5"	"2"	"7"	"3"	"7"	"2"	"3"	"2"	"17"	"7"	"17"	"24"	"12"	"6"	"31"	"7"	"1"	"5"	"11"	"521"	""	""
"232"	"211"	"159"	"12"	"27"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"2"	"5"	"3"	"15"	"17"	"8"	"4"	"46"	"2"	"1"	"2"	"6"	"319"	""	""
"233"	"212"	"138"	"128"	"203"	"12"	"3"	"5"	"5"	"2"	"6"	"5"	"8"	"6"	"3"	"20"	"15"	"24"	"9"	"4"	"2"	"49"	"5"	"5"	"1"	"6"	"664"	""	""
"234"	"31589   29314   14376    1645      893    1000      526      559      890      824      380      466      501    1323    1615    2298    1852    2667      595    6065      335      366      545    1010           101634"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"PLACE : MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"DATE : 16-05-2009                                                                                                                                                                                                    RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	"101634"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	"101634"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
