"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the House of the people from the 39- Nawada  Parliamentary Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment   170- BARBIGHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"212"	"12"	"166"	"30"	"277"	"24"	"76"	"9"	"3"	"2"	"1"	"0"	"18"	"28"	"8"	"8"	"9"	"13"	"9"	"4"	"1"	"3"	"7"	"8"	"538"	"0"	"538"	"0"
"213"	"13"	"167"	"7"	"188"	"9"	"9"	"16"	"1"	"0"	"0"	"1"	"3"	"28"	"2"	"0"	"2"	"2"	"2"	"1"	"2"	"0"	"1"	"1"	"275"	"0"	"275"	"0"
"214"	"14"	"168"	"30"	"157"	"6"	"59"	"84"	"0"	"0"	"3"	"0"	"38"	"2"	"2"	"9"	"2"	"4"	"3"	"6"	"1"	"1"	"1"	"2"	"410"	"0"	"410"	"0"
"215"	"ROUND-12"	""	"147"	"1345"	"89"	"591"	"2173"	"42"	"22"	"33"	"18"	"464"	"113"	"312"	"50"	"56"	"49"	"66"	"106"	"19"	"21"	"27"	"63"	"5806"	"0"	"5806"	"0"
"216"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"1"	"169"	"7"	"39"	"1"	"15"	"37"	"1"	"1"	"1"	"0"	"66"	"3"	"1"	"0"	"1"	"1"	"4"	"2"	"0"	"1"	"2"	"4"	"187"	"0"	"187"	"0"
"218"	"2"	"170"	"5"	"9"	"11"	"69"	"8"	"8"	"6"	"3"	"4"	"17"	"31"	"19"	"8"	"16"	"8"	"11"	"34"	"3"	"2"	"5"	"9"	"286"	"0"	"286"	"0"
"219"	"3"	"171"	"5"	"22"	"28"	"21"	"13"	"1"	"4"	"3"	"0"	"37"	"9"	"16"	"2"	"2"	"1"	"3"	"2"	"0"	"0"	"1"	"0"	"170"	"0"	"170"	"0"
"220"	"4"	"172"	"4"	"42"	"8"	"14"	"2"	"1"	"2"	"1"	"1"	"24"	"5"	"1"	"1"	"1"	"1"	"6"	"3"	"0"	"1"	"2"	"4"	"124"	"0"	"124"	"0"
"221"	"5"	"173"	"5"	"40"	"0"	"35"	"2"	"3"	"2"	"10"	"4"	"74"	"16"	"4"	"4"	"5"	"12"	"19"	"58"	"3"	"2"	"1"	"10"	"309"	"0"	"309"	"0"
"222"	"6"	"174"	"9"	"136"	"6"	"97"	"54"	"0"	"6"	"3"	"3"	"91"	"4"	"2"	"7"	"9"	"7"	"2"	"4"	"0"	"0"	"2"	"3"	"445"	"0"	"445"	"0"
"223"	"7"	"175"	"31"	"36"	"3"	"46"	"10"	"3"	"1"	"1"	"7"	"26"	"6"	"2"	"2"	"1"	"4"	"4"	"55"	"3"	"1"	"1"	"8"	"251"	"0"	"251"	"0"
"224"	"8"	"176"	"10"	"173"	"4"	"30"	"6"	"8"	"1"	"1"	"1"	"0"	"28"	"3"	"2"	"1"	"6"	"4"	"57"	"6"	"2"	"2"	"2"	"347"	"0"	"347"	"0"
"225"	"9"	"177"	"10"	"40"	"3"	"57"	"3"	"4"	"0"	"2"	"1"	"4"	"16"	"1"	"1"	"5"	"5"	"0"	"41"	"4"	"1"	"6"	"10"	"214"	"0"	"214"	"0"
"226"	"10"	"178"	"8"	"26"	"2"	"73"	"8"	"3"	"1"	"4"	"1"	"1"	"1"	"10"	"3"	"3"	"5"	"2"	"97"	"0"	"0"	"2"	"5"	"255"	"0"	"255"	"0"
"227"	"11"	"179"	"4"	"3"	"0"	"75"	"7"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"114"	"4"	"0"	"10"	"16"	"240"	"0"	"240"	"0"
"228"	"12"	"180"	"11"	"21"	"0"	"3"	"16"	"6"	"8"	"6"	"12"	"70"	"145"	"14"	"1"	"3"	"6"	"17"	"11"	"3"	"2"	"4"	"9"	"368"	"0"	"368"	"0"
"229"	"13"	"181"	"5"	"121"	"0"	"22"	"37"	"10"	"11"	"3"	"1"	"19"	"99"	"9"	"4"	"3"	"5"	"9"	"45"	"2"	"0"	"2"	"4"	"411"	"0"	"411"	"0"
"230"	"14"	"182"	"8"	"43"	"25"	"23"	"17"	"1"	"3"	"1"	"1"	"82"	"26"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"5"	"248"	"0"	"248"	"0"
"231"	"ROUND-13"	""	"122"	"751"	"91"	"580"	"220"	"50"	"46"	"40"	"36"	"513"	"389"	"85"	"37"	"51"	"64"	"84"	"524"	"29"	"13"	"41"	"89"	"3855"	"0"	"3855"	"0"
"232"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"1"	"183"	"15"	"16"	"3"	"28"	"41"	"4"	"1"	"1"	"6"	"1"	"3"	"8"	"1"	"0"	"3"	"3"	"15"	"3"	"0"	"1"	"3"	"156"	"0"	"156"	"0"
"234"	"2"	"184"	"5"	"4"	"0"	"33"	"5"	"4"	"0"	"3"	"2"	"0"	"1"	"5"	"2"	"3"	"3"	"8"	"200"	"4"	"2"	"12"	"4"	"300"	"0"	"300"	"0"
"235"	"3"	"185"	"8"	"138"	"3"	"12"	"61"	"1"	"1"	"1"	"3"	"3"	"35"	"4"	"5"	"6"	"5"	"12"	"13"	"9"	"3"	"3"	"10"	"336"	"0"	"336"	"0"
"236"	"4"	"186"	"3"	"39"	"95"	"27"	"270"	"1"	"1"	"0"	"1"	"2"	"10"	"4"	"5"	"0"	"0"	"4"	"4"	"0"	"0"	"2"	"4"	"472"	"0"	"472"	"0"
"237"	"5"	"187"	"3"	"29"	"23"	"116"	"86"	"3"	"3"	"3"	"1"	"3"	"4"	"55"	"9"	"3"	"6"	"12"	"3"	"1"	"0"	"0"	"7"	"370"	"0"	"370"	"0"
"238"	"6"	"188"	"6"	"77"	"6"	"59"	"46"	"2"	"1"	"4"	"0"	"5"	"1"	"76"	"2"	"8"	"4"	"4"	"12"	"5"	"2"	"1"	"3"	"324"	"0"	"324"	"0"
"239"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"240"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"241"	"7"	"189"	"5"	"194"	"14"	"27"	"179"	"2"	"1"	"6"	"5"	"3"	"1"	"11"	"7"	"6"	"11"	"30"	"1"	"1"	"1"	"2"	"8"	"515"	"0"	"515"	"0"
"242"	"8"	"190"	"12"	"189"	"26"	"110"	"17"	"1"	"1"	"1"	"1"	"4"	"10"	"20"	"6"	"8"	"5"	"4"	"82"	"6"	"2"	"2"	"12"	"519"	"0"	"519"	"0"
"243"	"9"	"191"	"3"	"8"	"1"	"10"	"52"	"4"	"19"	"7"	"8"	"39"	"8"	"46"	"9"	"13"	"10"	"11"	"9"	"0"	"0"	"1"	"5"	"263"	"0"	"263"	"0"
"244"	"10"	"192"	"15"	"51"	"10"	"13"	"26"	"13"	"6"	"8"	"5"	"208"	"34"	"12"	"4"	"1"	"9"	"22"	"13"	"5"	"5"	"2"	"14"	"476"	"0"	"476"	"0"
"245"	"ROUND-14"	""	"75"	"745"	"181"	"435"	"783"	"35"	"34"	"34"	"32"	"268"	"107"	"241"	"50"	"48"	"56"	"110"	"352"	"34"	"15"	"26"	"70"	"3731"	"0"	"3731"	"0"
"246"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	""	"POSTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	""	"TOTAL"	"1977"	"27352"	"2580"	"16122"	"8940"	"472"	"457"	"688"	"318"	"3385"	"1939"	"2321"	"1204"	"1130"	"1064"	"1326"	"2556"	"700"	"295"	"667"	"1148"	"76641"	"0"	"76641"	"0"
"250"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                             Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
