"i.zi...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"275"	"174"	"127"	"102"	"11"	"3"	"27"	"31"	"306"	"7"	"4"	"8"	"2"	"4"	"3"	"5"	"2"	"17"	"659"	""	"659"	""
"276"	"175"	"49"	"37"	"9"	"1"	"13"	"20"	"300"	"6"	"4"	"0"	"4"	"2"	"3"	"1"	"5"	"13"	"467"	""	"467"	""
"277"	"176"	"18"	"200"	"2"	"5"	"3"	"21"	"91"	"6"	"2"	"5"	"14"	"0"	"2"	"0"	"2"	"2"	"373"	""	"373"	""
"278"	"177"	"3"	"188"	"1"	"5"	"46"	"5"	"155"	"6"	"1"	"0"	"17"	"1"	"0"	"6"	"5"	"7"	"446"	""	"446"	""
"279"	"178"	"20"	"94"	"8"	"8"	"15"	"2"	"347"	"11"	"1"	"3"	"30"	"3"	"0"	"1"	"5"	"11"	"559"	""	"559"	""
"280"	"179"	"7"	"7"	"0"	"1"	"12"	"6"	"201"	"6"	"1"	"1"	"59"	"0"	"8"	"1"	"4"	"10"	"324"	""	"324"	""
"281"	"180"	"13"	"331"	"8"	"5"	"25"	"12"	"234"	"9"	"7"	"13"	"6"	"2"	"0"	"0"	"4"	"4"	"673"	""	"673"	""
"282"	"181"	"16"	"84"	"3"	"5"	"1"	"6"	"768"	"11"	"2"	"16"	"11"	"4"	"2"	"2"	"3"	"9"	"943"	""	"943"	""
"283"	"182"	"7"	"64"	"15"	"9"	"77"	"36"	"309"	"2"	"1"	"2"	"63"	"1"	"3"	"1"	"3"	"4"	"597"	""	"597"	""
"284"	"VksVy"	"504"	"1342"	"83"	"73"	"296"	"152"	"3691"	"79"	"35"	"63"	"297"	"22"	"31"	"24"	"49"	"107"	"6848"	"0"	"6848"	"0"
"285"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"fuokZpdksa dh dqy  l a[ ; k&221699                                                                                                 vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"292"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"293"	"183"	"6"	"40"	"0"	"5"	"3"	"12"	"322"	"6"	"3"	"16"	"29"	"2"	"3"	"4"	"4"	"5"	"460"	""	"460"	""
"294"	"184"	"17"	"70"	"4"	"6"	"7"	"13"	"319"	"7"	"4"	"4"	"48"	"0"	"7"	"1"	"7"	"6"	"520"	""	"520"	""
"295"	"185"	"16"	"55"	"6"	"49"	"9"	"115"	"102"	"6"	"2"	"2"	"6"	"0"	"2"	"0"	"0"	"5"	"375"	""	"375"	""
"296"	"186"	"15"	"69"	"9"	"34"	"52"	"75"	"104"	"4"	"6"	"5"	"6"	"1"	"1"	"1"	"2"	"4"	"388"	""	"388"	""
"297"	"187"	"78"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"80"	""	"80"	""
"298"	"188"	"56"	"126"	"17"	"12"	"24"	"66"	"186"	"5"	"5"	"3"	"56"	"7"	"5"	"2"	"5"	"11"	"586"	""	"586"	""
"299"	"189"	"1"	"171"	"3"	"2"	"1"	"16"	"4"	"0"	"1"	"2"	"34"	"2"	"1"	"0"	"1"	"4"	"243"	""	"243"	""
"300"	"190"	"45"	"126"	"3"	"11"	"26"	"144"	"7"	"6"	"6"	"9"	"134"	"7"	"23"	"12"	"6"	"10"	"575"	""	"575"	""
"301"	"191"	"59"	"206"	"25"	"3"	"4"	"3"	"119"	"4"	"5"	"5"	"24"	"7"	"5"	"5"	"5"	"10"	"489"	""	"489"	""
"302"	"192"	"29"	"208"	"135"	"12"	"13"	"4"	"5"	"5"	"7"	"6"	"13"	"4"	"7"	"5"	"15"	"10"	"478"	""	"478"	""
"303"	"193"	"29"	"171"	"8"	"7"	"8"	"7"	"11"	"2"	"5"	"0"	"84"	"2"	"9"	"2"	"6"	"12"	"363"	""	"363"	""
"304"	"194"	"52"	"163"	"24"	"12"	"10"	"55"	"3"	"2"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"4"	"330"	""	"330"	""
"305"	"195"	"185"	"58"	"13"	"2"	"11"	"0"	"32"	"0"	"1"	"0"	"3"	"0"	"1"	"2"	"0"	"1"	"309"	""	"309"	""
"306"	"196"	"8"	"131"	"2"	"0"	"18"	"106"	"4"	"1"	"3"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"279"	""	"279"	""
"307"	"VksVy"	"596"	"1595"	"249"	"155"	"186"	"616"	"1218"	"49"	"49"	"55"	"440"	"32"	"64"	"35"	"52"	"84"	"5475"	"0"	"5475"	"0"
"308"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"313"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"314"	"197"	"36"	"218"	"5"	"28"	"102"	"64"	"6"	"3"	"2"	"4"	"54"	"3"	"8"	"2"	"2"	"10"	"547"	""	"547"	""
"315"	"198"	"57"	"86"	"23"	"5"	"8"	"9"	"86"	"4"	"4"	"6"	"151"	"4"	"12"	"4"	"6"	"6"	"471"	""	"471"	""
"316"	"199"	"134"	"126"	"1"	"0"	"4"	"3"	"9"	"0"	"1"	"0"	"19"	"1"	"1"	"0"	"3"	"4"	"306"	""	"306"	""
"317"	"200"	"56"	"323"	"59"	"7"	"15"	"10"	"102"	"12"	"5"	"8"	"66"	"6"	"6"	"5"	"7"	"8"	"695"	""	"695"	""
"318"	"201"	"11"	"219"	"43"	"7"	"9"	"10"	"51"	"8"	"7"	"12"	"210"	"4"	"23"	"7"	"4"	"7"	"632"	""	"632"	""
"319"	"202"	"18"	"130"	"6"	"6"	"3"	"50"	"92"	"3"	"4"	"4"	"26"	"1"	"1"	"0"	"1"	"3"	"348"	""	"348"	""
"320"	"203"	"8"	"90"	"18"	"22"	"21"	"28"	"11"	"5"	"1"	"1"	"18"	"3"	"4"	"0"	"2"	"2"	"234"	""	"234"	""
"321"	"204"	"4"	"56"	"7"	"4"	"13"	"49"	"5"	"2"	"5"	"8"	"74"	"4"	"7"	"4"	"9"	"11"	"262"	""	"262"	""
"322"	"205"	"0"	"56"	"6"	"19"	"23"	"15"	"1"	"1"	"2"	"3"	"311"	"1"	"12"	"2"	"7"	"5"	"464"	""	"464"	""
"323"	"206"	"13"	"234"	"38"	"0"	"6"	"114"	"19"	"1"	"5"	"3"	"36"	"3"	"2"	"4"	"4"	"9"	"491"	""	"491"	""
"324"	"207"	"15"	"34"	"165"	"7"	"16"	"10"	"2"	"6"	"5"	"7"	"416"	"8"	"16"	"8"	"4"	"14"	"733"	""	"733"	""
"325"	"208"	"8"	"188"	"32"	"2"	"9"	"8"	"11"	"4"	"7"	"0"	"132"	"9"	"14"	"4"	"11"	"8"	"447"	""	"447"	""
"326"	"209"	"1"	"66"	"20"	"1"	"5"	"66"	"2"	"1"	"0"	"0"	"17"	"2"	"0"	"1"	"0"	"2"	"184"	""	"184"	""
"327"	"210"	"4"	"23"	"0"	"15"	"3"	"5"	"2"	"3"	"3"	"6"	"513"	"1"	"22"	"1"	"5"	"1"	"607"	""	"607"	""
"328"	"VksVy"	"365"	"1849"	"423"	"123"	"237"	"441"	"399"	"53"	"51"	"62"	"2043"	"50"	"128"	"42"	"65"	"90"	"6421"	"0"	"6421"	"0"
"329"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"fuokZpdksa dh dqy  l a[ ; k&221699                                                                                                 vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"337"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"338"	"211"	"15"	"101"	"6"	"4"	"6"	"3"	"17"	"3"	"1"	"5"	"175"	"2"	"8"	"2"	"1"	"8"	"357"	""	"357"	""
"339"	"212"	"13"	"237"	"11"	"0"	"8"	"3"	"45"	"3"	"0"	"0"	"2"	"0"	"1"	"3"	"8"	"4"	"338"	""	"338"	""
"340"	"213"	"11"	"165"	"16"	"2"	"30"	"57"	"3"	"1"	"4"	"7"	"162"	"2"	"7"	"2"	"3"	"6"	"478"	""	"478"	""
"341"	"214"	"7"	"54"	"14"	"2"	"5"	"25"	"1"	"1"	"3"	"3"	"20"	"2"	"2"	"0"	"1"	"2"	"142"	""	"142"	""
"342"	"215"	"5"	"21"	"1"	"24"	"12"	"4"	"6"	"4"	"3"	"3"	"635"	"7"	"16"	"1"	"2"	"5"	"749"	""	"749"	""
"343"	"216"	"7"	"64"	"25"	"4"	"2"	"4"	"4"	"1"	"4"	"1"	"286"	"3"	"10"	"2"	"2"	"5"	"424"	""	"424"	""
"344"	"217"	"1"	"12"	"0"	"1"	"0"	"3"	"4"	"0"	"2"	"3"	"153"	"0"	"5"	"0"	"0"	"2"	"186"	""	"186"	""
"345"	"218"	"4"	"183"	"108"	"2"	"8"	"2"	"0"	"1"	"0"	"0"	"24"	"1"	"2"	"5"	"2"	"5"	"347"	""	"347"	""
"346"	"219"	"8"	"207"	"6"	"9"	"27"	"7"	"0"	"0"	"1"	"4"	"13"	"8"	"2"	"2"	"2"	"7"	"303"	""	"303"	""
"347"	"220"	"3"	"71"	"1"	"0"	"6"	"57"	"7"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"151"	""	"151"	""
"348"	"221"	"32"	"119"	"12"	"6"	"5"	"40"	"85"	"3"	"0"	"4"	"186"	"3"	"9"	"3"	"3"	"11"	"521"	""	"521"	""
"349"	"222"	"26"	"111"	"370"	"18"	"18"	"8"	"4"	"2"	"2"	"4"	"3"	"3"	"3"	"18"	"0"	"10"	"600"	""	"600"	""
"350"	"223"	"61"	"187"	"3"	"9"	"77"	"168"	"6"	"6"	"3"	"8"	"15"	"4"	"4"	"3"	"3"	"9"	"566"	""	"566"	""
"351"	"224"	"35"	"291"	"11"	"7"	"48"	"9"	"1"	"1"	"2"	"5"	"4"	"6"	"5"	"2"	"9"	"11"	"447"	""	"447"	""
"352"	"VksVy"	"228"	"1823"	"584"	"88"	"252"	"390"	"183"	"26"	"27"	"47"	"1679"	"43"	"74"	"43"	"37"	"85"	"5609"	"0"	"5609"	"0"
"353"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"359"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"360"	"225"	"19"	"110"	"50"	"13"	"22"	"20"	"3"	"5"	"4"	"4"	"311"	"4"	"11"	"1"	"3"	"8"	"588"	""	"588"	""
"361"	"226"	"96"	"11"	"8"	"2"	"3"	"0"	"0"	"0"	"1"	"0"	"8"	"0"	"0"	"0"	"1"	"2"	"132"	""	"132"	""
"362"	"227"	"26"	"55"	"13"	"26"	"90"	"80"	"7"	"3"	"4"	"7"	"278"	"1"	"9"	"1"	"3"	"9"	"612"	""	"612"	""
"363"	"228"	"141"	"179"	"12"	"33"	"78"	"18"	"7"	"6"	"7"	"8"	"289"	"2"	"16"	"0"	"3"	"10"	"809"	""	"809"	""
"364"	"229"	"40"	"140"	"91"	"20"	"22"	"27"	"7"	"6"	"1"	"4"	"181"	"0"	"4"	"1"	"1"	"3"	"548"	""	"548"	""
"365"	"230"	"12"	"255"	"19"	"58"	"19"	"40"	"3"	"8"	"5"	"8"	"109"	"3"	"9"	"2"	"7"	"15"	"572"	""	"572"	""
"366"	"231"	"238"	"228"	"13"	"17"	"93"	"67"	"10"	"7"	"7"	"5"	"28"	"2"	"3"	"5"	"2"	"8"	"733"	""	"733"	""
"367"	"232"	"94"	"306"	"26"	"12"	"72"	"219"	"16"	"12"	"6"	"4"	"28"	"2"	"2"	"3"	"2"	"2"	"806"	""	"806"	""
"368"	"233"	"94"	"96"	"66"	"12"	"31"	"4"	"5"	"3"	"2"	"4"	"108"	"5"	"8"	"2"	"1"	"10"	"451"	""	"451"	""
"369"	"234"	"18"	"21"	"1"	"1"	"8"	"1"	"0"	"1"	"3"	"3"	"194"	"5"	"6"	"0"	"2"	"3"	"267"	""	"267"	""
"370"	"235"	"108"	"26"	"33"	"7"	"26"	"15"	"5"	"2"	"4"	"5"	"300"	"5"	"7"	"5"	"1"	"4"	"553"	""	"553"	""
"371"	"236"	"48"	"381"	"9"	"8"	"10"	"12"	"4"	"5"	"7"	"7"	"105"	"6"	"12"	"9"	"18"	"17"	"658"	""	"658"	""
"372"	"237"	"10"	"66"	"4"	"3"	"9"	"3"	"0"	"3"	"0"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"104"	""	"104"	""
"373"	"238"	"128"	"104"	"18"	"17"	"59"	"2"	"1"	"1"	"1"	"1"	"5"	"0"	"1"	"0"	"2"	"2"	"342"	""	"342"	""
"374"	"VksVy"	"1072"	"1978"	"363"	"229"	"542"	"508"	"68"	"62"	"52"	"60"	"1946"	"35"	"88"	"33"	"46"	"93"	"7175"	"0"	"7175"	"0"
"375"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"380"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"381"	"239"	"136"	"104"	"37"	"6"	"5"	"1"	"1"	"1"	"2"	"0"	"28"	"0"	"3"	"1"	"2"	"2"	"329"	""	"329"	""
"382"	"240"	"10"	"366"	"5"	"8"	"29"	"14"	"4"	"1"	"0"	"2"	"3"	"1"	"3"	"1"	"4"	"13"	"464"	""	"464"	""
"383"	"241"	"71"	"391"	"34"	"3"	"40"	"10"	"2"	"4"	"4"	"3"	"5"	"0"	"1"	"1"	"4"	"9"	"582"	""	"582"	""
"384"	"242"	"91"	"150"	"8"	"7"	"64"	"3"	"4"	"0"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"4"	"337"	""	"337"	""
"385"	"243"	"25"	"390"	"11"	"28"	"20"	"15"	"5"	"3"	"3"	"4"	"46"	"5"	"2"	"7"	"7"	"11"	"582"	""	"582"	""
"386"	"244"	"36"	"316"	"3"	"2"	"46"	"20"	"3"	"4"	"5"	"9"	"29"	"8"	"7"	"5"	"9"	"20"	"522"	""	"522"	""
"387"	"245"	"26"	"342"	"13"	"12"	"39"	"35"	"5"	"2"	"3"	"3"	"4"	"3"	"3"	"3"	"4"	"0"	"497"	""	"497"	""
"388"	"246"	"32"	"173"	"1"	"3"	"66"	"18"	"1"	"2"	"4"	"0"	"183"	"8"	"12"	"2"	"3"	"11"	"519"	""	"519"	""
"389"	"247"	"15"	"164"	"6"	"9"	"59"	"4"	"1"	"3"	"2"	"4"	"14"	"0"	"3"	"2"	"2"	"1"	"289"	""	"289"	""
"390"	"248"	"42"	"284"	"1"	"6"	"16"	"28"	"8"	"2"	"2"	"4"	"155"	"3"	"11"	"0"	"2"	"6"	"570"	""	"570"	""
"391"	"VksVy"	"484"	"2680"	"119"	"84"	"384"	"148"	"34"	"22"	"26"	"32"	"469"	"28"	"45"	"22"	"37"	"77"	"4691"	"0"	"4691"	"0"
