"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."
"170"	"<U+092F><U+094B><U+0917>"	""	"957"	"361"	"1860"	"2106"	"62"	"755"	"48"	"34"	"107"	"41"	"81"	"41"	"77"	"61"	"39"	"81"	"6711"	""	"6711"	""
"171"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"172"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"173"	""	"141"	"42"	"4"	"127"	"62"	"0"	"41"	"3"	"1"	"2"	"2"	"38"	"1"	"4"	"5"	"1"	"6"	"339"	""	"339"	""
"174"	""	"142"	"29"	"50"	"164"	"67"	"3"	"63"	"7"	"1"	"2"	"3"	"9"	"4"	"8"	"10"	"0"	"4"	"424"	""	"424"	""
"175"	""	"143"	"71"	"15"	"254"	"301"	"7"	"48"	"4"	"1"	"4"	"7"	"9"	"2"	"16"	"7"	"3"	"6"	"755"	""	"755"	""
"176"	""	"144"	"71"	"54"	"62"	"176"	"5"	"24"	"2"	"0"	"0"	"2"	"3"	"0"	"2"	"0"	"2"	"2"	"405"	""	"405"	""
"177"	""	"145"	"70"	"5"	"117"	"189"	"2"	"20"	"2"	"2"	"3"	"4"	"3"	"4"	"3"	"2"	"1"	"8"	"435"	""	"435"	""
"178"	""	"146"	"106"	"2"	"23"	"144"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"286"	""	"286"	""
"179"	""	"147"	"138"	"30"	"93"	"276"	"14"	"21"	"3"	"3"	"12"	"5"	"15"	"3"	"9"	"2"	"4"	"3"	"631"	""	"631"	""
"180"	""	"148"	"2"	"0"	"5"	"264"	"1"	"8"	"0"	"1"	"2"	"1"	"3"	"3"	"9"	"0"	"0"	"1"	"300"	""	"300"	""
"181"	""	"149"	"32"	"0"	"147"	"221"	"9"	"17"	"1"	"2"	"1"	"5"	"1"	"4"	"2"	"6"	"0"	"2"	"450"	""	"450"	""
"182"	""	"150"	"63"	"4"	"139"	"147"	"3"	"12"	"3"	"4"	"7"	"5"	"8"	"1"	"4"	"6"	"4"	"4"	"414"	""	"414"	""
"183"	""	"151"	"58"	"1"	"37"	"240"	"3"	"9"	"2"	"0"	"4"	"7"	"4"	"3"	"3"	"0"	"2"	"8"	"381"	""	"381"	""
"184"	""	"152"	"39"	"0"	"51"	"218"	"2"	"8"	"0"	"0"	"11"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"334"	""	"334"	""
"185"	""	"153"	"44"	"3"	"39"	"189"	"3"	"6"	"3"	"3"	"0"	"3"	"5"	"1"	"2"	"4"	"1"	"3"	"309"	""	"309"	""
"186"	""	"154"	"50"	"2"	"108"	"245"	"9"	"22"	"1"	"1"	"8"	"2"	"7"	"5"	"8"	"2"	"2"	"7"	"479"	""	"479"	""
"187"	"<U+092F><U+094B><U+0917>"	""	"815"	"170"	"1366"	"2739"	"63"	"305"	"32"	"19"	"56"	"46"	"108"	"32"	"73"	"44"	"20"	"54"	"5942"	""	"5942"	""
"188"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"189"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"190"	""	"155"	"16"	"1"	"31"	"119"	"2"	"15"	"2"	"0"	"2"	"0"	"3"	"1"	"1"	"0"	"2"	"0"	"195"	""	"195"	""
"191"	""	"156"	"4"	"2"	"17"	"83"	"3"	"6"	"0"	"0"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"126"	""	"126"	""
"192"	""	"157"	"36"	"2"	"63"	"134"	"4"	"10"	"0"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"2"	"1"	"258"	""	"258"	""
"193"	""	"158"	"21"	"17"	"47"	"231"	"6"	"5"	"0"	"2"	"2"	"6"	"2"	"7"	"3"	"4"	"2"	"6"	"361"	""	"361"	""
"194"	""	"159"	"103"	"8"	"100"	"221"	"4"	"15"	"0"	"3"	"2"	"3"	"5"	"2"	"3"	"3"	"2"	"5"	"479"	""	"479"	""
"195"	""	"160"	"68"	"2"	"47"	"242"	"0"	"4"	"2"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"370"	""	"370"	""
"196"	""	"161"	"77"	"6"	"52"	"291"	"5"	"5"	"1"	"3"	"1"	"2"	"4"	"0"	"1"	"1"	"0"	"2"	"451"	""	"451"	""
"197"	""	"162"	"44"	"4"	"219"	"149"	"3"	"5"	"1"	"1"	"3"	"2"	"4"	"3"	"3"	"6"	"3"	"6"	"456"	""	"456"	""
"198"	""	"163"	"36"	"23"	"55"	"143"	"12"	"6"	"3"	"2"	"2"	"4"	"6"	"4"	"18"	"5"	"3"	"10"	"332"	""	"332"	""
"199"	""	"164"	"77"	"0"	"45"	"250"	"6"	"8"	"2"	"1"	"4"	"2"	"4"	"3"	"4"	"3"	"5"	"6"	"420"	""	"420"	""
"200"	""	"165"	"55"	"6"	"23"	"208"	"3"	"6"	"1"	"2"	"10"	"0"	"1"	"2"	"2"	"4"	"0"	"2"	"325"	""	"325"	""
"201"	""	"166"	"132"	"8"	"56"	"200"	"2"	"9"	"2"	"1"	"13"	"5"	"1"	"2"	"2"	"1"	"4"	"9"	"447"	""	"447"	""
"202"	""	"167"	"15"	"3"	"191"	"87"	"4"	"43"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"5"	"0"	"6"	"361"	""	"361"	""
"203"	""	"168"	"44"	"7"	"46"	"142"	"4"	"6"	"3"	"2"	"0"	"1"	"2"	"1"	"1"	"1"	"0"	"0"	"260"	""	"260"	""
"204"	"<U+092F><U+094B><U+0917>"	""	"728"	"89"	"992"	"2500"	"58"	"143"	"17"	"18"	"46"	"27"	"42"	"26"	"44"	"33"	"23"	"55"	"4841"	""	"4841"	""
"205"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"206"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"207"	""	"169"	"61"	"4"	"86"	"215"	"7"	"73"	"2"	"2"	"2"	"5"	"7"	"3"	"7"	"7"	"2"	"6"	"489"	""	"489"	""
"208"	""	"170"	"72"	"20"	"22"	"149"	"6"	"77"	"1"	"4"	"1"	"1"	"6"	"3"	"2"	"3"	"2"	"3"	"372"	""	"372"	""
"209"	""	"171"	"15"	"6"	"6"	"142"	"5"	"33"	"1"	"0"	"3"	"5"	"5"	"7"	"3"	"1"	"3"	"2"	"237"	""	"237"	""
"210"	""	"172"	"43"	"9"	"153"	"184"	"5"	"39"	"0"	"0"	"4"	"4"	"7"	"3"	"10"	"6"	"6"	"3"	"476"	""	"476"	""
"211"	""	"173"	"25"	"2"	"58"	"91"	"3"	"70"	"3"	"2"	"2"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"261"	""	"261"	""
"212"	""	"174"	"38"	"14"	"110"	"185"	"6"	"126"	"2"	"3"	"4"	"1"	"4"	"2"	"4"	"4"	"1"	"4"	"508"	""	"508"	""
"213"	""	"175"	"48"	"3"	"61"	"222"	"5"	"21"	"1"	"1"	"1"	"2"	"6"	"1"	"0"	"1"	"0"	"3"	"376"	""	"376"	""
"214"	""	"176"	"37"	"1"	"61"	"177"	"10"	"73"	"4"	"0"	"2"	"2"	"5"	"1"	"2"	"2"	"1"	"2"	"380"	""	"380"	""
"215"	""	"177"	"80"	"6"	"26"	"286"	"2"	"17"	"1"	"2"	"1"	"1"	"6"	"0"	"6"	"3"	"1"	"1"	"439"	""	"439"	""
"216"	""	"178"	"88"	"2"	"65"	"400"	"3"	"18"	"1"	"2"	"4"	"2"	"5"	"1"	"7"	"2"	"3"	"10"	"613"	""	"613"	""
"217"	""	"179"	"49"	"0"	"23"	"57"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"6"	"141"	""	"141"	""
"218"	""	"180"	"58"	"8"	"15"	"366"	"6"	"8"	"0"	"3"	"4"	"3"	"6"	"1"	"6"	"0"	"2"	"4"	"490"	""	"490"	""
"219"	""	"181"	"27"	"0"	"9"	"100"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"140"	""	"140"	""
"220"	""	"182"	"119"	"6"	"97"	"142"	"10"	"47"	"5"	"4"	"102"	"6"	"10"	"2"	"6"	"3"	"3"	"11"	"573"	""	"573"	""
"221"	"<U+092F><U+094B><U+0917>"	""	"760"	"81"	"792"	"2716"	"70"	"606"	"22"	"23"	"130"	"32"	"69"	"25"	"55"	"33"	"24"	"57"	"5495"	""	"5495"	""
"222"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"223"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"224"	""	"183"	"200"	"4"	"22"	"273"	"2"	"9"	"0"	"3"	"1"	"1"	"2"	"1"	"2"	"3"	"1"	"2"	"526"	""	"526"	""
"225"	""	"184"	"138"	"2"	"73"	"179"	"2"	"50"	"3"	"1"	"0"	"1"	"5"	"1"	"3"	"2"	"2"	"4"	"466"	""	"466"	""
"226"	""	"185"	"88"	"0"	"75"	"99"	"2"	"4"	"0"	"1"	"2"	"2"	"5"	"1"	"1"	"1"	"2"	"2"	"285"	""	"285"	""
"227"	""	"186"	"60"	"0"	"68"	"70"	"2"	"1"	"0"	"0"	"3"	"4"	"7"	"4"	"1"	"1"	"0"	"1"	"222"	""	"222"	""
"228"	""	"187"	"38"	"2"	"32"	"142"	"3"	"7"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"227"	""	"227"	""
"229"	""	"188"	"44"	"4"	"62"	"233"	"7"	"16"	"2"	"1"	"0"	"0"	"3"	"3"	"4"	"0"	"0"	"0"	"379"	""	"379"	""
"230"	""	"189"	"66"	"2"	"10"	"61"	"0"	"17"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"159"	""	"159"	""
"231"	""	"190"	"63"	"3"	"13"	"308"	"11"	"23"	"3"	"2"	"15"	"0"	"6"	"0"	"5"	"0"	"3"	"2"	"457"	""	"457"	""
"232"	""	"191"	"52"	"4"	"62"	"308"	"6"	"47"	"2"	"0"	"7"	"3"	"5"	"5"	"10"	"0"	"2"	"7"	"520"	""	"520"	""
"233"	""	"192"	"65"	"6"	"48"	"203"	"0"	"46"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"375"	""	"375"	""
"234"	""	"193"	"165"	"11"	"46"	"186"	"2"	"72"	"3"	"2"	"8"	"0"	"7"	"0"	"1"	"3"	"0"	"5"	"511"	""	"511"	""
"235"	""	"194"	"138"	"1"	"37"	"42"	"1"	"16"	"1"	"3"	"3"	"0"	"17"	"0"	"0"	"0"	"1"	"1"	"261"	""	"261"	""
"236"	""	"195"	"54"	"4"	"26"	"183"	"5"	"96"	"4"	"0"	"5"	"1"	"2"	"0"	"3"	"2"	"0"	"4"	"389"	""	"389"	""
"237"	""	"196"	"30"	"0"	"12"	"148"	"6"	"116"	"1"	"2"	"0"	"3"	"1"	"3"	"7"	"1"	"0"	"0"	"330"	""	"330"	""
"238"	"<U+092F><U+094B><U+0917>"	""	"1201"	"43"	"586"	"2435"	"49"	"520"	"20"	"15"	"45"	"15"	"65"	"20"	"38"	"14"	"12"	"29"	"5107"	""	"5107"	""
"239"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"240"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"241"	""	"197"	"22"	"19"	"17"	"164"	"2"	"96"	"0"	"1"	"5"	"2"	"4"	"3"	"13"	"5"	"4"	"6"	"363"	""	"363"	""
"242"	""	"198"	"5"	"1"	"13"	"103"	"2"	"57"	"0"	"2"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"4"	"198"	""	"198"	""
"243"	""	"199"	"55"	"0"	"23"	"219"	"1"	"69"	"2"	"1"	"2"	"1"	"5"	"1"	"1"	"0"	"0"	"1"	"381"	""	"381"	""
"244"	""	"200"	"95"	"3"	"98"	"41"	"3"	"82"	"2"	"1"	"1"	"2"	"37"	"2"	"1"	"1"	"2"	"7"	"378"	""	"378"	""
"245"	""	"201"	"153"	"3"	"114"	"63"	"2"	"24"	"2"	"0"	"2"	"0"	"24"	"0"	"2"	"2"	"3"	"4"	"398"	""	"398"	""
"246"	""	"202"	"102"	"2"	"136"	"64"	"1"	"22"	"0"	"0"	"0"	"2"	"15"	"0"	"3"	"2"	"1"	"7"	"357"	""	"357"	""
"247"	""	"203"	"78"	"7"	"28"	"175"	"3"	"116"	"3"	"2"	"10"	"1"	"7"	"0"	"5"	"3"	"0"	"4"	"442"	""	"442"	""
"248"	""	"204"	"93"	"4"	"46"	"232"	"11"	"48"	"1"	"1"	"6"	"2"	"33"	"3"	"6"	"4"	"1"	"4"	"495"	""	"495"	""
"249"	""	"205"	"161"	"3"	"5"	"187"	"3"	"20"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"2"	"0"	"1"	"386"	""	"386"	""
"250"	""	"206"	"102"	"2"	"52"	"221"	"2"	"42"	"2"	"2"	"19"	"2"	"2"	"0"	"1"	"0"	"1"	"1"	"451"	""	"451"	""
"251"	""	"207"	"35"	"0"	"87"	"190"	"3"	"67"	"0"	"0"	"3"	"0"	"2"	"0"	"2"	"5"	"1"	"4"	"399"	""	"399"	""
"252"	""	"208"	"123"	"4"	"95"	"141"	"3"	"152"	"3"	"0"	"5"	"1"	"43"	"1"	"3"	"0"	"1"	"2"	"577"	""	"577"	""
"253"	""	"209"	"60"	"1"	"53"	"36"	"4"	"65"	"3"	"2"	"0"	"3"	"27"	"3"	"4"	"1"	"1"	"3"	"266"	""	"266"	""
"254"	""	"210"	"57"	"1"	"83"	"130"	"3"	"145"	"1"	"0"	"13"	"2"	"2"	"0"	"2"	"2"	"0"	"4"	"445"	""	"445"	""
