"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947...U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915...U.0938..U.0902...U.092F..U.093E."
"160"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"161"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"162"	""	"135"	"156"	"22"	"64"	"14"	"2"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"269"	""	"269"	""	""
"163"	""	"136"	"146"	"23"	"95"	"79"	"4"	"7"	"1"	"2"	"2"	"0"	"3"	"2"	"2"	"8"	"4"	"4"	"382"	""	"382"	""	""
"164"	""	"137"	"6"	"11"	"89"	"264"	"4"	"1"	"1"	"0"	"1"	"0"	"2"	"0"	"5"	"1"	"1"	"3"	"389"	""	"389"	""	""
"165"	""	"138"	"30"	"52"	"61"	"246"	"3"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"2"	"3"	"1"	"2"	"405"	""	"405"	""	""
"166"	""	"139"	"355"	"2"	"10"	"35"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"405"	""	"405"	""	""
"167"	""	"140"	"49"	"0"	"54"	"88"	"7"	"6"	"1"	"0"	"0"	"1"	"1"	"2"	"8"	"4"	"2"	"7"	"230"	""	"230"	""	""
"168"	"<U+092F><U+094B><U+0917>"	""	"1248"	"253"	"1572"	"1369"	"47"	"33"	"12"	"12"	"27"	"9"	"36"	"22"	"63"	"54"	"27"	"67"	"4851"	"0"	"4851"	"0"	"0"
"169"	""	"141"	"32"	"30"	"89"	"228"	"9"	"2"	"0"	"2"	"0"	"2"	"10"	"3"	"7"	"4"	"3"	"11"	"432"	""	"432"	""	""
"170"	""	"142"	"20"	"4"	"23"	"101"	"5"	"6"	"2"	"2"	"0"	"0"	"1"	"1"	"7"	"0"	"1"	"3"	"176"	""	"176"	""	""
"171"	""	"143"	"10"	"33"	"59"	"52"	"2"	"6"	"1"	"1"	"0"	"0"	"4"	"0"	"0"	"1"	"1"	"4"	"174"	""	"174"	""	""
"172"	""	"144"	"5"	"4"	"6"	"129"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"151"	""	"151"	""	""
"173"	""	"145"	"15"	"4"	"11"	"164"	"7"	"1"	"1"	"0"	"7"	"1"	"4"	"5"	"7"	"1"	"0"	"2"	"230"	""	"230"	""	""
"174"	""	"146"	"297"	"1"	"173"	"57"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"541"	""	"541"	""	""
"175"	""	"147"	"271"	"28"	"67"	"108"	"3"	"1"	"0"	"3"	"0"	"0"	"4"	"4"	"4"	"6"	"3"	"13"	"515"	""	"515"	""	""
"176"	""	"148"	"12"	"18"	"108"	"200"	"5"	"3"	"0"	"1"	"15"	"3"	"6"	"1"	"11"	"5"	"2"	"7"	"397"	""	"397"	""	""
"177"	""	"149"	"115"	"20"	"65"	"72"	"2"	"120"	"5"	"0"	"1"	"1"	"4"	"1"	"4"	"1"	"3"	"9"	"423"	""	"423"	""	""
"178"	""	"150"	"111"	"110"	"75"	"27"	"1"	"7"	"0"	"0"	"6"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"343"	""	"343"	""	""
"179"	""	"151"	"40"	"77"	"61"	"149"	"3"	"6"	"0"	"0"	"5"	"0"	"0"	"0"	"3"	"1"	"3"	"3"	"351"	""	"351"	""	""
"180"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"181"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"182"	""	"152"	"237"	"4"	"43"	"15"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"304"	""	"304"	""	""
"183"	""	"153"	"57"	"9"	"42"	"21"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"136"	""	"136"	""	""
"184"	""	"154"	"65"	"11"	"81"	"87"	"3"	"0"	"2"	"2"	"3"	"2"	"2"	"0"	"4"	"1"	"0"	"2"	"265"	""	"265"	""	""
"185"	"<U+092F><U+094B><U+0917>"	""	"1287"	"353"	"903"	"1410"	"42"	"156"	"12"	"14"	"40"	"13"	"40"	"17"	"53"	"23"	"17"	"58"	"4438"	"0"	"4438"	"0"	"0"
"186"	""	"155"	"23"	"5"	"146"	"198"	"8"	"8"	"4"	"1"	"5"	"2"	"2"	"0"	"2"	"2"	"3"	"4"	"413"	""	"413"	""	""
"187"	""	"156"	"373"	"8"	"32"	"207"	"0"	"14"	"0"	"2"	"4"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"644"	""	"644"	""	""
"188"	""	"157"	"67"	"16"	"42"	"108"	"5"	"1"	"5"	"4"	"6"	"5"	"6"	"1"	"3"	"6"	"2"	"5"	"282"	""	"282"	""	""
"189"	""	"158"	"107"	"17"	"23"	"124"	"2"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"5"	"1"	"2"	"2"	"288"	""	"288"	""	""
"190"	""	"159"	"17"	"25"	"78"	"90"	"2"	"1"	"0"	"2"	"6"	"0"	"4"	"0"	"2"	"2"	"0"	"0"	"229"	""	"229"	""	""
"191"	""	"160"	"292"	"1"	"35"	"34"	"2"	"2"	"0"	"0"	"2"	"1"	"2"	"0"	"0"	"4"	"0"	"6"	"381"	""	"381"	""	""
"192"	""	"161"	"82"	"66"	"44"	"62"	"5"	"2"	"2"	"0"	"8"	"1"	"4"	"1"	"2"	"2"	"5"	"11"	"297"	""	"297"	""	""
"193"	""	"162"	"195"	"6"	"53"	"45"	"12"	"4"	"1"	"1"	"67"	"5"	"3"	"3"	"1"	"2"	"1"	"0"	"399"	""	"399"	""	""
"194"	""	"163"	"185"	"3"	"22"	"76"	"19"	"2"	"1"	"2"	"42"	"3"	"3"	"3"	"1"	"4"	"0"	"2"	"368"	""	"368"	""	""
"195"	""	"164"	"3"	"2"	"80"	"167"	"5"	"1"	"1"	"0"	"4"	"0"	"1"	"1"	"3"	"2"	"3"	"3"	"276"	""	"276"	""	""
"196"	""	"165"	"19"	"4"	"272"	"229"	"13"	"23"	"3"	"0"	"4"	"2"	"2"	"4"	"12"	"12"	"1"	"7"	"607"	""	"607"	""	""
"197"	""	"166"	"4"	"40"	"73"	"182"	"6"	"3"	"0"	"0"	"6"	"2"	"3"	"2"	"11"	"6"	"3"	"3"	"344"	""	"344"	""	""
"198"	""	"167"	"149"	"42"	"17"	"51"	"3"	"3"	"1"	"3"	"1"	"0"	"2"	"2"	"1"	"1"	"1"	"3"	"280"	""	"280"	""	""
"199"	""	"168"	"95"	"34"	"70"	"135"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"3"	"0"	"2"	"344"	""	"344"	""	""
"200"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"201"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"202"	"<U+092F><U+094B><U+0917>"	""	"1611"	"269"	"987"	"1708"	"82"	"67"	"19"	"15"	"157"	"25"	"35"	"17"	"43"	"48"	"21"	"48"	"5152"	"0"	"5152"	"0"	"0"
"203"	""	"169"	"64"	"17"	"80"	"43"	"1"	"0"	"0"	"0"	"25"	"3"	"2"	"1"	"0"	"2"	"2"	"5"	"245"	""	"245"	""	""
"204"	""	"170"	"6"	"22"	"124"	"91"	"1"	"3"	"2"	"1"	"2"	"0"	"2"	"3"	"4"	"11"	"3"	"2"	"277"	""	"277"	""	""
"205"	""	"171"	"52"	"1"	"207"	"21"	"0"	"2"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"291"	""	"291"	""	""
"206"	""	"172"	"11"	"26"	"106"	"91"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"2"	"3"	"2"	"0"	"245"	""	"245"	""	""
"207"	""	"173"	"87"	"1"	"53"	"49"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"2"	"200"	""	"200"	""	""
"208"	""	"174"	"13"	"60"	"89"	"55"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"0"	"5"	"2"	"1"	"3"	"236"	""	"236"	""	""
"209"	""	"175"	"76"	"31"	"38"	"91"	"3"	"1"	"0"	"1"	"1"	"4"	"2"	"0"	"4"	"1"	"2"	"5"	"260"	""	"260"	""	""
"210"	""	"176"	"59"	"3"	"19"	"13"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"102"	""	"102"	""	""
"211"	""	"177"	"84"	"43"	"29"	"55"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"3"	"2"	"9"	"233"	""	"233"	""	""
"212"	""	"178"	"68"	"75"	"13"	"45"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"207"	""	"207"	""	""
"213"	""	"179"	"4"	"195"	"118"	"42"	"1"	"2"	"1"	"0"	"0"	"0"	"3"	"0"	"3"	"8"	"2"	"1"	"380"	""	"380"	""	""
"214"	""	"180"	"27"	"20"	"90"	"289"	"4"	"28"	"2"	"0"	"4"	"0"	"1"	"1"	"5"	"1"	"2"	"2"	"476"	""	"476"	""	""
"215"	""	"181"	"2"	"32"	"139"	"27"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"7"	"4"	"2"	"1"	"217"	""	"217"	""	""
"216"	""	"182"	"12"	"3"	"26"	"29"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"78"	""	"78"	""	""
"217"	"<U+092F><U+094B><U+0917>"	""	"565"	"529"	"1131"	"941"	"14"	"40"	"7"	"12"	"38"	"12"	"23"	"6"	"34"	"40"	"20"	"35"	"3447"	"0"	"3447"	"0"	"0"
"218"	""	"183"	"65"	"152"	"93"	"122"	"3"	"1"	"1"	"3"	"2"	"1"	"0"	"0"	"4"	"7"	"6"	"4"	"464"	""	"464"	""	""
"219"	""	"184"	"53"	"18"	"39"	"178"	"0"	"16"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"308"	""	"308"	""	""
"220"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"221"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"222"	""	"185"	"16"	"32"	"41"	"151"	"3"	"41"	"2"	"0"	"2"	"2"	"0"	"1"	"1"	"2"	"3"	"3"	"300"	""	"300"	""	""
"223"	""	"186"	"201"	"64"	"49"	"115"	"4"	"3"	"1"	"2"	"42"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"483"	""	"483"	""	""
"224"	""	"187"	"123"	"118"	"33"	"78"	"3"	"5"	"0"	"0"	"4"	"4"	"1"	"1"	"1"	"4"	"5"	"4"	"384"	""	"384"	""	""
"225"	""	"188"	"194"	"27"	"58"	"73"	"5"	"30"	"2"	"1"	"14"	"3"	"1"	"1"	"4"	"1"	"3"	"5"	"422"	""	"422"	""	""
"226"	""	"189"	"144"	"23"	"57"	"57"	"0"	"9"	"0"	"0"	"5"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"301"	""	"301"	""	""
"227"	""	"190"	"221"	"78"	"54"	"51"	"0"	"3"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	"2"	"418"	""	"418"	""	""
"228"	""	"191"	"23"	"72"	"73"	"131"	"7"	"12"	"0"	"1"	"1"	"2"	"7"	"2"	"0"	"9"	"2"	"9"	"351"	""	"351"	""	""
"229"	""	"192"	"5"	"2"	"168"	"129"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"311"	""	"311"	""	""
"230"	""	"193"	"78"	"23"	"8"	"417"	"5"	"9"	"1"	"4"	"3"	"1"	"5"	"0"	"1"	"4"	"0"	"0"	"559"	""	"559"	""	""
"231"	""	"194"	"48"	"58"	"81"	"40"	"1"	"29"	"0"	"3"	"3"	"3"	"7"	"1"	"4"	"4"	"4"	"5"	"291"	""	"291"	""	""
"232"	""	"195"	"20"	"62"	"172"	"200"	"4"	"31"	"3"	"2"	"5"	"1"	"6"	"3"	"0"	"6"	"2"	"4"	"521"	""	"521"	""	""
"233"	""	"196"	"63"	"42"	"44"	"101"	"1"	"4"	"2"	"0"	"5"	"1"	"2"	"1"	"5"	"0"	"4"	"11"	"286"	""	"286"	""	""
"234"	"<U+092F><U+094B><U+0917>"	""	"1254"	"771"	"970"	"1843"	"37"	"193"	"16"	"17"	"86"	"20"	"33"	"12"	"23"	"43"	"29"	"52"	"5399"	"0"	"5399"	"0"	"0"
"235"	""	"197"	"7"	"48"	"65"	"247"	"4"	"9"	"0"	"1"	"20"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"405"	""	"405"	""	""
"236"	""	"198"	"135"	"122"	"45"	"122"	"3"	"15"	"0"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"3"	"4"	"459"	""	"459"	""	""
"237"	""	"199"	"45"	"171"	"60"	"47"	"2"	"7"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	"7"	"4"	"2"	"351"	""	"351"	""	""
"238"	""	"200"	"210"	"78"	"57"	"48"	"2"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"1"	"3"	"5"	"414"	""	"414"	""	""
"239"	""	"201"	"64"	"69"	"36"	"74"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"3"	"255"	""	"255"	""	""
