"fo.kku.l.Hkk.fuokZpu..ks..esa.fuokZpdksa.dh.dqy.l.a...k.245214"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"280"	"202"	"88"	"43"	"73"	"134"	"2"	"1"	"2"	"1"	"0"	"1"	"2"	"0"	"3"	"2"	"0"	"1"	"353"	""	"353"	""
"281"	"203"	"72"	"80"	"82"	"42"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"6"	"289"	""	"289"	""
"282"	"204"	"17"	"20"	"149"	"77"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"265"	""	"265"	""
"283"	"205"	"1"	"15"	"138"	"66"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"226"	""	"226"	""
"284"	"206"	"14"	"52"	"160"	"29"	"0"	"6"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"264"	""	"264"	""
"285"	"207"	"308"	"107"	"70"	"57"	"1"	"0"	"2"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"4"	"2"	"555"	""	"555"	""
"286"	"208"	"11"	"80"	"30"	"84"	"3"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"5"	"1"	"2"	"6"	"226"	""	"226"	""
"287"	"209"	"32"	"195"	"28"	"96"	"6"	"7"	"3"	"1"	"4"	"0"	"0"	"0"	"2"	"4"	"2"	"4"	"384"	""	"384"	""
"288"	"210"	"110"	"117"	"11"	"12"	"5"	"37"	"1"	"2"	"1"	"19"	"2"	"1"	"1"	"1"	"3"	"8"	"331"	""	"331"	""
"289"	"TOTAL"	"12179"	"18254"	"24833"	"17977"	"712"	"1366"	"212"	"182"	"249"	"265"	"162"	"176"	"491"	"718"	"331"	"750"	"78857"	"0"	"78857"	"0"
"290"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"292"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"293"	"BF"	"12179"	"18254"	"24833"	"17977"	"712"	"1366"	"212"	"182"	"249"	"265"	"162"	"176"	"491"	"718"	"331"	"750"	"78857"	"0"	"78857"	"0"
"294"	"211"	"84"	"127"	"51"	"62"	"2"	"1"	"1"	"0"	"3"	"2"	"0"	"0"	"3"	"3"	"0"	"3"	"342"	""	"342"	""
"295"	"212"	"6"	"190"	"26"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"260"	""	"260"	""
"296"	"213"	"147"	"105"	"46"	"221"	"3"	"26"	"0"	"1"	"0"	"2"	"1"	"0"	"5"	"2"	"0"	"5"	"564"	""	"564"	""
"297"	"214"	"127"	"269"	"156"	"61"	"6"	"10"	"2"	"2"	"2"	"1"	"2"	"2"	"5"	"3"	"2"	"8"	"658"	""	"658"	""
"298"	"215"	"39"	"338"	"149"	"64"	"2"	"2"	"0"	"0"	"2"	"0"	"2"	"1"	"3"	"1"	"1"	"5"	"609"	""	"609"	""
"299"	"216"	"34"	"234"	"151"	"79"	"5"	"31"	"0"	"2"	"0"	"3"	"0"	"1"	"2"	"0"	"0"	"2"	"544"	""	"544"	""
"300"	"217"	"27"	"122"	"151"	"122"	"0"	"4"	"0"	"2"	"1"	"1"	"2"	"3"	"5"	"5"	"3"	"3"	"451"	""	"451"	""
"301"	"218"	"26"	"36"	"182"	"44"	"0"	"1"	"1"	"0"	"0"	"3"	"3"	"1"	"2"	"7"	"0"	"2"	"308"	""	"308"	""
"302"	"219"	"8"	"44"	"174"	"54"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"11"	"3"	"9"	"314"	""	"314"	""
"303"	"220"	"27"	"141"	"186"	"8"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"5"	"0"	"1"	"377"	""	"377"	""
"304"	"221"	"21"	"101"	"275"	"100"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"6"	"1"	"3"	"513"	""	"513"	""
"305"	"222"	"3"	"10"	"5"	"183"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"208"	""	"208"	""
"306"	"223"	"141"	"99"	"190"	"105"	"5"	"3"	"2"	"0"	"0"	"0"	"0"	"2"	"5"	"3"	"4"	"4"	"563"	""	"563"	""
"307"	"224"	"81"	"7"	"443"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"539"	""	"539"	""
"308"	"TOTAL"	"12950"	"20077"	"27018"	"19121"	"739"	"1450"	"218"	"190"	"258"	"278"	"173"	"189"	"536"	"769"	"345"	"796"	"85107"	"0"	"85107"	"0"
"309"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"311"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"312"	"BF"	"12950"	"20077"	"27018"	"19121"	"739"	"1450"	"218"	"190"	"258"	"278"	"173"	"189"	"536"	"769"	"345"	"796"	"85107"	"0"	"85107"	"0"
"313"	"225"	"67"	"22"	"248"	"175"	"4"	"1"	"2"	"3"	"3"	"2"	"2"	"3"	"13"	"9"	"4"	"8"	"566"	""	"566"	""
"314"	"226"	"13"	"59"	"168"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"259"	""	"259"	""
"315"	"227"	"31"	"59"	"201"	"33"	"0"	"2"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"3"	"5"	"4"	"344"	""	"344"	""
"316"	"228"	"10"	"25"	"206"	"53"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"302"	""	"302"	""
"317"	"229"	"14"	"24"	"137"	"146"	"6"	"1"	"1"	"2"	"3"	"3"	"1"	"3"	"14"	"4"	"5"	"8"	"372"	""	"372"	""
"318"	"230"	"160"	"61"	"30"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	""	"255"	""
"319"	"231"	"101"	"117"	"284"	"70"	"1"	"3"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"8"	"591"	""	"591"	""
"320"	"232"	"3"	"362"	"58"	"35"	"1"	"30"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"493"	""	"493"	""
"321"	"233"	"1"	"1"	"35"	"441"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"480"	""	"480"	""
"322"	"234"	"86"	"142"	"134"	"158"	"4"	"12"	"1"	"2"	"4"	"0"	"1"	"1"	"7"	"4"	"3"	"11"	"570"	""	"570"	""
"323"	"235"	"41"	"214"	"88"	"71"	"9"	"0"	"2"	"0"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"433"	""	"433"	""
"324"	"236"	"30"	"152"	"43"	"79"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"3"	"315"	""	"315"	""
"325"	"237"	"61"	"48"	"35"	"61"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"211"	""	"211"	""
"326"	"238"	"103"	"117"	"40"	"311"	"12"	"3"	"0"	"0"	"6"	"3"	"4"	"4"	"7"	"9"	"3"	"2"	"624"	""	"624"	""
"327"	"TOTAL"	"13671"	"21480"	"28725"	"20772"	"780"	"1504"	"227"	"202"	"284"	"290"	"183"	"201"	"583"	"805"	"369"	"846"	"90922"	"0"	"90922"	"0"
"328"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"330"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"331"	"BF"	"13671"	"21480"	"28725"	"20772"	"780"	"1504"	"227"	"202"	"284"	"290"	"183"	"201"	"583"	"805"	"369"	"846"	"90922"	"0"	"90922"	"0"
"332"	"239"	"62"	"117"	"63"	"28"	"3"	"4"	"2"	"0"	"2"	"4"	"1"	"0"	"3"	"3"	"5"	"9"	"306"	""	"306"	""
"333"	"240"	"16"	"48"	"85"	"102"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"0"	"1"	"262"	""	"262"	""
"334"	"241"	"78"	"44"	"53"	"185"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"5"	"3"	"0"	"2"	"374"	""	"374"	""
"335"	"242"	"1"	"55"	"103"	"137"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"298"	""	"298"	""
"336"	"243"	"30"	"79"	"90"	"48"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"1"	"1"	"3"	"261"	""	"261"	""
"337"	"244"	"5"	"12"	"14"	"141"	"3"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	""	"202"	""
"338"	"245"	"19"	"197"	"73"	"116"	"4"	"3"	"4"	"1"	"4"	"2"	"3"	"1"	"9"	"12"	"6"	"15"	"469"	""	"469"	""
"339"	"246"	"26"	"89"	"6"	"92"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"216"	""	"216"	""
"340"	"247"	"3"	"57"	"92"	"96"	"4"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"3"	"2"	"0"	"2"	"264"	""	"264"	""
"341"	"248"	"29"	"43"	"48"	"53"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"6"	"1"	"0"	"3"	"188"	""	"188"	""
"342"	"249"	"2"	"41"	"12"	"161"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"217"	""	"217"	""
"343"	"250"	"3"	"26"	"43"	"95"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"172"	""	"172"	""
"344"	"251"	"84"	"113"	"248"	"57"	"8"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"3"	"10"	"2"	"4"	"535"	""	"535"	""
"345"	"252"	"92"	"13"	"122"	"15"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"3"	"4"	"254"	""	"254"	""
"346"	"TOTAL"	"14121"	"22414"	"29777"	"22098"	"812"	"1539"	"237"	"207"	"294"	"301"	"191"	"209"	"616"	"847"	"387"	"890"	"94940"	"0"	"94940"	"0"
"347"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"349"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"350"	"BF"	"14121"	"22414"	"29777"	"22098"	"812"	"1539"	"237"	"207"	"294"	"301"	"191"	"209"	"616"	"847"	"387"	"890"	"94940"	"0"	"94940"	"0"
"351"	"253"	"178"	"45"	"226"	"88"	"1"	"0"	"0"	"2"	"3"	"2"	"1"	"2"	"3"	"3"	"1"	"1"	"556"	""	"556"	""
"352"	"254"	"100"	"137"	"175"	"57"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"1"	"478"	""	"478"	""
"353"	"255"	"86"	"181"	"110"	"57"	"1"	"7"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"445"	""	"445"	""
"354"	"256"	"21"	"33"	"129"	"50"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"4"	"2"	"7"	"1"	"7"	"259"	""	"259"	""
"355"	"257"	"43"	"36"	"182"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	""	"290"	""
"356"	"258"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"357"	"259"	"23"	"75"	"70"	"40"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"0"	"219"	""	"219"	""
"358"	"260"	"47"	"56"	"30"	"3"	"1"	"12"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"2"	"9"	"168"	""	"168"	""
"359"	"261"	"51"	"86"	"187"	"99"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"5"	"1"	"1"	"437"	""	"437"	""
"360"	"262"	"32"	"14"	"155"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"212"	""	"212"	""
"361"	"263"	"19"	"76"	"62"	"144"	"53"	"3"	"4"	"3"	"0"	"1"	"2"	"2"	"3"	"4"	"2"	"19"	"397"	""	"397"	""
"362"	"264"	"29"	"40"	"139"	"45"	"19"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"2"	"1"	"3"	"286"	""	"286"	""
"363"	"265"	"97"	"100"	"63"	"56"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"4"	"1"	"348"	""	"348"	""
"364"	"266"	"45"	"35"	"168"	"84"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"9"	"350"	""	"350"	""
"365"	"TOTAL"	"14892"	"23328"	"31473"	"22857"	"921"	"1567"	"244"	"217"	"301"	"310"	"194"	"222"	"637"	"878"	"401"	"943"	"99385"	"0"	"99385"	"0"
"366"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"368"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"369"	"BF"	"14892"	"23328"	"31473"	"22857"	"921"	"1567"	"244"	"217"	"301"	"310"	"194"	"222"	"637"	"878"	"401"	"943"	"99385"	"0"	"99385"	"0"
"370"	"267"	"121"	"45"	"34"	"39"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"14"	"5"	"266"	""	"266"	""
"371"	"268"	"17"	"24"	"50"	"31"	"5"	"0"	"1"	"3"	"1"	"1"	"1"	"0"	"1"	"3"	"3"	"0"	"141"	""	"141"	""
"372"	"269"	"59"	"121"	"25"	"25"	"11"	"3"	"1"	"1"	"0"	"2"	"2"	"3"	"3"	"7"	"3"	"20"	"286"	""	"286"	""
"373"	"270"	"11"	"34"	"19"	"85"	"4"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"2"	"6"	"169"	""	"169"	""
"374"	"271"	"15"	"96"	"142"	"77"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"0"	"3"	"343"	""	"343"	""
"375"	"272"	"99"	"19"	"241"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"368"	""	"368"	""
"376"	"273"	"120"	"56"	"165"	"183"	"14"	"1"	"0"	"2"	"3"	"0"	"0"	"1"	"4"	"2"	"1"	"2"	"554"	""	"554"	""
"377"	"274"	"14"	"142"	"19"	"82"	"2"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"0"	"2"	"1"	"3"	"272"	""	"272"	""
"378"	"275"	"83"	"12"	"44"	"262"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"2"	"3"	"4"	"425"	""	"425"	""
"379"	"276"	"5"	"15"	"3"	"680"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"705"	""	"705"	""
"380"	"277"	"26"	"8"	"5"	"196"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"11"	"0"	"1"	"2"	"252"	""	"252"	""
"381"	"278"	"7"	"111"	"43"	"53"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"224"	""	"224"	""
"382"	"279"	"17"	"62"	"2"	"186"	"4"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"279"	""	"279"	""
"383"	"280"	"62"	"73"	"100"	"91"	"0"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"338"	""	"338"	""
"384"	"TOTAL"	"15548"	"24146"	"32365"	"24851"	"979"	"1581"	"251"	"225"	"310"	"317"	"199"	"233"	"673"	"904"	"432"	"993"	"104007"	"0"	"104007"	"0"
"385"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"387"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"388"	"BF"	"15548"	"24146"	"32365"	"24851"	"979"	"1581"	"251"	"225"	"310"	"317"	"199"	"233"	"673"	"904"	"432"	"993"	"104007"	"0"	"104007"	"0"
"389"	"281"	"5"	"117"	"35"	"157"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"1"	"323"	""	"323"	""
"390"	"282"	"35"	"135"	"110"	"99"	"2"	"1"	"1"	"5"	"1"	"0"	"0"	"2"	"2"	"1"	"3"	"4"	"401"	""	"401"	""
"391"	"283"	"72"	"191"	"66"	"39"	"3"	"52"	"3"	"1"	"1"	"1"	"1"	"1"	"3"	"6"	"3"	"7"	"450"	""	"450"	""
"392"	"284"	"39"	"195"	"106"	"80"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"5"	"0"	"8"	"443"	""	"443"	""
"393"	"285"	"77"	"56"	"77"	"3"	"10"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"3"	"0"	"2"	"234"	""	"234"	""
"394"	"286"	"5"	"184"	"30"	"41"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"4"	"272"	""	"272"	""
"395"	"287"	"22"	"192"	"71"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"301"	""	"301"	""
"396"	"288"	"158"	"42"	"242"	"62"	"2"	"21"	"4"	"0"	"1"	"2"	"2"	"3"	"11"	"11"	"6"	"33"	"600"	""	"600"	""
"397"	"289"	"13"	"42"	"30"	"148"	"3"	"4"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"3"	"1"	"252"	""	"252"	""
"398"	"290"	"8"	"67"	"85"	"52"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"2"	"6"	"230"	""	"230"	""
"399"	"291"	"0"	"27"	"208"	"85"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"0"	"2"	"331"	""	"331"	""
"400"	"292"	"115"	"148"	"51"	"142"	"3"	"4"	"0"	"1"	"0"	"3"	"0"	"1"	"6"	"1"	"2"	"5"	"482"	""	"482"	""
"401"	"293"	"28"	"162"	"30"	"44"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"275"	""	"275"	""
"402"	"294"	"72"	"78"	"95"	"185"	"4"	"4"	"0"	"2"	"2"	"3"	"2"	"1"	"5"	"5"	"3"	"1"	"462"	""	"462"	""
"403"	"TOTAL"	"16197"	"25782"	"33601"	"26000"	"1016"	"1676"	"263"	"236"	"319"	"330"	"208"	"244"	"712"	"948"	"460"	"1071"	"109063"	"0"	"109063"	"0"
