"TOTAL.NO.OF.ELECTORS.IN.94.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X271354"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"206"	"189"	""	"77"	"42"	"100"	""	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"2"	"6"	"2"	"1"	"5"	"1"	"21"	"0"	"0"	"0"	"1"	"266"	""	""	""
"207"	"190"	""	"196"	"60"	"176"	""	"2"	"8"	"0"	"3"	"1"	"2"	"3"	"0"	"1"	"1"	"3"	"2"	"2"	"0"	"4"	"0"	"29"	"1"	"0"	"1"	"0"	"495"	""	""	""
"208"	"191"	""	"124"	"29"	"86"	""	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"5"	"3"	"0"	"4"	"0"	"20"	"0"	"0"	"0"	"0"	"282"	""	""	""
"209"	"192"	""	"236"	"31"	"40"	""	"1"	"5"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"3"	"3"	"1"	"3"	"5"	"0"	"20"	"0"	"0"	"1"	"0"	"353"	""	""	""
"210"	"193"	""	"291"	"43"	"75"	""	"2"	"4"	"1"	"2"	"2"	"4"	"1"	"0"	"6"	"5"	"4"	"3"	"5"	"5"	"9"	"0"	"11"	"1"	"0"	"1"	"1"	"476"	""	""	""
"211"	"194"	""	"166"	"80"	"88"	""	"7"	"9"	"0"	"1"	"1"	"5"	"0"	"4"	"1"	"2"	"7"	"9"	"11"	"1"	"5"	"2"	"19"	"0"	"0"	"0"	"0"	"418"	""	""	""
"212"	"195"	""	"180"	"77"	"81"	""	"1"	"9"	"0"	"3"	"5"	"1"	"3"	"1"	"0"	"0"	"2"	"5"	"3"	"3"	"5"	"0"	"13"	"2"	"0"	"0"	"0"	"394"	""	""	""
"213"	"196"	""	"285"	"19"	"112"	""	"6"	"10"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"8"	"6"	"2"	"18"	"1"	"2"	"4"	"4"	"489"	""	""	""
"214"	"197"	""	"56"	"13"	"205"	""	"0"	"10"	"0"	"1"	"0"	"3"	"0"	"0"	"2"	"1"	"1"	"1"	"5"	"0"	"0"	"0"	"11"	"1"	"0"	"0"	"0"	"310"	""	""	""
"215"	"198"	""	"135"	"31"	"44"	""	"12"	"4"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"6"	"12"	"5"	"52"	"4"	"2"	"4"	"3"	"323"	""	""	""
"216"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"218"	"199"	""	"289"	"25"	"50"	""	"2"	"37"	"0"	"1"	"3"	"4"	"3"	"2"	"0"	"2"	"0"	"1"	"5"	"2"	"10"	"2"	"20"	"1"	"0"	"0"	"0"	"459"	""	""	""
"219"	"200"	""	"271"	"46"	"194"	""	"35"	"4"	"1"	"3"	"3"	"3"	"3"	"8"	"3"	"1"	"8"	"6"	"5"	"7"	"10"	"4"	"34"	"1"	"2"	"0"	"2"	"654"	""	""	""
"220"	"201"	""	"142"	"26"	"88"	""	"7"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"7"	"0"	"2"	"0"	"1"	"0"	"0"	"281"	""	""	""
"221"	"202"	""	"186"	"28"	"150"	""	"12"	"6"	"1"	"1"	"1"	"1"	"4"	"3"	"0"	"2"	"4"	"4"	"8"	"3"	"10"	"2"	"45"	"1"	"2"	"1"	"1"	"476"	""	""	""
"222"	"203"	""	"110"	"4"	"194"	""	"11"	"1"	"0"	"1"	"2"	"1"	"1"	"2"	"0"	"4"	"2"	"6"	"6"	"0"	"4"	"0"	"25"	"0"	"0"	"0"	"2"	"376"	""	""	""
"223"	"204"	""	"235"	"41"	"129"	""	"4"	"0"	"2"	"1"	"1"	"5"	"3"	"1"	"2"	"4"	"5"	"14"	"3"	"5"	"1"	"1"	"30"	"1"	"0"	"1"	"1"	"490"	""	""	""
"224"	"205"	""	"45"	"44"	"374"	""	"9"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"2"	"1"	"1"	"6"	"3"	"9"	"5"	"4"	"113"	"1"	"3"	"2"	"2"	"629"	""	""	""
"225"	"206"	""	"13"	"57"	"115"	""	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"33"	"2"	"1"	"0"	"3"	"234"	""	""	""
"226"	"207"	""	"38"	"35"	"162"	""	"6"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"3"	"3"	"4"	"1"	"2"	"4"	"35"	"0"	"0"	"0"	"1"	"299"	""	""	""
"227"	"208"	""	"211"	"21"	"28"	""	"2"	"0"	"0"	"0"	"0"	"3"	"3"	"1"	"0"	"0"	"1"	"3"	"3"	"4"	"24"	"1"	"25"	"0"	"1"	"0"	"0"	"331"	""	""	""
"228"	"209"	""	"167"	"14"	"36"	""	"4"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"6"	"0"	"31"	"2"	"0"	"0"	"0"	"268"	""	""	""
"229"	"210"	""	"283"	"17"	"47"	""	"2"	"0"	"0"	"3"	"2"	"10"	"1"	"0"	"0"	"1"	"4"	"0"	"0"	"6"	"4"	"1"	"19"	"0"	"1"	"3"	"5"	"409"	""	""	""
"230"	"211"	""	"156"	"12"	"52"	""	"3"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"1"	"0"	"1"	"4"	"3"	"3"	"11"	"0"	"13"	"0"	"0"	"0"	"0"	"264"	""	""	""
"231"	"212"	""	"221"	"74"	"71"	""	"1"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"3"	"2"	"3"	"20"	"0"	"47"	"4"	"2"	"2"	"1"	"457"	""	""	""
"232"	"213"	""	"217"	"187"	"86"	""	"2"	"1"	"3"	"3"	"1"	"4"	"1"	"3"	"1"	"0"	"1"	"8"	"1"	"3"	"10"	"2"	"59"	"0"	"0"	"3"	"1"	"597"	""	""	""
"233"	"214"	""	"229"	"72"	"62"	""	"1"	"1"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"0"	"4"	"3"	"4"	"1"	"6"	"1"	"67"	"3"	"5"	"2"	"4"	"471"	""	""	""
"234"	"215"	""	"118"	"32"	"33"	""	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"6"	"4"	"5"	"3"	"0"	"46"	"1"	"1"	"0"	"1"	"256"	""	""	""
"235"	"216"	""	"137"	"7"	"56"	""	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"8"	"0"	"20"	"0"	"0"	"0"	"0"	"236"	""	""	""
"236"	"217"	""	"220"	"121"	"128"	""	"6"	"1"	"1"	"1"	"1"	"10"	"0"	"1"	"0"	"1"	"3"	"2"	"2"	"5"	"7"	"1"	"34"	"2"	"1"	"4"	"0"	"552"	""	""	""
"237"	"218"	""	"287"	"59"	"119"	""	"4"	"1"	"1"	"1"	"0"	"2"	"1"	"0"	"2"	"1"	"2"	"1"	"10"	"4"	"12"	"3"	"29"	"2"	"0"	"2"	"6"	"549"	""	""	""
"238"	"219"	""	"121"	"122"	"75"	""	"6"	"0"	"1"	"0"	"0"	"3"	"2"	"0"	"6"	"0"	"3"	"10"	"4"	"2"	"3"	"1"	"85"	"2"	"0"	"2"	"2"	"450"	""	""	""
"239"	"220"	""	"196"	"36"	"21"	""	"4"	"1"	"0"	"1"	"2"	"3"	"0"	"0"	"1"	"1"	"4"	"0"	"1"	"5"	"6"	"2"	"25"	"0"	"0"	"2"	"1"	"312"	""	""	""
"240"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"242"	"221"	""	"118"	"19"	"267"	""	"6"	"4"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"1"	"2"	"0"	"8"	"2"	"14"	"1"	"0"	"0"	"1"	"449"	""	""	""
"243"	"222"	""	"229"	"35"	"144"	""	"16"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"0"	"12"	"0"	"5"	"1"	"0"	"0"	"0"	"449"	""	""	""
"244"	"223"	""	"165"	"18"	"114"	""	"109"	"5"	"2"	"2"	"4"	"3"	"4"	"4"	"2"	"8"	"1"	"5"	"13"	"14"	"6"	"3"	"45"	"2"	"1"	"4"	"8"	"542"	""	""	""
"245"	"224"	""	"283"	"18"	"185"	""	"1"	"6"	"1"	"0"	"2"	"2"	"2"	"3"	"4"	"2"	"3"	"7"	"12"	"21"	"9"	"1"	"16"	"2"	"2"	"6"	"2"	"590"	""	""	""
"246"	"225"	""	"151"	"31"	"108"	""	"5"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"5"	"3"	"8"	"0"	"18"	"0"	"1"	"1"	"0"	"340"	""	""	""
"247"	"226"	""	"104"	"73"	"175"	""	"9"	"4"	"2"	"0"	"1"	"2"	"1"	"0"	"4"	"0"	"7"	"5"	"15"	"4"	"5"	"1"	"19"	"0"	"1"	"0"	"1"	"433"	""	""	""
"248"	"227"	""	"72"	"29"	"23"	""	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"15"	"1"	"0"	"2"	"0"	"149"	""	""	""
"249"	"228"	""	"265"	"25"	"219"	""	"13"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"0"	"4"	"3"	"8"	"1"	"27"	"0"	"1"	"0"	"0"	"572"	""	""	""
"250"	"229"	""	"379"	"22"	"184"	""	"0"	"6"	"2"	"1"	"3"	"0"	"1"	"1"	"0"	"1"	"3"	"1"	"5"	"18"	"17"	"2"	"25"	"1"	"5"	"6"	"0"	"683"	""	""	""
"251"	"230"	""	"178"	"209"	"29"	""	"17"	"4"	"4"	"3"	"3"	"5"	"6"	"6"	"5"	"4"	"14"	"16"	"20"	"15"	"4"	"4"	"22"	"0"	"2"	"3"	"10"	"583"	""	""	""
"252"	"231"	""	"274"	"78"	"95"	""	"3"	"3"	"1"	"3"	"4"	"4"	"3"	"1"	"2"	"1"	"7"	"5"	"11"	"30"	"14"	"1"	"77"	"3"	"4"	"8"	"9"	"641"	""	""	""
"253"	"232"	""	"209"	"25"	"244"	""	"12"	"3"	"0"	"4"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"6"	"6"	"5"	"1"	"1"	"115"	"1"	"2"	"1"	"2"	"641"	""	""	""
"254"	"233"	""	"180"	"44"	"91"	""	"5"	"0"	"2"	"0"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"6"	"2"	"2"	"117"	"0"	"0"	"1"	"2"	"462"	""	""	""
"255"	"234"	""	"79"	"113"	"31"	""	"2"	"2"	"0"	"2"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"7"	"1"	"22"	"1"	"0"	"0"	"0"	"271"	""	""	""
"256"	"235"	""	"30"	"91"	"14"	""	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"8"	"0"	"0"	"0"	"0"	"152"	""	""	""
"257"	"236"	""	"226"	"83"	"79"	""	"2"	"2"	"3"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"5"	"6"	"1"	"6"	"8"	"1"	"53"	"0"	"0"	"2"	"1"	"484"	""	""	""
"258"	"237"	""	"164"	"228"	"82"	""	"4"	"1"	"3"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"1"	"4"	"4"	"3"	"3"	"0"	"39"	"2"	"0"	"0"	"4"	"548"	""	""	""
"259"	"238"	""	"144"	"238"	"160"	""	"9"	"2"	"3"	"4"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"3"	"0"	"1"	"0"	"41"	"0"	"0"	"1"	"0"	"614"	""	""	""
"260"	"239"	""	"196"	"31"	"167"	""	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"7"	"0"	"21"	"0"	"0"	"0"	"0"	"428"	""	""	""
"261"	"240"	""	"142"	"89"	"49"	""	"0"	"0"	"1"	"1"	"4"	"3"	"0"	"1"	"0"	"0"	"5"	"4"	"2"	"3"	"6"	"4"	"13"	"0"	"0"	"0"	"1"	"328"	""	""	""
"262"	"241"	""	"118"	"18"	"57"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"4"	"0"	"0"	"1"	"0"	"202"	""	""	""
"263"	"242"	""	"113"	"7"	"82"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"7"	"0"	"0"	"0"	"0"	"217"	""	""	""
"264"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"266"	"243"	""	"86"	"32"	"49"	""	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"184"	""	""	""
"267"	"244"	""	"182"	"29"	"65"	""	"6"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"10"	"1"	"13"	"0"	"0"	"0"	"0"	"310"	""	""	""
"268"	"245"	""	"162"	"20"	"245"	""	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"6"	"1"	"4"	"9"	"18"	"3"	"6"	"0"	"0"	"0"	"4"	"484"	""	""	""
"269"	"246"	""	"129"	"156"	"15"	""	"6"	"0"	"2"	"0"	"1"	"7"	"1"	"0"	"1"	"1"	"0"	"7"	"4"	"8"	"10"	"5"	"243"	"3"	"1"	"1"	"6"	"607"	""	""	""
"270"	"247"	""	"56"	"78"	"164"	""	"77"	"2"	"3"	"1"	"2"	"3"	"2"	"1"	"8"	"5"	"5"	"18"	"17"	"1"	"6"	"3"	"133"	"10"	"2"	"4"	"13"	"614"	""	""	""
"271"	"248"	""	"108"	"30"	"216"	""	"3"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"1"	"1"	"4"	"5"	"5"	"5"	"3"	"1"	"154"	"2"	"2"	"2"	"0"	"547"	""	""	""
"272"	"249"	""	"338"	"233"	"49"	""	"3"	"2"	"3"	"2"	"3"	"2"	"6"	"2"	"2"	"2"	"7"	"13"	"24"	"13"	"18"	"2"	"34"	"2"	"1"	"5"	"12"	"778"	""	""	""
"273"	"250"	""	"179"	"274"	"53"	""	"8"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"3"	"6"	"1"	"51"	"0"	"0"	"0"	"0"	"584"	""	""	""
"274"	"251"	""	"108"	"130"	"81"	""	"20"	"2"	"1"	"0"	"2"	"1"	"3"	"0"	"2"	"2"	"2"	"10"	"5"	"2"	"8"	"2"	"62"	"0"	"0"	"3"	"8"	"454"	""	""	""
"275"	"252"	""	"169"	"188"	"45"	""	"10"	"1"	"2"	"2"	"3"	"2"	"2"	"5"	"2"	"0"	"4"	"12"	"10"	"2"	"2"	"1"	"58"	"0"	"1"	"0"	"2"	"523"	""	""	""
"276"	"253"	""	"165"	"117"	"31"	""	"4"	"0"	"1"	"1"	"0"	"3"	"7"	"1"	"2"	"0"	"7"	"5"	"10"	"2"	"7"	"0"	"25"	"1"	"0"	"1"	"2"	"392"	""	""	""
"277"	"254"	""	"273"	"76"	"29"	""	"3"	"1"	"1"	"2"	"0"	"0"	"4"	"1"	"0"	"2"	"7"	"3"	"10"	"5"	"3"	"1"	"27"	"1"	"1"	"1"	"0"	"451"	""	""	""
"278"	"255"	""	"50"	"227"	"252"	""	"7"	"1"	"3"	"3"	"1"	"0"	"3"	"1"	"2"	"2"	"4"	"10"	"13"	"1"	"2"	"1"	"32"	"1"	"0"	"0"	"0"	"616"	""	""	""
"279"	"256"	""	"181"	"124"	"47"	""	"3"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"1"	"3"	"3"	"2"	"13"	"7"	"6"	"32"	"1"	"1"	"3"	"4"	"438"	""	""	""
"280"	"257"	""	"165"	"69"	"79"	""	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"4"	"1"	"8"	"0"	"2"	"0"	"2"	"341"	""	""	""
"281"	"258"	""	"40"	"229"	"92"	""	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"3"	"9"	"0"	"2"	"3"	"1"	"26"	"0"	"0"	"0"	"2"	"413"	""	""	""
"282"	"43446   11716   26698    1198      422      173      184      283      387      291      132      227      214      583      946      864      922    2458      287    9169      179      172      257      363           101571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"PLACE : MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	""	""	"101571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	""	""	"101571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"PS NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"BHAGWANLAL SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"VINITA VIJAY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"SAMEER KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"JITENDRA YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"DINESH KUMAR KUSHWAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"DEVENDRA RAKESH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"NEELU SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"MAHENDRA PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"MITHILESH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"MOHAMMAD SHAMIM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"MD. RAHAMTULLAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"RAM DAYAL RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"REYAJ AHMAD ATISH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"MD. SALEEM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"ASHOK KUMAR LALAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"AHMAD RAZA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"GEORGE FERNANDES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"TARKESHWAR PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"VIJENDRA CHAUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"VINOD PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"SHAMBHU SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"SADANAND KISHORE THAKUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"SYED ALAMDAR SUSSAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"TOTAL OF VALID VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"NO OF REJECTED VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"TOTAL NO OF TENDER VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
