"TOTAL.NO.OF.ELECTORS.IN.88..GAIGHAT.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X234814"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"214"	"197"	"219"	"34"	"53"	"4"	"1"	"1"	"5"	"3"	"4"	"3"	"2"	"5"	"1"	"9"	"11"	"27"	"9"	"5"	"1"	"32"	"3"	"0"	"0"	"3"	""	"435"	""	""
"215"	"198"	"220"	"84"	"45"	"6"	"27"	"6"	"4"	"3"	"14"	"27"	"3"	"10"	"9"	"17"	"15"	"55"	"15"	"97"	"3"	"49"	"6"	"2"	"6"	"13"	""	"736"	""	""
"216"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"218"	"199"	"168"	"71"	"11"	"2"	"15"	"0"	"2"	"5"	"8"	"3"	"1"	"1"	"4"	"7"	"13"	"17"	"14"	"4"	"4"	"39"	"3"	"1"	"3"	"11"	""	"407"	""	""
"219"	"200"	"166"	"53"	"43"	"3"	"23"	"3"	"1"	"4"	"5"	"1"	"2"	"0"	"1"	"10"	"11"	"15"	"12"	"14"	"4"	"91"	"4"	"1"	"5"	"8"	""	"480"	""	""
"220"	"201"	"122"	"96"	"131"	"12"	"29"	"2"	"7"	"4"	"17"	"14"	"8"	"14"	"8"	"13"	"10"	"38"	"6"	"57"	"2"	"10"	"3"	"3"	"5"	"5"	""	"616"	""	""
"221"	"202"	"67"	"237"	"83"	"11"	"1"	"1"	"2"	"1"	"3"	"3"	"4"	"0"	"7"	"4"	"4"	"10"	"2"	"15"	"3"	"31"	"1"	"0"	"1"	"5"	""	"496"	""	""
"222"	"203"	"110"	"201"	"117"	"8"	"22"	"2"	"3"	"1"	"7"	"2"	"1"	"4"	"1"	"7"	"9"	"15"	"7"	"27"	"2"	"14"	"1"	"4"	"2"	"4"	""	"571"	""	""
"223"	"204"	"43"	"31"	"13"	"5"	"14"	"3"	"1"	"1"	"3"	"3"	"0"	"0"	"0"	"2"	"1"	"4"	"8"	"69"	"2"	"9"	"2"	"1"	"3"	"5"	""	"223"	""	""
"224"	"205"	"43"	"34"	"20"	"33"	"3"	"2"	"2"	"5"	"3"	"7"	"2"	"2"	"4"	"8"	"3"	"12"	"3"	"8"	"0"	"6"	"0"	"1"	"2"	"5"	""	"208"	""	""
"225"	"206"	"89"	"70"	"101"	"31"	"7"	"6"	"7"	"4"	"6"	"7"	"3"	"6"	"7"	"14"	"8"	"23"	"8"	"8"	"4"	"31"	"1"	"4"	"3"	"7"	""	"455"	""	""
"226"	"207"	"54"	"68"	"90"	"4"	"1"	"1"	"4"	"1"	"2"	"4"	"2"	"2"	"2"	"2"	"15"	"8"	"23"	"12"	"3"	"41"	"4"	"6"	"10"	"16"	""	"375"	""	""
"227"	"208"	"149"	"116"	"27"	"14"	"1"	"2"	"1"	"1"	"2"	"4"	"2"	"5"	"3"	"5"	"8"	"19"	"9"	"5"	"3"	"29"	"1"	"2"	"4"	"2"	""	"414"	""	""
"228"	"209"	"90"	"188"	"21"	"9"	"4"	"5"	"5"	"4"	"2"	"3"	"1"	"3"	"3"	"2"	"1"	"6"	"6"	"5"	"4"	"36"	"0"	"1"	"2"	"5"	""	"406"	""	""
"229"	"210"	"106"	"110"	"40"	"10"	"4"	"10"	"7"	"5"	"8"	"8"	"2"	"3"	"3"	"6"	"5"	"0"	"4"	"5"	"1"	"70"	"3"	"1"	"2"	"5"	""	"418"	""	""
"230"	"211"	"63"	"83"	"91"	"58"	"0"	"3"	"0"	"2"	"1"	"1"	"1"	"2"	"2"	"3"	"2"	"1"	"9"	"20"	"4"	"45"	"3"	"7"	"2"	"9"	""	"412"	""	""
"231"	"212"	"96"	"160"	"185"	"9"	"7"	"8"	"6"	"7"	"2"	"12"	"2"	"5"	"12"	"6"	"65"	"7"	"10"	"24"	"10"	"52"	"5"	"3"	"8"	"6"	""	"707"	""	""
"232"	"213"	"143"	"212"	"50"	"15"	"12"	"11"	"14"	"8"	"3"	"9"	"1"	"3"	"4"	"5"	"17"	"22"	"8"	"7"	"5"	"25"	"0"	"1"	"8"	"10"	""	"593"	""	""
"233"	"214"	"80"	"149"	"12"	"3"	"2"	"2"	"1"	"5"	"5"	"2"	"1"	"1"	"5"	"4"	"8"	"24"	"10"	"17"	"4"	"12"	"0"	"1"	"2"	"12"	""	"362"	""	""
"234"	"215"	"224"	"78"	"70"	"4"	"2"	"5"	"2"	"1"	"4"	"3"	"3"	"6"	"3"	"10"	"1"	"29"	"6"	"2"	"1"	"2"	"1"	"2"	"0"	"3"	""	"462"	""	""
"235"	"216"	"26"	"306"	"64"	"3"	"3"	"6"	"0"	"0"	"3"	"2"	"1"	"0"	"0"	"2"	"10"	"1"	"0"	"1"	"1"	"19"	"0"	"0"	"0"	"2"	""	"450"	""	""
"236"	"217"	"150"	"31"	"75"	"5"	"1"	"3"	"1"	"5"	"10"	"6"	"3"	"0"	"1"	"14"	"9"	"9"	"23"	"8"	"5"	"5"	"1"	"7"	"6"	"10"	""	"388"	""	""
"237"	"218"	"106"	"219"	"50"	"40"	"4"	"3"	"3"	"4"	"3"	"9"	"2"	"4"	"7"	"14"	"28"	"17"	"2"	"5"	"3"	"12"	"2"	"2"	"4"	"0"	""	"543"	""	""
"238"	"219"	"32"	"173"	"54"	"24"	"5"	"5"	"6"	"3"	"5"	"10"	"2"	"2"	"4"	"3"	"1"	"8"	"7"	"8"	"6"	"4"	"1"	"2"	"3"	"4"	""	"372"	""	""
"239"	"220"	"156"	"116"	"205"	"14"	"1"	"4"	"8"	"2"	"5"	"6"	"1"	"5"	"7"	"12"	"13"	"14"	"8"	"16"	"5"	"0"	"2"	"1"	"6"	"5"	""	"612"	""	""
"240"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"242"	"221"	"85"	"240"	"38"	"6"	"1"	"11"	"8"	"2"	"5"	"12"	"8"	"6"	"8"	"8"	"28"	"27"	"4"	"16"	"4"	"12"	"2"	"2"	"3"	"6"	""	"542"	""	""
"243"	"222"	"218"	"117"	"35"	"6"	"11"	"8"	"5"	"8"	"0"	"5"	"4"	"3"	"4"	"21"	"11"	"25"	"19"	"20"	"6"	"8"	"1"	"2"	"7"	"10"	""	"554"	""	""
"244"	"223"	"19"	"76"	"260"	"13"	"2"	"3"	"0"	"1"	"3"	"1"	"1"	"1"	"3"	"4"	"12"	"14"	"4"	"4"	"3"	"5"	"0"	"0"	"2"	"7"	""	"438"	""	""
"245"	"224"	"77"	"270"	"31"	"3"	"12"	"3"	"3"	"0"	"5"	"2"	"1"	"6"	"9"	"9"	"4"	"22"	"29"	"23"	"14"	"31"	"7"	"4"	"7"	"28"	""	"600"	""	""
"246"	"225"	"167"	"182"	"109"	"11"	"5"	"11"	"5"	"5"	"6"	"3"	"0"	"1"	"3"	"8"	"2"	"6"	"3"	"5"	"5"	"4"	"1"	"1"	"3"	"1"	""	"547"	""	""
"247"	"226"	"242"	"130"	"105"	"16"	"2"	"5"	"4"	"1"	"3"	"1"	"1"	"5"	"3"	"8"	"3"	"4"	"21"	"24"	"6"	"9"	"2"	"4"	"6"	"6"	""	"611"	""	""
"248"	"227"	"124"	"33"	"21"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"0"	"1"	"6"	"4"	"2"	"16"	"7"	"3"	"16"	"4"	"5"	"8"	"6"	""	"265"	""	""
"249"	"228"	"92"	"71"	"32"	"11"	"2"	"3"	"1"	"2"	"1"	"7"	"1"	"1"	"6"	"8"	"10"	"16"	"4"	"2"	"3"	"14"	"0"	"4"	"4"	"3"	""	"298"	""	""
"250"	"229"	"168"	"170"	"75"	"23"	"2"	"13"	"5"	"10"	"13"	"11"	"4"	"5"	"5"	"20"	"14"	"37"	"4"	"8"	"2"	"9"	"0"	"5"	"6"	"8"	""	"617"	""	""
"251"	"230"	"142"	"96"	"84"	"9"	"8"	"3"	"5"	"5"	"4"	"9"	"3"	"6"	"6"	"13"	"16"	"16"	"11"	"5"	"4"	"14"	"0"	"2"	"3"	"2"	""	"466"	""	""
"252"	"231"	"197"	"60"	"99"	"13"	"17"	"2"	"3"	"0"	"3"	"9"	"1"	"1"	"1"	"1"	"3"	"4"	"7"	"20"	"3"	"59"	"3"	"1"	"4"	"2"	""	"513"	""	""
"253"	"232"	"105"	"151"	"155"	"13"	"3"	"1"	"2"	"2"	"1"	"2"	"1"	"0"	"1"	"2"	"5"	"2"	"0"	"23"	"0"	"15"	"0"	"0"	"0"	"0"	""	"484"	""	""
"254"	"233"	"243"	"64"	"29"	"3"	"2"	"1"	"0"	"7"	"4"	"1"	"0"	"0"	"1"	"10"	"5"	"16"	"7"	"4"	"3"	"20"	"1"	"3"	"4"	"3"	""	"431"	""	""
"255"	"234"	"258"	"51"	"32"	"6"	"4"	"3"	"0"	"4"	"4"	"2"	"2"	"1"	"0"	"4"	"5"	"5"	"0"	"4"	"2"	"35"	"0"	"0"	"1"	"1"	""	"424"	""	""
"256"	"235"	"359"	"185"	"21"	"4"	"9"	"2"	"4"	"6"	"3"	"2"	"0"	"2"	"2"	"9"	"8"	"8"	"1"	"1"	"2"	"19"	"0"	"0"	"2"	"1"	""	"650"	""	""
"257"	"236"	"261"	"57"	"91"	"5"	"4"	"2"	"5"	"2"	"5"	"4"	"1"	"1"	"4"	"6"	"2"	"7"	"13"	"32"	"1"	"33"	"3"	"2"	"4"	"2"	""	"547"	""	""
"258"	"237"	"140"	"58"	"83"	"16"	"1"	"3"	"1"	"3"	"6"	"9"	"3"	"2"	"0"	"4"	"1"	"12"	"11"	"25"	"3"	"5"	"0"	"2"	"4"	"4"	""	"396"	""	""
"259"	"238"	"175"	"60"	"28"	"3"	"4"	"2"	"1"	"4"	"4"	"12"	"0"	"3"	"4"	"18"	"10"	"27"	"8"	"17"	"4"	"31"	"4"	"1"	"2"	"7"	""	"429"	""	""
"260"	"239"	"182"	"41"	"157"	"18"	"1"	"6"	"4"	"4"	"4"	"24"	"3"	"4"	"3"	"11"	"9"	"16"	"14"	"88"	"2"	"8"	"2"	"2"	"3"	"6"	""	"612"	""	""
"261"	"240"	"128"	"103"	"197"	"12"	"6"	"2"	"5"	"4"	"3"	"15"	"4"	"3"	"0"	"5"	"6"	"15"	"14"	"65"	"4"	"30"	"3"	"3"	"5"	"11"	""	"643"	""	""
"262"	"241"	"146"	"81"	"43"	"6"	"8"	"3"	"2"	"2"	"4"	"6"	"2"	"1"	"3"	"4"	"2"	"8"	"18"	"21"	"4"	"14"	"2"	"1"	"3"	"3"	""	"387"	""	""
"263"	"242"	"116"	"52"	"131"	"10"	"3"	"4"	"5"	"2"	"3"	"3"	"1"	"2"	"0"	"9"	"6"	"19"	"8"	"5"	"1"	"28"	"1"	"1"	"2"	"3"	""	"415"	""	""
"264"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"266"	"243"	"245"	"78"	"131"	"34"	"7"	"2"	"5"	"3"	"5"	"12"	"4"	"8"	"10"	"15"	"8"	"21"	"5"	"23"	"4"	"14"	"2"	"0"	"4"	"9"	""	"649"	""	""
"267"	"244"	"130"	"128"	"86"	"17"	"15"	"7"	"6"	"8"	"11"	"7"	"0"	"5"	"3"	"11"	"22"	"21"	"7"	"16"	"1"	"48"	"1"	"3"	"3"	"3"	""	"559"	""	""
"268"	"245"	"151"	"100"	"49"	"8"	"4"	"6"	"4"	"4"	"13"	"11"	"1"	"6"	"4"	"8"	"13"	"20"	"3"	"20"	"2"	"20"	"3"	"0"	"0"	"3"	""	"453"	""	""
"269"	"246"	"131"	"159"	"80"	"11"	"4"	"1"	"4"	"1"	"10"	"12"	"6"	"3"	"8"	"12"	"27"	"33"	"9"	"28"	"7"	"31"	"2"	"1"	"0"	"8"	""	"588"	""	""
"270"	"247"	"71"	"161"	"56"	"8"	"1"	"4"	"3"	"3"	"6"	"2"	"2"	"2"	"4"	"6"	"11"	"12"	"6"	"18"	"2"	"27"	"1"	"0"	"1"	"6"	""	"413"	""	""
"271"	"248"	"64"	"244"	"27"	"9"	"2"	"3"	"5"	"3"	"3"	"5"	"1"	"1"	"1"	"4"	"10"	"4"	"20"	"27"	"10"	"60"	"4"	"1"	"10"	"9"	""	"527"	""	""
"272"	"249"	"132"	"145"	"308"	"13"	"4"	"8"	"5"	"4"	"1"	"4"	"1"	"0"	"1"	"4"	"7"	"3"	"6"	"10"	"5"	"16"	"1"	"2"	"6"	"1"	""	"687"	""	""
"273"	"250"	"101"	"134"	"34"	"40"	"6"	"5"	"2"	"4"	"8"	"2"	"2"	"3"	"4"	"4"	"5"	"14"	"9"	"20"	"9"	"23"	"0"	"1"	"1"	"5"	""	"436"	""	""
"274"	"251"	"153"	"79"	"11"	"6"	"4"	"4"	"5"	"3"	"2"	"3"	"3"	"2"	"1"	"6"	"12"	"5"	"15"	"20"	"4"	"72"	"4"	"1"	"5"	"4"	""	"424"	""	""
"275"	"28328   25717   15951    2411    2025      814      678      719    1080    1543      498      662    1123    1664    1927    3105    1852    6932      772    6039      439      536      692    1278           106785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"PLACE : MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"DATE : 16-05-2009                                                                                                                                                                                                    RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	"106785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	"106785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
