"Candidate.s.Name...........BOTH.NO.."	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"267"	"238"	"18"	"1"	"0"	"57"	"209"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"292"	""	"292"	""
"268"	"239"	"9"	"2"	"3"	"123"	"89"	"7"	"3"	"0"	"0"	"0"	"13"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"251"	""	"251"	""
"269"	"240"	"57"	"17"	"33"	"153"	"138"	"8"	"4"	"4"	"3"	"3"	"44"	"3"	"11"	"0"	"3"	"10"	"8"	"1"	"5"	"505"	""	"505"	""
"270"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"271"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"272"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"273"	"241"	"7"	"0"	"0"	"18"	"367"	"2"	"0"	"0"	"0"	"1"	"8"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"407"	""	"407"	""
"274"	"242"	"29"	"5"	"3"	"85"	"148"	"7"	"0"	"2"	"1"	"0"	"12"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"296"	""	"296"	""
"275"	"243"	"25"	"2"	"2"	"80"	"172"	"15"	"6"	"5"	"0"	"2"	"20"	"4"	"3"	"0"	"3"	"4"	"6"	"3"	"5"	"357"	""	"357"	""
"276"	"244"	"133"	"25"	"19"	"112"	"80"	"9"	"2"	"5"	"2"	"2"	"31"	"0"	"4"	"1"	"1"	"10"	"10"	"4"	"4"	"454"	""	"454"	""
"277"	"245"	"91"	"12"	"6"	"150"	"163"	"6"	"0"	"2"	"2"	"0"	"23"	"1"	"3"	"1"	"1"	"2"	"0"	"1"	"0"	"464"	""	"464"	""
"278"	"246"	"0"	"0"	"0"	"21"	"214"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	""	"236"	""
"279"	"247"	"16"	"7"	"3"	"125"	"193"	"5"	"1"	"9"	"1"	"1"	"29"	"4"	"1"	"4"	"2"	"4"	"3"	"1"	"2"	"411"	""	"411"	""
"280"	"248"	"21"	"49"	"23"	"114"	"36"	"3"	"4"	"0"	"2"	"2"	"31"	"4"	"6"	"2"	"1"	"7"	"3"	"0"	"8"	"316"	""	"316"	""
"281"	"249"	"10"	"21"	"3"	"169"	"24"	"5"	"1"	"1"	"1"	"1"	"31"	"2"	"1"	"1"	"0"	"1"	"2"	"0"	"4"	"278"	""	"278"	""
"282"	"250"	"1"	"0"	"0"	"20"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"26"	""	"26"	""
"283"	"251"	"2"	"1"	"2"	"21"	"44"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	""	"72"	""
"284"	"252"	"43"	"9"	"77"	"83"	"131"	"18"	"9"	"5"	"5"	"5"	"25"	"4"	"3"	"2"	"1"	"8"	"2"	"1"	"4"	"435"	""	"435"	""
"285"	"253"	"19"	"2"	"16"	"63"	"191"	"15"	"6"	"2"	"1"	"6"	"14"	"11"	"13"	"6"	"12"	"30"	"2"	"4"	"5"	"418"	""	"418"	""
"286"	"254"	"34"	"2"	"5"	"43"	"242"	"12"	"4"	"6"	"2"	"3"	"3"	"7"	"3"	"2"	"0"	"4"	"7"	"2"	"3"	"384"	""	"384"	""
"287"	"255"	"81"	"10"	"11"	"189"	"193"	"9"	"1"	"3"	"5"	"2"	"16"	"3"	"5"	"1"	"2"	"7"	"2"	"1"	"3"	"544"	""	"544"	""
"288"	"256"	"26"	"1"	"8"	"163"	"13"	"6"	"10"	"3"	"1"	"2"	"15"	"1"	"5"	"2"	"1"	"2"	"0"	"0"	"0"	"259"	""	"259"	""
"289"	"257"	"46"	"0"	"0"	"439"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"492"	""	"492"	""
"290"	"258"	"21"	"6"	"3"	"93"	"109"	"8"	"2"	"1"	"2"	"4"	"22"	"8"	"8"	"2"	"0"	"11"	"0"	"1"	"1"	"302"	""	"302"	""
"291"	"259"	"31"	"3"	"2"	"196"	"48"	"5"	"1"	"1"	"3"	"0"	"28"	"6"	"14"	"1"	"1"	"8"	"2"	"0"	"3"	"353"	""	"353"	""
"292"	"260"	"18"	"5"	"5"	"77"	"168"	"7"	"2"	"3"	"3"	"0"	"12"	"0"	"6"	"0"	"0"	"3"	"9"	"3"	"19"	"340"	""	"340"	""
"293"	"261"	"6"	"1"	"25"	"34"	"4"	"1"	"2"	"2"	"1"	"0"	"98"	"8"	"0"	"4"	"2"	"2"	"3"	"3"	"5"	"201"	""	"201"	""
"294"	"262"	"58"	"6"	"6"	"41"	"145"	"17"	"4"	"1"	"1"	"6"	"22"	"6"	"4"	"5"	"2"	"6"	"6"	"2"	"2"	"340"	""	"340"	""
"295"	"263"	"16"	"3"	"5"	"93"	"11"	"2"	"0"	"1"	"1"	"0"	"42"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"178"	""	"178"	""
"296"	"264"	"107"	"20"	"5"	"275"	"88"	"17"	"5"	"3"	"1"	"2"	"39"	"2"	"8"	"1"	"3"	"11"	"0"	"1"	"0"	"588"	""	"588"	""
"297"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"298"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"299"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"300"	"265"	"87"	"10"	"2"	"167"	"129"	"22"	"6"	"4"	"6"	"3"	"30"	"3"	"3"	"4"	"5"	"3"	"11"	"3"	"4"	"502"	""	"502"	""
"301"	"266"	"20"	"1"	"0"	"96"	"87"	"9"	"4"	"3"	"2"	"0"	"22"	"1"	"9"	"3"	"3"	"7"	"17"	"4"	"7"	"295"	""	"295"	""
"302"	"267"	"51"	"1"	"34"	"35"	"57"	"0"	"1"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	""	"184"	""
"303"	"268"	"14"	"0"	"2"	"82"	"118"	"10"	"1"	"3"	"4"	"1"	"21"	"3"	"2"	"3"	"2"	"5"	"8"	"3"	"5"	"287"	""	"287"	""
"304"	"269"	"71"	"10"	"6"	"89"	"197"	"8"	"4"	"4"	"3"	"0"	"22"	"3"	"3"	"6"	"1"	"3"	"5"	"3"	"4"	"442"	""	"442"	""
"305"	"270"	"37"	"7"	"23"	"157"	"160"	"7"	"2"	"4"	"1"	"2"	"33"	"3"	"2"	"1"	"1"	"10"	"1"	"1"	"2"	"454"	""	"454"	""
"306"	"271"	"31"	"5"	"16"	"98"	"164"	"14"	"4"	"2"	"2"	"1"	"7"	"1"	"3"	"1"	"0"	"3"	"2"	"2"	"1"	"357"	""	"357"	""
"307"	"Total"	"10140"	"5500"	"1668"	"33461"	"27548"	"1472"	"454"	"412"	"438"	"331"	"5630"	"543"	"932"	"440"	"326"	"974"	"693"	"332"	"587"	"91881"	""	"91881"	""
