"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X231191.35.Bisfi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"306"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"308"	"Round No 17"	"225"	"250"	"13"	"52"	"125"	"89"	"11"	"6"	"6"	"3"	"3"	"3"	"6"	"9"	"13"	"589"	""	"589"	""
"309"	""	"226"	"127"	"2"	"37"	"124"	"24"	"4"	"1"	"2"	"4"	"0"	"0"	"3"	"5"	"24"	"357"	""	"357"	""
"310"	""	"227"	"90"	"2"	"39"	"231"	"58"	"7"	"1"	"7"	"4"	"0"	"5"	"4"	"3"	"22"	"473"	""	"473"	""
"311"	""	"228"	"36"	"8"	"66"	"224"	"23"	"3"	"2"	"1"	"2"	"0"	"1"	"4"	"3"	"8"	"381"	""	"381"	""
"312"	""	"229"	"128"	"7"	"156"	"61"	"25"	"2"	"6"	"1"	"1"	"2"	"3"	"4"	"3"	"3"	"402"	""	"402"	""
"313"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	""	"Total -
17"	"631"	"32"	"350"	"765"	"219"	"27"	"16"	"17"	"14"	"5"	"12"	"21"	"23"	"70"	"2202"	"0"	"2202"	"0"
"323"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"327"	"Final"	"Total No. of votes recorded at Polling stations"	"28550"	"1591"	"20207"	"17679"	"10000"	"662"	"476"	"728"	"564"	"389"	"693"	"977"	"834"	"10069"	"93419"	"0"	"93419"	"0"
"328"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"329"	""	"TOTAL VOTES POLLED"	"28550"	"1591"	"20207"	"17679"	"10000"	"662"	"476"	"728"	"564"	"389"	"693"	"977"	"834"	"10069"	"93419"	"0"	"93419"	"0"
