"TOTAL.NO.OF.ELECTORS.IN.91.BOCHHAN.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X199351"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"202"	"185"	""	""	"130"	""	"121"	"82"	"4"	"4"	"4"	"1"	"4"	"3"	"2"	"1"	"1"	"0"	"7"	"9"	"6"	"4"	"6"	"3"	"51"	"0"	"3"	"2"	"2"	"450"	""	""	""
"203"	"186"	""	""	"206"	""	"125"	"97"	"3"	"3"	"4"	"4"	"3"	"10"	"7"	"8"	"3"	"12"	"16"	"17"	"26"	"17"	"14"	"3"	"12"	"2"	"3"	"4"	"9"	"608"	""	""	""
"204"	"187"	""	""	"42"	""	"33"	"268"	"10"	"9"	"2"	"4"	"1"	"3"	"0"	"3"	"0"	"3"	"5"	"25"	"8"	"5"	"5"	"2"	"26"	"0"	"1"	"3"	"6"	"464"	""	""	""
"205"	"188"	""	""	"49"	""	"81"	"282"	"4"	"7"	"7"	"2"	"5"	"7"	"8"	"4"	"3"	"2"	"6"	"8"	"13"	"6"	"12"	"8"	"57"	"5"	"6"	"5"	"3"	"590"	""	""	""
"206"	"189"	""	""	"74"	""	"263"	"56"	"7"	"3"	"1"	"2"	"2"	"3"	"2"	"5"	"3"	"3"	"8"	"12"	"9"	"7"	"20"	"1"	"17"	"0"	"4"	"4"	"5"	"511"	""	""	""
"207"	"190"	""	""	"69"	""	"47"	"66"	"19"	"163"	"15"	"3"	"10"	"38"	"13"	"10"	"7"	"8"	"16"	"7"	"27"	"8"	"12"	"5"	"13"	"2"	"1"	"3"	"11"	"573"	""	""	""
"208"	"191"	""	""	"74"	""	"77"	"57"	"1"	"27"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"2"	"3"	"2"	"1"	"19"	"1"	"7"	"1"	"0"	"0"	"1"	"280"	""	""	""
"209"	"192"	""	""	"172"	""	"60"	"50"	"26"	"5"	"0"	"2"	"2"	"6"	"8"	"3"	"7"	"12"	"13"	"6"	"21"	"6"	"55"	"3"	"47"	"1"	"5"	"6"	"2"	"518"	""	""	""
"210"	"193"	""	""	"81"	""	"80"	"53"	"2"	"24"	"7"	"5"	"4"	"10"	"7"	"6"	"3"	"3"	"6"	"7"	"13"	"5"	"20"	"1"	"7"	"2"	"1"	"1"	"1"	"349"	""	""	""
"211"	"194"	""	""	"276"	""	"22"	"60"	"4"	"26"	"0"	"0"	"1"	"7"	"3"	"0"	"2"	"1"	"7"	"4"	"2"	"9"	"46"	"6"	"160"	"1"	"6"	"7"	"3"	"653"	""	""	""
"212"	"195"	""	""	"215"	""	"85"	"71"	"3"	"6"	"4"	"4"	"0"	"3"	"2"	"1"	"0"	"4"	"8"	"7"	"18"	"18"	"19"	"8"	"30"	"2"	"0"	"1"	"7"	"516"	""	""	""
"213"	"196"	""	""	"113"	""	"128"	"86"	"35"	"39"	"11"	"6"	"0"	"5"	"12"	"7"	"12"	"9"	"6"	"22"	"22"	"11"	"50"	"6"	"111"	"3"	"3"	"10"	"16"	"723"	""	""	""
"214"	"197"	""	""	"99"	""	"29"	"5"	"0"	"5"	"3"	"5"	"4"	"2"	"3"	"1"	"3"	"2"	"3"	"4"	"8"	"3"	"10"	"1"	"133"	"3"	"0"	"2"	"1"	"329"	""	""	""
"215"	"198"	""	""	"190"	""	"14"	"57"	"0"	"21"	"1"	"2"	"1"	"5"	"1"	"1"	"1"	"1"	"7"	"12"	"1"	"15"	"15"	"5"	"449"	"8"	"1"	"2"	"1"	"811"	""	""	""
"216"	"199"	""	""	"167"	""	"48"	"178"	"3"	"8"	"1"	"0"	"5"	"6"	"0"	"2"	"2"	"3"	"5"	"8"	"18"	"8"	"6"	"2"	"51"	"0"	"1"	"1"	"0"	"523"	""	""	""
"217"	"200"	""	""	"162"	""	"88"	"46"	"3"	"8"	"2"	"1"	"4"	"4"	"7"	"1"	"1"	"0"	"6"	"8"	"12"	"4"	"7"	"2"	"13"	"0"	"1"	"2"	"3"	"385"	""	""	""
"218"	"201"	""	""	"266"	""	"203"	"35"	"2"	"22"	"4"	"4"	"9"	"8"	"13"	"4"	"5"	"7"	"12"	"17"	"22"	"6"	"7"	"3"	"13"	"1"	"1"	"1"	"4"	"669"	""	""	""
"219"	"202"	""	""	"139"	""	"385"	"25"	"16"	"51"	"6"	"2"	"4"	"13"	"5"	"3"	"3"	"3"	"8"	"9"	"19"	"4"	"19"	"4"	"12"	"2"	"1"	"6"	"11"	"750"	""	""	""
"220"	"203"	""	""	"198"	""	"139"	"62"	"9"	"68"	"13"	"7"	"12"	"16"	"6"	"10"	"5"	"6"	"12"	"10"	"25"	"8"	"2"	"1"	"22"	"1"	"1"	"2"	"9"	"644"	""	""	""
"221"	"204"	""	""	"108"	""	"151"	"41"	"1"	"8"	"0"	"1"	"2"	"7"	"1"	"2"	"2"	"1"	"9"	"3"	"22"	"3"	"5"	"0"	"18"	"1"	"1"	"1"	"0"	"388"	""	""	""
"222"	"205"	""	""	"286"	""	"30"	"19"	"3"	"14"	"1"	"0"	"2"	"10"	"3"	"1"	"0"	"1"	"8"	"1"	"4"	"23"	"11"	"6"	"27"	"2"	"3"	"8"	"11"	"474"	""	""	""
"223"	"206"	""	""	"205"	""	"64"	"85"	"31"	"23"	"4"	"7"	"3"	"13"	"11"	"2"	"4"	"3"	"11"	"3"	"13"	"13"	"6"	"3"	"24"	"7"	"2"	"2"	"4"	"543"	""	""	""
"224"	"Total                      38845     22232     16524    1772    2345      647      539      637    1093      715      402      498      532    1459    1377    2592    1742    1805      553    5459      331      344      602      937           103982"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"TOTAL VOTES POLLED"	""	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	"PS NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	""	""	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	""	""	""	""	"BHAGWANLAL SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	""	""	""	""	"VINITA VIJAY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	""	""	""	"SAMEER KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	""	""	""	""	"DINESH KUMAR KUSHWAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	""	""	""	""	"DEVENDRA RAKESH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	""	""	""	""	"NEELU SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"103982"	""	"103982"	""	"MAHENDRA PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	""	""	""	""	"MITHILESH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	""	""	""	""	"MOHAMMAD SHAMIM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	""	""	""	""	"MD. RAHAMTULLAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	""	""	""	""	"RAM DAYAL RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	""	""	""	""	"REYAJ AHMAD ATISH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	""	""	""	""	"MD. SALEEM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	""	""	""	""	"ASHOK KUMAR LALAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	""	""	""	""	"AHMAD RAZA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	""	""	""	""	"GEORGE FERNANDES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	""	""	""	""	"TARKESHWAR PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	""	""	""	""	"VIJENDRA CHAUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	""	""	""	"VINOD PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	""	""	""	"SHAMBHU SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	""	""	""	""	"SADANAND KISHORE THAKUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	""	""	""	""	"SYED ALAMDAR SUSSAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	""	""	""	""	"NO OF REJECTED VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	""	""	""	""	"TOTAL NO OF TENDER VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
