"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    249741"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 155-Kahalgaon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"219"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"220"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"221"	"186"	"186"	"42"	"96"	"79"	"17"	"81"	"3"	"2"	"1"	"4"	"1"	"4"	"2"	"2"	"2"	""	"0"	"7"	"3"	"1"	"0"	"0"	"3"	"350"	"0"	"350"	"0"
"222"	"187"	"187"	"5"	"66"	"241"	"14"	"46"	"3"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"0"	""	"1"	"3"	"5"	"0"	"3"	"1"	"5"	"400"	"0"	"400"	"0"
"223"	"188"	"188"	"10"	"28"	"8"	"5"	"72"	"6"	"2"	"0"	"2"	"0"	"6"	"0"	"0"	"1"	""	"1"	"3"	"12"	"1"	"1"	"1"	"12"	"171"	"0"	"171"	"0"
"224"	"189"	"189"	"21"	"223"	"48"	"4"	"62"	"1"	"1"	"1"	"2"	"1"	"3"	"0"	"0"	"7"	""	"8"	"15"	"8"	"7"	"1"	"0"	"3"	"416"	"0"	"416"	"0"
"225"	"190"	"190"	"43"	"122"	"65"	"6"	"89"	"4"	"0"	"2"	"1"	"1"	"10"	"1"	"4"	"1"	""	"4"	"12"	"2"	"2"	"0"	"0"	"1"	"370"	"0"	"370"	"0"
"226"	"191"	"191"	"6"	"63"	"83"	"22"	"61"	"2"	"1"	"3"	"0"	"3"	"4"	"3"	"5"	"0"	""	"5"	"4"	"1"	"1"	"1"	"0"	"6"	"274"	"0"	"274"	"0"
"227"	"192"	"192"	"10"	"120"	"172"	"8"	"17"	"1"	"3"	"4"	"0"	"5"	"5"	"9"	"7"	"11"	""	"6"	"22"	"5"	"10"	"10"	"1"	"5"	"431"	"0"	"431"	"0"
"228"	"193"	"193"	"13"	"48"	"75"	"13"	"240"	"4"	"4"	"1"	"0"	"5"	"11"	"4"	"2"	"3"	""	"2"	"11"	"6"	"3"	"2"	"5"	"13"	"465"	"0"	"465"	"0"
"229"	"194"	"194"	"4"	"25"	"154"	"3"	"68"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	""	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"265"	"0"	"265"	"0"
"230"	"195"	"195"	"168"	"62"	"170"	"3"	"76"	"4"	"4"	"2"	"2"	"1"	"3"	"2"	"1"	"1"	""	"1"	"3"	"20"	"0"	"0"	"0"	"0"	"523"	"0"	"523"	"0"
"231"	"196"	"196"	"162"	"50"	"54"	"7"	"167"	"3"	"4"	"1"	"3"	"1"	"12"	"6"	"3"	"4"	""	"3"	"21"	"14"	"0"	"4"	"1"	"5"	"525"	"0"	"525"	"0"
"232"	"197"	"197"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"233"	"198"	"198"	"5"	"9"	"313"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"348"	"0"	"348"	"0"
"234"	"199"	"199"	"52"	"16"	"84"	"38"	"41"	"1"	"1"	"2"	"1"	"0"	"1"	"0"	"1"	"3"	""	"2"	"5"	"3"	"0"	"0"	"0"	"1"	"252"	"0"	"252"	"0"
"235"	"200"	"200"	"222"	"25"	"111"	"6"	"22"	"0"	"0"	"1"	"4"	"1"	"2"	"0"	"3"	"2"	""	"2"	"4"	"6"	"1"	"0"	"1"	"4"	"417"	"0"	"417"	"0"
"236"	"201"	"201"	"156"	"18"	"99"	"3"	"43"	"3"	"2"	"3"	"1"	"4"	"1"	"2"	"1"	"4"	""	"0"	"13"	"6"	"0"	"3"	"1"	"6"	"369"	"0"	"369"	"0"
"237"	"202"	"202"	"33"	"8"	"146"	"29"	"19"	"0"	"0"	"1"	"2"	"0"	"6"	"2"	"2"	"1"	""	"1"	"14"	"3"	"2"	"16"	"5"	"6"	"296"	"0"	"296"	"0"
"238"	"203"	"203"	"10"	"34"	"192"	"14"	"25"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	""	"2"	"3"	"1"	"0"	"1"	"1"	"2"	"290"	"0"	"290"	"0"
"239"	"204"	"204"	"25"	"86"	"129"	"27"	"41"	"1"	"1"	"2"	"9"	"1"	"2"	"1"	"1"	"4"	""	"1"	"6"	"5"	"5"	"6"	"2"	"4"	"359"	"0"	"359"	"0"
"240"	"205"	"205"	"14"	"18"	"224"	"10"	"74"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	""	"0"	"8"	"0"	"1"	"2"	"1"	"3"	"362"	"0"	"362"	"0"
"241"	"206"	"206"	"167"	"37"	"136"	"6"	"22"	"6"	"4"	"5"	"23"	"4"	"4"	"5"	"4"	"7"	""	"5"	"24"	"10"	"1"	"5"	"1"	"3"	"479"	"0"	"479"	"0"
"242"	"207"	"207"	"35"	"54"	"278"	"28"	"32"	"1"	"5"	"7"	"4"	"1"	"5"	"4"	"9"	"14"	""	"5"	"15"	"16"	"0"	"7"	"3"	"7"	"530"	"0"	"530"	"0"
"243"	"208"	"208"	"28"	"81"	"168"	"33"	"72"	"7"	"1"	"3"	"2"	"9"	"8"	"4"	"2"	"22"	""	"8"	"16"	"2"	"1"	"5"	"1"	"1"	"474"	"0"	"474"	"0"
"244"	"209"	"209"	"14"	"23"	"604"	"2"	"11"	"0"	"0"	"0"	"1"	"0"	"1"	"2
Pag"	"e - 2/12 9"	"1"	""	"1"	"1"	"1"	"2"	"4"	"0"	"0"	"670"	"0"	"670"	"0"
"245"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"246"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"247"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"248"	"210"	"210"	"62"	"18"	"384"	"13"	"18"	"2"	"0"	"0"	"1"	"1"	"5"	"1"	"3"	"12"	""	"5"	"8"	"10"	"2"	"32"	"4"	"6"	"587"	"0"	"587"	"0"
"249"	"211"	"211"	"16"	"46"	"174"	"3"	"29"	"1"	"1"	"2"	"1"	"1"	"0"	"2"	"1"	"3"	""	"2"	"3"	"2"	"1"	"2"	"0"	"0"	"290"	"0"	"290"	"0"
"250"	"212"	"212"	"14"	"34"	"360"	"22"	"26"	"2"	"1"	"2"	"1"	"2"	"7"	"2"	"5"	"13"	""	"4"	"12"	"2"	"1"	"2"	"1"	"1"	"514"	"0"	"514"	"0"
"251"	"213"	"213"	"25"	"55"	"59"	"118"	"29"	"4"	"3"	"7"	"3"	"0"	"4"	"0"	"5"	"7"	""	"5"	"18"	"2"	"4"	"3"	"3"	"2"	"356"	"0"	"356"	"0"
"252"	"214"	"214"	"16"	"121"	"70"	"30"	"133"	"7"	"2"	"4"	"3"	"11"	"4"	"2"	"0"	"2"	""	"0"	"5"	"5"	"1"	"0"	"0"	"1"	"417"	"0"	"417"	"0"
"253"	"215"	"215"	"1"	"94"	"89"	"70"	"76"	"3"	"0"	"4"	"0"	"0"	"3"	"0"	"1"	"0"	""	"1"	"4"	"8"	"3"	"1"	"6"	"3"	"367"	"0"	"367"	"0"
"254"	"216"	"216"	"8"	"5"	"40"	"27"	"124"	"5"	"1"	"2"	"0"	"1"	"4"	"3"	"4"	"4"	""	"1"	"8"	"3"	"4"	"3"	"1"	"3"	"251"	"0"	"251"	"0"
"255"	"217"	"217"	"4"	"139"	"94"	"115"	"38"	"5"	"0"	"3"	"3"	"2"	"7"	"2"	"3"	"6"	""	"2"	"22"	"3"	"1"	"2"	"6"	"1"	"458"	"0"	"458"	"0"
"256"	"218"	"218"	"39"	"99"	"104"	"23"	"135"	"7"	"0"	"1"	"5"	"4"	"6"	"2"	"2"	"2"	""	"0"	"12"	"3"	"3"	"1"	"2"	"2"	"452"	"0"	"452"	"0"
"257"	"219"	"219"	"44"	"82"	"96"	"10"	"134"	"11"	"4"	"10"	"1"	"2"	"3"	"5"	"7"	"5"	""	"8"	"19"	"13"	"2"	"4"	"1"	"8"	"469"	"0"	"469"	"0"
"258"	"220"	"220"	"14"	"17"	"33"	"54"	"58"	"5"	"0"	"6"	"2"	"0"	"4"	"0"	"2"	"3"	""	"0"	"4"	"6"	"4"	"2"	"6"	"6"	"226"	"0"	"226"	"0"
"259"	"221"	"221"	"9"	"80"	"146"	"16"	"35"	"5"	"0"	"7"	"2"	"2"	"9"	"6"	"8"	"4"	""	"6"	"18"	"4"	"9"	"0"	"2"	"1"	"369"	"0"	"369"	"0"
"260"	"222"	"222"	"14"	"111"	"45"	"8"	"15"	"3"	"3"	"0"	"0"	"0"	"2"	"2"	"1"	"1"	""	"0"	"2"	"5"	"1"	"2"	"1"	"8"	"224"	"0"	"224"	"0"
"261"	"223"	"223"	"35"	"91"	"20"	"4"	"160"	"8"	"0"	"1"	"1"	"5"	"9"	"0"	"4"	"1"	""	"4"	"16"	"9"	"3"	"1"	"0"	"9"	"381"	"0"	"381"	"0"
"262"	"224"	"224"	"6"	"56"	"37"	"10"	"132"	"6"	"2"	"0"	"1"	"9"	"16"	"3"	"4"	"6"	""	"5"	"5"	"5"	"0"	"2"	"2"	"2"	"309"	"0"	"309"	"0"
"263"	"225"	"225"	"8"	"25"	"54"	"4"	"217"	"10"	"0"	"1"	"10"	"3"	"18"	"9"	"6"	"1"	""	"5"	"24"	"1"	"0"	"1"	"4"	"4"	"405"	"0"	"405"	"0"
"264"	"226"	"226"	"9"	"9"	"23"	"2"	"229"	"11"	"3"	"4"	"1"	"1"	"17"	"4"	"4"	"2"	""	"4"	"19"	"13"	"0"	"1"	"6"	"20"	"382"	"0"	"382"	"0"
"265"	"227"	"227"	"18"	"159"	"18"	"11"	"227"	"2"	"3"	"12"	"0"	"0"	"3"	"0"	"4"	"0"	""	"5"	"4"	"1"	"1"	"0"	"1"	"9"	"478"	"0"	"478"	"0"
"266"	"228"	"228"	"13"	"46"	"101"	"39"	"202"	"8"	"5"	"3"	"5"	"8"	"13"	"6"	"9"	"6"	""	"6"	"26"	"6"	"1"	"2"	"3"	"9"	"517"	"0"	"517"	"0"
"267"	"229"	"229"	"9"	"110"	"55"	"36"	"104"	"5"	"0"	"1"	"4"	"5"	"8"	"0"	"2"	"3"	""	"2"	"15"	"4"	"23"	"2"	"1"	"5"	"394"	"0"	"394"	"0"
"268"	"230"	"230"	"64"	"17"	"84"	"13"	"143"	"2"	"0"	"2"	"1"	"4"	"6"	"2"	"2"	"1"	""	"2"	"1"	"17"	"4"	"1"	"2"	"4"	"372"	"0"	"372"	"0"
"269"	"231"	"231"	"60"	"21"	"81"	"6"	"57"	"3"	"0"	"14"	"1"	"1"	"2"	"2"	"4"	"3"	""	"3"	"7"	"10"	"1"	"2"	"1"	"5"	"284"	"0"	"284"	"0"
"270"	"232"	"232"	"41"	"41"	"103"	"6"	"157"	"4"	"1"	"2"	"1"	"0"	"5"	"3"	"3"	"2"	""	"3"	"12"	"4"	"0"	"1"	"1"	"4"	"394"	"0"	"394"	"0"
"271"	"233"	"233"	"13"	"36"	"38"	"5"	"232"	"2"	"1"	"1"	"1"	"1"	"8"	"4
Pag"	"e -  2 /1 10"	"2    2"	""	"0"	"9"	"2"	"0"	"1"	"1"	"3"	"362"	"0"	"362"	"0"
"272"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"273"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"274"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"275"	"234"	"234"	"203"	"194"	"36"	"1"	"174"	"4"	"3"	"1"	"3"	"3"	"7"	"2"	"2"	"6"	""	"5"	"12"	"6"	"4"	"0"	"1"	"2"	"669"	"0"	"669"	"0"
"276"	"235"	"235"	"56"	"60"	"143"	"6"	"254"	"8"	"7"	"6"	"4"	"7"	"22"	"11"	"7"	"9"	""	"10"	"15"	"7"	"1"	"3"	"3"	"2"	"641"	"0"	"641"	"0"
"277"	"236"	"236"	"7"	"244"	"30"	"3"	"47"	"4"	"0"	"0"	"1"	"0"	"5"	"0"	"2"	"1"	""	"0"	"8"	"6"	"2"	"1"	"0"	"3"	"364"	"0"	"364"	"0"
"278"	"237"	"237"	"1"	"231"	"18"	"1"	"34"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"1"	""	"0"	"3"	"0"	"1"	"0"	"1"	"1"	"297"	"0"	"297"	"0"
"279"	"238"	"238"	"42"	"78"	"61"	"8"	"44"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	""	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"244"	"0"	"244"	"0"
"280"	"239"	"239"	"66"	"168"	"110"	"13"	"196"	"5"	"2"	"2"	"4"	"2"	"4"	"3"	"2"	"6"	""	"0"	"3"	"6"	"1"	"2"	"2"	"4"	"601"	"0"	"601"	"0"
"281"	"240"	"240"	"9"	"76"	"152"	"8"	"105"	"1"	"4"	"7"	"5"	"2"	"6"	"2"	"0"	"7"	""	"3"	"10"	"23"	"1"	"3"	"1"	"4"	"429"	"0"	"429"	"0"
"282"	"241"	"241"	"25"	"182"	"153"	"4"	"99"	"6"	"0"	"1"	"3"	"2"	"7"	"2"	"0"	"1"	""	"2"	"7"	"16"	"0"	"9"	"3"	"12"	"534"	"0"	"534"	"0"
"283"	"242"	"242"	"58"	"136"	"83"	"6"	"58"	"0"	"4"	"2"	"2"	"5"	"4"	"0"	"3"	"0"	""	"2"	"7"	"4"	"1"	"1"	"0"	"2"	"378"	"0"	"378"	"0"
"284"	"243"	"243"	"15"	"90"	"127"	"10"	"140"	"3"	"4"	"3"	"20"	"8"	"10"	"6"	"5"	"6"	""	"2"	"21"	"5"	"4"	"4"	"6"	"12"	"501"	"0"	"501"	"0"
"285"	"244"	"244"	"61"	"93"	"145"	"17"	"140"	"6"	"1"	"4"	"40"	"3"	"6"	"8"	"5"	"9"	""	"7"	"15"	"19"	"8"	"4"	"3"	"3"	"597"	"0"	"597"	"0"
"286"	"245"	"245"	"78"	"153"	"154"	"6"	"221"	"8"	"3"	"2"	"8"	"9"	"15"	"0"	"11"	"4"	""	"15"	"21"	"15"	"1"	"2"	"1"	"5"	"732"	"0"	"732"	"0"
"287"	"246"	"246"	"9"	"66"	"110"	"7"	"235"	"2"	"1"	"4"	"2"	"2"	"2"	"0"	"1"	"0"	""	"0"	"1"	"1"	"0"	"3"	"0"	"4"	"450"	"0"	"450"	"0"
"288"	"247"	"247"	"19"	"110"	"125"	"2"	"161"	"0"	"1"	"1"	"0"	"1"	"5"	"6"	"8"	"6"	""	"4"	"13"	"5"	"9"	"9"	"2"	"10"	"497"	"0"	"497"	"0"
"289"	"248"	"248"	"56"	"38"	"77"	"4"	"142"	"2"	"2"	"1"	"20"	"7"	"16"	"3"	"4"	"7"	""	"6"	"15"	"2"	"3"	"7"	"1"	"3"	"416"	"0"	"416"	"0"
"290"	"249"	"249"	"106"	"36"	"52"	"4"	"58"	"6"	"1"	"1"	"0"	"3"	"8"	"1"	"2"	"4"	""	"3"	"18"	"4"	"2"	"3"	"0"	"1"	"313"	"0"	"313"	"0"
"291"	"250"	"250"	"3"	"32"	"43"	"2"	"147"	"6"	"2"	"1"	"2"	"1"	"16"	"0"	"4"	"3"	""	"2"	"8"	"2"	"1"	"2"	"0"	"1"	"278"	"0"	"278"	"0"
"292"	"251"	"251"	"26"	"164"	"136"	"11"	"72"	"2"	"1"	"7"	"3"	"4"	"7"	"0"	"0"	"6"	""	"5"	"22"	"11"	"0"	"0"	"2"	"0"	"479"	"0"	"479"	"0"
"293"	"252"	"252"	"23"	"63"	"242"	"11"	"133"	"6"	"2"	"3"	"8"	"7"	"21"	"8"	"6"	"5"	""	"7"	"16"	"3"	"0"	"6"	"5"	"5"	"580"	"0"	"580"	"0"
"294"	"253"	"253"	"68"	"32"	"185"	"11"	"64"	"3"	"2"	"1"	"1"	"4"	"2"	"4"	"4"	"6"	""	"3"	"11"	"12"	"4"	"16"	"4"	"8"	"445"	"0"	"445"	"0"
"295"	"254"	"254"	"38"	"202"	"74"	"6"	"222"	"6"	"2"	"2"	"3"	"4"	"13"	"5"	"6"	"5"	""	"2"	"12"	"6"	"4"	"3"	"1"	"5"	"621"	"0"	"621"	"0"
"296"	"255"	"255"	"10"	"37"	"102"	"7"	"188"	"5"	"1"	"1"	"2"	"5"	"5"	"1"	"3"	"4"	""	"1"	"10"	"4"	"2"	"4"	"1"	"16"	"409"	"0"	"409"	"0"
"297"	"256"	"256"	"15"	"51"	"174"	"10"	"45"	"3"	"2"	"2"	"0"	"1"	"1"	"0"	"3"	"1"	""	"0"	"5"	"5"	"0"	"0"	"3"	"1"	"322"	"0"	"322"	"0"
"298"	"257"	"257"	"94"	"55"	"107"	"6"	"118"	"1"	"2"	"4"	"6"	"2"	"13"	"2
Pag"	"e -  3 /1 11"	"2    8"	""	"6"	"18"	"1"	"2"	"1"	"0"	"1"	"450"	"0"	"450"	"0"
"299"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"300"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"301"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"302"	"258"	"258"	"5"	"65"	"30"	"3"	"82"	"4"	"3"	"0"	"11"	"1"	"7"	"1"	"1"	"3"	""	"0"	"5"	"4"	"1"	"1"	"3"	"5"	"235"	"0"	"235"	"0"
"303"	"259"	"259"	"9"	"81"	"111"	"4"	"75"	"2"	"2"	"0"	"5"	"2"	"9"	"2"	"3"	"8"	""	"2"	"7"	"3"	"2"	"4"	"1"	"5"	"337"	"0"	"337"	"0"
"304"	"260"	"260"	"5"	"72"	"82"	"22"	"152"	"6"	"0"	"0"	"0"	"3"	"7"	"1"	"0"	"2"	""	"1"	"4"	"5"	"4"	"0"	"5"	"5"	"376"	"0"	"376"	"0"
"305"	"261"	"261"	"11"	"14"	"81"	"15"	"134"	"4"	"1"	"0"	"1"	"0"	"4"	"1"	"1"	"1"	""	"2"	"0"	"4"	"0"	"2"	"1"	"8"	"285"	"0"	"285"	"0"
"306"	"262"	"262"	"9"	"9"	"23"	"2"	"196"	"5"	"1"	"0"	"2"	"0"	"6"	"2"	"3"	"0"	""	"2"	"3"	"7"	"0"	"4"	"1"	"9"	"284"	"0"	"284"	"0"
"307"	"263"	"263"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"308"	"264"	"264"	"42"	"31"	"69"	"10"	"34"	"2"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"3"	""	"2"	"6"	"2"	"1"	"2"	"0"	"0"	"211"	"0"	"211"	"0"
"309"	"265"	"265"	"13"	"151"	"242"	"11"	"101"	"3"	"2"	"2"	"2"	"1"	"7"	"3"	"3"	"0"	""	"4"	"3"	"16"	"3"	"8"	"3"	"17"	"595"	"0"	"595"	"0"
"310"	"266"	"266"	"2"	"18"	"17"	"2"	"136"	"3"	"0"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	""	"1"	"1"	"6"	"0"	"0"	"1"	"2"	"195"	"0"	"195"	"0"
"311"	"267"	"267"	"4"	"122"	"52"	"80"	"48"	"5"	"0"	"6"	"1"	"3"	"5"	"4"	"4"	"2"	""	"5"	"12"	"6"	"3"	"2"	"3"	"2"	"369"	"0"	"369"	"0"
"312"	"268"	"268"	"1"	"38"	"12"	"11"	"550"	"4"	"0"	"2"	"2"	"0"	"5"	"2"	"2"	"0"	""	"3"	"5"	"0"	"2"	"2"	"3"	"1"	"645"	"0"	"645"	"0"
"313"	"269"	"269"	"10"	"77"	"177"	"36"	"127"	"11"	"2"	"1"	"5"	"1"	"4"	"0"	"3"	"5"	""	"5"	"7"	"2"	"1"	"2"	"1"	"2"	"479"	"0"	"479"	"0"
"314"	"270"	"270"	"9"	"108"	"56"	"10"	"8"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"1"	""	"0"	"2"	"11"	"0"	"0"	"0"	"1"	"213"	"0"	"213"	"0"
"315"	"271"	"271"	"4"	"62"	"71"	"13"	"66"	"5"	"2"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	""	"1"	"2"	"7"	"4"	"0"	"0"	"0"	"245"	"0"	"245"	"0"
"316"	"272"	"272"	"11"	"101"	"131"	"17"	"154"	"5"	"3"	"4"	"2"	"4"	"20"	"3"	"6"	"5"	""	"9"	"25"	"11"	"7"	"8"	"7"	"10"	"543"	"0"	"543"	"0"
"317"	"273"	"273"	"17"	"19"	"406"	"20"	"52"	"5"	"2"	"4"	"5"	"4"	"5"	"1"	"7"	"19"	""	"3"	"11"	"2"	"0"	"7"	"2"	"4"	"595"	"0"	"595"	"0"
"318"	"Total No. of votes recorded at polling stations"	""	"9415"	"32809"	"22825"	"3340"	"33187"	"1072"	"438"	"1381"	"976"	"929"	"1485"	"746"	"722"	"927"	""	"1005"	"2860"	"1562"	"1994"	"645"	"423"	"1178"	"119919"	"0"	"119919"	"0"
"319"	"Total votes polled"	""	"9415"	"32809"	"22825"	"3340"	"33187"	"1072"	"438"	"1381"	"976"	"929"	"1485"	"746"	"722"	"927"	""	"1005"	"2860"	"1562"	"1994"	"645"	"423"	"1178"	"119919"	"0"	"119919"	"0"
"320"	"Place :- Bhagalpur                                                                                                                                                                                                                                                Assitant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"Page - 12/12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
