"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940."
"170"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"171"	"9"	"135"	"4"	"1"	"49"	"301"	"3"	"34"	"1"	"3"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"403"	""	"403"	""	""
"172"	"10"	"136"	"14"	"34"	"153"	"106"	"1"	"75"	"1"	"1"	"15"	"0"	"4"	"4"	"2"	"3"	"3"	"13"	"429"	""	"429"	""	""
"173"	"11"	"137"	"21"	"8"	"27"	"247"	"5"	"7"	"8"	"1"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"333"	""	"333"	""	""
"174"	"12"	"138"	"7"	"1"	"38"	"114"	"1"	"48"	"3"	"2"	"11"	"2"	"2"	"2"	"4"	"2"	"1"	"8"	"246"	""	"246"	""	""
"175"	"13"	"139"	"33"	"48"	"24"	"374"	"7"	"52"	"10"	"6"	"6"	"3"	"7"	"4"	"1"	"4"	"0"	"3"	"582"	""	"582"	""	""
"176"	"14"	"140"	"5"	"4"	"53"	"380"	"6"	"39"	"1"	"3"	"4"	"1"	"6"	"2"	"5"	"2"	"3"	"14"	"528"	""	"528"	""	""
"177"	"<U+092F><U+094B><U+0917>"	""	"232"	"159"	"1699"	"3006"	"52"	"322"	"29"	"20"	"60"	"20"	"45"	"18"	"33"	"27"	"17"	"66"	"5805"	"0"	"5805"	"0"	"0"
"178"	"1"	"141"	"16"	"13"	"124"	"320"	"7"	"30"	"2"	"5"	"4"	"7"	"7"	"1"	"4"	"3"	"3"	"6"	"552"	""	"552"	""	""
"179"	"2"	"142"	"2"	"0"	"127"	"182"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	""	"324"	""	""
"180"	"3"	"143"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"181"	"4"	"144"	"4"	"1"	"179"	"88"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"278"	""	"278"	""	""
"182"	"5"	"145"	"3"	"3"	"209"	"102"	"8"	"4"	"1"	"1"	"2"	"4"	"2"	"1"	"2"	"4"	"0"	"4"	"350"	""	"350"	""	""
"183"	"6"	"146"	"15"	"10"	"204"	"99"	"2"	"1"	"0"	"1"	"4"	"1"	"1"	"0"	"6"	"2"	"0"	"4"	"350"	""	"350"	""	""
"184"	"7"	"147"	"6"	"13"	"48"	"40"	"6"	"0"	"1"	"7"	"48"	"2"	"1"	"3"	"1"	"2"	"4"	"3"	"185"	""	"185"	""	""
"185"	"8"	"148"	"44"	"17"	"367"	"59"	"2"	"1"	"0"	"0"	"10"	"3"	"0"	"1"	"7"	"13"	"4"	"10"	"538"	""	"538"	""	""
"186"	"9"	"149"	"19"	"0"	"94"	"91"	"5"	"0"	"0"	"1"	"43"	"1"	"3"	"0"	"3"	"3"	"0"	"3"	"266"	""	"266"	""	""
"187"	"10"	"150"	"9"	"53"	"23"	"94"	"4"	"1"	"0"	"1"	"61"	"0"	"1"	"1"	"3"	"1"	"0"	"3"	"255"	""	"255"	""	""
"188"	"11"	"151"	"76"	"3"	"92"	"29"	"8"	"3"	"0"	"5"	"87"	"3"	"3"	"0"	"0"	"1"	"1"	"5"	"316"	""	"316"	""	""
"189"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"190"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"191"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"192"	"12"	"152"	"49"	"10"	"63"	"99"	"1"	"2"	"1"	"0"	"2"	"1"	"5"	"1"	"5"	"0"	"1"	"0"	"240"	""	"240"	""	""
"193"	"13"	"153"	"40"	"3"	"50"	"134"	"8"	"6"	"1"	"3"	"11"	"3"	"2"	"1"	"2"	"2"	"0"	"5"	"271"	""	"271"	""	""
"194"	"14"	"154"	"59"	"4"	"11"	"31"	"10"	"1"	"1"	"10"	"130"	"2"	"4"	"1"	"0"	"1"	"0"	"7"	"272"	""	"272"	""	""
"195"	"<U+092F><U+094B><U+0917>"	""	"342"	"130"	"1591"	"1368"	"61"	"63"	"9"	"34"	"404"	"27"	"29"	"10"	"34"	"32"	"13"	"50"	"4197"	"0"	"4197"	"0"	"0"
"196"	"1"	"155"	"10"	"0"	"212"	"20"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	""	"248"	""	""
"197"	"2"	"156"	"66"	"2"	"27"	"124"	"8"	"1"	"1"	"2"	"123"	"3"	"3"	"0"	"2"	"3"	"1"	"4"	"370"	""	"370"	""	""
"198"	"3"	"157"	"63"	"1"	"175"	"40"	"4"	"4"	"0"	"0"	"11"	"0"	"1"	"1"	"1"	"2"	"0"	"2"	"305"	""	"305"	""	""
"199"	"4"	"158"	"0"	"0"	"15"	"1"	"4"	"0"	"0"	"0"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"74"	""	"74"	""	""
"200"	"5"	"159"	"51"	"4"	"26"	"60"	"3"	"3"	"1"	"1"	"37"	"2"	"3"	"2"	"2"	"1"	"1"	"5"	"202"	""	"202"	""	""
"201"	"6"	"160"	"76"	"5"	"94"	"89"	"3"	"1"	"0"	"1"	"26"	"0"	"0"	"1"	"6"	"10"	"1"	"5"	"318"	""	"318"	""	""
"202"	"7"	"161"	"23"	"1"	"55"	"35"	"9"	"0"	"3"	"5"	"98"	"0"	"4"	"1"	"2"	"2"	"0"	"0"	"238"	""	"238"	""	""
"203"	"8"	"162"	"8"	"3"	"62"	"26"	"7"	"1"	"1"	"2"	"47"	"1"	"2"	"1"	"2"	"2"	"0"	"3"	"168"	""	"168"	""	""
"204"	"9"	"163"	"3"	"10"	"117"	"90"	"2"	"1"	"0"	"0"	"23"	"0"	"0"	"1"	"2"	"4"	"0"	"1"	"254"	""	"254"	""	""
"205"	"10"	"164"	"48"	"3"	"61"	"37"	"0"	"0"	"1"	"1"	"35"	"0"	"4"	"1"	"0"	"2"	"1"	"4"	"198"	""	"198"	""	""
"206"	"11"	"165"	"6"	"2"	"110"	"103"	"5"	"0"	"0"	"1"	"15"	"1"	"0"	"1"	"9"	"4"	"0"	"6"	"263"	""	"263"	""	""
"207"	"12"	"166"	"89"	"6"	"56"	"91"	"4"	"2"	"2"	"3"	"16"	"0"	"4"	"2"	"2"	"2"	"4"	"11"	"294"	""	"294"	""	""
"208"	"13"	"167"	"31"	"11"	"169"	"27"	"2"	"5"	"1"	"1"	"5"	"0"	"1"	"0"	"2"	"4"	"1"	"4"	"264"	""	"264"	""	""
"209"	"14"	"168"	"24"	"8"	"13"	"104"	"8"	"22"	"2"	"0"	"36"	"1"	"3"	"2"	"4"	"2"	"1"	"2"	"232"	""	"232"	""	""
"210"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"211"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"212"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"213"	"<U+092F><U+094B><U+0917>"	""	"498"	"56"	"1192"	"847"	"61"	"40"	"12"	"17"	"530"	"8"	"25"	"13"	"34"	"38"	"10"	"47"	"3428"	"0"	"3428"	"0"	"0"
"214"	"1"	"169"	"33"	"2"	"67"	"115"	"2"	"5"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"3"	"3"	"3"	"240"	""	"240"	""	""
"215"	"2"	"170"	"11"	"1"	"150"	"11"	"2"	"0"	"2"	"2"	"72"	"5"	"0"	"2"	"1"	"6"	"1"	"6"	"272"	""	"272"	""	""
"216"	"3"	"171"	"6"	"0"	"145"	"26"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"186"	""	"186"	""	""
"217"	"4"	"172"	"24"	"2"	"34"	"23"	"11"	"17"	"2"	"15"	"218"	"5"	"5"	"2"	"1"	"11"	"4"	"12"	"386"	""	"386"	""	""
"218"	"5"	"173"	"16"	"8"	"8"	"71"	"4"	"0"	"1"	"3"	"140"	"2"	"13"	"1"	"5"	"1"	"0"	"8"	"281"	""	"281"	""	""
"219"	"6"	"174"	"7"	"2"	"28"	"182"	"11"	"13"	"1"	"3"	"131"	"3"	"3"	"0"	"6"	"1"	"0"	"2"	"393"	""	"393"	""	""
"220"	"7"	"175"	"3"	"1"	"7"	"87"	"1"	"3"	"1"	"3"	"81"	"3"	"1"	"0"	"1"	"2"	"0"	"0"	"194"	""	"194"	""	""
"221"	"8"	"176"	"16"	"0"	"89"	"212"	"9"	"11"	"1"	"1"	"50"	"2"	"3"	"1"	"3"	"2"	"1"	"3"	"404"	""	"404"	""	""
"222"	"9"	"177"	"31"	"5"	"62"	"79"	"13"	"4"	"4"	"7"	"187"	"4"	"12"	"10"	"10"	"10"	"3"	"23"	"464"	""	"464"	""	""
"223"	"10"	"178"	"26"	"4"	"59"	"57"	"10"	"3"	"0"	"5"	"199"	"3"	"9"	"0"	"0"	"3"	"3"	"2"	"383"	""	"383"	""	""
"224"	"11"	"179"	"4"	"10"	"21"	"66"	"6"	"8"	"1"	"9"	"103"	"5"	"6"	"5"	"6"	"1"	"0"	"13"	"264"	""	"264"	""	""
"225"	"12"	"180"	"5"	"21"	"70"	"202"	"6"	"1"	"2"	"3"	"122"	"4"	"2"	"3"	"5"	"0"	"0"	"2"	"448"	""	"448"	""	""
"226"	"13"	"181"	"42"	"11"	"72"	"97"	"5"	"4"	"1"	"0"	"104"	"1"	"3"	"1"	"1"	"2"	"0"	"7"	"351"	""	"351"	""	""
"227"	"14"	"182"	"25"	"50"	"48"	"47"	"11"	"4"	"1"	"4"	"182"	"8"	"9"	"3"	"2"	"2"	"2"	"5"	"403"	""	"403"	""	""
"228"	"<U+092F><U+094B><U+0917>"	""	"249"	"117"	"860"	"1275"	"91"	"75"	"19"	"56"	"1592"	"45"	"67"	"30"	"44"	"46"	"17"	"86"	"4669"	"0"	"4669"	"0"	"0"
"229"	"1"	"183"	"118"	"3"	"47"	"29"	"1"	"1"	"1"	"0"	"11"	"2"	"3"	"3"	"12"	"65"	"3"	"8"	"307"	""	"307"	""	""
"230"	"2"	"184"	"163"	"0"	"18"	"36"	"0"	"1"	"1"	"0"	"4"	"0"	"2"	"0"	"4"	"81"	"2"	"5"	"317"	""	"317"	""	""
"231"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"232"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"233"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"234"	"3"	"185"	"141"	"5"	"62"	"126"	"3"	"9"	"5"	"2"	"19"	"2"	"12"	"4"	"1"	"2"	"2"	"8"	"403"	""	"403"	""	""
"235"	"4"	"186"	"99"	"8"	"15"	"24"	"0"	"2"	"0"	"1"	"13"	"0"	"2"	"0"	"0"	"4"	"0"	"3"	"171"	""	"171"	""	""
"236"	"5"	"187"	"7"	"1"	"177"	"90"	"9"	"1"	"0"	"1"	"79"	"1"	"5"	"0"	"2"	"1"	"0"	"1"	"375"	""	"375"	""	""
"237"	"6"	"188"	"4"	"12"	"64"	"46"	"4"	"0"	"0"	"1"	"67"	"1"	"4"	"0"	"1"	"1"	"1"	"4"	"210"	""	"210"	""	""
"238"	"7"	"189"	"35"	"5"	"370"	"45"	"2"	"2"	"0"	"0"	"4"	"0"	"0"	"1"	"5"	"5"	"0"	"2"	"476"	""	"476"	""	""
"239"	"8"	"190"	"47"	"3"	"68"	"9"	"2"	"3"	"0"	"3"	"79"	"3"	"1"	"1"	"1"	"7"	"1"	"5"	"233"	""	"233"	""	""
"240"	"9"	"191"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"241"	"10"	"192"	"101"	"19"	"67"	"69"	"7"	"2"	"3"	"1"	"67"	"6"	"4"	"3"	"1"	"2"	"1"	"2"	"355"	""	"355"	""	""
"242"	"11"	"193"	"172"	"2"	"49"	"103"	"11"	"3"	"3"	"1"	"109"	"10"	"11"	"1"	"10"	"0"	"3"	"26"	"514"	""	"514"	""	""
"243"	"12"	"194"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"244"	"13"	"195"	"44"	"1"	"14"	"139"	"12"	"4"	"1"	"2"	"97"	"5"	"9"	"0"	"1"	"1"	"0"	"1"	"331"	""	"331"	""	""
"245"	"14"	"196"	"50"	"29"	"31"	"79"	"6"	"3"	"1"	"0"	"46"	"2"	"2"	"1"	"3"	"1"	"1"	"8"	"263"	""	"263"	""	""
"246"	"<U+092F><U+094B><U+0917>"	""	"981"	"88"	"982"	"795"	"57"	"31"	"15"	"12"	"595"	"32"	"55"	"14"	"41"	"170"	"14"	"73"	"3955"	"0"	"3955"	"0"	"0"
"247"	"1"	"197"	"79"	"26"	"81"	"21"	"13"	"17"	"1"	"2"	"119"	"2"	"8"	"1"	"6"	"8"	"4"	"5"	"393"	""	"393"	""	""
"248"	"2"	"198"	"125"	"3"	"16"	"18"	"9"	"8"	"1"	"2"	"59"	"5"	"5"	"4"	"2"	"7"	"2"	"6"	"272"	""	"272"	""	""
"249"	"3"	"199"	"22"	"9"	"108"	"14"	"11"	"6"	"1"	"0"	"67"	"1"	"1"	"3"	"1"	"4"	"3"	"3"	"254"	""	"254"	""	""
"250"	"4"	"200"	"4"	"34"	"167"	"1"	"1"	"1"	"1"	"0"	"16"	"1"	"2"	"0"	"0"	"4"	"0"	"6"	"238"	""	"238"	""	""
"251"	"5"	"201"	"14"	"0"	"34"	"35"	"11"	"3"	"1"	"4"	"161"	"3"	"3"	"2"	"2"	"0"	"1"	"9"	"283"	""	"283"	""	""
"252"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"253"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
