"TOTAL.NO.OF.ELECTORS.IN.89..AURAI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X225836"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"207"	"192"	""	""	"206"	"88"	"82"	""	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"8"	"19"	"4"	"4"	"9"	"1"	"1"	"1"	"3"	"431"	""	""	""
"208"	"193"	""	""	"91"	"44"	"42"	""	"1"	"0"	"3"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"1"	"0"	"11"	"3"	"3"	"0"	"2"	"0"	"0"	"0"	"2"	"208"	""	""	""
"209"	"194"	""	""	"93"	"33"	"205"	""	"8"	"1"	"4"	"0"	"2"	"9"	"1"	"2"	"3"	"1"	"1"	"3"	"8"	"15"	"8"	"4"	"27"	"3"	"8"	"5"	"8"	"452"	""	""	""
"210"	"195"	""	""	"21"	"8"	"162"	""	"4"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"2"	"0"	"1"	"40"	"0"	"0"	"1"	"0"	"246"	""	""	""
"211"	"196"	""	""	"125"	"122"	"209"	""	"20"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"6"	"9"	"5"	"8"	"4"	"77"	"0"	"2"	"2"	"4"	"605"	""	""	""
"212"	"197"	""	""	"71"	"153"	"126"	""	"87"	"4"	"3"	"4"	"5"	"4"	"9"	"1"	"4"	"5"	"3"	"6"	"10"	"3"	"10"	"4"	"20"	"3"	"2"	"3"	"0"	"540"	""	""	""
"213"	"198"	""	""	"46"	"192"	"54"	""	"3"	"1"	"4"	"2"	"5"	"9"	"8"	"6"	"3"	"4"	"20"	"23"	"15"	"2"	"40"	"5"	"17"	"3"	"3"	"2"	"6"	"473"	""	""	""
"214"	"199"	""	""	"32"	"32"	"123"	""	"11"	"0"	"2"	"3"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"3"	"1"	"93"	"3"	"0"	"1"	"0"	"311"	""	""	""
"215"	"200"	""	""	"69"	"40"	"127"	""	"6"	"3"	"5"	"2"	"4"	"3"	"1"	"0"	"2"	"1"	"4"	"2"	"5"	"5"	"7"	"2"	"59"	"1"	"1"	"3"	"1"	"353"	""	""	""
"216"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"218"	"201"	""	""	"198"	"31"	"8"	""	"4"	"0"	"1"	"2"	"2"	"7"	"5"	"2"	"2"	"0"	"3"	"3"	"18"	"12"	"23"	"3"	"5"	"1"	"1"	"5"	"6"	"342"	""	""	""
"219"	"202"	""	""	"3"	"168"	"10"	""	"5"	"2"	"3"	"3"	"1"	"1"	"4"	"3"	"1"	"1"	"2"	"9"	"3"	"9"	"53"	"5"	"14"	"2"	"1"	"1"	"3"	"307"	""	""	""
"220"	"203"	""	""	"82"	"118"	"15"	""	"16"	"0"	"4"	"1"	"2"	"2"	"9"	"6"	"4"	"4"	"5"	"17"	"20"	"10"	"28"	"4"	"63"	"5"	"3"	"6"	"10"	"434"	""	""	""
"221"	"204"	""	""	"4"	"252"	"20"	""	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"10"	"1"	"10"	"1"	"1"	"2"	"1"	"311"	""	""	""
"222"	"205"	""	""	"155"	"97"	"67"	""	"50"	"4"	"6"	"5"	"1"	"3"	"5"	"3"	"3"	"2"	"8"	"2"	"9"	"27"	"18"	"5"	"14"	"2"	"7"	"4"	"10"	"507"	""	""	""
"223"	"206"	""	""	"127"	"20"	"223"	""	"4"	"3"	"0"	"1"	"2"	"1"	"2"	"0"	"1"	"0"	"2"	"2"	"2"	"4"	"1"	"0"	"25"	"0"	"1"	"2"	"2"	"425"	""	""	""
"224"	"207"	""	""	"27"	"138"	"185"	""	"10"	"2"	"1"	"2"	"1"	"3"	"2"	"3"	"3"	"6"	"5"	"4"	"9"	"2"	"5"	"1"	"13"	"2"	"0"	"2"	"4"	"430"	""	""	""
"225"	"208"	""	""	"140"	"9"	"136"	""	"91"	"5"	"3"	"0"	"4"	"3"	"2"	"1"	"0"	"5"	"9"	"1"	"4"	"6"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"425"	""	""	""
"226"	"209"	""	""	"152"	"30"	"42"	""	"23"	"2"	"1"	"1"	"5"	"3"	"6"	"5"	"4"	"2"	"10"	"16"	"42"	"4"	"4"	"3"	"42"	"0"	"1"	"4"	"5"	"407"	""	""	""
"227"	"210"	""	""	"279"	"101"	"8"	""	"5"	"2"	"5"	"5"	"0"	"4"	"1"	"1"	"1"	"2"	"7"	"5"	"12"	"15"	"11"	"4"	"46"	"3"	"1"	"3"	"6"	"527"	""	""	""
"228"	"211"	""	""	"141"	"47"	"23"	""	"7"	"1"	"1"	"2"	"1"	"1"	"5"	"1"	"3"	"5"	"25"	"18"	"23"	"11"	"5"	"3"	"10"	"5"	"4"	"2"	"15"	"359"	""	""	""
"229"	"212"	""	""	"102"	"83"	"56"	""	"4"	"4"	"1"	"2"	"3"	"3"	"1"	"2"	"4"	"2"	"6"	"21"	"16"	"3"	"2"	"1"	"22"	"2"	"1"	"1"	"7"	"349"	""	""	""
"230"	"213"	""	""	"34"	"102"	"122"	""	"9"	"2"	"2"	"3"	"2"	"6"	"2"	"4"	"0"	"6"	"6"	"4"	"13"	"4"	"9"	"3"	"9"	"1"	"1"	"1"	"3"	"348"	""	""	""
"231"	"214"	""	""	"83"	"133"	"24"	""	"5"	"5"	"4"	"0"	"4"	"6"	"5"	"1"	"6"	"5"	"9"	"16"	"11"	"8"	"6"	"5"	"96"	"1"	"2"	"1"	"6"	"442"	""	""	""
"232"	"215"	""	""	"113"	"24"	"68"	""	"8"	"2"	"3"	"2"	"5"	"4"	"1"	"1"	"3"	"3"	"6"	"10"	"8"	"11"	"10"	"7"	"133"	"2"	"0"	"2"	"6"	"432"	""	""	""
"233"	"216"	""	""	"69"	"53"	"257"	""	"15"	"6"	"5"	"2"	"3"	"4"	"4"	"1"	"2"	"2"	"4"	"11"	"3"	"5"	"7"	"7"	"138"	"7"	"2"	"2"	"0"	"609"	""	""	""
"234"	"217"	""	""	"29"	"25"	"88"	""	"6"	"4"	"0"	"1"	"2"	"3"	"2"	"2"	"2"	"2"	"1"	"8"	"8"	"13"	"4"	"4"	"88"	"3"	"5"	"2"	"9"	"311"	""	""	""
"235"	"218"	""	""	"35"	"41"	"100"	""	"4"	"2"	"1"	"2"	"2"	"1"	"3"	"2"	"1"	"1"	"1"	"7"	"3"	"10"	"11"	"2"	"78"	"3"	"2"	"7"	"2"	"321"	""	""	""
"236"	"219"	""	""	"55"	"1"	"105"	""	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"21"	"1"	"2"	"0"	"0"	"1"	"0"	"191"	""	""	""
"237"	"220"	""	""	"63"	"18"	"52"	""	"2"	"3"	"2"	"2"	"3"	"0"	"2"	"4"	"2"	"1"	"6"	"11"	"14"	"3"	"5"	"1"	"63"	"4"	"1"	"1"	"6"	"269"	""	""	""
"238"	"221"	""	""	"14"	"38"	"258"	""	"16"	"1"	"6"	"2"	"4"	"1"	"4"	"1"	"4"	"4"	"2"	"7"	"22"	"25"	"13"	"9"	"65"	"8"	"9"	"8"	"10"	"531"	""	""	""
"239"	"222"	""	""	"105"	"61"	"112"	""	"4"	"1"	"4"	"4"	"4"	"4"	"3"	"5"	"8"	"4"	"7"	"15"	"29"	"0"	"2"	"0"	"51"	"2"	"3"	"1"	"6"	"435"	""	""	""
"240"	"223"	""	""	"110"	"66"	"108"	""	"14"	"4"	"4"	"3"	"4"	"5"	"9"	"5"	"3"	"6"	"6"	"14"	"11"	"12"	"27"	"5"	"44"	"6"	"5"	"10"	"18"	"499"	""	""	""
"241"	"224"	""	""	"14"	"72"	"120"	""	"3"	"1"	"1"	"3"	"0"	"2"	"1"	"1"	"2"	"4"	"11"	"10"	"9"	"3"	"5"	"4"	"3"	"0"	"1"	"0"	"2"	"272"	""	""	""
"242"	"225"	""	""	"52"	"169"	"84"	""	"4"	"1"	"1"	"1"	"4"	"1"	"5"	"3"	"3"	"3"	"7"	"18"	"10"	"5"	"22"	"8"	"50"	"2"	"4"	"7"	"20"	"484"	""	""	""
"243"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"245"	"226"	""	""	"64"	"32"	"62"	""	"5"	"0"	"1"	"4"	"6"	"1"	"1"	"4"	"3"	"1"	"9"	"17"	"17"	"3"	"4"	"2"	"65"	"1"	"1"	"0"	"6"	"309"	""	""	""
"246"	"227"	""	""	"80"	"5"	"33"	""	"2"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"1"	"1"	"4"	"7"	"7"	"3"	"14"	"2"	"93"	"3"	"1"	"1"	"4"	"267"	""	""	""
"247"	"228"	""	""	"80"	"116"	"132"	""	"14"	"4"	"4"	"4"	"5"	"3"	"19"	"5"	"4"	"6"	"11"	"15"	"28"	"2"	"11"	"1"	"71"	"2"	"3"	"2"	"0"	"542"	""	""	""
"248"	"229"	""	""	"58"	"103"	"103"	""	"8"	"3"	"1"	"4"	"2"	"5"	"4"	"4"	"0"	"2"	"9"	"6"	"8"	"10"	"25"	"2"	"15"	"6"	"4"	"6"	"9"	"397"	""	""	""
"249"	"230"	""	""	"26"	"22"	"215"	""	"10"	"5"	"3"	"0"	"3"	"3"	"6"	"1"	"5"	"1"	"18"	"4"	"6"	"27"	"8"	"5"	"41"	"5"	"6"	"17"	"14"	"451"	""	""	""
"250"	"231"	""	""	"16"	"147"	"99"	""	"12"	"1"	"1"	"2"	"3"	"6"	"4"	"5"	"4"	"9"	"12"	"17"	"23"	"3"	"6"	"2"	"51"	"3"	"2"	"3"	"12"	"443"	""	""	""
"251"	"232"	""	""	"227"	"40"	"97"	""	"7"	"4"	"6"	"4"	"3"	"3"	"2"	"2"	"8"	"3"	"5"	"4"	"15"	"7"	"5"	"0"	"68"	"2"	"3"	"0"	"1"	"516"	""	""	""
"252"	"233"	""	""	"88"	"71"	"152"	""	"7"	"4"	"9"	"6"	"3"	"4"	"4"	"1"	"1"	"6"	"5"	"4"	"8"	"9"	"1"	"4"	"20"	"1"	"1"	"1"	"6"	"416"	""	""	""
"253"	"234"	""	""	"123"	"417"	"39"	""	"3"	"4"	"7"	"4"	"2"	"4"	"10"	"2"	"5"	"3"	"6"	"8"	"2"	"13"	"32"	"6"	"23"	"3"	"1"	"5"	"4"	"726"	""	""	""
"254"	"235"	""	""	"182"	"105"	"110"	""	"14"	"6"	"5"	"4"	"6"	"9"	"5"	"3"	"5"	"9"	"12"	"8"	"7"	"23"	"20"	"2"	"58"	"5"	"8"	"4"	"3"	"613"	""	""	""
"255"	"236"	""	""	"58"	"27"	"173"	""	"12"	"1"	"1"	"1"	"1"	"3"	"2"	"2"	"3"	"3"	"3"	"13"	"26"	"15"	"17"	"12"	"20"	"1"	"3"	"6"	"10"	"413"	""	""	""
"256"	"237"	""	""	"107"	"145"	"93"	""	"24"	"5"	"3"	"5"	"5"	"6"	"8"	"5"	"9"	"5"	"16"	"13"	"18"	"18"	"18"	"6"	"93"	"4"	"7"	"8"	"10"	"631"	""	""	""
"257"	"238"	""	""	"29"	"119"	"128"	""	"12"	"1"	"3"	"1"	"1"	"2"	"1"	"3"	"1"	"5"	"2"	"6"	"8"	"12"	"12"	"6"	"141"	"3"	"6"	"4"	"9"	"515"	""	""	""
"258"	"239"	""	""	"24"	"190"	"45"	""	"29"	"3"	"10"	"4"	"2"	"4"	"8"	"5"	"3"	"5"	"9"	"7"	"10"	"7"	"28"	"6"	"26"	"3"	"14"	"4"	"9"	"455"	""	""	""
"259"	"240"	""	""	"249"	"100"	"80"	""	"4"	"1"	"1"	"1"	"2"	"8"	"1"	"0"	"0"	"1"	"5"	"2"	"4"	"9"	"13"	"6"	"45"	"4"	"7"	"5"	"6"	"554"	""	""	""
"260"	"241"	""	""	"66"	"26"	"159"	""	"5"	"1"	"1"	"3"	"1"	"0"	"4"	"3"	"1"	"1"	"5"	"4"	"8"	"3"	"5"	"0"	"6"	"1"	"0"	"0"	"3"	"306"	""	""	""
"261"	"242"	""	""	"52"	"69"	"139"	""	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"5"	"2"	"4"	"2"	"15"	"1"	"0"	"1"	"2"	"300"	""	""	""
"262"	"243"	""	""	"247"	"41"	"9"	""	"3"	"1"	"4"	"3"	"2"	"4"	"1"	"2"	"3"	"4"	"12"	"12"	"31"	"15"	"13"	"2"	"30"	"0"	"1"	"4"	"7"	"451"	""	""	""
"263"	"244"	""	""	"83"	"42"	"23"	""	"5"	"2"	"5"	"3"	"2"	"7"	"7"	"2"	"3"	"5"	"15"	"18"	"29"	"11"	"3"	"1"	"47"	"3"	"2"	"3"	"13"	"334"	""	""	""
"264"	"245"	""	""	"16"	"23"	"110"	""	"1"	"3"	"2"	"3"	"3"	"1"	"3"	"0"	"2"	"1"	"25"	"5"	"6"	"2"	"5"	"3"	"17"	"5"	"5"	"1"	"4"	"246"	""	""	""
"265"	"246"	""	""	"135"	"52"	"93"	""	"7"	"1"	"1"	"4"	"3"	"2"	"1"	"2"	"2"	"2"	"6"	"3"	"14"	"1"	"0"	"0"	"30"	"1"	"0"	"2"	"2"	"364"	""	""	""
"266"	"247"	""	""	"99"	"47"	"16"	""	"6"	"1"	"5"	"4"	"3"	"1"	"5"	"3"	"5"	"5"	"3"	"11"	"20"	"6"	"1"	"2"	"107"	"2"	"1"	"2"	"9"	"364"	""	""	""
"267"	"248"	""	""	"49"	"24"	"143"	""	"4"	"2"	"2"	"4"	"3"	"0"	"1"	"0"	"1"	"0"	"2"	"4"	"4"	"2"	"1"	"3"	"96"	"1"	"1"	"0"	"1"	"348"	""	""	""
"268"	"249"	""	""	"223"	"39"	"48"	""	"5"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"0"	"2"	"2"	"4"	"4"	"1"	"1"	"1"	"59"	"1"	"0"	"1"	"3"	"405"	""	""	""
"269"	"250"	""	""	"102"	"94"	"66"	""	"7"	"2"	"4"	"5"	"2"	"1"	"4"	"5"	"6"	"6"	"10"	"9"	"12"	"19"	"17"	"9"	"21"	"3"	"2"	"2"	"9"	"417"	""	""	""
"270"	"20444  23319  19849    3061      597      581      519      567      559    1297      472      478      596    1082    1709    2472    1656    5332      621    8616      462      389      505    1068             96251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"TOTAL VOTES POLLED"	""	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"96251"	""	"96251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"PS NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"BHAGWANLAL SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"VINITA VIJAY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"SAMEER KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"JITENDRA YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"DINESH KUMAR KUSHWAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"DEVENDRA RAKESH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"NEELU SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"MAHENDRA PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"MITHILESH KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"MOHAMMAD SHAMIM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"MD. RAHAMTULLAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"RAM DAYAL RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"REYAJ AHMAD ATISH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"MD. SALEEM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"ASHOK KUMAR LALAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"AHMAD RAZA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"GEORGE FERNANDES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"TARKESHWAR PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"VIJENDRA CHAUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"VINOD PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"SHAMBHU SAHNI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"SADANAND KISHORE THAKUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"SYED ALAMDAR SUSSAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"TOTAL OF VALID VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"NO OF REJECTED VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"TOTAL NO OF TENDER VOTES"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
