"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"295"	"152"	"31"	"163"	"35"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"4"	"2"	"0"	"0"	"1"	"11"	"252"	"0"	"252"	"0"	""
"296"	"153"	"74"	"341"	"30"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"6"	"1"	"0"	"0"	"6"	"2"	"465"	"0"	"465"	"0"	""
"297"	"154"	"203"	"141"	"18"	"3"	"0"	"2"	"1"	"1"	"1"	"0"	"2"	"0"	"1"	"1"	"2"	"11"	"387"	"0"	"387"	"0"	""
"298"	"Total :-"	"1940"	"2343"	"655"	"20"	"16"	"22"	"6"	"5"	"27"	"10"	"19"	"6"	"8"	"12"	"36"	"92"	"5217"	"0"	"5217"	"0"	""
"299"	"Till Last
Total :-"	"21702"	"20688"	"2006"	"270"	"118"	"765"	"174"	"104"	"122"	"138"	"212"	"123"	"199"	"203"	"477"	"874"	"48175"	"0"	"48175"	"0"	""
"300"	"Grand
Total :-"	"23642"	"23031"	"2661"	"290"	"134"	"787"	"180"	"109"	"149"	"148"	"231"	"129"	"207"	"215"	"513"	"966"	"53392"	"0"	"53392"	"0"	""
"301"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"16th May 2009                                                                                                                                                                                                                                            ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"ROUND  12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"309"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"310"	"155"	"19"	"322"	"13"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"364"	"0"	"364"	"0"	""
"311"	"156"	"29"	"286"	"8"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"329"	"0"	"329"	"0"	""
"312"	"157"	"88"	"187"	"33"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"6"	"321"	"0"	"321"	"0"	""
"313"	"158"	"249"	"73"	"8"	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"10"	"350"	"0"	"350"	"0"	""
"314"	"159"	"37"	"413"	"24"	"1"	"1"	"0"	"2"	"2"	"1"	"3"	"7"	"0"	"1"	"0"	"5"	"3"	"500"	"0"	"500"	"0"	""
"315"	"160"	"127"	"293"	"52"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"4"	"2"	"2"	"0"	"6"	"16"	"508"	"0"	"508"	"0"	""
"316"	"161"	"8"	"285"	"41"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"337"	"0"	"337"	"0"	""
"317"	"162"	"278"	"59"	"17"	"1"	"2"	"2"	"0"	"1"	"1"	"2"	"3"	"0"	"2"	"0"	"1"	"6"	"375"	"0"	"375"	"0"	""
"318"	"163"	"123"	"43"	"34"	"3"	"2"	"4"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"2"	"7"	"14"	"240"	"0"	"240"	"0"	""
"319"	"164"	"193"	"9"	"2"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"4"	"218"	"0"	"218"	"0"	""
"320"	"165"	"52"	"200"	"44"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"301"	"0"	"301"	"0"	""
"321"	"166"	"11"	"186"	"60"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"5"	"273"	"0"	"273"	"0"	""
"322"	"167"	"153"	"104"	"19"	"0"	"1"	"1"	"2"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"13"	"300"	"0"	"300"	"0"	""
"323"	"168"	"157"	"75"	"14"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"3"	"2"	"2"	"16"	"275"	"0"	"275"	"0"	""
"324"	"Total :-"	"1524"	"2535"	"369"	"16"	"13"	"13"	"8"	"8"	"9"	"12"	"27"	"4"	"15"	"8"	"33"	"97"	"4691"	"0"	"4691"	"0"	""
"325"	"Till Last Total :-"	"23642"	"23031"	"2661"	"290"	"134"	"787"	"180"	"109"	"149"	"148"	"231"	"129"	"207"	"215"	"513"	"966"	"53392"	"0"	"53392"	"0"	""
"326"	"Grand Total :-"	"25166"	"25566"	"3030"	"306"	"147"	"800"	"188"	"117"	"158"	"160"	"258"	"133"	"222"	"223"	"546"	"1063"	"58083"	"0"	"58083"	"0"	""
"327"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"ROUND  13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"336"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"337"	"169"	"93"	"150"	"30"	"5"	"3"	"1"	"6"	"0"	"5"	"2"	"2"	"2"	"2"	"4"	"1"	"16"	"322"	"0"	"322"	"0"	""
"338"	"170"	"474"	"21"	"8"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"1"	"1"	"0"	"15"	"526"	"0"	"526"	"0"	""
"339"	"171"	"101"	"7"	"4"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"121"	"0"	"121"	"0"	""
"340"	"172"	"321"	"11"	"3"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"350"	"0"	"350"	"0"	""
"341"	"173"	"37"	"183"	"16"	"0"	"3"	"3"	"2"	"0"	"2"	"1"	"1"	"4"	"0"	"0"	"1"	"3"	"256"	"0"	"256"	"0"	""
"342"	"174"	"254"	"88"	"7"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"360"	"0"	"360"	"0"	""
"343"	"175"	"236"	"43"	"5"	"3"	"1"	"1"	"6"	"0"	"2"	"1"	"5"	"1"	"3"	"2"	"8"	"22"	"339"	"0"	"339"	"0"	""
"344"	"176"	"346"	"14"	"6"	"2"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	"1"	"1"	"0"	"2"	"4"	"382"	"0"	"382"	"0"	""
"345"	"177"	"145"	"173"	"44"	"2"	"4"	"2"	"2"	"3"	"1"	"1"	"3"	"2"	"1"	"0"	"4"	"3"	"390"	"0"	"390"	"0"	""
"346"	"178"	"167"	"36"	"16"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"228"	"0"	"228"	"0"	""
"347"	"179"	"150"	"76"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"235"	"0"	"235"	"0"	""
"348"	"180"	"107"	"78"	"8"	"3"	"0"	"1"	"3"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"3"	"3"	"212"	"0"	"212"	"0"	""
"349"	"181"	"101"	"98"	"45"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"12"	"0"	"2"	"0"	"3"	"2"	"267"	"0"	"267"	"0"	""
"350"	"182"	"171"	"210"	"19"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"6"	"415"	"0"	"415"	"0"	""
"351"	"Total :-"	"2703"	"1188"	"215"	"22"	"15"	"16"	"24"	"7"	"22"	"9"	"27"	"16"	"12"	"7"	"29"	"91"	"4403"	"0"	"4403"	"0"	""
"352"	"Till Last
Total :-"	"25166"	"25566"	"3030"	"306"	"147"	"800"	"188"	"117"	"158"	"160"	"258"	"133"	"222"	"223"	"546"	"1063"	"58083"	"0"	"58083"	"0"	""
"353"	"Grand
Total :-"	"27869"	"26754"	"3245"	"328"	"162"	"816"	"212"	"124"	"180"	"169"	"285"	"149"	"234"	"230"	"575"	"1154"	"62486"	"0"	"62486"	"0"	""
"354"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"16th May 2009                                                                                                                                                                                                                                            ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"ROUND  14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"362"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"363"	"183"	"400"	"51"	"6"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"12"	"484"	"0"	"484"	"0"	""
"364"	"184"	"43"	"502"	"55"	"4"	"1"	"3"	"4"	"3"	"3"	"3"	"3"	"1"	"3"	"1"	"13"	"9"	"651"	"0"	"651"	"0"	""
"365"	"185"	"82"	"355"	"37"	"1"	"2"	"2"	"2"	"4"	"3"	"2"	"1"	"1"	"2"	"4"	"7"	"10"	"515"	"0"	"515"	"0"	""
"366"	"186"	"50"	"310"	"24"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"394"	"0"	"394"	"0"	""
"367"	"187"	"44"	"179"	"31"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"2"	"8"	"277"	"0"	"277"	"0"	""
"368"	"188"	"3"	"177"	"69"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"0"	"254"	"0"	""
"369"	"189"	"180"	"221"	"23"	"10"	"8"	"4"	"6"	"1"	"4"	"2"	"5"	"3"	"2"	"1"	"3"	"4"	"477"	"0"	"477"	"0"	""
"370"	"190"	"28"	"147"	"43"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"1"	"227"	"0"	"227"	"0"	""
"371"	"191"	"15"	"255"	"44"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"319"	"0"	"319"	"0"	""
"372"	"192"	"22"	"317"	"28"	"3"	"1"	"1"	"1"	"1"	"3"	"1"	"0"	"1"	"0"	"5"	"5"	"9"	"398"	"0"	"398"	"0"	""
"373"	"193"	"198"	"96"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"2"	"311"	"0"	"311"	"0"	""
"374"	"194"	"99"	"225"	"6"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"3"	"2"	"13"	"352"	"0"	"352"	"0"	""
"375"	"195"	"39"	"300"	"19"	"0"	"2"	"0"	"3"	"0"	"2"	"0"	"2"	"0"	"1"	"0"	"3"	"4"	"375"	"0"	"375"	"0"	""
"376"	"196"	"78"	"394"	"16"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	"501"	"0"	"501"	"0"	""
"377"	"Total :-"	"1281"	"3529"	"406"	"26"	"18"	"27"	"21"	"11"	"19"	"12"	"17"	"11"	"10"	"21"	"48"	"78"	"5535"	"0"	"5535"	"0"	""
"378"	"Till Last
Total :-"	"27869"	"26754"	"3245"	"328"	"162"	"816"	"212"	"124"	"180"	"169"	"285"	"149"	"234"	"230"	"575"	"1154"	"62486"	"0"	"62486"	"0"	""
"379"	"Grand
Total :-"	"29150"	"30283"	"3651"	"354"	"180"	"843"	"233"	"135"	"199"	"181"	"302"	"160"	"244"	"251"	"623"	"1232"	"68021"	"0"	"68021"	"0"	""
"380"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"16th May 2009                                                                                                                                                                                                                                            ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"ROUND  15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"388"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"389"	"197"	"144"	"372"	"21"	"1"	"3"	"4"	"1"	"0"	"2"	"0"	"2"	"2"	"0"	"1"	"5"	"11"	"569"	"0"	"569"	"0"	""
"390"	"198"	"379"	"29"	"10"	"3"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"432"	"0"	"432"	"0"	""
"391"	"199"	"134"	"93"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"249"	"0"	"249"	"0"	""
"392"	"200"	"98"	"275"	"34"	"2"	"3"	"15"	"6"	"1"	"2"	"2"	"3"	"1"	"3"	"2"	"0"	"0"	"447"	"0"	"447"	"0"	""
"393"	"201"	"37"	"134"	"7"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"188"	"0"	"188"	"0"	""
"394"	"202"	"202"	"145"	"34"	"2"	"0"	"7"	"4"	"2"	"2"	"3"	"1"	"2"	"2"	"2"	"2"	"5"	"415"	"0"	"415"	"0"	""
"395"	"203"	"267"	"202"	"14"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"3"	"498"	"0"	"498"	"0"	""
"396"	"204"	"33"	"214"	"15"	"0"	"0"	"3"	"4"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"273"	"0"	"273"	"0"	""
"397"	"205"	"229"	"93"	"8"	"2"	"1"	"1"	"1"	"2"	"0"	"1"	"2"	"0"	"2"	"3"	"3"	"15"	"363"	"0"	"363"	"0"	""
"398"	"206"	"206"	"141"	"15"	"1"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"1"	"376"	"0"	"376"	"0"	""
"399"	"207"	"299"	"11"	"3"	"2"	"1"	"2"	"1"	"1"	"2"	"0"	"2"	"0"	"0"	"2"	"5"	"17"	"348"	"0"	"348"	"0"	""
"400"	"208"	"259"	"30"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"292"	"0"	"292"	"0"	""
"401"	"209"	"63"	"217"	"32"	"1"	"1"	"10"	"4"	"2"	"3"	"1"	"0"	"2"	"1"	"4"	"0"	"4"	"345"	"0"	"345"	"0"	""
"402"	"210"	"83"	"131"	"16"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"4"	"245"	"0"	"245"	"0"	""
"403"	"Total :-"	"2433"	"2087"	"229"	"17"	"14"	"48"	"24"	"10"	"16"	"14"	"16"	"10"	"13"	"19"	"27"	"63"	"5040"	"0"	"5040"	"0"	""
"404"	"Till Last
Total :-"	"29150"	"30283"	"3651"	"354"	"180"	"843"	"233"	"135"	"199"	"181"	"302"	"160"	"244"	"251"	"623"	"1232"	"68021"	"0"	"68021"	"0"	""
"405"	"Grand
Total :-"	"31583"	"32370"	"3880"	"371"	"194"	"891"	"257"	"145"	"215"	"195"	"318"	"170"	"257"	"270"	"650"	"1295"	"73061"	"0"	"73061"	"0"	""
"406"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"ROUND  16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"415"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"416"	"211"	"121"	"88"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"228"	"0"	"228"	"0"	""
"417"	"212"	"123"	"257"	"15"	"1"	"0"	"6"	"1"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"2"	"13"	"425"	"0"	"425"	"0"	""
"418"	"213"	"76"	"139"	"75"	"4"	"5"	"0"	"3"	"2"	"3"	"0"	"2"	"0"	"3"	"3"	"7"	"16"	"338"	"0"	"338"	"0"	""
"419"	"214"	"17"	"319"	"19"	"2"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"370"	"0"	"370"	"0"	""
"420"	"215"	"47"	"203"	"11"	"4"	"3"	"1"	"4"	"3"	"1"	"1"	"3"	"4"	"0"	"1"	"5"	"0"	"291"	"0"	"291"	"0"	""
"421"	"216"	"8"	"101"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"122"	"0"	"122"	"0"	""
"422"	"217"	"139"	"20"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"170"	"0"	"170"	"0"	""
"423"	"218"	"347"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"375"	"0"	"375"	"0"	""
"424"	"219"	"39"	"103"	"29"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	"181"	"0"	"181"	"0"	""
"425"	"220"	"9"	"90"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"5"	"115"	"0"	"115"	"0"	""
"426"	"221"	"187"	"105"	"11"	"3"	"3"	"3"	"1"	"1"	"2"	"0"	"3"	"1"	"0"	"4"	"4"	"11"	"339"	"0"	"339"	"0"	""
"427"	"222"	"231"	"75"	"5"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"3"	"1"	"1"	"1"	"4"	"11"	"337"	"0"	"337"	"0"	""
"428"	"223"	"191"	"29"	"15"	"4"	"2"	"1"	"2"	"1"	"4"	"1"	"4"	"0"	"2"	"0"	"1"	"5"	"262"	"0"	"262"	"0"	""
"429"	"224"	"111"	"328"	"14"	"3"	"1"	"37"	"1"	"0"	"1"	"0"	"4"	"1"	"1"	"1"	"4"	"2"	"509"	"0"	"509"	"0"	""
"430"	"Total :-"	"1646"	"1872"	"230"	"22"	"16"	"49"	"15"	"10"	"19"	"7"	"20"	"9"	"10"	"15"	"37"	"85"	"4062"	"0"	"4062"	"0"	""
"431"	"Till Last
Total :-"	"31583"	"32370"	"3880"	"371"	"194"	"891"	"257"	"145"	"215"	"195"	"318"	"170"	"257"	"270"	"650"	"1295"	"73061"	"0"	"73061"	"0"	""
"432"	"Grand
Total :-"	"33229"	"34242"	"4110"	"393"	"210"	"940"	"272"	"155"	"234"	"202"	"338"	"179"	"267"	"285"	"687"	"1380"	"77123"	"0"	"77123"	"0"	""
"433"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"438"	"ROUND  17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"439"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"440"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
