"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A..U.0924."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940...U.092E..U.0947."
"164"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"165"	"4"	"130"	"46"	"80"	"162"	"175"	"0"	"9"	"1"	"3"	"17"	"2"	"4"	"2"	"3"	"6"	"4"	"13"	"527"	""	"527"	""	""
"166"	"5"	"131"	"17"	"10"	"88"	"260"	"10"	"23"	"1"	"1"	"24"	"3"	"6"	"4"	"6"	"3"	"1"	"12"	"469"	""	"469"	""	""
"167"	"6"	"132"	"90"	"37"	"57"	"68"	"8"	"49"	"1"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"1"	"3"	"321"	""	"321"	""	""
"168"	"7"	"133"	"14"	"6"	"153"	"67"	"0"	"6"	"4"	"1"	"21"	"0"	"0"	"1"	"3"	"1"	"0"	"4"	"281"	""	"281"	""	""
"169"	"8"	"134"	"34"	"0"	"9"	"374"	"5"	"5"	"3"	"1"	"23"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"460"	""	"460"	""	""
"170"	"9"	"135"	"50"	"8"	"135"	"175"	"2"	"22"	"4"	"2"	"8"	"4"	"10"	"1"	"2"	"1"	"1"	"9"	"434"	""	"434"	""	""
"171"	"10"	"136"	"87"	"26"	"48"	"107"	"5"	"14"	"3"	"2"	"14"	"2"	"2"	"0"	"4"	"1"	"3"	"3"	"321"	""	"321"	""	""
"172"	"11"	"137"	"26"	"6"	"80"	"192"	"3"	"20"	"4"	"1"	"6"	"0"	"2"	"0"	"3"	"1"	"1"	"3"	"348"	""	"348"	""	""
"173"	"12"	"138"	"11"	"6"	"21"	"131"	"7"	"20"	"1"	"2"	"37"	"2"	"4"	"2"	"0"	"1"	"0"	"4"	"249"	""	"249"	""	""
"174"	"13"	"139"	"30"	"9"	"48"	"271"	"7"	"20"	"4"	"1"	"17"	"5"	"4"	"0"	"4"	"2"	"3"	"5"	"430"	""	"430"	""	""
"175"	"14"	"140"	"12"	"0"	"147"	"30"	"6"	"6"	"1"	"0"	"10"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"217"	""	"217"	""	""
"176"	"<U+092F><U+094B><U+0917>"	""	"457"	"204"	"1439"	"2249"	"72"	"225"	"28"	"16"	"184"	"24"	"47"	"15"	"34"	"27"	"20"	"73"	"5114"	"0"	"5114"	"0"	"0"
"177"	"1"	"141"	"24"	"51"	"131"	"66"	"3"	"17"	"0"	"0"	"2"	"0"	"14"	"3"	"7"	"1"	"1"	"2"	"322"	""	"322"	""	""
"178"	"2"	"142"	"90"	"18"	"94"	"220"	"8"	"20"	"2"	"1"	"5"	"4"	"4"	"0"	"1"	"2"	"2"	"4"	"475"	""	"475"	""	""
"179"	"3"	"143"	"101"	"5"	"175"	"179"	"6"	"16"	"3"	"1"	"7"	"3"	"2"	"0"	"4"	"1"	"1"	"6"	"510"	""	"510"	""	""
"180"	"4"	"144"	"6"	"2"	"225"	"21"	"9"	"14"	"1"	"3"	"56"	"1"	"2"	"3"	"7"	"9"	"2"	"11"	"372"	""	"372"	""	""
"181"	"5"	"145"	"8"	"6"	"223"	"37"	"2"	"10"	"0"	"1"	"3"	"2"	"1"	"1"	"4"	"7"	"2"	"2"	"309"	""	"309"	""	""
"182"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"183"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"184"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"185"	"6"	"146"	"39"	"110"	"136"	"102"	"5"	"23"	"1"	"3"	"4"	"0"	"1"	"1"	"1"	"5"	"1"	"0"	"432"	""	"432"	""	""
"186"	"7"	"147"	"63"	"26"	"89"	"53"	"9"	"7"	"0"	"3"	"53"	"1"	"8"	"1"	"7"	"1"	"3"	"4"	"328"	""	"328"	""	""
"187"	"8"	"148"	"77"	"6"	"52"	"22"	"6"	"4"	"1"	"0"	"14"	"1"	"8"	"1"	"1"	"0"	"1"	"5"	"199"	""	"199"	""	""
"188"	"9"	"149"	"76"	"2"	"106"	"25"	"2"	"12"	"1"	"0"	"3"	"0"	"1"	"0"	"2"	"5"	"1"	"4"	"240"	""	"240"	""	""
"189"	"10"	"150"	"99"	"28"	"130"	"41"	"4"	"5"	"1"	"0"	"7"	"3"	"35"	"5"	"9"	"12"	"2"	"12"	"393"	""	"393"	""	""
"190"	"11"	"151"	"20"	"40"	"127"	"89"	"6"	"4"	"2"	"0"	"25"	"0"	"0"	"0"	"3"	"2"	"1"	"2"	"321"	""	"321"	""	""
"191"	"12"	"152"	"32"	"2"	"63"	"44"	"2"	"11"	"3"	"0"	"2"	"2"	"2"	"0"	"4"	"3"	"0"	"2"	"172"	""	"172"	""	""
"192"	"13"	"153"	"42"	"5"	"96"	"38"	"3"	"6"	"5"	"3"	"95"	"1"	"1"	"2"	"1"	"3"	"0"	"1"	"302"	""	"302"	""	""
"193"	"14"	"154"	"45"	"9"	"93"	"61"	"0"	"4"	"2"	"2"	"24"	"1"	"2"	"1"	"1"	"2"	"1"	"0"	"248"	""	"248"	""	""
"194"	"<U+092F><U+094B><U+0917>"	""	"722"	"310"	"1740"	"998"	"65"	"153"	"22"	"17"	"300"	"19"	"81"	"18"	"52"	"53"	"18"	"55"	"4623"	"0"	"4623"	"0"	"0"
"195"	"1"	"155"	"22"	"27"	"117"	"112"	"2"	"3"	"2"	"0"	"5"	"52"	"1"	"2"	"3"	"3"	"2"	"6"	"359"	""	"359"	""	""
"196"	"2"	"156"	"7"	"49"	"62"	"176"	"5"	"2"	"1"	"2"	"20"	"5"	"0"	"2"	"2"	"3"	"2"	"3"	"341"	""	"341"	""	""
"197"	"3"	"157"	"31"	"70"	"64"	"111"	"8"	"7"	"3"	"1"	"37"	"2"	"5"	"1"	"3"	"3"	"2"	"4"	"352"	""	"352"	""	""
"198"	"4"	"158"	"4"	"3"	"237"	"193"	"4"	"7"	"1"	"0"	"6"	"5"	"3"	"1"	"14"	"5"	"0"	"6"	"489"	""	"489"	""	""
"199"	"5"	"159"	"47"	"3"	"39"	"376"	"4"	"0"	"0"	"0"	"3"	"7"	"1"	"2"	"2"	"0"	"0"	"0"	"484"	""	"484"	""	""
"200"	"6"	"160"	"18"	"24"	"93"	"121"	"12"	"1"	"1"	"1"	"41"	"4"	"4"	"0"	"4"	"0"	"0"	"1"	"325"	""	"325"	""	""
"201"	"7"	"161"	"23"	"1"	"77"	"89"	"9"	"2"	"1"	"1"	"49"	"7"	"1"	"2"	"2"	"2"	"0"	"0"	"266"	""	"266"	""	""
"202"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"203"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"204"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"205"	"8"	"162"	"56"	"52"	"25"	"243"	"1"	"1"	"10"	"0"	"3"	"0"	"1"	"3"	"7"	"3"	"3"	"2"	"410"	""	"410"	""	""
"206"	"9"	"163"	"81"	"71"	"145"	"148"	"13"	"2"	"2"	"0"	"21"	"4"	"10"	"3"	"3"	"5"	"4"	"7"	"519"	""	"519"	""	""
"207"	"10"	"164"	"27"	"22"	"43"	"97"	"4"	"7"	"0"	"2"	"7"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"214"	""	"214"	""	""
"208"	"11"	"165"	"10"	"6"	"43"	"96"	"0"	"21"	"0"	"0"	"8"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"189"	""	"189"	""	""
"209"	"12"	"166"	"4"	"1"	"613"	"23"	"3"	"0"	"0"	"0"	"31"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"681"	""	"681"	""	""
"210"	"13"	"167"	"29"	"53"	"59"	"31"	"8"	"12"	"2"	"4"	"42"	"15"	"53"	"2"	"2"	"5"	"1"	"2"	"320"	""	"320"	""	""
"211"	"14"	"168"	"18"	"100"	"14"	"101"	"10"	"14"	"1"	"7"	"116"	"3"	"23"	"1"	"3"	"2"	"3"	"3"	"419"	""	"419"	""	""
"212"	"<U+092F><U+094B><U+0917>"	""	"377"	"482"	"1631"	"1917"	"83"	"79"	"24"	"18"	"389"	"106"	"105"	"19"	"47"	"35"	"18"	"38"	"5368"	"0"	"5368"	"0"	"0"
"213"	"1"	"169"	"35"	"7"	"114"	"112"	"11"	"6"	"1"	"9"	"101"	"8"	"7"	"1"	"4"	"4"	"2"	"7"	"429"	""	"429"	""	""
"214"	"2"	"170"	"59"	"3"	"81"	"107"	"6"	"7"	"1"	"2"	"95"	"7"	"8"	"1"	"1"	"2"	"0"	"7"	"387"	""	"387"	""	""
"215"	"3"	"171"	"3"	"4"	"105"	"83"	"2"	"5"	"0"	"0"	"55"	"14"	"1"	"0"	"1"	"0"	"0"	"0"	"273"	""	"273"	""	""
"216"	"4"	"172"	"3"	"2"	"567"	"9"	"0"	"2"	"0"	"0"	"9"	"1"	"1"	"0"	"3"	"4"	"0"	"1"	"602"	""	"602"	""	""
"217"	"5"	"173"	"6"	"16"	"208"	"42"	"0"	"35"	"0"	"0"	"3"	"1"	"0"	"0"	"3"	"4"	"0"	"2"	"320"	""	"320"	""	""
"218"	"6"	"174"	"19"	"1"	"304"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"357"	""	"357"	""	""
"219"	"7"	"175"	"89"	"7"	"244"	"116"	"5"	"89"	"4"	"2"	"5"	"3"	"1"	"1"	"6"	"4"	"2"	"4"	"582"	""	"582"	""	""
"220"	"8"	"176"	"9"	"71"	"28"	"77"	"7"	"50"	"2"	"1"	"10"	"1"	"2"	"3"	"5"	"6"	"2"	"8"	"282"	""	"282"	""	""
"221"	"9"	"177"	"8"	"7"	"88"	"63"	"2"	"13"	"0"	"0"	"69"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"255"	""	"255"	""	""
"222"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"223"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"224"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"225"	"10"	"178"	"13"	"43"	"92"	"151"	"10"	"53"	"3"	"1"	"7"	"3"	"3"	"5"	"1"	"6"	"1"	"10"	"402"	""	"402"	""	""
"226"	"11"	"179"	"49"	"1"	"99"	"142"	"10"	"78"	"2"	"0"	"2"	"1"	"3"	"0"	"4"	"5"	"1"	"2"	"399"	""	"399"	""	""
"227"	"12"	"180"	"25"	"67"	"73"	"205"	"15"	"101"	"8"	"4"	"43"	"5"	"8"	"3"	"7"	"6"	"6"	"13"	"589"	""	"589"	""	""
"228"	"13"	"181"	"46"	"0"	"96"	"61"	"2"	"47"	"4"	"2"	"88"	"3"	"1"	"1"	"1"	"1"	"2"	"6"	"361"	""	"361"	""	""
"229"	"14"	"182"	"15"	"11"	"230"	"27"	"5"	"55"	"2"	"1"	"45"	"2"	"4"	"0"	"1"	"1"	"1"	"3"	"403"	""	"403"	""	""
"230"	"<U+092F><U+094B><U+0917>"	""	"379"	"240"	"2329"	"1226"	"76"	"541"	"27"	"22"	"532"	"49"	"39"	"15"	"40"	"46"	"17"	"63"	"5641"	"0"	"5641"	"0"	"0"
"231"	"1"	"183"	"114"	"3"	"37"	"33"	"7"	"0"	"0"	"2"	"58"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"259"	""	"259"	""	""
"232"	"2"	"184"	"95"	"19"	"53"	"60"	"11"	"3"	"0"	"2"	"84"	"1"	"2"	"0"	"1"	"1"	"1"	"6"	"339"	""	"339"	""	""
"233"	"3"	"185"	"69"	"7"	"98"	"38"	"4"	"147"	"2"	"2"	"60"	"3"	"5"	"1"	"11"	"7"	"3"	"5"	"462"	""	"462"	""	""
"234"	"4"	"186"	"392"	"5"	"96"	"87"	"4"	"9"	"0"	"2"	"131"	"2"	"1"	"6"	"3"	"2"	"0"	"6"	"746"	""	"746"	""	""
"235"	"5"	"187"	"14"	"3"	"201"	"41"	"8"	"3"	"2"	"3"	"132"	"6"	"7"	"2"	"6"	"12"	"3"	"11"	"454"	""	"454"	""	""
"236"	"6"	"188"	"55"	"6"	"51"	"92"	"9"	"10"	"5"	"4"	"119"	"2"	"6"	"3"	"1"	"1"	"3"	"3"	"370"	""	"370"	""	""
"237"	"7"	"189"	"11"	"7"	"65"	"121"	"3"	"32"	"2"	"2"	"81"	"1"	"2"	"2"	"2"	"3"	"0"	"15"	"349"	""	"349"	""	""
"238"	"8"	"190"	"33"	"28"	"202"	"67"	"9"	"34"	"3"	"6"	"142"	"3"	"2"	"2"	"3"	"4"	"7"	"9"	"554"	""	"554"	""	""
"239"	"9"	"191"	"37"	"3"	"81"	"62"	"1"	"0"	"0"	"1"	"7"	"2"	"3"	"0"	"4"	"4"	"0"	"1"	"206"	""	"206"	""	""
"240"	"10"	"192"	"69"	"20"	"124"	"87"	"4"	"31"	"1"	"2"	"28"	"0"	"7"	"1"	"2"	"2"	"2"	"5"	"385"	""	"385"	""	""
"241"	"11"	"193"	"22"	"1"	"59"	"96"	"4"	"16"	"0"	"1"	"60"	"2"	"6"	"0"	"2"	"4"	"0"	"7"	"280"	""	"280"	""	""
"242"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"243"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
