"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226458.86.Keoti"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"306"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"308"	"Round No 17"	"225"	"109"	"6"	"96"	"2"	"4"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"2"	"225"	""	"225"	""
"309"	""	"226"	"102"	"3"	"160"	"69"	"31"	"2"	"3"	"1"	"1"	"3"	"2"	"2"	"1"	"7"	"387"	""	"387"	""
"310"	""	"227"	"90"	"10"	"22"	"367"	"169"	"11"	"3"	"4"	"5"	"2"	"3"	"1"	"1"	"4"	"692"	""	"692"	""
"311"	""	"228"	"65"	"5"	"166"	"139"	"71"	"6"	"1"	"3"	"3"	"6"	"4"	"8"	"1"	"13"	"0"	""	"#VALUE!"	""
"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	""	"Total -17"	"366"	"24"	"444"	"577"	"275"	"19"	"7"	"9"	"9"	"12"	"11"	"12"	"4"	"26"	"1304"	"0"	"#VALUE!"	"0"
"323"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"327"	"Final"	"Total No. of votes recorded at Polling stations"	"26862"	"1713"	"20709"	"29134"	"6272"	"731"	"476"	"533"	"529"	"482"	"797"	"791"	"809"	"3724"	"93071"	"0"	"#VALUE!"	"0"
"328"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"329"	""	"TOTAL VOTES POLLED"	"26862"	"1713"	"20709"	"29134"	"6272"	"731"	"476"	"533"	"529"	"482"	"797"	"791"	"809"	"3724"	"93071"	"0"	"#VALUE!"	"0"
