"Name.of.the.Assembly.Constituency....169..Sheikhpura.................................................................................................................No.of.Voters....200380"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"298"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"299"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"301"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"308"	"198"	"104"	"27"	"2"	"239"	"5"	"8"	"2"	"0"	"3"	"2"	"47"	"6"	"13"	"3"	"2"	"7"	"0"	"0"	"1"	"471"	""	"471"	""
"309"	"199"	"3"	"2"	"0"	"21"	"191"	"4"	"1"	"3"	"1"	"1"	"12"	"3"	"1"	"0"	"1"	"3"	"1"	"0"	"0"	"248"	""	"248"	""
"310"	"200"	"5"	"42"	"5"	"171"	"29"	"5"	"1"	"1"	"0"	"4"	"23"	"1"	"5"	"0"	"1"	"2"	"7"	"1"	"1"	"304"	""	"304"	""
"311"	"201"	"0"	"23"	"1"	"110"	"16"	"1"	"0"	"1"	"0"	"0"	"6"	"0"	"7"	"0"	"0"	"4"	"1"	"1"	"0"	"171"	""	"171"	""
"312"	"202"	"4"	"19"	"1"	"341"	"24"	"3"	"2"	"7"	"0"	"2"	"11"	"1"	"8"	"0"	"4"	"5"	"1"	"0"	"2"	"435"	""	"435"	""
"313"	"203"	"80"	"11"	"3"	"174"	"212"	"2"	"2"	"3"	"2"	"2"	"31"	"2"	"6"	"2"	"0"	"1"	"1"	"3"	"2"	"539"	""	"539"	""
"314"	"204"	"13"	"38"	"4"	"43"	"179"	"3"	"1"	"3"	"3"	"0"	"27"	"3"	"4"	"0"	"2"	"8"	"1"	"1"	"0"	"333"	""	"333"	""
"315"	"205"	"50"	"13"	"4"	"32"	"73"	"10"	"4"	"4"	"1"	"1"	"21"	"1"	"3"	"3"	"2"	"5"	"1"	"0"	"4"	"232"	""	"232"	""
"316"	"206"	"71"	"6"	"1"	"4"	"54"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"144"	""	"144"	""
"317"	"207"	"42"	"5"	"0"	"186"	"180"	"13"	"3"	"5"	"4"	"1"	"22"	"5"	"16"	"0"	"2"	"5"	"8"	"2"	"3"	"502"	""	"502"	""
"318"	"208"	"4"	"5"	"0"	"109"	"95"	"4"	"0"	"0"	"2"	"0"	"20"	"1"	"7"	"0"	"0"	"4"	"3"	"0"	"1"	"255"	""	"255"	""
"319"	"209"	"51"	"25"	"8"	"164"	"144"	"15"	"4"	"5"	"11"	"6"	"83"	"9"	"15"	"9"	"6"	"18"	"2"	"0"	"5"	"580"	""	"580"	""
"320"	"210"	"209"	"97"	"9"	"105"	"15"	"6"	"4"	"39"	"5"	"1"	"45"	"2"	"11"	"4"	"10"	"27"	"1"	"5"	"2"	"597"	""	"597"	""
"321"	"211"	"7"	"8"	"0"	"38"	"516"	"3"	"1"	"2"	"1"	"0"	"19"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"601"	""	"601"	""
"322"	"212"	"42"	"36"	"0"	"127"	"94"	"5"	"1"	"1"	"3"	"1"	"31"	"4"	"8"	"2"	"2"	"13"	"1"	"3"	"7"	"381"	""	"381"	""
"323"	"213"	"21"	"6"	"4"	"128"	"81"	"7"	"1"	"8"	"3"	"2"	"43"	"3"	"4"	"2"	"1"	"3"	"1"	"1"	"1"	"320"	""	"320"	""
"324"	"214"	"25"	"52"	"4"	"147"	"62"	"8"	"1"	"1"	"4"	"5"	"30"	"5"	"11"	"4"	"0"	"12"	"2"	"1"	"1"	"375"	""	"375"	""
"325"	"215"	"12"	"19"	"5"	"105"	"26"	"2"	"0"	"1"	"1"	"2"	"31"	"3"	"8"	"1"	"1"	"5"	"4"	"3"	"1"	"230"	""	"230"	""
"326"	"Total"	"13077"	"4338"	"1183"	"27784"	"16285"	"1109"	"357"	"910"	"445"	"456"	"6767"	"701"	"1375"	"438"	"410"	"1410"	"635"	"302"	"587"	"78569"	""	"78569"	""
