"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X256817.36.Madhubani"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"306"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"308"	"Round No 17"	"224"	"69"	"2"	"183"	"70"	"11"	"3"	"1"	"0"	"1"	"0"	"3"	"2"	"0"	"13"	"358"	""	"358"	""
"309"	""	"225"	"154"	"10"	"226"	"23"	"18"	"3"	"1"	"0"	"3"	"3"	"2"	"5"	"5"	"26"	"479"	""	"479"	""
"310"	""	"226"	"490"	"13"	"33"	"72"	"8"	"21"	"4"	"4"	"8"	"1"	"5"	"4"	"2"	"20"	"685"	""	"685"	""
"311"	""	"227"	"225"	"10"	"40"	"44"	"7"	"3"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"4"	"341"	""	"341"	""
"312"	""	"228"	"139"	"5"	"73"	"111"	"14"	"5"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"10"	"362"	""	"362"	""
"313"	""	"229"	"17"	"0"	"185"	"237"	"9"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"457"	""	"457"	""
"314"	""	"230"	"159"	"7"	"55"	"106"	"13"	"7"	"7"	"2"	"4"	"2"	"7"	"5"	"2"	"11"	"387"	""	"387"	""
"315"	""	"231"	"79"	"5"	"27"	"98"	"7"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"9"	"231"	""	"231"	""
"316"	""	"232"	"162"	"12"	"21"	"180"	"21"	"4"	"2"	"6"	"1"	"2"	"4"	"1"	"3"	"7"	"426"	""	"426"	""
"317"	""	"233"	"322"	"9"	"8"	"68"	"9"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"421"	""	"421"	""
"318"	""	"234"	"145"	"7"	"7"	"66"	"4"	"2"	"1"	"1"	"3"	"1"	"0"	"0"	"2"	"3"	"242"	""	"242"	""
"319"	""	"235"	"25"	"1"	"70"	"134"	"15"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"1"	"6"	"258"	""	"258"	""
"320"	""	"236"	"248"	"12"	"52"	"107"	"19"	"42"	"3"	"1"	"5"	"4"	"7"	"5"	"7"	"28"	"540"	""	"540"	""
"321"	""	"237"	"54"	"6"	"82"	"121"	"13"	"1"	"0"	"0"	"0"	"1"	"1"	"4"	"4"	"3"	"290"	""	"290"	""
"322"	""	"Total -17"	"2288"	"99"	"1062"	"1437"	"168"	"94"	"21"	"20"	"31"	"15"	"34"	"35"	"30"	"143"	"5477"	"0"	"5477"	"0"
"323"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"327"	"Round No 18"	"238"	"151"	"1"	"9"	"319"	"31"	"3"	"1"	"3"	"2"	"2"	"9"	"0"	"0"	"5"	"536"	""	"536"	""
"328"	""	"239"	"91"	"1"	"120"	"35"	"7"	"2"	"0"	"0"	"0"	"0"	"4"	"3"	"0"	"4"	"267"	""	"267"	""
"329"	""	"240"	"280"	"10"	"13"	"47"	"8"	"6"	"3"	"0"	"1"	"1"	"1"	"1"	"3"	"10"	"384"	""	"384"	""
"330"	""	"241"	"174"	"5"	"9"	"64"	"11"	"2"	"2"	"0"	"2"	"2"	"2"	"7"	"7"	"21"	"308"	""	"308"	""
"331"	""	"242"	"145"	"10"	"3"	"62"	"7"	"2"	"1"	"4"	"1"	"0"	"1"	"3"	"4"	"17"	"260"	""	"260"	""
"332"	""	"243"	"121"	"2"	"2"	"39"	"10"	"2"	"1"	"1"	"1"	"2"	"2"	"5"	"1"	"8"	"197"	""	"197"	""
"333"	""	"244"	"99"	"9"	"22"	"210"	"32"	"5"	"2"	"3"	"2"	"3"	"4"	"1"	"2"	"8"	"402"	""	"402"	""
"334"	""	"245"	"550"	"2"	"3"	"20"	"22"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"602"	""	"602"	""
"335"	""	"246"	"177"	"8"	"75"	"61"	"17"	"0"	"3"	"1"	"3"	"1"	"7"	"1"	"2"	"4"	"360"	""	"360"	""
"336"	""	"247"	"152"	"3"	"26"	"101"	"8"	"2"	"1"	"0"	"4"	"1"	"4"	"2"	"0"	"4"	"308"	""	"308"	""
"337"	""	"248"	"120"	"3"	"24"	"107"	"20"	"1"	"4"	"3"	"3"	"3"	"1"	"0"	"6"	"7"	"302"	""	"302"	""
"338"	""	"249"	"354"	"16"	"123"	"118"	"16"	"2"	"2"	"6"	"2"	"3"	"6"	"2"	"1"	"12"	"663"	""	"663"	""
"339"	""	"250"	"119"	"1"	"31"	"129"	"7"	"1"	"3"	"2"	"1"	"1"	"1"	"4"	"2"	"4"	"306"	""	"306"	""
"340"	""	"251"	"270"	"11"	"40"	"130"	"29"	"1"	"0"	"5"	"0"	"2"	"1"	"1"	"2"	"5"	"497"	""	"497"	""
"341"	""	"Total -18"	"2803"	"82"	"500"	"1442"	"225"	"29"	"23"	"28"	"22"	"22"	"44"	"30"	"30"	"112"	"5392"	"0"	"5392"	"0"
"342"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"344"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"345"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"346"	"Final"	"Total No. of votes recorded at Polling stations"	"36539"	"1943"	"18055"	"30421"	"4054"	"691"	"412"	"517"	"461"	"342"	"690"	"558"	"763"	"3303"	"98749"	"0"	"98749"	"0"
"347"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"348"	""	"TOTAL VOTES POLLED"	"36539"	"1943"	"18055"	"30421"	"4054"	"691"	"412"	"517"	"461"	"342"	"690"	"558"	"763"	"3303"	"98749"	"0"	"98749"	"0"
