"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"422"	"5"	"175"	"96"	"20"	"29"	"49"	"1"	"11"	"5"	"5"	"1"	"5"	"222"	"0"	"222"	"0"
"423"	"6"	"176"	"227"	"34"	"127"	"22"	"3"	"6"	"11"	"7"	"2"	"6"	"445"	"0"	"445"	"0"
"424"	"7"	"177"	"195"	"58"	"69"	"3"	"6"	"2"	"8"	"5"	"10"	"22"	"378"	"0"	"378"	"0"
"425"	"8"	"178"	"175"	"136"	"83"	"19"	"23"	"9"	"26"	"9"	"16"	"31"	"527"	"0"	"527"	"0"
"426"	"9"	"179"	"178"	"25"	"49"	"1"	"2"	"0"	"2"	"7"	"4"	"5"	"273"	"0"	"273"	"0"
"427"	"10"	"180"	"114"	"17"	"110"	"6"	"3"	"1"	"1"	"2"	"5"	"4"	"263"	"0"	"263"	"0"
"428"	"11"	"181"	"14"	"16"	"279"	"15"	"2"	"3"	"5"	"8"	"4"	"4"	"350"	"0"	"350"	"0"
"429"	"12"	"182"	"70"	"13"	"252"	"13"	"8"	"2"	"9"	"19"	"14"	"10"	"410"	"0"	"410"	"0"
"430"	"13"	"183"	"44"	"13"	"111"	"6"	"11"	"4"	"3"	"5"	"3"	"4"	"204"	"0"	"204"	"0"
"431"	"14"	"184"	"46"	"3"	"26"	"1"	"1"	"2"	"1"	"0"	"1"	"3"	"84"	"0"	"84"	"0"
"432"	"Total Votes Polled"	""	"1546"	"471"	"1725"	"185"	"79"	"64"	"110"	"102"	"94"	"182"	"4558"	"0"	"4558"	"0"
"433"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"438"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"439"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"440"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"442"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"443"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"444"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"445"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	"1"	"185"	"7"	"2"	"71"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"85"	"0"	"85"	"0"
"448"	"2"	"186"	"64"	"12"	"10"	"4"	"0"	"2"	"2"	"0"	"1"	"5"	"100"	"0"	"100"	"0"
"449"	"3"	"187"	"44"	"4"	"472"	"2"	"3"	"0"	"0"	"0"	"5"	"0"	"530"	"0"	"530"	"0"
"450"	"4"	"188"	"184"	"11"	"92"	"4"	"6"	"0"	"2"	"2"	"4"	"3"	"308"	"0"	"308"	"0"
"451"	"5"	"189"	"162"	"7"	"124"	"6"	"4"	"1"	"3"	"7"	"5"	"16"	"335"	"0"	"335"	"0"
"452"	"6"	"190"	"42"	"22"	"242"	"9"	"5"	"1"	"2"	"6"	"6"	"6"	"341"	"0"	"341"	"0"
"453"	"7"	"191"	"407"	"1"	"30"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"440"	"0"	"440"	"0"
"454"	"8"	"192"	"104"	"1"	"97"	"3"	"18"	"1"	"0"	"1"	"1"	"2"	"228"	"0"	"228"	"0"
"455"	"9"	"193"	"231"	"14"	"52"	"3"	"11"	"2"	"1"	"0"	"3"	"3"	"320"	"0"	"320"	"0"
"456"	"10"	"194"	"34"	"7"	"295"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"340"	"0"	"340"	"0"
"457"	"11"	"194A"	"50"	"4"	"288"	"3"	"1"	"1"	"2"	"1"	"1"	"0"	"351"	"0"	"351"	"0"
"458"	"12"	"195"	"50"	"15"	"228"	"31"	"3"	"1"	"5"	"7"	"7"	"11"	"358"	"0"	"358"	"0"
"459"	"13"	"196"	"158"	"6"	"107"	"1"	"2"	"2"	"0"	"3"	"1"	"1"	"281"	"0"	"281"	"0"
"460"	"14"	"197"	"148"	"4"	"173"	"9"	"5"	"1"	"4"	"1"	"0"	"6"	"351"	"0"	"351"	"0"
"461"	"Total Votes Polled"	""	"1685"	"110"	"2281"	"79"	"59"	"14"	"23"	"29"	"34"	"54"	"4368"	"0"	"4368"	"0"
"462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"463"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"464"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"465"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"466"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"467"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"468"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"469"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"470"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"471"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"472"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"473"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"474"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"475"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"476"	"1"	"198"	"97"	"24"	"182"	"7"	"3"	"4"	"5"	"3"	"5"	"11"	"341"	"0"	"341"	"0"
"477"	"2"	"199"	"180"	"8"	"181"	"6"	"5"	"3"	"5"	"4"	"9"	"14"	"415"	"0"	"415"	"0"
"478"	"3"	"200"	"340"	"21"	"62"	"4"	"2"	"1"	"0"	"3"	"0"	"10"	"443"	"0"	"443"	"0"
"479"	"4"	"201"	"381"	"28"	"88"	"1"	"0"	"2"	"1"	"2"	"2"	"6"	"511"	"0"	"511"	"0"
"480"	"5"	"202"	"230"	"21"	"327"	"13"	"4"	"1"	"5"	"2"	"6"	"4"	"613"	"0"	"613"	"0"
"481"	"6"	"203"	"192"	"14"	"224"	"16"	"30"	"5"	"5"	"8"	"5"	"8"	"507"	"0"	"507"	"0"
"482"	"7"	"204"	"107"	"22"	"102"	"15"	"10"	"4"	"4"	"5"	"6"	"15"	"290"	"0"	"290"	"0"
"483"	"8"	"204A"	"120"	"16"	"114"	"11"	"4"	"0"	"5"	"4"	"6"	"10"	"290"	"0"	"290"	"0"
"484"	"9"	"205"	"149"	"11"	"121"	"7"	"3"	"2"	"5"	"2"	"7"	"14"	"321"	"0"	"321"	"0"
"485"	"10"	"205A"	"120"	"35"	"139"	"15"	"12"	"4"	"10"	"10"	"8"	"18"	"371"	"0"	"371"	"0"
"486"	"11"	"206"	"279"	"22"	"31"	"2"	"1"	"3"	"0"	"0"	"0"	"1"	"339"	"0"	"339"	"0"
"487"	"12"	"207"	"156"	"17"	"88"	"9"	"2"	"4"	"7"	"12"	"7"	"12"	"314"	"0"	"314"	"0"
"488"	"13"	"207A"	"209"	"23"	"27"	"7"	"2"	"3"	"4"	"14"	"8"	"22"	"319"	"0"	"319"	"0"
"489"	"14"	"208"	"236"	"18"	"345"	"4"	"9"	"1"	"2"	"0"	"5"	"11"	"631"	"0"	"631"	"0"
"490"	"Total Votes Polled"	""	"2796"	"280"	"2031"	"117"	"87"	"37"	"58"	"69"	"74"	"156"	"5705"	"0"	"5705"	"0"
"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"492"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"493"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"494"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"495"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"497"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"498"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"499"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"500"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"501"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"502"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"503"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"505"	"1"	"209"	"144"	"19"	"308"	"14"	"8"	"3"	"2"	"2"	"3"	"4"	"507"	"0"	"507"	"0"
"506"	"2"	"210"	"100"	"23"	"349"	"3"	"0"	"0"	"1"	"4"	"8"	"4"	"492"	"0"	"492"	"0"
"507"	"3"	"211"	"305"	"8"	"5"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"323"	"0"	"323"	"0"
"508"	"4"	"212"	"115"	"6"	"277"	"2"	"1"	"0"	"1"	"1"	"2"	"1"	"406"	"0"	"406"	"0"
"509"	"5"	"213"	"86"	"9"	"143"	"4"	"0"	"1"	"0"	"3"	"4"	"0"	"250"	"0"	"250"	"0"
"510"	"6"	"214"	"26"	"11"	"215"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"259"	"0"	"259"	"0"
"511"	"7"	"214A"	"115"	"26"	"170"	"5"	"6"	"4"	"6"	"2"	"1"	"5"	"340"	"0"	"340"	"0"
"512"	"8"	"215"	"203"	"8"	"356"	"19"	"3"	"7"	"3"	"12"	"8"	"24"	"643"	"0"	"643"	"0"
"513"	"9"	"216"	"33"	"4"	"290"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"337"	"0"	"337"	"0"
"514"	"10"	"217"	"231"	"45"	"46"	"2"	"2"	"2"	"1"	"3"	"7"	"4"	"343"	"0"	"343"	"0"
"515"	"11"	"217A"	"115"	"15"	"166"	"4"	"13"	"0"	"1"	"7"	"2"	"5"	"328"	"0"	"328"	"0"
"516"	"12"	"218"	"70"	"12"	"211"	"3"	"3"	"1"	"0"	"1"	"0"	"1"	"302"	"0"	"302"	"0"
"517"	"13"	"219"	"166"	"18"	"143"	"9"	"4"	"1"	"3"	"11"	"4"	"10"	"369"	"0"	"369"	"0"
"518"	"14"	"220"	"78"	"6"	"225"	"4"	"2"	"0"	"3"	"1"	"2"	"4"	"325"	"0"	"325"	"0"
"519"	"Total Votes Polled"	""	"1787"	"210"	"2904"	"78"	"46"	"20"	"22"	"49"	"44"	"64"	"5224"	"0"	"5224"	"0"
"520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"521"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"522"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"524"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"525"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"526"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"527"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"528"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"529"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"530"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"531"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"532"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"533"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"534"	"1"	"221"	"176"	"20"	"68"	"7"	"5"	"2"	"6"	"4"	"10"	"7"	"305"	"0"	"305"	"0"
"535"	"2"	"221A"	"122"	"5"	"134"	"7"	"2"	"2"	"4"	"12"	"8"	"14"	"310"	"0"	"310"	"0"
"536"	"3"	"222"	"135"	"9"	"81"	"6"	"4"	"4"	"2"	"1"	"1"	"5"	"248"	"0"	"248"	"0"
"537"	"4"	"223"	"115"	"30"	"198"	"15"	"11"	"1"	"5"	"1"	"1"	"9"	"386"	"0"	"386"	"0"
"538"	"5"	"224"	"122"	"8"	"163"	"6"	"2"	"2"	"0"	"0"	"1"	"1"	"305"	"0"	"305"	"0"
"539"	"6"	"225"	"44"	"6"	"225"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"276"	"0"	"276"	"0"
"540"	"Total Votes Polled"	""	"714"	"78"	"869"	"41"	"24"	"11"	"18"	"18"	"21"	"36"	"1830"	"0"	"1830"	"0"
"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"542"	""	"POSTAL"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"4"	"0"
"543"	""	"TOTAL"	"36622"	"5435"	"45699"	"2456"	"1265"	"632"	"947"	"1152"	"1082"	"1884"	"97174"	"1"	"97175"	"0"
