"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"437"	"7"	"188"	"14"	"1"	"93"	"9"	"16"	"378"	"5"	"3"	"4"	"523"	"0"	"523"	"0"
"438"	"8"	"189"	"9"	"1"	"87"	"13"	"5"	"288"	"12"	"3"	"4"	"422"	"0"	"422"	"0"
"439"	"9"	"190"	"47"	"11"	"115"	"15"	"23"	"322"	"15"	"6"	"7"	"561"	"0"	"561"	"0"
"440"	"10"	"191"	"11"	"5"	"279"	"4"	"3"	"260"	"4"	"2"	"3"	"571"	"0"	"571"	"0"
"441"	"11"	"192"	"32"	"3"	"58"	"16"	"12"	"186"	"18"	"4"	"22"	"351"	"0"	"351"	"0"
"442"	"12"	"192A"	"24"	"8"	"20"	"15"	"12"	"202"	"17"	"12"	"24"	"334"	"0"	"334"	"0"
"443"	"13"	"193"	"9"	"7"	"221"	"17"	"14"	"94"	"7"	"8"	"16"	"393"	"0"	"393"	"0"
"444"	"14"	"194"	"29"	"5"	"204"	"14"	"10"	"124"	"13"	"3"	"16"	"418"	"0"	"418"	"0"
"445"	"Total Votes Polled"	""	"423"	"85"	"2103"	"184"	"146"	"2887"	"144"	"71"	"150"	"6193"	"0"	"6193"	"241-0"
"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"448"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"452"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"456"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"457"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"459"	"1"	"194A"	"6"	"3"	"86"	"3"	"2"	"128"	"1"	"0"	"2"	"231"	"0"	"231"	"0"
"460"	"2"	"195"	"16"	"8"	"14"	"10"	"14"	"340"	"10"	"1"	"5"	"418"	"0"	"418"	"0"
"461"	"3"	"196"	"2"	"3"	"23"	"3"	"0"	"97"	"2"	"2"	"3"	"135"	"0"	"135"	"0"
"462"	"4"	"197"	"71"	"4"	"95"	"4"	"5"	"84"	"4"	"3"	"4"	"274"	"0"	"274"	"0"
"463"	"5"	"198"	"66"	"7"	"104"	"2"	"8"	"49"	"3"	"2"	"1"	"242"	"0"	"242"	"0"
"464"	"6"	"199"	"55"	"3"	"134"	"11"	"2"	"4"	"1"	"1"	"2"	"213"	"0"	"213"	"0"
"465"	"7"	"199A"	"13"	"3"	"154"	"2"	"0"	"7"	"1"	"0"	"1"	"181"	"0"	"181"	"0"
"466"	"8"	"200"	"15"	"3"	"117"	"6"	"6"	"39"	"5"	"0"	"2"	"193"	"0"	"193"	"0"
"467"	"9"	"201"	"5"	"3"	"76"	"4"	"2"	"154"	"1"	"2"	"5"	"252"	"0"	"252"	"0"
"468"	"10"	"201A"	"33"	"0"	"61"	"0"	"1"	"99"	"1"	"1"	"1"	"197"	"0"	"197"	"0"
"469"	"11"	"202"	"9"	"2"	"5"	"0"	"5"	"475"	"4"	"0"	"0"	"500"	"0"	"500"	"0"
"470"	"12"	"203"	"14"	"6"	"138"	"5"	"2"	"202"	"2"	"1"	"1"	"371"	"0"	"371"	"0"
"471"	"13"	"204"	"46"	"5"	"41"	"2"	"2"	"106"	"5"	"4"	"1"	"212"	"0"	"212"	"0"
"472"	"14"	"205"	"3"	"1"	"19"	"1"	"2"	"412"	"1"	"1"	"0"	"440"	"0"	"440"	"0"
"473"	"Total Votes Polled"	""	"354"	"51"	"1067"	"53"	"51"	"2196"	"41"	"18"	"28"	"3859"	"0"	"3859"	"241-0"
"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"475"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"476"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"477"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"478"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"479"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"480"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"481"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"482"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"483"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"484"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"485"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"486"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"487"	"1"	"206"	"5"	"1"	"9"	"0"	"3"	"302"	"1"	"1"	"0"	"322"	"0"	"322"	"0"
"488"	"2"	"206A"	"4"	"0"	"10"	"2"	"0"	"335"	"2"	"0"	"0"	"353"	"0"	"353"	"0"
"489"	"3"	"207"	"365"	"13"	"25"	"5"	"7"	"23"	"4"	"1"	"5"	"448"	"0"	"448"	"0"
"490"	"4"	"208"	"168"	"9"	"99"	"8"	"7"	"90"	"4"	"2"	"13"	"400"	"0"	"400"	"0"
"491"	"5"	"209"	"89"	"4"	"15"	"1"	"2"	"465"	"2"	"0"	"2"	"580"	"0"	"580"	"0"
"492"	"6"	"210"	"89"	"3"	"85"	"4"	"6"	"112"	"2"	"1"	"2"	"304"	"0"	"304"	"0"
"493"	"7"	"210A"	"13"	"0"	"30"	"0"	"0"	"27"	"0"	"0"	"0"	"70"	"0"	"70"	"0"
"494"	"Total Votes Polled"	""	"733"	"30"	"273"	"20"	"25"	"1354"	"15"	"5"	"22"	"2477"	"0"	"2477"	"0"
"495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	""	"POSTAL"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"497"	""	"TOTAL"	"10009"	"1432"	"26583"	"2292"	"1853"	"41859"	"1703"	"874"	"2078"	"88683"	"0"	"88683"	"0"
