"Table.No."	"Sl..No..of.Polling.Station"	"X."	"X..1"	"Number.of.Valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"TOTAL.No..of.valid.votes"	"X..19"	"X..20"	"X..21"	"No..of.rejected.votes"	"X..22"	"X..23"	"Total.no..of.votes"	"X..24"	"X..25"	"Total.No..of.tendered.votes"	"X..26"	"X..27"
"264"	"10"	"190A"	""	""	"80"	""	""	"3"	""	""	"46"	""	""	"11"	""	""	"1"	""	""	"7"	""	""	""	"148"	""	""	"0"	""	""	"148"	""	""	""	""	""
"265"	"11"	"191"	""	""	"193"	""	""	"16"	""	""	"117"	""	""	"39"	""	""	"9"	""	""	"41"	""	""	""	"415"	""	""	"0"	""	""	"415"	""	""	""	""	""
"266"	"12"	"192"	""	""	"53"	""	""	"2"	""	""	"81"	""	""	"69"	""	""	"5"	""	""	"18"	""	""	""	"228"	""	""	"0"	""	""	"228"	""	""	""	""	""
"267"	"13"	"193"	""	""	"303"	""	""	"12"	""	""	"125"	""	""	"39"	""	""	"6"	""	""	"18"	""	""	""	"503"	""	""	"0"	""	""	"503"	""	""	""	""	""
"268"	"14"	"194"	""	""	"124"	""	""	"7"	""	""	"85"	""	""	"9"	""	""	"6"	""	""	"23"	""	""	""	"254"	""	""	"0"	""	""	"254"	""	""	""	""	""
"269"	"Total"	""	""	""	"2309"	""	""	"207"	""	""	"1588"	""	""	"892"	""	""	"146"	""	""	"323"	""	""	""	"5465"	""	""	"0"	""	""	"5465"	""	""	""	""	""
"270"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"271"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"273"	"1"	"195"	""	""	"112"	""	""	"10"	""	""	"80"	""	""	"117"	""	""	"14"	""	""	"18"	""	""	"351"	""	""	""	"0"	""	""	"351"	""	""	""	""	""
"274"	"2"	"196"	""	""	"59"	""	""	"5"	""	""	"109"	""	""	"28"	""	""	"4"	""	""	"11"	""	""	"216"	""	""	""	"0"	""	""	"216"	""	""	""	""	""
"275"	"3"	"197"	""	""	"155"	""	""	"9"	""	""	"44"	""	""	"35"	""	""	"7"	""	""	"13"	""	""	"263"	""	""	""	"0"	""	""	"263"	""	""	""	""	""
"276"	"4"	"198"	""	""	"81"	""	""	"13"	""	""	"179"	""	""	"92"	""	""	"15"	""	""	"40"	""	""	"420"	""	""	""	"0"	""	""	"420"	""	""	""	""	""
"277"	"5"	"199"	""	""	"200"	""	""	"12"	""	""	"64"	""	""	"29"	""	""	"10"	""	""	"16"	""	""	"331"	""	""	""	"0"	""	""	"331"	""	""	""	""	""
"278"	"6"	"200"	""	""	"72"	""	""	"0"	""	""	"181"	""	""	"24"	""	""	"7"	""	""	"19"	""	""	"303"	""	""	""	"0"	""	""	"303"	""	""	""	""	""
"279"	"7"	"201"	""	""	"15"	""	""	"2"	""	""	"83"	""	""	"48"	""	""	"4"	""	""	"15"	""	""	"167"	""	""	""	"0"	""	""	"167"	""	""	""	""	""
"280"	"8"	"202"	""	""	"201"	""	""	"9"	""	""	"43"	""	""	"23"	""	""	"5"	""	""	"6"	""	""	"287"	""	""	""	"0"	""	""	"287"	""	""	""	""	""
"281"	"9"	"203"	""	""	"72"	""	""	"11"	""	""	"177"	""	""	"83"	""	""	"17"	""	""	"25"	""	""	"385"	""	""	""	"0"	""	""	"385"	""	""	""	""	""
"282"	"10"	"204"	""	""	"323"	""	""	"11"	""	""	"101"	""	""	"48"	""	""	"14"	""	""	"14"	""	""	"511"	""	""	""	"0"	""	""	"511"	""	""	""	""	""
"283"	"11"	"205"	""	""	"97"	""	""	"7"	""	""	"251"	""	""	"62"	""	""	"11"	""	""	"20"	""	""	"448"	""	""	""	"0"	""	""	"448"	""	""	""	""	""
"284"	"12"	"206"	""	""	"134"	""	""	"7"	""	""	"38"	""	""	"75"	""	""	"11"	""	""	"17"	""	""	"282"	""	""	""	"0"	""	""	"282"	""	""	""	""	""
"285"	"13"	"207"	""	""	"145"	""	""	"10"	""	""	"117"	""	""	"119"	""	""	"20"	""	""	"37"	""	""	"448"	""	""	""	"0"	""	""	"448"	""	""	""	""	""
"286"	"14"	"208"	""	""	"34"	""	""	"9"	""	""	"62"	""	""	"99"	""	""	"6"	""	""	"26"	""	""	"236"	""	""	""	"0"	""	""	"236"	""	""	""	""	""
"287"	"Total"	""	""	""	"1700"	""	""	"115"	""	""	"1529"	""	""	"882"	""	""	"145"	""	""	"277"	""	""	"4648"	""	""	""	"0"	""	""	"4648"	""	""	""	""	""
"288"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""
"289"	""	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""
"291"	"1"	""	"209"	""	""	"94"	""	""	"14"	""	""	"127"	""	""	"65"	""	""	"12"	""	""	"6"	""	""	""	"318"	""	""	"0"	""	""	"318"	""	""	""	""
"292"	"2"	""	"210"	""	""	"58"	""	""	"10"	""	""	"98"	""	""	"137"	""	""	"16"	""	""	"28"	""	""	""	"347"	""	""	"0"	""	""	"347"	""	""	""	""
"293"	"Total"	""	""	""	""	"152"	""	""	"24"	""	""	"225"	""	""	"202"	""	""	"28"	""	""	"34"	""	""	""	"665"	""	""	"0"	""	""	"665"	""	""	"0"	""
"294"	"Place     Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Date      22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Election to the Bihar Legislative Assembly from the 233-Imamganj(SC)  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Round No."	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered  votes"	""	""	""
"302"	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"1"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""	""
"304"	"1"	""	""	"2174"	""	""	"130"	""	""	"1511"	""	""	"485"	""	""	"109"	""	""	"195"	""	""	"4604"	""	""	""	"0"	""	""	"4604"	""	""	""	""	""	""
"305"	"2"	""	""	"1553"	""	""	"130"	""	""	"1763"	""	""	"1103"	""	""	"115"	""	""	"203"	""	""	"4867"	""	""	""	"0"	""	""	"4867"	""	""	""	""	""	""
"306"	"3"	""	""	"1661"	""	""	"151"	""	""	"1686"	""	""	"1201"	""	""	"142"	""	""	"242"	""	""	"5083"	""	""	""	"0"	""	""	"5083"	""	""	""	""	""	""
"307"	"4"	""	""	"2028"	""	""	"161"	""	""	"1520"	""	""	"700"	""	""	"96"	""	""	"165"	""	""	"4670"	""	""	""	"0"	""	""	"4670"	""	""	""	""	""	""
"308"	"5"	""	""	"2688"	""	""	"154"	""	""	"1351"	""	""	"681"	""	""	"153"	""	""	"225"	""	""	"5252"	""	""	""	"0"	""	""	"5252"	""	""	""	""	""	""
"309"	"6"	""	""	"1822"	""	""	"229"	""	""	"1748"	""	""	"838"	""	""	"131"	""	""	"291"	""	""	"5059"	""	""	""	"0"	""	""	"5059"	""	""	""	""	""	""
"310"	"7"	""	""	"2271"	""	""	"155"	""	""	"1584"	""	""	"757"	""	""	"136"	""	""	"268"	""	""	"5171"	""	""	""	"0"	""	""	"5171"	""	""	""	""	""	""
"311"	"8"	""	""	"2209"	""	""	"268"	""	""	"1346"	""	""	"789"	""	""	"178"	""	""	"310"	""	""	"5100"	""	""	""	"0"	""	""	"5100"	""	""	""	""	""	""
"312"	"9"	""	""	"1491"	""	""	"207"	""	""	"1540"	""	""	"911"	""	""	"135"	""	""	"224"	""	""	"4508"	""	""	""	"0"	""	""	"4508"	""	""	""	""	""	""
"313"	"10"	""	""	"1795"	""	""	"145"	""	""	"1110"	""	""	"599"	""	""	"127"	""	""	"171"	""	""	"3947"	""	""	""	"0"	""	""	"3947"	""	""	""	""	""	""
"314"	"11"	""	""	"2312"	""	""	"141"	""	""	"1564"	""	""	"557"	""	""	"122"	""	""	"216"	""	""	"4912"	""	""	""	"0"	""	""	"4912"	""	""	""	""	""	""
"315"	"12"	""	""	"1821"	""	""	"187"	""	""	"1285"	""	""	"471"	""	""	"105"	""	""	"166"	""	""	"4035"	""	""	""	"0"	""	""	"4035"	""	""	""	""	""	""
"316"	"13"	""	""	"1110"	""	""	"117"	""	""	"1514"	""	""	"784"	""	""	"106"	""	""	"205"	""	""	"3836"	""	""	""	"0"	""	""	"3836"	""	""	""	""	""	""
"317"	"14"	""	""	"1569"	""	""	"118"	""	""	"1159"	""	""	"818"	""	""	"96"	""	""	"180"	""	""	"3940"	""	""	""	"0"	""	""	"3940"	""	""	""	""	""	""
"318"	"15"	""	""	"2309"	""	""	"207"	""	""	"1588"	""	""	"892"	""	""	"146"	""	""	"323"	""	""	"5465"	""	""	""	"0"	""	""	"5465"	""	""	""	""	""	""
"319"	"16"	""	""	"1700"	""	""	"115"	""	""	"1529"	""	""	"882"	""	""	"145"	""	""	"277"	""	""	"4648"	""	""	""	"0"	""	""	"4648"	""	""	""	""	""	""
"320"	"17"	""	""	"152"	""	""	"24"	""	""	"225"	""	""	"202"	""	""	"28"	""	""	"34"	""	""	"665"	""	""	""	"0"	""	""	"665"	""	""	""	""	""	""
"321"	"Total no. of votes recorded at polling station"	""	""	"30665"	""	""	"2639"	""	""	"24023"	""	""	"12670"	""	""	"2070"	""	""	"3695"	""	""	"75762"	""	""	""	"0"	""	""	"75762"	""	""	""	""	""	""
"322"	"No. of vote recorded on postal ballot papers"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""
"323"	"Total vote polled"	""	""	"30665"	""	""	"2639"	""	""	"24023"	""	""	"12670"	""	""	"2070"	""	""	"3695"	""	""	"75762"	""	""	""	"0"	""	""	"75762"	""	""	""	""	""	""
"324"	"Place             Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Date              22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
