"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"119"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"121"	"62"	""	"67"	""	"53"	""	""	"15"	""	""	""	""	"26"	""	""	""	""	""	"515"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	"7"	""	""	""	"711"	""	""	""	""	""	""	"0"	""	""	""	""	""	"711"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"63"	""	"96"	""	"109"	""	""	"57"	""	""	""	""	"31"	""	""	""	""	""	"133"	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"11"	""	""	""	"461"	""	""	""	""	""	""	"0"	""	""	""	""	""	"461"	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"64"	""	"44"	""	"92"	""	""	"279"	""	""	""	""	"8"	""	""	""	""	""	"18"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"11"	""	""	""	"459"	""	""	""	""	""	""	"0"	""	""	""	""	""	"459"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"64 A"	""	"185"	""	"37"	""	""	"91"	""	""	""	""	"84"	""	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	"14"	""	""	""	"445"	""	""	""	""	""	""	"0"	""	""	""	""	""	"445"	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"65"	""	"0"	""	"0"	""	""	"3"	""	""	""	""	"53"	""	""	""	""	""	"120"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"178"	""	""	""	""	""	""	"0"	""	""	""	""	""	"178"	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"66"	""	"153"	""	"17"	""	""	"271"	""	""	""	""	"70"	""	""	""	""	""	"144"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	"11"	""	""	""	"681"	""	""	""	""	""	""	"0"	""	""	""	""	""	"681"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"67"	""	"110"	""	"83"	""	""	"67"	""	""	""	""	"22"	""	""	""	""	""	"354"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	"16"	""	""	""	"685"	""	""	""	""	""	""	"0"	""	""	""	""	""	"685"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"68"	""	"85"	""	"46"	""	""	"128"	""	""	""	""	"16"	""	""	""	""	""	"250"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	"11"	""	""	""	"578"	""	""	""	""	""	""	"0"	""	""	""	""	""	"578"	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"69"	""	"7"	""	"379"	""	""	"20"	""	""	""	""	"2"	""	""	""	""	""	"28"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	"3"	""	""	""	"454"	""	""	""	""	""	""	"0"	""	""	""	""	""	"454"	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"70"	""	"83"	""	"124"	""	""	"191"	""	""	""	""	"28"	""	""	""	""	""	"49"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	"13"	""	""	""	"517"	""	""	""	""	""	""	"0"	""	""	""	""	""	"517"	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"71"	""	"5"	""	"214"	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"40"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	""	"271"	""	""	""	""	""	""	"0"	""	""	""	""	""	"271"	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"71 A"	""	"19"	""	"137"	""	""	"29"	""	""	""	""	"4"	""	""	""	""	""	"140"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"2"	""	""	""	"344"	""	""	""	""	""	""	"0"	""	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"72"	""	"3"	""	"17"	""	""	"603"	""	""	""	""	"6"	""	""	""	""	""	"69"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	"1"	""	""	"2"	""	""	""	"714"	""	""	""	""	""	""	"0"	""	""	""	""	""	"714"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"73"	""	"40"	""	"169"	""	""	"74"	""	""	""	""	"14"	""	""	""	""	""	"68"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"1"	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"7"	""	""	"18"	""	""	""	"423"	""	""	""	""	""	""	"0"	""	""	""	""	""	"423"	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Total:-"	""	"897"	""	"1477"	""	""	"1832"	""	""	""	""	"366"	""	""	""	""	""	"1941"	""	""	""	""	""	"42"	""	""	""	""	"19"	""	""	""	"20"	""	""	""	"19"	""	""	""	"46"	""	""	""	""	"44"	""	""	""	""	"60"	""	""	""	""	"37"	""	""	"121"	""	""	""	"6921"	""	""	""	""	""	""	""	""	""	""	""	""	"6921"	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Round  No.07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"143"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"145"	"74"	""	"46"	""	"6"	""	""	"225"	""	""	""	""	"15"	""	""	""	""	""	"126"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"429"	""	""	""	""	""	""	"0"	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"75"	""	"85"	""	"136"	""	""	"123"	""	""	""	""	"74"	""	""	""	""	""	"157"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	"2"	""	""	""	"590"	""	""	""	""	""	""	"0"	""	""	""	""	""	"590"	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"76"	""	"16"	""	"189"	""	""	"72"	""	""	""	""	"19"	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"10"	""	""	""	""	"10"	""	""	"16"	""	""	""	"356"	""	""	""	""	""	""	"0"	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"77"	""	"41"	""	"77"	""	""	"28"	""	""	""	""	"25"	""	""	""	""	""	"314"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	"2"	""	""	""	"500"	""	""	""	""	""	""	"0"	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"78"	""	"67"	""	"26"	""	""	"59"	""	""	""	""	"4"	""	""	""	""	""	"91"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"14"	""	""	""	""	"5"	""	""	"31"	""	""	""	"309"	""	""	""	""	""	""	"0"	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"79"	""	"22"	""	"5"	""	""	"152"	""	""	""	""	"4"	""	""	""	""	""	"272"	""	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	"12"	""	""	""	"492"	""	""	""	""	""	""	"0"	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"80"	""	"4"	""	"2"	""	""	"160"	""	""	""	""	"11"	""	""	""	""	""	"267"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"7"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	"8"	""	""	""	"478"	""	""	""	""	""	""	"0"	""	""	""	""	""	"478"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"81"	""	"33"	""	"195"	""	""	"55"	""	""	""	""	"55"	""	""	""	""	""	"118"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	"8"	""	""	""	"487"	""	""	""	""	""	""	"0"	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"82"	""	"12"	""	"178"	""	""	"219"	""	""	""	""	"15"	""	""	""	""	""	"98"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	"26"	""	""	""	"575"	""	""	""	""	""	""	"0"	""	""	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"83"	""	"99"	""	"39"	""	""	"263"	""	""	""	""	"4"	""	""	""	""	""	"231"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	"10"	""	""	""	"676"	""	""	""	""	""	""	"0"	""	""	""	""	""	"676"	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"84"	""	"20"	""	"113"	""	""	"148"	""	""	""	""	"6"	""	""	""	""	""	"171"	""	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"2"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	"30"	""	""	""	"521"	""	""	""	""	""	""	"0"	""	""	""	""	""	"521"	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"85"	""	"33"	""	"95"	""	""	"68"	""	""	""	""	"9"	""	""	""	""	""	"107"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"3"	""	""	""	"326"	""	""	""	""	""	""	"0"	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"85A"	""	"34"	""	"137"	""	""	"22"	""	""	""	""	"2"	""	""	""	""	""	"144"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	"15"	""	""	""	"371"	""	""	""	""	""	""	"0"	""	""	""	""	""	"371"	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"86"	""	"109"	""	"25"	""	""	"101"	""	""	""	""	"64"	""	""	""	""	""	"202"	""	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"3"	""	""	""	"10"	""	""	""	""	"10"	""	""	""	""	"13"	""	""	""	""	"8"	""	""	"25"	""	""	""	"588"	""	""	""	""	""	""	"0"	""	""	""	""	""	"588"	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Total:-"	""	"621"	""	"1223"	""	""	"1695"	""	""	""	""	"307"	""	""	""	""	""	"2306"	""	""	""	""	""	"51"	""	""	""	""	"32"	""	""	""	"18"	""	""	""	"26"	""	""	""	"66"	""	""	""	""	"34"	""	""	""	""	"78"	""	""	""	""	"52"	""	""	"189"	""	""	""	"6698"	""	""	""	""	""	""	""	""	""	""	""	""	"6698"	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""
"163"	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""
"165"	"87"	"9"	""	"196"	""	""	"297"	""	""	""	""	"8"	""	""	""	""	"19"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"4"	""	""	"69"	""	""	""	""	"623"	""	""	""	""	""	"0"	""	""	""	""	""	""	"623"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"88"	"60"	""	"119"	""	""	"141"	""	""	""	""	"8"	""	""	""	""	"59"	""	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"2"	""	""	"14"	""	""	""	""	"425"	""	""	""	""	""	"0"	""	""	""	""	""	""	"425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"89"	"46"	""	"6"	""	""	"81"	""	""	""	""	"23"	""	""	""	""	"325"	""	""	""	""	""	"12"	""	""	""	""	"9"	""	""	""	"7"	""	""	""	"9"	""	""	""	"1"	""	""	""	"9"	""	""	""	""	"9"	""	""	""	"3"	""	""	"9"	""	""	""	""	"549"	""	""	""	""	""	"0"	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"90"	"169"	""	"23"	""	""	"156"	""	""	""	""	"34"	""	""	""	""	"163"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"4"	""	""	""	"5"	""	""	""	"9"	""	""	""	""	"13"	""	""	""	"3"	""	""	"21"	""	""	""	""	"614"	""	""	""	""	""	"0"	""	""	""	""	""	""	"614"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"91"	"71"	""	"43"	""	""	"90"	""	""	""	""	"17"	""	""	""	""	"373"	""	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"16"	""	""	""	"3"	""	""	"14"	""	""	""	""	"662"	""	""	""	""	""	"0"	""	""	""	""	""	""	"662"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"92"	"28"	""	"141"	""	""	"11"	""	""	""	""	"2"	""	""	""	""	"162"	""	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"4"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"4"	""	""	"17"	""	""	""	""	"399"	""	""	""	""	""	"0"	""	""	""	""	""	""	"399"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"93"	"32"	""	"2"	""	""	"7"	""	""	""	""	"21"	""	""	""	""	"299"	""	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	""	"7"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	"7"	""	""	""	""	"396"	""	""	""	""	""	"0"	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"94"	"14"	""	"80"	""	""	"127"	""	""	""	""	"6"	""	""	""	""	"88"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"2"	""	""	"3"	""	""	""	""	"325"	""	""	""	""	""	"0"	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"94A"	"39"	""	"71"	""	""	"264"	""	""	""	""	"47"	""	""	""	""	"45"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"4"	""	""	"17"	""	""	""	""	"505"	""	""	""	""	""	"0"	""	""	""	""	""	""	"505"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"95"	"14"	""	"66"	""	""	"476"	""	""	""	""	"9"	""	""	""	""	"141"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"2"	""	""	""	"6"	""	""	""	"6"	""	""	""	""	"22"	""	""	""	"6"	""	""	"21"	""	""	""	""	"777"	""	""	""	""	""	"0"	""	""	""	""	""	""	"777"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"96"	"159"	""	"77"	""	""	"79"	""	""	""	""	"10"	""	""	""	""	"244"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"7"	""	""	""	"6"	""	""	""	"6"	""	""	""	""	"10"	""	""	""	"2"	""	""	"19"	""	""	""	""	"627"	""	""	""	""	""	"0"	""	""	""	""	""	""	"627"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"97"	"214"	""	"133"	""	""	"45"	""	""	""	""	"32"	""	""	""	""	"215"	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"2"	""	""	"5"	""	""	""	""	"663"	""	""	""	""	""	"0"	""	""	""	""	""	""	"663"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"98"	"29"	""	"176"	""	""	"127"	""	""	""	""	"13"	""	""	""	""	"193"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"0"	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"9"	""	""	"17"	""	""	""	""	"588"	""	""	""	""	""	"0"	""	""	""	""	""	""	"588"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"99"	"22"	""	"50"	""	""	"88"	""	""	""	""	"33"	""	""	""	""	"136"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	"8"	""	""	""	""	"358"	""	""	""	""	""	"0"	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
