"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"Total.No..of.tendered.votes"
"386"	"213"	"8"	"6"	"109"	"218"	"41"	"5"	"2"	"4"	"5"	"1"	"8"	"407"	"0"	"407"	"0"
"387"	"214"	"10"	"0"	"86"	"300"	"10"	"5"	"2"	"5"	"0"	"2"	"8"	"428"	"0"	"428"	"0"
"388"	"215"	"4"	"5"	"181"	"195"	"49"	"1"	"3"	"0"	"1"	"2"	"6"	"447"	"0"	"447"	"0"
"389"	"216"	"2"	"6"	"172"	"159"	"64"	"2"	"2"	"2"	"4"	"2"	"7"	"422"	"0"	"422"	"0"
"390"	"217"	"8"	"7"	"225"	"115"	"56"	"5"	"3"	"12"	"9"	"4"	"5"	"449"	"0"	"449"	"0"
"391"	"218"	"1"	"7"	"147"	"255"	"16"	"3"	"0"	"1"	"5"	"1"	"2"	"438"	"0"	"438"	"0"
"392"	"219"	"3"	"3"	"108"	"78"	"9"	"1"	"1"	"4"	"6"	"4"	"5"	"222"	"0"	"222"	"0"
"393"	"220"	"158"	"3"	"143"	"7"	"0"	"2"	"3"	"0"	"3"	"1"	"3"	"323"	"0"	"323"	"0"
"394"	"Total :"	"273"	"70"	"1935"	"3237"	"375"	"39"	"29"	"59"	"51"	"25"	"108"	"6201"	"0"	"6201"	"0"
"395"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"399"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"400"	"220A"	"14"	"1"	"144"	"33"	"2"	"0"	"1"	"0"	"1"	"0"	"4"	"200"	"0"	"200"	"0"
"401"	"221"	"55"	"1"	"295"	"21"	"2"	"1"	"2"	"1"	"2"	"1"	"7"	"388"	"0"	"388"	"0"
"402"	"222"	"2"	"2"	"191"	"93"	"4"	"2"	"1"	"1"	"0"	"0"	"2"	"298"	"0"	"298"	"0"
"403"	"223"	"36"	"2"	"64"	"103"	"2"	"1"	"3"	"3"	"0"	"2"	"4"	"220"	"0"	"220"	"0"
"404"	"224"	"299"	"20"	"324"	"59"	"3"	"7"	"6"	"4"	"6"	"8"	"28"	"764"	"0"	"764"	"0"
"405"	"225"	"27"	"2"	"168"	"64"	"1"	"1"	"1"	"2"	"4"	"0"	"4"	"274"	"0"	"274"	"0"
"406"	"225A"	"18"	"2"	"81"	"142"	"11"	"2"	"7"	"3"	"8"	"3"	"14"	"291"	"0"	"291"	"0"
"407"	"226"	"11"	"3"	"232"	"29"	"6"	"6"	"1"	"6"	"6"	"1"	"20"	"321"	"0"	"321"	"0"
"408"	"227"	"72"	"3"	"91"	"10"	"0"	"0"	"6"	"0"	"1"	"1"	"3"	"187"	"0"	"187"	"0"
"409"	"Total :"	"534"	"36"	"1590"	"554"	"31"	"20"	"28"	"20"	"28"	"16"	"86"	"2943"	"0"	"2943"	"0"
"410"	"Total Votes at P.S."	"2628"	"841"	"70148"	"34178"	"5677"	"524"	"431"	"759"	"818"	"608"	"1607"	"118219"	"0"	"118219"	"0"
"411"	"Total Postal Votes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"412"	"Total Votes Polled"	"2628"	"841"	"70148"	"34178"	"5677"	"524"	"431"	"759"	"818"	"608"	"1607"	"118219"	"0"	"118219"	""
"413"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
