"No..and.Name.of.Assembly.Constituency...........48..Jandaha"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"361"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"362"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"363"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"364"	"189"	"514"	""	"378"	""	"16"	""	"76"	""	"6"	""	"5"	""	"4"	""	"29"	"514"	"0"	"514"	"0"
"365"	"190"	"401"	""	"238"	""	"7"	""	"109"	""	"7"	""	"5"	""	"4"	""	"31"	"401"	"0"	"401"	"0"
"366"	"191"	"492"	""	"196"	""	"42"	""	"193"	""	"15"	""	"8"	""	"6"	""	"32"	"492"	"0"	"492"	"0"
"367"	"192"	"384"	""	"76"	""	"34"	""	"248"	""	"16"	""	"5"	""	"3"	""	"2"	"384"	"0"	"384"	"0"
"368"	"192K"	"328"	""	"70"	""	"23"	""	"203"	""	"15"	""	"7"	""	"2"	""	"8"	"328"	"0"	"328"	"0"
"369"	"193"	"513"	""	"185"	""	"119"	""	"141"	""	"20"	""	"11"	""	"12"	""	"25"	"513"	"0"	"513"	"0"
"370"	"194"	"401"	""	"288"	""	"27"	""	"48"	""	"6"	""	"2"	""	"8"	""	"22"	"401"	"0"	"401"	"0"
"371"	"194K"	"343"	""	"215"	""	"27"	""	"53"	""	"25"	""	"3"	""	"6"	""	"14"	"343"	"0"	"343"	"0"
"372"	"195"	"595"	""	"59"	""	"17"	""	"467"	""	"14"	""	"15"	""	"10"	""	"13"	"595"	"0"	"595"	"0"
"373"	"196"	"407"	""	"170"	""	"12"	""	"187"	""	"12"	""	"8"	""	"4"	""	"14"	"407"	"0"	"407"	"0"
"374"	"197"	"524"	""	"215"	""	"55"	""	"201"	""	"10"	""	"15"	""	"6"	""	"22"	"524"	"0"	"524"	"0"
"375"	"198"	"623"	""	"516"	""	"30"	""	"61"	""	"2"	""	"1"	""	"3"	""	"10"	"623"	"0"	"623"	"0"
"376"	"199"	"341"	""	"144"	""	"89"	""	"93"	""	"7"	""	"3"	""	"1"	""	"4"	"341"	"0"	"341"	"0"
"377"	"199K"	"562"	""	"234"	""	"58"	""	"211"	""	"12"	""	"9"	""	"6"	""	"32"	"562"	"0"	"562"	"0"
"378"	"Grand Total"	"6428"	""	"2984"	""	"556"	""	"2291"	""	"167"	""	"97"	""	"75"	""	"258"	"6428"	"0"	"6428"	"0"
"379"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"380"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"381"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"382"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"383"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"384"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"385"	"200"	"292"	""	"184"	""	"22"	""	"55"	""	"2"	""	"4"	""	"5"	""	"20"	"292"	"0"	"292"	"0"
"386"	"200K"	"302"	""	"160"	""	"28"	""	"83"	""	"4"	""	"6"	""	"5"	""	"16"	"302"	"0"	"302"	"0"
"387"	"201"	"450"	""	"157"	""	"66"	""	"193"	""	"5"	""	"7"	""	"5"	""	"17"	"450"	"0"	"450"	"0"
"388"	"202"	"685"	""	"320"	""	"196"	""	"136"	""	"10"	""	"7"	""	"9"	""	"7"	"685"	"0"	"685"	"0"
"389"	"203"	"255"	""	"88"	""	"35"	""	"121"	""	"3"	""	"3"	""	"1"	""	"4"	"255"	"0"	"255"	"0"
"390"	"204"	"362"	""	"65"	""	"19"	""	"245"	""	"9"	""	"3"	""	"3"	""	"18"	"362"	"0"	"362"	"0"
"391"	"205"	"635"	""	"208"	""	"43"	""	"324"	""	"14"	""	"7"	""	"8"	""	"31"	"635"	"0"	"635"	"0"
"392"	"206"	"683"	""	"260"	""	"129"	""	"234"	""	"15"	""	"13"	""	"7"	""	"25"	"683"	"0"	"683"	"0"
"393"	"207"	"545"	""	"85"	""	"93"	""	"318"	""	"18"	""	"15"	""	"6"	""	"10"	"545"	"0"	"545"	"0"
"394"	"Grand Total"	"4209"	""	"1527"	""	"631"	""	"1709"	""	"80"	""	"65"	""	"49"	""	"148"	"4209"	"0"	"4209"	"0"
"395"	"Total No. of Votes recorded of polling stations"	""	""	"37972"	""	"15052"	""	"34205"	""	"2520"	""	"1986"	""	"1613"	""	"4302"	"97650"	"0"	"97650"	"0"
"396"	"No. of Votes Recorded on Postal Ballot Papers (To be filled in the case of election from assembly constituency)"	""	""	"1"	""	"0"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	"1"	"4"	"0"
"397"	"Total Votes Polled"	""	""	"37973"	""	"15052"	""	"34207"	""	"2520"	""	"1986"	""	"1613"	""	"4302"	"97653"	"1"	"97654"	"0"
"398"	"Place :- Hajipur Date :-  22.11.05"	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"399"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"48- Jandaha Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""	""	""	""
