"No..and.Name.of.Assembly.Constituency.44..Sonepur.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"144"	"94"	"34"	""	"13"	""	""	"279"	""	""	""	"79"	""	""	""	""	""	""	"18"	""	""	""	""	""	"21"	""	""	""	""	""	"25"	""	""	""	""	"32"	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"95"	"17"	""	"8"	""	""	"407"	""	""	""	"56"	""	""	""	""	""	""	"17"	""	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	"27"	""	""	""	"547"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"96"	"8"	""	"3"	""	""	"291"	""	""	""	"58"	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"371"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"97"	"95"	""	"4"	""	""	"205"	""	""	""	"77"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"98"	"12"	""	"4"	""	""	"295"	""	""	""	"18"	""	""	""	""	""	""	"6"	""	""	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"98A"	"18"	""	"2"	""	""	"167"	""	""	""	"44"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	"12"	""	""	""	"254"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"99"	"7"	""	"2"	""	""	"104"	""	""	""	"214"	""	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"343"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Total"	"302"	""	"65"	""	""	"3080"	""	""	""	"1336"	""	""	""	""	""	""	"125"	""	""	""	""	""	"90"	""	""	""	""	""	"79"	""	""	""	""	"148"	""	""	""	"5225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	""	"Ramanuj Prasad"	""	""	""	""	""	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	"Bishwanandan Das"	""	""	""	""	""	""	""	""	""	"Harendra Ram"	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""
"155"	"1"	"2"	""	"3"	""	""	""	"4"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"100"	"16"	""	"0"	""	""	""	"33"	""	""	""	""	""	""	""	""	"252"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"101"	"51"	""	"13"	""	""	""	"337"	""	""	""	""	""	""	""	""	"100"	""	""	""	""	""	"8"	""	""	""	""	""	"11"	""	""	""	""	"9"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"102"	"73"	""	"16"	""	""	""	"330"	""	""	""	""	""	""	""	""	"40"	""	""	""	""	""	"12"	""	""	""	""	""	"3"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"103"	"6"	""	"11"	""	""	""	"523"	""	""	""	""	""	""	""	""	"23"	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"579"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"104"	"5"	""	"3"	""	""	""	"547"	""	""	""	""	""	""	""	""	"26"	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"590"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"105"	"4"	""	"2"	""	""	""	"357"	""	""	""	""	""	""	""	""	"22"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"106"	"13"	""	"4"	""	""	""	"544"	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"632"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"107"	"7"	""	"2"	""	""	""	"379"	""	""	""	""	""	""	""	""	"28"	""	""	""	""	""	"3"	""	""	""	""	""	"11"	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"441"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"108"	"49"	""	"8"	""	""	""	"226"	""	""	""	""	""	""	""	""	"124"	""	""	""	""	""	"9"	""	""	""	""	""	"13"	""	""	""	""	"16"	""	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"109"	"12"	""	"2"	""	""	""	"220"	""	""	""	""	""	""	""	""	"127"	""	""	""	""	""	"3"	""	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"109A"	"17"	""	"9"	""	""	""	"203"	""	""	""	""	""	""	""	""	"242"	""	""	""	""	""	"11"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"110"	"64"	""	"6"	""	""	""	"36"	""	""	""	""	""	""	""	""	"404"	""	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"536"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"111"	"30"	""	"6"	""	""	""	"71"	""	""	""	""	""	""	""	""	"301"	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"111A"	"22"	""	"1"	""	""	""	"24"	""	""	""	""	""	""	""	""	"313"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Total"	"369"	""	"83"	""	""	""	"3830"	""	""	""	""	""	""	""	""	"2027"	""	""	""	""	""	"91"	""	""	""	""	""	"84"	""	""	""	""	"79"	""	""	""	""	""	""	""	""	""	"86"	""	""	""	""	""	""	"6649"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanuj Prasad"	""	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	""	""	"Bishwanandan Das"	""	""	""	""	""	""	""	""	""	"Harendra Ram"	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""
"174"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"112"	"7"	""	"2"	""	""	"146"	""	""	""	""	"183"	""	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"112A"	"9"	""	"1"	""	""	"169"	""	""	""	""	"106"	""	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"113"	"32"	""	"1"	""	""	"22"	""	""	""	""	"370"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"435"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"113A"	"19"	""	"4"	""	""	"43"	""	""	""	""	"274"	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"114"	"31"	""	"3"	""	""	"59"	""	""	""	""	"140"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"114A"	"64"	""	"3"	""	""	"111"	""	""	""	""	"220"	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"115"	"20"	""	"10"	""	""	"288"	""	""	""	""	"248"	""	""	""	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"593"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"116"	"35"	""	"7"	""	""	"171"	""	""	""	""	"181"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"404"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"117"	"130"	""	"24"	""	""	"172"	""	""	""	""	"223"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"118"	"5"	""	"1"	""	""	"21"	""	""	""	""	"367"	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"118A"	"7"	""	"1"	""	""	"166"	""	""	""	""	"186"	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"119"	"171"	""	"12"	""	""	"156"	""	""	""	""	"225"	""	""	""	""	""	""	"15"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"607"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"120"	"23"	""	"11"	""	""	"149"	""	""	""	""	"116"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"120A"	"60"	""	"7"	""	""	"245"	""	""	""	""	"171"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Total"	"613"	""	"87"	""	""	"1918"	""	""	""	""	"3010"	""	""	""	""	""	""	"67"	""	""	""	""	""	"32"	""	""	""	""	""	""	""	"66"	""	""	""	""	""	""	""	""	""	"75"	""	""	""	""	""	""	"5868"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwan andan Das"	""	""	""	""	"Harendr a Ram"	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"121"	"14"	""	"3"	""	""	"66"	""	""	""	"448"	""	""	""	""	""	""	"10"	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"561"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"122"	"20"	""	"6"	""	""	"237"	""	""	""	"263"	""	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"548"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"123"	"22"	""	"7"	""	""	"143"	""	""	""	"242"	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"124"	"8"	""	"7"	""	""	"327"	""	""	""	"156"	""	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"125"	"21"	""	"5"	""	""	"296"	""	""	""	"259"	""	""	""	""	""	""	"16"	""	""	""	""	""	"11"	""	""	""	""	""	"8"	""	""	""	""	"8"	""	""	""	"624"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"126"	"35"	""	"12"	""	""	"289"	""	""	""	"235"	""	""	""	""	""	""	"18"	""	""	""	""	""	"9"	""	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	"613"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"127"	"9"	""	"6"	""	""	"236"	""	""	""	"223"	""	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"128"	"24"	""	"10"	""	""	"128"	""	""	""	"491"	""	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	"686"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"129"	"7"	""	"2"	""	""	"339"	""	""	""	"440"	""	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"801"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"130"	"14"	""	"12"	""	""	"233"	""	""	""	"153"	""	""	""	""	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"130A"	"5"	""	"0"	""	""	"96"	""	""	""	"219"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"131"	"12"	""	"4"	""	""	"319"	""	""	""	"215"	""	""	""	""	""	""	"14"	""	""	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	"8"	""	""	""	"586"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"132"	"39"	""	"13"	""	""	"342"	""	""	""	"259"	""	""	""	""	""	""	"17"	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"689"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"133"	"25"	""	"4"	""	""	"229"	""	""	""	"435"	""	""	""	""	""	""	"13"	""	""	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	"15"	""	""	""	"735"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Total"	"255"	""	"91"	""	""	"3280"	""	""	""	"4038"	""	""	""	""	""	""	"139"	""	""	""	""	""	"86"	""	""	""	""	""	"53"	""	""	""	""	"104"	""	""	""	"8046"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwanandan Das"	""	""	""	""	""	""	"Harendr a Ram"	""	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"134"	"17"	""	"5"	""	""	"182"	""	""	""	"355"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"567"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"135"	"28"	""	"4"	""	""	"279"	""	""	""	"272"	""	""	""	""	""	""	"14"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"641"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"136"	"7"	""	"5"	""	""	"168"	""	""	""	"381"	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"574"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"137"	"11"	""	"3"	""	""	"407"	""	""	""	"118"	""	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
