"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"287"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"297"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"1"	"113"	"4"	"4"	"121"	"215"	"5"	"1"	"0"	"5"	"0"	"1"	"3"	"3"	"0"	"1"	"0"	"43"	"3"	"5"	"3"	"417"	"0"	"417"	"0"
"300"	"2"	"113A"	"10"	"5"	"219"	"137"	"6"	"9"	"2"	"1"	"1"	"3"	"2"	"1"	"2"	"4"	"1"	"77"	"1"	"2"	"4"	"487"	"0"	"487"	"0"
"301"	"3"	"114"	"23"	"8"	"158"	"104"	"6"	"2"	"2"	"1"	"1"	"2"	"0"	"1"	"1"	"6"	"5"	"65"	"3"	"2"	"6"	"396"	"0"	"396"	"0"
"302"	"4"	"114A"	"4"	"2"	"125"	"73"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"20"	"0"	"0"	"11"	"240"	"0"	"240"	"0"
"303"	"5"	"115"	"14"	"6"	"229"	"14"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"4"	"1"	"98"	"3"	"0"	"0"	"378"	"0"	"378"	"0"
"304"	"6"	"116"	"13"	"5"	"214"	"89"	"4"	"3"	"2"	"0"	"4"	"1"	"3"	"7"	"14"	"18"	"10"	"107"	"2"	"2"	"9"	"507"	"0"	"507"	"0"
"305"	"7"	"117"	"11"	"2"	"147"	"79"	"11"	"7"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"4"	"0"	"50"	"2"	"5"	"3"	"326"	"0"	"326"	"0"
"306"	"8"	"118"	"8"	"5"	"223"	"15"	"1"	"4"	"2"	"0"	"0"	"0"	"2"	"4"	"4"	"19"	"5"	"145"	"4"	"2"	"5"	"448"	"0"	"448"	"0"
"307"	"9"	"119"	"31"	"5"	"166"	"15"	"2"	"11"	"2"	"1"	"2"	"3"	"3"	"4"	"8"	"12"	"5"	"131"	"6"	"3"	"4"	"414"	"0"	"414"	"0"
"308"	"10"	"120"	"39"	"4"	"55"	"3"	"0"	"5"	"2"	"1"	"1"	"5"	"6"	"5"	"11"	"10"	"8"	"192"	"8"	"4"	"13"	"372"	"0"	"372"	"0"
"309"	"11"	"121"	"165"	"7"	"7"	"6"	"2"	"3"	"0"	"1"	"0"	"5"	"3"	"5"	"65"	"146"	"13"	"18"	"1"	"1"	"3"	"451"	"0"	"451"	"0"
"310"	"12"	"121A"	"16"	"4"	"106"	"7"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"66"	"0"	"0"	"7"	"216"	"0"	"216"	"0"
"311"	"13"	"122"	"43"	"4"	"52"	"37"	"1"	"3"	"0"	"1"	"1"	"0"	"3"	"2"	"0"	"2"	"3"	"128"	"7"	"4"	"5"	"296"	"0"	"296"	"0"
"312"	"14"	"122A"	"19"	"2"	"71"	"67"	"2"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"3"	"3"	"2"	"40"	"2"	"0"	"3"	"219"	"0"	"219"	"0"
"313"	"Total Votes Polled"	""	"400"	"63"	"1893"	"861"	"44"	"54"	"14"	"13"	"12"	"23"	"25"	"38"	"114"	"230"	"55"	"1180"	"42"	"30"	"76"	"5167"	"0"	"5167"	"0"
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"329"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"1"	"123"	"32"	"0"	"33"	"3"	"2"	"0"	"2"	"0"	"0"	"3"	"1"	"3"	"7"	"2"	"3"	"188"	"0"	"0"	"2"	"281"	"0"	"281"	"0"
"332"	"2"	"123A"	"18"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"105"	"1"	"0"	"0"	"138"	"0"	"138"	"0"
"333"	"3"	"124"	"41"	"1"	"39"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"99"	"1"	"0"	"0"	"190"	"0"	"190"	"0"
"334"	"4"	"124A"	"40"	"0"	"32"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"5"	"3"	"3"	"1"	"179"	"0"	"0"	"1"	"270"	"0"	"270"	"0"
"335"	"5"	"125"	"12"	"3"	"106"	"90"	"1"	"3"	"2"	"2"	"1"	"1"	"0"	"2"	"2"	"3"	"2"	"36"	"0"	"1"	"0"	"267"	"0"	"267"	"0"
"336"	"6"	"125A"	"12"	"5"	"140"	"143"	"1"	"4"	"2"	"2"	"1"	"1"	"7"	"4"	"2"	"4"	"5"	"117"	"3"	"2"	"3"	"458"	"0"	"458"	"0"
"337"	"7"	"126"	"26"	"0"	"119"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"110"	"2"	"0"	"1"	"265"	"0"	"265"	"0"
"338"	"8"	"127"	"2"	"1"	"29"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"10"	"352"	"1"	"0"	"1"	"401"	"0"	"401"	"0"
"339"	"9"	"127A"	"2"	"1"	"19"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"355"	"0"	"0"	"0"	"381"	"0"	"381"	"0"
"340"	"10"	"128"	"9"	"1"	"103"	"35"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"6"	"83"	"0"	"1"	"0"	"244"	"0"	"244"	"0"
"341"	"11"	"129"	"18"	"5"	"186"	"33"	"6"	"9"	"4"	"3"	"1"	"2"	"2"	"4"	"2"	"10"	"6"	"93"	"5"	"5"	"11"	"405"	"0"	"405"	"0"
"342"	"12"	"129A"	"6"	"1"	"97"	"36"	"1"	"2"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"118"	"1"	"1"	"1"	"276"	"0"	"276"	"0"
"343"	"13"	"130"	"3"	"5"	"178"	"15"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"98"	"0"	"0"	"2"	"308"	"0"	"308"	"0"
"344"	"14"	"131"	"3"	"0"	"91"	"212"	"3"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"65"	"1"	"0"	"3"	"387"	"0"	"387"	"0"
"345"	"Total Votes Polled"	""	"224"	"24"	"1180"	"572"	"18"	"31"	"17"	"10"	"5"	"11"	"15"	"24"	"20"	"31"	"41"	"1998"	"15"	"10"	"25"	"4271"	"0"	"4271"	"0"
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"361"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"1"	"132"	"9"	"8"	"70"	"191"	"3"	"3"	"2"	"1"	"0"	"3"	"2"	"1"	"2"	"5"	"1"	"68"	"5"	"1"	"3"	"378"	"0"	"378"	"0"
"364"	"2"	"133"	"12"	"4"	"250"	"14"	"2"	"3"	"1"	"1"	"0"	"1"	"3"	"2"	"6"	"13"	"7"	"228"	"1"	"1"	"5"	"554"	"0"	"554"	"0"
"365"	"3"	"134"	"49"	"10"	"192"	"16"	"4"	"8"	"2"	"0"	"3"	"0"	"0"	"1"	"1"	"7"	"3"	"107"	"11"	"2"	"5"	"421"	"0"	"421"	"0"
"366"	"4"	"135"	"26"	"6"	"42"	"7"	"3"	"3"	"4"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"13"	"170"	"12"	"4"	"11"	"308"	"0"	"308"	"0"
"367"	"5"	"135A"	"10"	"5"	"110"	"10"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"1"	"89"	"1"	"1"	"7"	"242"	"0"	"242"	"0"
"368"	"6"	"136"	"43"	"7"	"122"	"8"	"1"	"5"	"2"	"2"	"2"	"1"	"2"	"2"	"5"	"5"	"5"	"207"	"9"	"7"	"8"	"443"	"0"	"443"	"0"
"369"	"7"	"137"	"8"	"2"	"109"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"2"	"119"	"2"	"2"	"3"	"257"	"0"	"257"	"0"
"370"	"8"	"138"	"12"	"3"	"128"	"15"	"6"	"2"	"0"	"1"	"4"	"1"	"3"	"1"	"2"	"14"	"3"	"105"	"9"	"5"	"7"	"321"	"0"	"321"	"0"
"371"	"9"	"139"	"14"	"3"	"131"	"77"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"55"	"1"	"0"	"3"	"291"	"0"	"291"	"0"
"372"	"10"	"140"	"8"	"2"	"68"	"197"	"3"	"0"	"0"	"1"	"0"	"1"	"3"	"2"	"1"	"3"	"2"	"12"	"1"	"2"	"7"	"313"	"0"	"313"	"0"
"373"	"11"	"141"	"14"	"5"	"58"	"241"	"8"	"1"	"2"	"2"	"1"	"1"	"2"	"6"	"4"	"1"	"1"	"89"	"0"	"0"	"0"	"436"	"0"	"436"	"0"
"374"	"12"	"142"	"26"	"9"	"215"	"37"	"4"	"23"	"5"	"3"	"3"	"0"	"3"	"5"	"7"	"12"	"11"	"65"	"6"	"1"	"3"	"438"	"0"	"438"	"0"
"375"	"13"	"143"	"18"	"31"	"184"	"68"	"5"	"8"	"2"	"1"	"1"	"0"	"0"	"3"	"2"	"2"	"4"	"69"	"5"	"8"	"5"	"416"	"0"	"416"	"0"
"376"	"14"	"144"	"19"	"2"	"36"	"23"	"3"	"3"	"3"	"3"	"1"	"3"	"4"	"10"	"7"	"5"	"5"	"303"	"0"	"1"	"1"	"432"	"0"	"432"	"0"
"377"	"Total Votes Polled"	""	"268"	"97"	"1715"	"905"	"43"	"65"	"24"	"15"	"18"	"14"	"22"	"37"	"43"	"74"	"58"	"1686"	"63"	"35"	"68"	"5250"	"0"	"5250"	"0"
"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"393"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"1"	"145"	"19"	"5"	"131"	"17"	"3"	"2"	"0"	"2"	"3"	"1"	"0"	"4"	"7"	"4"	"6"	"123"	"2"	"3"	"13"	"345"	"0"	"345"	"0"
"396"	"2"	"146"	"21"	"3"	"120"	"77"	"1"	"3"	"4"	"0"	"1"	"0"	"1"	"2"	"6"	"5"	"5"	"156"	"3"	"1"	"2"	"411"	"0"	"411"	"0"
"397"	"3"	"147"	"21"	"2"	"73"	"46"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"154"	"2"	"4"	"2"	"318"	"0"	"318"	"0"
"398"	"4"	"148"	"10"	"0"	"129"	"107"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"2"	"63"	"1"	"0"	"1"	"320"	"0"	"320"	"0"
"399"	"5"	"149"	"6"	"1"	"42"	"169"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"86"	"2"	"0"	"6"	"318"	"0"	"318"	"0"
"400"	"6"	"150"	"6"	"2"	"115"	"149"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"48"	"0"	"1"	"0"	"330"	"0"	"330"	"0"
"401"	"7"	"151"	"8"	"0"	"56"	"115"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"136"	"1"	"0"	"1"	"320"	"0"	"320"	"0"
"402"	"8"	"151A"	"0"	"0"	"26"	"123"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"0"	"0"	"0"	"184"	"0"	"184"	"0"
"403"	"9"	"152"	"2"	"0"	"9"	"305"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"322"	"0"	"322"	"0"
"404"	"10"	"153"	"10"	"2"	"35"	"439"	"3"	"2"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"24"	"1"	"0"	"2"	"525"	"0"	"525"	"0"
"405"	"11"	"154"	"9"	"3"	"108"	"421"	"2"	"1"	"0"	"2"	"1"	"0"	"2"	"2"	"3"	"3"	"2"	"125"	"0"	"0"	"3"	"687"	"0"	"687"	"0"
"406"	"12"	"155"	"6"	"0"	"100"	"334"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"81"	"0"	"1"	"2"	"528"	"0"	"528"	"0"
"407"	"13"	"156"	"5"	"1"	"78"	"367"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"3"	"1"	"58"	"0"	"0"	"0"	"520"	"0"	"520"	"0"
"408"	"14"	"157"	"21"	"3"	"106"	"206"	"4"	"5"	"1"	"0"	"0"	"2"	"1"	"4"	"1"	"1"	"1"	"96"	"2"	"1"	"5"	"460"	"0"	"460"	"0"
"409"	"Total Votes Polled"	""	"144"	"22"	"1128"	"2875"	"23"	"20"	"7"	"9"	"8"	"8"	"7"	"20"	"23"	"20"	"24"	"1188"	"14"	"11"	"37"	"5588"	"0"	"5588"	"0"
"410"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"425"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"426"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"1"	"158"	"11"	"1"	"97"	"194"	"2"	"3"	"3"	"2"	"0"	"1"	"0"	"1"	"4"	"4"	"6"	"102"	"1"	"1"	"5"	"438"	"0"	"438"	"0"
"428"	"2"	"159"	"27"	"1"	"63"	"12"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"122"	"0"	"1"	"4"	"236"	"0"	"236"	"0"
"429"	"3"	"160"	"35"	"3"	"142"	"4"	"2"	"7"	"4"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	"158"	"3"	"3"	"15"	"385"	"0"	"385"	"0"
