"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 234-Gurua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	""	""	"ANWAR ALI KHAN"	""	"BIRBHADRA YASHRAJ"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	""	"16"	""	""	""	""	""
"166"	"1"	"91"	""	""	"17"	""	""	"79"	""	"85"	""	""	"9"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"197"	""	""	""	"0"	""	""	""	"197"	""	""	""	""	""	""	""	""	""
"167"	"2"	"92"	""	""	"74"	""	""	"168"	""	"62"	""	""	"21"	""	""	""	"5"	""	""	""	"2"	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"6"	""	""	""	"341"	""	""	""	"0"	""	""	""	"341"	""	""	""	""	""	""	""	""	""
"168"	"3"	"93"	""	""	"62"	""	""	"30"	""	"83"	""	""	"5"	""	""	""	"4"	""	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"194"	""	""	""	"0"	""	""	""	"194"	""	""	""	""	""	""	""	""	""
"169"	"4"	"94"	""	""	"119"	""	""	"231"	""	"61"	""	""	"22"	""	""	""	"3"	""	""	""	"4"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"449"	""	""	""	"0"	""	""	""	"449"	""	""	""	""	""	""	""	""	""
"170"	"5"	"95"	""	""	"103"	""	""	"95"	""	"30"	""	""	"16"	""	""	""	"1"	""	""	""	"17"	""	""	"2"	""	""	"6"	""	""	""	"6"	""	""	""	"26"	""	""	""	"302"	""	""	""	"0"	""	""	""	"302"	""	""	""	""	""	""	""	""	""
"171"	"6"	"96"	""	""	"68"	""	""	"95"	""	"34"	""	""	"30"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"6"	""	""	""	"239"	""	""	""	"0"	""	""	""	"239"	""	""	""	""	""	""	""	""	""
"172"	"7"	"96A"	""	""	"145"	""	""	"131"	""	"85"	""	""	"15"	""	""	""	"2"	""	""	""	"5"	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	""	"11"	""	""	""	"399"	""	""	""	"0"	""	""	""	"399"	""	""	""	""	""	""	""	""	""
"173"	"8"	"97"	""	""	"135"	""	""	"117"	""	"283"	""	""	"17"	""	""	""	"5"	""	""	""	"11"	""	""	"5"	""	""	"5"	""	""	""	"3"	""	""	""	"10"	""	""	""	"591"	""	""	""	"0"	""	""	""	"591"	""	""	""	""	""	""	""	""	""
"174"	"9"	"98"	""	""	"110"	""	""	"10"	""	"183"	""	""	"20"	""	""	""	"7"	""	""	""	"7"	""	""	"4"	""	""	"8"	""	""	""	"4"	""	""	""	"17"	""	""	""	"370"	""	""	""	"0"	""	""	""	"370"	""	""	""	""	""	""	""	""	""
"175"	"10"	"99"	""	""	"76"	""	""	"109"	""	"88"	""	""	"46"	""	""	""	"5"	""	""	""	"13"	""	""	"1"	""	""	"1"	""	""	""	"5"	""	""	""	"7"	""	""	""	"351"	""	""	""	"0"	""	""	""	"351"	""	""	""	""	""	""	""	""	""
"176"	"11"	"100"	""	""	"119"	""	""	"170"	""	"50"	""	""	"10"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"352"	""	""	""	"0"	""	""	""	"352"	""	""	""	""	""	""	""	""	""
"177"	"12"	"101"	""	""	"29"	""	""	"248"	""	"14"	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	"303"	""	""	""	"0"	""	""	""	"303"	""	""	""	""	""	""	""	""	""
"178"	"13"	"102"	""	""	"104"	""	""	"57"	""	"26"	""	""	"58"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	""	"253"	""	""	""	"0"	""	""	""	"253"	""	""	""	""	""	""	""	""	""
"179"	"14"	"103"	""	""	"50"	""	""	"7"	""	"65"	""	""	"8"	""	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"139"	""	""	""	"0"	""	""	""	"139"	""	""	""	""	""	""	""	""	""
"180"	"Total"	""	""	""	"1211"	""	""	"1547"	""	"1149"	""	""	"279"	""	""	""	"39"	""	""	""	"71"	""	""	"23"	""	""	"27"	""	""	""	"35"	""	""	""	"99"	""	""	""	"4480"	""	""	""	"0"	""	""	""	"4480"	""	""	""	""	""	""	""	""	""
"181"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"185"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	"16"	""	""	""	""	""	""
"187"	"1"	"104"	""	""	"41"	""	""	"101"	""	"115"	""	""	"18"	""	""	""	"5"	""	""	""	"4"	""	""	"1"	""	""	"5"	""	""	""	"3"	""	""	"12"	""	""	""	"305"	""	""	""	""	"0"	""	""	""	"305"	""	""	""	""	""	""	""	""	""
"188"	"2"	"105"	""	""	"49"	""	""	"257"	""	"41"	""	""	"15"	""	""	""	"4"	""	""	""	"5"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	"8"	""	""	""	"385"	""	""	""	""	"0"	""	""	""	"385"	""	""	""	""	""	""	""	""	""
"189"	"3"	"106"	""	""	"200"	""	""	"243"	""	"57"	""	""	"25"	""	""	""	"2"	""	""	""	"7"	""	""	"0"	""	""	"3"	""	""	""	"2"	""	""	"9"	""	""	""	"548"	""	""	""	""	"0"	""	""	""	"548"	""	""	""	""	""	""	""	""	""
"190"	"4"	"107"	""	""	"132"	""	""	"140"	""	"61"	""	""	"28"	""	""	""	"4"	""	""	""	"5"	""	""	"2"	""	""	"2"	""	""	""	"3"	""	""	"12"	""	""	""	"389"	""	""	""	""	"0"	""	""	""	"389"	""	""	""	""	""	""	""	""	""
"191"	"5"	"108"	""	""	"297"	""	""	"50"	""	"84"	""	""	"11"	""	""	""	"3"	""	""	""	"5"	""	""	"7"	""	""	"2"	""	""	""	"4"	""	""	"32"	""	""	""	"495"	""	""	""	""	"0"	""	""	""	"495"	""	""	""	""	""	""	""	""	""
"192"	"6"	"109"	""	""	"74"	""	""	"144"	""	"100"	""	""	"2"	""	""	""	"2"	""	""	""	"4"	""	""	"2"	""	""	"0"	""	""	""	"4"	""	""	"9"	""	""	""	"341"	""	""	""	""	"0"	""	""	""	"341"	""	""	""	""	""	""	""	""	""
"193"	"7"	"110"	""	""	"221"	""	""	"30"	""	"117"	""	""	"34"	""	""	""	"2"	""	""	""	"4"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	"4"	""	""	""	"415"	""	""	""	""	"0"	""	""	""	"415"	""	""	""	""	""	""	""	""	""
"194"	"8"	"111"	""	""	"54"	""	""	"230"	""	"58"	""	""	"31"	""	""	""	"3"	""	""	""	"8"	""	""	"0"	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	""	"393"	""	""	""	""	"0"	""	""	""	"393"	""	""	""	""	""	""	""	""	""
"195"	"9"	"112"	""	""	"154"	""	""	"306"	""	"38"	""	""	"4"	""	""	""	"3"	""	""	""	"7"	""	""	"2"	""	""	"4"	""	""	""	"6"	""	""	"8"	""	""	""	"532"	""	""	""	""	"0"	""	""	""	"532"	""	""	""	""	""	""	""	""	""
"196"	"10"	"113"	""	""	"58"	""	""	"516"	""	"103"	""	""	"9"	""	""	""	"5"	""	""	""	"7"	""	""	"5"	""	""	"2"	""	""	""	"10"	""	""	"15"	""	""	""	"730"	""	""	""	""	"0"	""	""	""	"730"	""	""	""	""	""	""	""	""	""
"197"	"11"	"114"	""	""	"233"	""	""	"31"	""	"206"	""	""	"17"	""	""	""	"8"	""	""	""	"16"	""	""	"8"	""	""	"8"	""	""	""	"12"	""	""	"24"	""	""	""	"563"	""	""	""	""	"0"	""	""	""	"563"	""	""	""	""	""	""	""	""	""
"198"	"12"	"115"	""	""	"29"	""	""	"58"	""	"142"	""	""	"16"	""	""	""	"2"	""	""	""	"7"	""	""	"6"	""	""	"1"	""	""	""	"4"	""	""	"12"	""	""	""	"277"	""	""	""	""	"0"	""	""	""	"277"	""	""	""	""	""	""	""	""	""
"199"	"13"	"116"	""	""	"62"	""	""	"162"	""	"239"	""	""	"18"	""	""	""	"6"	""	""	""	"12"	""	""	"1"	""	""	"6"	""	""	""	"7"	""	""	"14"	""	""	""	"527"	""	""	""	""	"0"	""	""	""	"527"	""	""	""	""	""	""	""	""	""
"200"	"14"	"117"	""	""	"31"	""	""	"83"	""	"126"	""	""	"3"	""	""	""	"5"	""	""	""	"1"	""	""	"2"	""	""	"4"	""	""	""	"0"	""	""	"2"	""	""	""	"257"	""	""	""	""	"0"	""	""	""	"257"	""	""	""	""	""	""	""	""	""
"201"	"Total"	""	""	""	"1635"	""	""	"2351"	""	"1487"	""	""	"231"	""	""	""	"54"	""	""	""	"92"	""	""	"37"	""	""	"43"	""	""	""	"64"	""	""	"163"	""	""	""	"6157"	""	""	""	""	"0"	""	""	""	"6157"	""	""	""	""	""	""	""	""	""
"202"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"206"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	"16"	""	""	""	""	""	""
"208"	"1"	"118"	""	""	"59"	""	""	"68"	""	"131"	""	""	"12"	""	""	""	"5"	""	""	""	"5"	""	""	"0"	""	""	"4"	""	""	""	"1"	""	""	"3"	""	""	""	"288"	""	""	""	""	"0"	""	""	""	"288"	""	""	""	""	""	""	""	""	""
"209"	"2"	"119"	""	""	"52"	""	""	"71"	""	"39"	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"7"	""	""	""	"175"	""	""	""	""	"0"	""	""	""	"175"	""	""	""	""	""	""	""	""	""
"210"	"3"	"120"	""	""	"73"	""	""	"130"	""	"154"	""	""	"43"	""	""	""	"5"	""	""	""	"8"	""	""	"3"	""	""	"6"	""	""	""	"7"	""	""	"16"	""	""	""	"445"	""	""	""	""	"0"	""	""	""	"445"	""	""	""	""	""	""	""	""	""
"211"	"4"	"121"	""	""	"118"	""	""	"53"	""	"93"	""	""	"33"	""	""	""	"5"	""	""	""	"9"	""	""	"2"	""	""	"2"	""	""	""	"5"	""	""	"9"	""	""	""	"329"	""	""	""	""	"0"	""	""	""	"329"	""	""	""	""	""	""	""	""	""
"212"	"5"	"122"	""	""	"30"	""	""	"118"	""	"37"	""	""	"4"	""	""	""	"2"	""	""	""	"3"	""	""	"0"	""	""	"2"	""	""	""	"6"	""	""	"15"	""	""	""	"217"	""	""	""	""	"0"	""	""	""	"217"	""	""	""	""	""	""	""	""	""
"213"	"6"	"123"	""	""	"151"	""	""	"159"	""	"27"	""	""	"33"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	"8"	""	""	""	"383"	""	""	""	""	"0"	""	""	""	"383"	""	""	""	""	""	""	""	""	""
"214"	"7"	"124"	""	""	"77"	""	""	"51"	""	"205"	""	""	"69"	""	""	""	"6"	""	""	""	"6"	""	""	"9"	""	""	"6"	""	""	""	"7"	""	""	"16"	""	""	""	"452"	""	""	""	""	"0"	""	""	""	"452"	""	""	""	""	""	""	""	""	""
"215"	"8"	"125"	""	""	"113"	""	""	"37"	""	"218"	""	""	"35"	""	""	""	"4"	""	""	""	"8"	""	""	"0"	""	""	"5"	""	""	""	"0"	""	""	"10"	""	""	""	"430"	""	""	""	""	"0"	""	""	""	"430"	""	""	""	""	""	""	""	""	""
"216"	"9"	"126"	""	""	"125"	""	""	"100"	""	"157"	""	""	"21"	""	""	""	"3"	""	""	""	"8"	""	""	"5"	""	""	"6"	""	""	""	"8"	""	""	"7"	""	""	""	"440"	""	""	""	""	"0"	""	""	""	"440"	""	""	""	""	""	""	""	""	""
"217"	"10"	"127"	""	""	"144"	""	""	"81"	""	"87"	""	""	"2"	""	""	""	"3"	""	""	""	"7"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"4"	""	""	""	"329"	""	""	""	""	"0"	""	""	""	"329"	""	""	""	""	""	""	""	""	""
"218"	"11"	"128"	""	""	"115"	""	""	"64"	""	"107"	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	"0"	""	""	"5"	""	""	""	"6"	""	""	"13"	""	""	""	"320"	""	""	""	""	"0"	""	""	""	"320"	""	""	""	""	""	""	""	""	""
"219"	"12"	"129"	""	""	"65"	""	""	"119"	""	"83"	""	""	"21"	""	""	""	"7"	""	""	""	"9"	""	""	"3"	""	""	"3"	""	""	""	"6"	""	""	"14"	""	""	""	"330"	""	""	""	""	"0"	""	""	""	"330"	""	""	""	""	""	""	""	""	""
"220"	"13"	"130"	""	""	"89"	""	""	"12"	""	"74"	""	""	"19"	""	""	""	"4"	""	""	""	"5"	""	""	"2"	""	""	"5"	""	""	""	"2"	""	""	"7"	""	""	""	"219"	""	""	""	""	"0"	""	""	""	"219"	""	""	""	""	""	""	""	""	""
"221"	"14"	"131"	""	""	"108"	""	""	"38"	""	"95"	""	""	"39"	""	""	""	"9"	""	""	""	"7"	""	""	"3"	""	""	"1"	""	""	""	"3"	""	""	"7"	""	""	""	"310"	""	""	""	""	"0"	""	""	""	"310"	""	""	""	""	""	""	""	""	""
"222"	"Total"	""	""	""	"1319"	""	""	"1101"	""	"1507"	""	""	"336"	""	""	""	"56"	""	""	""	"83"	""	""	"28"	""	""	"48"	""	""	""	"53"	""	""	"136"	""	""	""	"4667"	""	""	""	""	"0"	""	""	""	"4667"	""	""	""	""	""	""	""	""	""
"223"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"227"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	"16"	""	""	""	""	""	""
"229"	"1"	"132"	""	""	"173"	""	""	"22"	""	"139"	""	""	"8"	""	""	""	"3"	""	""	""	"2"	""	""	"2"	""	""	"4"	""	""	""	"1"	""	""	"2"	""	""	""	"356"	""	""	""	""	"0"	""	""	""	"356"	""	""	""	""	""	""	""	""	""
"230"	"2"	"133"	""	""	"52"	""	""	"62"	""	"76"	""	""	"6"	""	""	""	"4"	""	""	""	"2"	""	""	"1"	""	""	"4"	""	""	""	"3"	""	""	"8"	""	""	""	"218"	""	""	""	""	"0"	""	""	""	"218"	""	""	""	""	""	""	""	""	""
"231"	"3"	"134"	""	""	"87"	""	""	"13"	""	"216"	""	""	"78"	""	""	""	"6"	""	""	""	"6"	""	""	"8"	""	""	"6"	""	""	""	"2"	""	""	"12"	""	""	""	"434"	""	""	""	""	"0"	""	""	""	"434"	""	""	""	""	""	""	""	""	""
"232"	"4"	"135"	""	""	"78"	""	""	"11"	""	"114"	""	""	"16"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"4"	""	""	"8"	""	""	""	"234"	""	""	""	""	"0"	""	""	""	"234"	""	""	""	""	""	""	""	""	""
"233"	"5"	"136"	""	""	"96"	""	""	"20"	""	"79"	""	""	"19"	""	""	""	"4"	""	""	""	"4"	""	""	"5"	""	""	"6"	""	""	""	"1"	""	""	"12"	""	""	""	"246"	""	""	""	""	"0"	""	""	""	"246"	""	""	""	""	""	""	""	""	""
"234"	"6"	"137"	""	""	"119"	""	""	"15"	""	"165"	""	""	"12"	""	""	""	"1"	""	""	""	"11"	""	""	"4"	""	""	"7"	""	""	""	"12"	""	""	"18"	""	""	""	"364"	""	""	""	""	"0"	""	""	""	"364"	""	""	""	""	""	""	""	""	""
"235"	"7"	"138"	""	""	"78"	""	""	"66"	""	"130"	""	""	"11"	""	""	""	"3"	""	""	""	"5"	""	""	"2"	""	""	"5"	""	""	""	"12"	""	""	"17"	""	""	""	"329"	""	""	""	""	"0"	""	""	""	"329"	""	""	""	""	""	""	""	""	""
"236"	"8"	"139"	""	""	"62"	""	""	"238"	""	"24"	""	""	"12"	""	""	""	"1"	""	""	""	"6"	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	""	"348"	""	""	""	""	"0"	""	""	""	"348"	""	""	""	""	""	""	""	""	""
"237"	"9"	"140"	""	""	"100"	""	""	"13"	""	"149"	""	""	"22"	""	""	""	"8"	""	""	""	"13"	""	""	"2"	""	""	"5"	""	""	""	"5"	""	""	"15"	""	""	""	"332"	""	""	""	""	"0"	""	""	""	"332"	""	""	""	""	""	""	""	""	""
"238"	"10"	"141"	""	""	"165"	""	""	"75"	""	"119"	""	""	"26"	""	""	""	"3"	""	""	""	"8"	""	""	"0"	""	""	"6"	""	""	""	"6"	""	""	"10"	""	""	""	"418"	""	""	""	""	"0"	""	""	""	"418"	""	""	""	""	""	""	""	""	""
"239"	"11"	"142"	""	""	"102"	""	""	"54"	""	"104"	""	""	"17"	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	"0"	""	""	""	"6"	""	""	"14"	""	""	""	"304"	""	""	""	""	"0"	""	""	""	"304"	""	""	""	""	""	""	""	""	""
"240"	"12"	"143"	""	""	"145"	""	""	"31"	""	"123"	""	""	"11"	""	""	""	"2"	""	""	""	"5"	""	""	"4"	""	""	"1"	""	""	""	"0"	""	""	"9"	""	""	""	"331"	""	""	""	""	"0"	""	""	""	"331"	""	""	""	""	""	""	""	""	""
"241"	"13"	"144"	""	""	"84"	""	""	"151"	""	"90"	""	""	"24"	""	""	""	"3"	""	""	""	"5"	""	""	"3"	""	""	"4"	""	""	""	"7"	""	""	"22"	""	""	""	"393"	""	""	""	""	"0"	""	""	""	"393"	""	""	""	""	""	""	""	""	""
"242"	"14"	"145"	""	""	"73"	""	""	"113"	""	"161"	""	""	"87"	""	""	""	"8"	""	""	""	"9"	""	""	"6"	""	""	"9"	""	""	""	"7"	""	""	"32"	""	""	""	"505"	""	""	""	""	"0"	""	""	""	"505"	""	""	""	""	""	""	""	""	""
"243"	"Total"	""	""	""	"1414"	""	""	"884"	""	"1689"	""	""	"349"	""	""	""	"50"	""	""	""	"79"	""	""	"41"	""	""	"58"	""	""	""	"67"	""	""	"181"	""	""	""	"4812"	""	""	""	""	"0"	""	""	""	"4812"	""	""	""	""	""	""	""	""	""
"244"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
