"Polling.Station.No"	"Total.No.of.Electors.at.the.polling.Station"	"Votes.polled.candidate.in.desending.order"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Vote.polled"	"X..Vote.Polled"	"Nature.of.booth.hyper.sensitive.s.ensitive"	"Type.of.force.CPMF.CR.PF.CISF.B.SF.SAP.D.AP.HG"	"Strength.of.force..1.4...2.8."	"Repoll.if.any.reasons"	"X..of.votes.polled.on.repoll"
"298"	"129"	"410"	"84"	"24.63"	"223"	"65.4"	"22"	"6.45"	"4"	"1.17"	"8"	"2.35"	"341"	"83.17"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"299"	"130"	"717"	"244"	"59.51"	"91"	"22.2"	"62"	"15.12"	"4"	"0.98"	"9"	"2.2"	"410"	"57.18"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"300"	"131"	"1121"	"329"	"51.09"	"260"	"40.37"	"31"	"4.81"	"5"	"0.78"	"19"	"2.95"	"644"	"57.45"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"301"	"132"	"795"	"30"	"7.13"	"335"	"79.57"	"52"	"12.35"	"3"	"0.71"	"1"	"0.24"	"421"	"52.96"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"302"	"133"	"693"	"110"	"25.88"	"131"	"30.82"	"138"	"32.47"	"9"	"2.12"	"37"	"8.71"	"425"	"61.33"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"303"	"134"	"1296"	"272"	"42.3"	"186"	"28.93"	"12"	"1.87"	"165"	"25.66"	"8"	"1.24"	"643"	"49.61"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"304"	"135"	"1184"	"331"	"45.22"	"316"	"43.17"	"66"	"9.02"	"9"	"1.23"	"10"	"1.37"	"732"	"61.82"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"305"	";ksx"	"12758"	"2715"	"37.71"	"3192"	"44.33"	"782"	"10.86"	"279"	"3.88"	"232"	"3.22"	"7200"	"56.44"	""	""	""	""	""
"306"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"309"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"310"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"311"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"312"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"313"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"314"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"315"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"316"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"317"	"136"	"754"	"95"	"20.39"	"303"	"65.02"	"37"	"7.94"	"6"	"1.29"	"25"	"5.36"	"466"	"61.8"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"318"	"137"	"1342"	"216"	"28.72"	"389"	"51.73"	"105"	"13.96"	"25"	"3.32"	"17"	"2.26"	"752"	"56.04"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"319"	"138"	"799"	"137"	"27.73"	"213"	"43.12"	"94"	"19.03"	"14"	"2.83"	"36"	"7.29"	"494"	"61.83"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"320"	"138d"	"649"	"75"	"16.56"	"176"	"38.85"	"195"	"43.05"	"2"	"0.44"	"5"	"1.1"	"453"	"69.8"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"321"	"139"	"979"	"105"	"19.27"	"372"	"68.26"	"23"	"4.22"	"4"	"0.73"	"41"	"7.52"	"545"	"55.67"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"322"	"140"	"868"	"226"	"44.66"	"175"	"34.58"	"52"	"10.28"	"33"	"6.52"	"20"	"3.95"	"506"	"58.29"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"323"	"141"	"915"	"310"	"60.9"	"135"	"26.52"	"46"	"9.04"	"6"	"1.18"	"12"	"2.36"	"509"	"55.63"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"324"	"142"	"926"	"151"	"34.32"	"156"	"35.45"	"89"	"20.23"	"15"	"3.41"	"29"	"6.59"	"440"	"47.52"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"325"	"143"	"1284"	"455"	"60.03"	"206"	"27.18"	"46"	"6.07"	"18"	"2.37"	"33"	"4.35"	"758"	"59.03"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"326"	"144"	"896"	"308"	"63.9"	"59"	"12.24"	"62"	"12.86"	"16"	"3.32"	"37"	"7.68"	"482"	"53.79"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"327"	"145"	"936"	"400"	"76.34"	"64"	"12.21"	"27"	"5.15"	"22"	"4.2"	"11"	"2.1"	"524"	"55.98"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"328"	"146"	"1118"	"162"	"32.86"	"211"	"42.8"	"87"	"17.65"	"7"	"1.42"	"26"	"5.27"	"493"	"44.1"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"329"	"147"	"1074"	"113"	"23.89"	"216"	"45.67"	"94"	"19.87"	"15"	"3.17"	"35"	"7.4"	"473"	"44.04"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"330"	"148"	"1024"	"238"	"38.64"	"312"	"50.65"	"35"	"5.68"	"22"	"3.57"	"9"	"1.46"	"616"	"60.16"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"331"	";ksx"	"13564"	"2991"	"39.82"	"2987"	"39.77"	"992"	"13.21"	"205"	"2.73"	"336"	"4.47"	"7511"	"55.37"	""	""	""	""	""
"332"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"335"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"336"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"337"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"338"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"339"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"340"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"341"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"342"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"343"	"149"	"715"	"105"	"26.52"	"247"	"62.37"	"22"	"5.56"	"4"	"1.01"	"18"	"4.55"	"396"	"55.38"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"344"	"149d"	"779"	"127"	"26.46"	"312"	"65"	"19"	"3.96"	"9"	"1.88"	"13"	"2.71"	"480"	"61.62"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"345"	"150"	"87"	"5"	"62.5"	"1"	"12.5"	"2"	"25"	"0"	"0"	"0"	"0"	"8"	"9.195"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"346"	"151"	"1286"	"148"	"21.2"	"369"	"52.87"	"154"	"22.06"	"13"	"1.86"	"14"	"2.01"	"698"	"54.28"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"347"	"152"	"353"	"39"	"17.89"	"167"	"76.61"	"8"	"3.67"	"1"	"0.46"	"3"	"1.38"	"218"	"61.76"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"348"	"153"	"984"	"301"	"49.75"	"180"	"29.75"	"75"	"12.4"	"19"	"3.14"	"30"	"4.96"	"605"	"61.48"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"349"	"154"	"782"	"220"	"41.12"	"179"	"33.46"	"103"	"19.25"	"15"	"2.8"	"18"	"3.36"	"535"	"68.41"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"350"	"155"	"1270"	"224"	"35.67"	"222"	"35.35"	"127"	"20.22"	"15"	"2.39"	"40"	"6.37"	"628"	"49.45"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"351"	"156"	"689"	"88"	"27.85"	"41"	"12.97"	"158"	"50"	"11"	"3.48"	"18"	"5.7"	"316"	"45.86"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"352"	"156d"	"719"	"210"	"59.83"	"24"	"6.84"	"66"	"18.8"	"38"	"10.83"	"13"	"3.7"	"351"	"48.82"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"353"	"157"	"1285"	"341"	"51.82"	"76"	"11.55"	"198"	"30.09"	"14"	"2.13"	"29"	"4.41"	"658"	"51.21"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"354"	"158"	"848"	"194"	"63.82"	"51"	"16.78"	"44"	"14.47"	"3"	"0.99"	"12"	"3.95"	"304"	"35.85"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"355"	"159"	"1006"	"243"	"67.69"	"51"	"14.21"	"49"	"13.65"	"7"	"1.95"	"9"	"2.51"	"359"	"35.69"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"356"	"160"	"1260"	"308"	"58"	"73"	"13.75"	"124"	"23.35"	"13"	"2.45"	"13"	"2.45"	"531"	"42.14"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"357"	";ksx"	"12063"	"2553"	"41.94"	"1993"	"32.74"	"1149"	"18.88"	"162"	"2.66"	"230"	"3.78"	"6087"	"50.46"	""	""	""	""	""
"358"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"361"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"362"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"363"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"364"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"365"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"366"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"367"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"368"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"369"	"161"	"745"	"111"	"31.01"	"33"	"9.22"	"186"	"51.96"	"7"	"1.96"	"21"	"5.87"	"358"	"48.05"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"370"	"162"	"1048"	"226"	"52.31"	"60"	"13.89"	"100"	"23.15"	"31"	"7.18"	"15"	"3.47"	"432"	"41.22"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"371"	"163"	"1155"	"117"	"20.86"	"345"	"61.5"	"47"	"8.38"	"18"	"3.21"	"34"	"6.06"	"561"	"48.57"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"372"	"164"	"725"	"351"	"83.77"	"12"	"2.86"	"19"	"4.53"	"14"	"3.34"	"23"	"5.49"	"419"	"57.79"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"373"	"165"	"982"	"274"	"55.13"	"118"	"23.74"	"36"	"7.24"	"21"	"4.23"	"48"	"9.66"	"497"	"50.61"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"374"	"166"	"994"	"342"	"63.33"	"78"	"14.44"	"67"	"12.41"	"27"	"5"	"26"	"4.81"	"540"	"54.33"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"375"	"167"	"1173"	"128"	"24.85"	"327"	"63.5"	"40"	"7.77"	"8"	"1.55"	"12"	"2.33"	"515"	"43.9"	"Hyper sensitive"	"BMP"	"Ful Sec."	""	""
"376"	"168"	"1037"	"172"	"35.1"	"302"	"61.63"	"6"	"1.22"	"4"	"0.82"	"6"	"1.22"	"490"	"47.25"	"Hyper sensitive"	"BMP"	"Ful Sec."	""	""
"377"	"169"	"759"	"302"	"70.07"	"90"	"20.88"	"16"	"3.71"	"9"	"2.09"	"14"	"3.25"	"431"	"56.79"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"378"	"170"	"1290"	"277"	"47.51"	"269"	"46.14"	"16"	"2.74"	"5"	"0.86"	"16"	"2.74"	"583"	"45.19"	"Hyper sensitive"	"BMP"	"Ful Sec."	""	""
"379"	"171"	"994"	"191"	"42.44"	"181"	"40.22"	"37"	"8.22"	"18"	"4"	"23"	"5.11"	"450"	"45.27"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"380"	"172"	"1231"	"426"	"67.73"	"147"	"23.37"	"12"	"1.91"	"18"	"2.86"	"26"	"4.13"	"629"	"51.1"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"381"	"173"	"1366"	"475"	"69.75"	"105"	"15.42"	"54"	"7.93"	"18"	"2.64"	"29"	"4.26"	"681"	"49.85"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"382"	"174"	"1222"	"462"	"66.47"	"121"	"17.41"	"63"	"9.06"	"21"	"3.02"	"28"	"4.03"	"695"	"56.87"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"383"	";ksx"	"14721"	"3854"	"52.93"	"2188"	"30.05"	"699"	"9.6"	"219"	"3.01"	"321"	"4.41"	"7281"	"49.46"	""	""	""	""	""
"384"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"387"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"388"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"389"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"390"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"391"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"392"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"393"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"394"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"395"	"175"	"1163"	"221"	"40.04"	"246"	"44.57"	"45"	"8.15"	"10"	"1.81"	"30"	"5.43"	"552"	"47.46"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"396"	"176"	"498"	"197"	"62.54"	"51"	"16.19"	"28"	"8.89"	"16"	"5.08"	"23"	"7.3"	"315"	"63.25"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"397"	"177"	"1274"	"363"	"55.76"	"187"	"28.73"	"49"	"7.53"	"26"	"3.99"	"26"	"3.99"	"651"	"51.1"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"398"	"178"	"1352"	"170"	"29.21"	"277"	"47.59"	"94"	"16.15"	"18"	"3.09"	"23"	"3.95"	"582"	"43.05"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"399"	"179"	"1211"	"242"	"44.16"	"90"	"16.42"	"180"	"32.85"	"6"	"1.09"	"30"	"5.47"	"548"	"45.25"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"400"	"180"	"853"	"97"	"23.32"	"259"	"62.26"	"36"	"8.65"	"11"	"2.64"	"13"	"3.13"	"416"	"48.77"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"401"	"181"	"325"	"47"	"60.26"	"13"	"16.67"	"10"	"12.82"	"3"	"3.85"	"5"	"6.41"	"78"	"24"	"Hyper sensitive"	"CPMF."	"2_8"	""	""
"402"	"182"	"624"	"12"	"50"	"7"	"29.17"	"4"	"16.67"	"0"	"0"	"1"	"4.17"	"24"	"3.846"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"403"	"183"	"586"	"33"	"73.33"	"9"	"20"	"0"	"0"	"1"	"2.22"	"2"	"4.44"	"45"	"7.679"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"404"	"184"	"1273"	"82"	"19.57"	"239"	"57.04"	"33"	"7.88"	"11"	"2.63"	"54"	"12.89"	"419"	"32.91"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"405"	"185"	"633"	"62"	"26.27"	"146"	"61.86"	"8"	"3.39"	"11"	"4.66"	"9"	"3.81"	"236"	"37.28"	"Hyper sensitive"	"CPMF."	"2_8"	""	""
"406"	"186"	"620"	"7"	"9.46"	"64"	"86.49"	"2"	"2.7"	"0"	"0"	"1"	"1.35"	"74"	"11.94"	"Hyper sensitive"	"CPMF."	"2_8"	""	""
"407"	"187"	"1282"	"257"	"40.73"	"246"	"38.99"	"79"	"12.52"	"23"	"3.65"	"26"	"4.12"	"631"	"49.22"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"408"	"188"	"1068"	"283"	"51.08"	"143"	"25.81"	"73"	"13.18"	"15"	"2.71"	"40"	"7.22"	"554"	"51.87"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"409"	";ksx"	"12762"	"2073"	"40.45"	"1977"	"38.58"	"641"	"12.51"	"151"	"2.95"	"283"	"5.52"	"5125"	"40.16"	""	""	""	""	""
"410"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"413"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"414"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"415"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"416"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"417"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"418"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"419"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"420"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"421"	"189"	"1089"	"320"	"53.78"	"210"	"35.29"	"21"	"3.53"	"19"	"3.19"	"25"	"4.2"	"595"	"54.64"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"422"	"190"	"768"	"199"	"54.37"	"120"	"32.79"	"23"	"6.28"	"8"	"2.19"	"16"	"4.37"	"366"	"47.66"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"423"	"191"	"1137"	"224"	"46.28"	"186"	"38.43"	"27"	"5.58"	"11"	"2.27"	"36"	"7.44"	"484"	"42.57"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"424"	"192"	"928"	"186"	"44.6"	"195"	"46.76"	"10"	"2.4"	"15"	"3.6"	"11"	"2.64"	"417"	"44.94"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"425"	"193"	"1309"	"425"	"79.59"	"79"	"14.79"	"9"	"1.69"	"10"	"1.87"	"11"	"2.06"	"534"	"40.79"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"426"	"194"	"1362"	"350"	"61.08"	"111"	"19.37"	"105"	"18.32"	"0"	"0"	"7"	"1.22"	"573"	"42.07"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"427"	"195"	"732"	"44"	"13.88"	"238"	"75.08"	"17"	"5.36"	"6"	"1.89"	"12"	"3.79"	"317"	"43.31"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"428"	"195d"	"873"	"123"	"33.33"	"163"	"44.17"	"50"	"13.55"	"12"	"3.25"	"21"	"5.69"	"369"	"42.27"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"429"	"196"	"985"	"142"	"31.98"	"231"	"52.03"	"37"	"8.33"	"17"	"3.83"	"17"	"3.83"	"444"	"45.08"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"430"	"197"	"1079"	"121"	"25.53"	"267"	"56.33"	"37"	"7.81"	"20"	"4.22"	"29"	"6.12"	"474"	"43.93"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"431"	"198"	"1052"	"200"	"35.09"	"281"	"49.3"	"39"	"6.84"	"17"	"2.98"	"33"	"5.79"	"570"	"54.18"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"432"	"198d"	"363"	"70"	"60.34"	"25"	"21.55"	"13"	"11.21"	"3"	"2.59"	"5"	"4.31"	"116"	"31.96"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"433"	"199"	"965"	"194"	"52.29"	"90"	"24.26"	"38"	"10.24"	"31"	"8.36"	"18"	"4.85"	"371"	"38.45"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"434"	"200"	"543"	"125"	"45.29"	"100"	"36.23"	"28"	"10.14"	"12"	"4.35"	"11"	"3.99"	"276"	"50.83"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"435"	";ksx"	"13185"	"2723"	"46.11"	"2296"	"38.88"	"454"	"7.69"	"181"	"3.06"	"252"	"4.27"	"5906"	"44.79"	""	""	""	""	""
"436"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"438"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"439"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"440"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"441"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"442"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"443"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"444"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"445"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"446"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"447"	"201"	"1204"	"114"	"22.22"	"229"	"44.64"	"80"	"15.59"	"44"	"8.58"	"46"	"8.97"	"513"	"42.61"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"448"	"202"	"1065"	"89"	"18.54"	"203"	"42.29"	"143"	"29.79"	"4"	"0.83"	"41"	"8.54"	"480"	"45.07"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
