"X..FORM.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"
"276"	"151"	""	"195"	""	"6"	""	"87"	""	"10"	""	"1"	""	"0"	""	"2"	""	"3"	""	""	""	"304"	""	""	""	""	"304"	""	""	""	""	""	""	""
"277"	"151A"	""	"93"	""	"1"	""	"47"	""	"5"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	""	"146"	""	""	""	""	"146"	""	""	""	""	""	""	""
"278"	"152"	""	"153"	""	"3"	""	"73"	""	"20"	""	"1"	""	"3"	""	"1"	""	"1"	""	""	""	"255"	""	""	""	""	"255"	""	""	""	""	""	""	""
"279"	"152A"	""	"122"	""	"2"	""	"61"	""	"15"	""	"0"	""	"3"	""	"3"	""	"1"	""	""	""	"207"	""	""	""	""	"207"	""	""	""	""	""	""	""
"280"	"153"	""	"315"	""	"7"	""	"127"	""	"18"	""	"2"	""	"4"	""	"6"	""	"7"	""	""	""	"486"	""	""	""	""	"486"	""	""	""	""	""	""	""
"281"	"154"	""	"231"	""	"8"	""	"189"	""	"38"	""	"6"	""	"8"	""	"8"	""	"10"	""	""	""	"498"	""	""	""	""	"498"	""	""	""	""	""	""	""
"282"	"155"	""	"94"	""	"0"	""	"90"	""	"8"	""	"2"	""	"2"	""	"4"	""	"2"	""	""	""	"202"	""	""	""	""	"202"	""	""	""	""	""	""	""
"283"	"156"	""	"185"	""	"7"	""	"212"	""	"17"	""	"4"	""	"4"	""	"7"	""	"20"	""	""	""	"456"	""	""	""	""	"456"	""	""	""	""	""	""	""
"284"	"Total"	""	"2341"	""	"50"	""	"1401"	""	"210"	""	"23"	""	"38"	""	"44"	""	"65"	""	""	""	"4172"	""	""	""	""	"4172"	""	""	"0"	""	""	""	""
"285"	"Till Last Round"	""	"-34120"	""	"-977"	""	"-23088"	""	"-5729"	""	"-586"	""	"-658"	""	"-594"	""	"-1075"	""	""	""	"-66827"	""	"0"	""	""	"-66827"	""	""	"0"	""	""	""	""
"286"	"Grand Total"	""	"36461"	""	"1027"	""	"24489"	""	"5939"	""	"609"	""	"696"	""	"638"	""	"1140"	""	""	""	"70999"	""	"0"	""	""	"70999"	""	""	"0"	""	""	""	""
"287"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"289"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"157"	""	"139"	""	"6"	""	"196"	""	"17"	""	"3"	""	"10"	""	"6"	""	"8"	""	""	""	"385"	""	""	""	""	"385"	""	""	""	""	""	""	""
"291"	"157A"	""	"114"	""	"0"	""	"92"	""	"4"	""	"1"	""	"0"	""	"2"	""	"3"	""	""	""	"216"	""	""	""	""	"216"	""	""	""	""	""	""	""
"292"	"158"	""	"114"	""	"4"	""	"101"	""	"15"	""	"0"	""	"1"	""	"4"	""	"7"	""	""	""	"246"	""	""	""	""	"246"	""	""	""	""	""	""	""
"293"	"158A"	""	"168"	""	"3"	""	"60"	""	"11"	""	"2"	""	"1"	""	"0"	""	"2"	""	""	""	"247"	""	""	""	""	"247"	""	""	""	""	""	""	""
"294"	"159"	""	"61"	""	"9"	""	"267"	""	"18"	""	"2"	""	"3"	""	"3"	""	"3"	""	""	""	"366"	""	""	""	""	"366"	""	""	""	""	""	""	""
"295"	"159A"	""	"46"	""	"6"	""	"248"	""	"12"	""	"1"	""	"4"	""	"3"	""	"5"	""	""	""	"325"	""	""	""	""	"325"	""	""	""	""	""	""	""
"296"	"160"	""	"31"	""	"5"	""	"319"	""	"23"	""	"5"	""	"9"	""	"6"	""	"3"	""	""	""	"401"	""	""	""	""	"401"	""	""	""	""	""	""	""
"297"	"161"	""	"474"	""	"2"	""	"57"	""	"6"	""	"1"	""	"2"	""	"6"	""	"11"	""	""	""	"559"	""	""	""	""	"559"	""	""	""	""	""	""	""
"298"	"162"	""	"118"	""	"3"	""	"181"	""	"21"	""	"5"	""	"6"	""	"3"	""	"3"	""	""	""	"340"	""	""	""	""	"340"	""	""	""	""	""	""	""
"299"	"163"	""	"316"	""	"5"	""	"221"	""	"23"	""	"4"	""	"7"	""	"11"	""	"13"	""	""	""	"600"	""	""	""	""	"600"	""	""	""	""	""	""	""
"300"	"164"	""	"164"	""	"8"	""	"376"	""	"49"	""	"3"	""	"4"	""	"3"	""	"0"	""	""	""	"607"	""	""	""	""	"607"	""	""	""	""	""	""	""
"301"	"165"	""	"229"	""	"2"	""	"177"	""	"13"	""	"1"	""	"10"	""	"29"	""	"7"	""	""	""	"468"	""	""	""	""	"468"	""	""	""	""	""	""	""
"302"	"166"	""	"157"	""	"4"	""	"234"	""	"40"	""	"7"	""	"8"	""	"24"	""	"27"	""	""	""	"501"	""	""	""	""	"501"	""	""	""	""	""	""	""
"303"	"167"	""	"169"	""	"20"	""	"254"	""	"97"	""	"6"	""	"7"	""	"11"	""	"13"	""	""	""	"577"	""	""	""	""	"577"	""	""	""	""	""	""	""
"304"	"Total"	""	"2300"	""	"77"	""	"2783"	""	"349"	""	"41"	""	"72"	""	"111"	""	"105"	""	""	""	"5838"	""	""	""	""	"5838"	""	""	"0"	""	""	""	""
"305"	"Till Last Round"	""	"-36461"	""	"-1027"	""	"-24489"	""	"-5939"	""	"-609"	""	"-696"	""	"-638"	""	"-1140"	""	""	""	"-70999"	""	"0"	""	""	"-70999"	""	""	"0"	""	""	""	""
"306"	"Grand Total"	""	"38761"	""	"1104"	""	"27272"	""	"6288"	""	"650"	""	"768"	""	"749"	""	"1245"	""	""	""	"76837"	""	"0"	""	""	"76837"	""	""	"0"	""	""	""	""
"307"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :-191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"309"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"168"	""	"110"	""	"10"	""	"336"	""	"33"	""	"7"	""	"9"	""	"13"	""	"8"	""	""	""	"526"	""	""	""	""	"526"	""	""	""	""	""	""	""
"311"	"169"	""	"131"	""	"4"	""	"212"	""	"15"	""	"6"	""	"4"	""	"16"	""	"14"	""	""	""	"402"	""	""	""	""	"402"	""	""	""	""	""	""	""
"312"	"170"	""	"24"	""	"4"	""	"287"	""	"33"	""	"2"	""	"3"	""	"9"	""	"4"	""	""	""	"366"	""	""	""	""	"366"	""	""	""	""	""	""	""
"313"	"171"	""	"280"	""	"0"	""	"72"	""	"4"	""	"0"	""	"2"	""	"1"	""	"2"	""	""	""	"361"	""	""	""	""	"361"	""	""	""	""	""	""	""
"314"	"172"	""	"186"	""	"1"	""	"215"	""	"12"	""	"2"	""	"4"	""	"0"	""	"1"	""	""	""	"421"	""	""	""	""	"421"	""	""	""	""	""	""	""
"315"	"172A"	""	"38"	""	"1"	""	"66"	""	"3"	""	"0"	""	"2"	""	"1"	""	"1"	""	""	""	"112"	""	""	""	""	"112"	""	""	""	""	""	""	""
"316"	"173"	""	"350"	""	"10"	""	"104"	""	"12"	""	"4"	""	"3"	""	"2"	""	"9"	""	""	""	"494"	""	""	""	""	"494"	""	""	""	""	""	""	""
"317"	"174"	""	"244"	""	"2"	""	"193"	""	"19"	""	"3"	""	"7"	""	"7"	""	"3"	""	""	""	"478"	""	""	""	""	"478"	""	""	""	""	""	""	""
"318"	"175"	""	"373"	""	"4"	""	"39"	""	"6"	""	"2"	""	"0"	""	"4"	""	"3"	""	""	""	"431"	""	""	""	""	"431"	""	""	""	""	""	""	""
"319"	"176"	""	"376"	""	"2"	""	"43"	""	"17"	""	"2"	""	"1"	""	"1"	""	"3"	""	""	""	"445"	""	""	""	""	"445"	""	""	""	""	""	""	""
"320"	"177"	""	"332"	""	"3"	""	"27"	""	"8"	""	"0"	""	"0"	""	"2"	""	"1"	""	""	""	"373"	""	""	""	""	"373"	""	""	""	""	""	""	""
"321"	"177A"	""	"160"	""	"1"	""	"66"	""	"18"	""	"2"	""	"0"	""	"0"	""	"2"	""	""	""	"249"	""	""	""	""	"249"	""	""	""	""	""	""	""
"322"	"178"	""	"138"	""	"3"	""	"103"	""	"44"	""	"1"	""	"4"	""	"2"	""	"3"	""	""	""	"298"	""	""	""	""	"298"	""	""	""	""	""	""	""
"323"	"178A"	""	"98"	""	"6"	""	"43"	""	"49"	""	"3"	""	"4"	""	"1"	""	"3"	""	""	""	"207"	""	""	""	""	"207"	""	""	""	""	""	""	""
"324"	"Total"	""	"2840"	""	"51"	""	"1806"	""	"273"	""	"34"	""	"43"	""	"59"	""	"57"	""	""	""	"5163"	""	""	""	""	"5163"	""	""	"0"	""	""	""	""
"325"	"Till Last Round"	""	"-38761"	""	"-1104"	""	"-27272"	""	"-6288"	""	"-650"	""	"-768"	""	"-749"	""	"-1245"	""	""	""	"-76837"	""	"0"	""	""	"-76837"	""	""	"0"	""	""	""	""
"326"	"Grand Total"	""	"41601"	""	"1155"	""	"29078"	""	"6561"	""	"684"	""	"811"	""	"808"	""	"1302"	""	""	""	"82000"	""	"0"	""	""	"82000"	""	""	"0"	""	""	""	""
"327"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"329"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"179"	""	"245"	""	"5"	""	"56"	""	"22"	""	"1"	""	"2"	""	"4"	""	"8"	""	""	""	"343"	""	""	""	""	"343"	""	""	""	""	""	""	""
"331"	"179A"	""	"85"	""	"0"	""	"37"	""	"14"	""	"2"	""	"0"	""	"1"	""	"0"	""	""	""	"139"	""	""	""	""	"139"	""	""	""	""	""	""	""
"332"	"180"	""	"314"	""	"11"	""	"70"	""	"39"	""	"1"	""	"3"	""	"2"	""	"5"	""	""	""	"445"	""	""	""	""	"445"	""	""	""	""	""	""	""
"333"	"181"	""	"143"	""	"10"	""	"66"	""	"64"	""	"2"	""	"3"	""	"0"	""	"6"	""	""	""	"294"	""	""	""	""	"294"	""	""	""	""	""	""	""
"334"	"181A"	""	"122"	""	"4"	""	"51"	""	"35"	""	"1"	""	"3"	""	"4"	""	"6"	""	""	""	"226"	""	""	""	""	"226"	""	""	""	""	""	""	""
"335"	"182"	""	"158"	""	"4"	""	"106"	""	"20"	""	"1"	""	"3"	""	"1"	""	"6"	""	""	""	"299"	""	""	""	""	"299"	""	""	""	""	""	""	""
"336"	"182A"	""	"145"	""	"1"	""	"72"	""	"12"	""	"2"	""	"0"	""	"0"	""	"0"	""	""	""	"232"	""	""	""	""	"232"	""	""	""	""	""	""	""
"337"	"183"	""	"307"	""	"6"	""	"42"	""	"15"	""	"1"	""	"1"	""	"0"	""	"8"	""	""	""	"380"	""	""	""	""	"380"	""	""	""	""	""	""	""
"338"	"184"	""	"326"	""	"1"	""	"71"	""	"1"	""	"1"	""	"1"	""	"3"	""	"2"	""	""	""	"406"	""	""	""	""	"406"	""	""	""	""	""	""	""
"339"	"185"	""	"251"	""	"2"	""	"33"	""	"3"	""	"2"	""	"0"	""	"2"	""	"0"	""	""	""	"293"	""	""	""	""	"293"	""	""	""	""	""	""	""
"340"	"186"	""	"283"	""	"1"	""	"87"	""	"8"	""	"1"	""	"0"	""	"0"	""	"1"	""	""	""	"381"	""	""	""	""	"381"	""	""	""	""	""	""	""
"341"	"187"	""	"325"	""	"4"	""	"101"	""	"8"	""	"1"	""	"1"	""	"1"	""	"2"	""	""	""	"443"	""	""	""	""	"443"	""	""	""	""	""	""	""
"342"	"188"	""	"198"	""	"1"	""	"152"	""	"40"	""	"0"	""	"3"	""	"4"	""	"1"	""	""	""	"399"	""	""	""	""	"399"	""	""	""	""	""	""	""
"343"	"188A"	""	"112"	""	"7"	""	"89"	""	"23"	""	"2"	""	"1"	""	"3"	""	"6"	""	""	""	"243"	""	""	""	""	"243"	""	""	""	""	""	""	""
"344"	"Total"	""	"3014"	""	"57"	""	"1033"	""	"304"	""	"18"	""	"21"	""	"25"	""	"51"	""	""	""	"4523"	""	""	""	""	"4523"	""	""	"0"	""	""	""	""
"345"	"Till Last Round"	""	"-41601"	""	"-1155"	""	"-29078"	""	"-6561"	""	"-684"	""	"-811"	""	"-808"	""	"-1302"	""	""	""	"-82000"	""	"0"	""	""	"-82000"	""	""	"0"	""	""	""	""
"346"	"Grand Total"	""	"44615"	""	"1212"	""	"30111"	""	"6865"	""	"702"	""	"832"	""	"833"	""	"1353"	""	""	""	"86523"	""	"0"	""	""	"86523"	""	""	"0"	""	""	""	""
"347"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"349"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"189"	""	"257"	""	"3"	""	"107"	""	"21"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	""	"389"	""	""	""	""	"389"	""	""	""	""	""	""	""
"351"	"190"	""	"260"	""	"2"	""	"105"	""	"10"	""	"1"	""	"4"	""	"4"	""	"4"	""	""	""	"390"	""	""	""	""	"390"	""	""	""	""	""	""	""
"352"	"191"	""	"251"	""	"6"	""	"97"	""	"21"	""	"2"	""	"1"	""	"1"	""	"4"	""	""	""	"383"	""	""	""	""	"383"	""	""	""	""	""	""	""
"353"	"192"	""	"249"	""	"3"	""	"60"	""	"4"	""	"0"	""	"3"	""	"2"	""	"0"	""	""	""	"321"	""	""	""	""	"321"	""	""	""	""	""	""	""
"354"	"192A"	""	"142"	""	"0"	""	"19"	""	"2"	""	"1"	""	"0"	""	"0"	""	"0"	""	""	""	"164"	""	""	""	""	"164"	""	""	""	""	""	""	""
"355"	"193"	""	"192"	""	"4"	""	"68"	""	"45"	""	"2"	""	"9"	""	"3"	""	"1"	""	""	""	"324"	""	""	""	""	"324"	""	""	""	""	""	""	""
"356"	"194"	""	"202"	""	"1"	""	"46"	""	"89"	""	"2"	""	"9"	""	"4"	""	"9"	""	""	""	"362"	""	""	""	""	"362"	""	""	""	""	""	""	""
"357"	"195"	""	"262"	""	"3"	""	"33"	""	"95"	""	"1"	""	"1"	""	"3"	""	"5"	""	""	""	"403"	""	""	""	""	"403"	""	""	""	""	""	""	""
"358"	"196"	""	"167"	""	"2"	""	"163"	""	"37"	""	"1"	""	"0"	""	"2"	""	"0"	""	""	""	"372"	""	""	""	""	"372"	""	""	""	""	""	""	""
"359"	"196A"	""	"163"	""	"1"	""	"52"	""	"9"	""	"0"	""	"1"	""	"0"	""	"1"	""	""	""	"227"	""	""	""	""	"227"	""	""	""	""	""	""	""
"360"	"197"	""	"390"	""	"6"	""	"103"	""	"51"	""	"5"	""	"7"	""	"6"	""	"8"	""	""	""	"576"	""	""	""	""	"576"	""	""	""	""	""	""	""
"361"	"198"	""	"129"	""	"2"	""	"92"	""	"17"	""	"3"	""	"1"	""	"0"	""	"6"	""	""	""	"250"	""	""	""	""	"250"	""	""	""	""	""	""	""
"362"	"199"	""	"179"	""	"3"	""	"251"	""	"46"	""	"1"	""	"3"	""	"5"	""	"3"	""	""	""	"491"	""	""	""	""	"491"	""	""	""	""	""	""	""
"363"	"200"	""	"285"	""	"7"	""	"126"	""	"33"	""	"4"	""	"7"	""	"6"	""	"10"	""	""	""	"478"	""	""	""	""	"478"	""	""	""	""	""	""	""
"364"	"Total"	""	"3128"	""	"43"	""	"1322"	""	"480"	""	"23"	""	"46"	""	"36"	""	"52"	""	""	""	"5130"	""	""	""	""	"5130"	""	""	"0"	""	""	""	""
"365"	"Till Last Round"	""	"-44615"	""	"-1212"	""	"-30111"	""	"-6865"	""	"-702"	""	"-832"	""	"-833"	""	"-1353"	""	""	""	"-86523"	""	"0"	""	""	"-86523"	""	""	"0"	""	""	""	""
"366"	"Grand Total"	""	"47743"	""	"1255"	""	"31433"	""	"7345"	""	"725"	""	"878"	""	"869"	""	"1405"	""	""	""	"91653"	""	"0"	""	""	"91653"	""	""	"0"	""	""	""	""
"367"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"369"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"201"	""	"240"	""	"6"	""	"20"	""	"15"	""	"1"	""	"1"	""	"0"	""	"2"	""	""	""	"285"	""	""	""	""	"285"	""	""	""	""	""	""	""
"371"	"202"	""	"305"	""	"0"	""	"102"	""	"12"	""	"0"	""	"0"	""	"1"	""	"1"	""	""	""	"421"	""	""	""	""	"421"	""	""	""	""	""	""	""
"372"	"203"	""	"104"	""	"3"	""	"44"	""	"18"	""	"3"	""	"2"	""	"1"	""	"2"	""	""	""	"177"	""	""	""	""	"177"	""	""	""	""	""	""	""
"373"	"203A"	""	"69"	""	"6"	""	"17"	""	"15"	""	"1"	""	"0"	""	"0"	""	"0"	""	""	""	"108"	""	""	""	""	"108"	""	""	""	""	""	""	""
"374"	"204"	""	"78"	""	"3"	""	"61"	""	"22"	""	"2"	""	"5"	""	"1"	""	"2"	""	""	""	"174"	""	""	""	""	"174"	""	""	""	""	""	""	""
"375"	"205"	""	"247"	""	"0"	""	"40"	""	"17"	""	"1"	""	"6"	""	"5"	""	"4"	""	""	""	"320"	""	""	""	""	"320"	""	""	""	""	""	""	""
"376"	"206"	""	"221"	""	"2"	""	"70"	""	"33"	""	"4"	""	"0"	""	"2"	""	"7"	""	""	""	"339"	""	""	""	""	"339"	""	""	""	""	""	""	""
"377"	"207"	""	"232"	""	"0"	""	"40"	""	"17"	""	"0"	""	"2"	""	"5"	""	"2"	""	""	""	"298"	""	""	""	""	"298"	""	""	""	""	""	""	""
"378"	"208"	""	"269"	""	"6"	""	"93"	""	"46"	""	"1"	""	"1"	""	"2"	""	"0"	""	""	""	"418"	""	""	""	""	"418"	""	""	""	""	""	""	""
"379"	"209"	""	"175"	""	"3"	""	"151"	""	"151"	""	"9"	""	"11"	""	"9"	""	"9"	""	""	""	"518"	""	""	""	""	"518"	""	""	""	""	""	""	""
"380"	"210"	""	"92"	""	"1"	""	"62"	""	"87"	""	"4"	""	"7"	""	"2"	""	"3"	""	""	""	"258"	""	""	""	""	"258"	""	""	""	""	""	""	""
"381"	"211"	""	"20"	""	"5"	""	"287"	""	"38"	""	"6"	""	"2"	""	"2"	""	"6"	""	""	""	"366"	""	""	""	""	"366"	""	""	""	""	""	""	""
"382"	"212"	""	"86"	""	"2"	""	"179"	""	"42"	""	"3"	""	"2"	""	"5"	""	"14"	""	""	""	"333"	""	""	""	""	"333"	""	""	""	""	""	""	""
"383"	"213"	""	"108"	""	"12"	""	"228"	""	"56"	""	"11"	""	"11"	""	"9"	""	"7"	""	""	""	"442"	""	""	""	""	"442"	""	""	""	""	""	""	""
"384"	"Total"	""	"2246"	""	"49"	""	"1394"	""	"569"	""	"46"	""	"50"	""	"44"	""	"59"	""	""	""	"4457"	""	""	""	""	"4457"	""	""	"0"	""	""	""	""
"385"	"Till Last Round"	""	"-47743"	""	"-1255"	""	"-31433"	""	"-7345"	""	"-725"	""	"-878"	""	"-869"	""	"-1405"	""	""	""	"-91653"	""	"0"	""	""	"-91653"	""	""	"0"	""	""	""	""
"386"	"Grand Total"	""	"49989"	""	"1304"	""	"32827"	""	"7914"	""	"771"	""	"928"	""	"913"	""	"1464"	""	""	""	"96110"	""	"0"	""	""	"96110"	""	""	"0"	""	""	""	""
