"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.187.MASAURHI.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment....................................................................230522"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	""	"i"	""	""	"r"	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"210"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 8
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"215"	"-93"	""	"200"	""	"7"	""	"279"	""	""	"40"	""	""	"3"	""	""	"0"	""	""	""	"12"	""	""	"3"	""	""	"10"	""	""	"554"	""	""	""	""	""	""	""	"554"	""	""	""	""	""	""	""	""	""	""
"216"	"-94"	""	"66"	""	"5"	""	"12"	""	""	"32"	""	""	"97"	""	""	"12"	""	""	""	"20"	""	""	"5"	""	""	"12"	""	""	"261"	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""
"217"	"-95"	""	"87"	""	"3"	""	"0"	""	""	"0"	""	""	"76"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"171"	""	""	""	""	""	""	""	"171"	""	""	""	""	""	""	""	""	""	""
"218"	"-96"	""	"278"	""	"7"	""	"3"	""	""	"6"	""	""	"118"	""	""	"6"	""	""	""	"4"	""	""	"5"	""	""	"12"	""	""	"439"	""	""	""	""	""	""	""	"439"	""	""	""	""	""	""	""	""	""	""
"219"	"-97"	""	"83"	""	"6"	""	"9"	""	""	"14"	""	""	"105"	""	""	"11"	""	""	""	"8"	""	""	"3"	""	""	"14"	""	""	"253"	""	""	""	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""
"220"	"-98"	""	"379"	""	"10"	""	"62"	""	""	"33"	""	""	"117"	""	""	"6"	""	""	""	"4"	""	""	"6"	""	""	"15"	""	""	"632"	""	""	""	""	""	""	""	"632"	""	""	""	""	""	""	""	""	""	""
"221"	"-99"	""	"80"	""	"5"	""	"110"	""	""	"4"	""	""	"56"	""	""	"2"	""	""	""	"6"	""	""	"1"	""	""	"5"	""	""	"269"	""	""	""	""	""	""	""	"269"	""	""	""	""	""	""	""	""	""	""
"222"	"-100"	""	"298"	""	"13"	""	"27"	""	""	"32"	""	""	"117"	""	""	"14"	""	""	""	"11"	""	""	"3"	""	""	"3"	""	""	"518"	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""
"223"	"-101"	""	"240"	""	"23"	""	"47"	""	""	"67"	""	""	"83"	""	""	"13"	""	""	""	"12"	""	""	"0"	""	""	"7"	""	""	"492"	""	""	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	""	""
"224"	"-102"	""	"220"	""	"4"	""	"135"	""	""	"45"	""	""	"106"	""	""	"16"	""	""	""	"24"	""	""	"6"	""	""	"27"	""	""	"583"	""	""	""	""	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""
"225"	"-103"	""	"82"	""	"2"	""	"370"	""	""	"6"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"465"	""	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	""	""	""
"226"	"-104"	""	"31"	""	"2"	""	"312"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"354"	""	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""
"227"	"-105"	""	"54"	""	"7"	""	"170"	""	""	"55"	""	""	"10"	""	""	"2"	""	""	""	"7"	""	""	"1"	""	""	"4"	""	""	"310"	""	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""
"228"	"-106"	""	"230"	""	"4"	""	"29"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	""	"4"	""	""	"3"	""	""	"9"	""	""	"283"	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""
"229"	"Total"	""	"2328"	""	"98"	""	"1565"	""	""	"341"	""	""	"890"	""	""	"84"	""	""	""	"115"	""	""	"38"	""	""	"125"	""	""	"5584"	""	""	""	"0"	""	""	""	"5584"	""	"0"	""	""	""	""	""	""	""	""
"230"	"Till last Round"	""	"18366"	""	"646"	""	"8905"	""	""	"1766"	""	""	"6154"	""	""	"519"	""	""	""	"742"	""	""	"262"	""	""	"735"	""	""	"38095"	""	""	""	"0"	""	""	""	"38095"	""	"0"	""	""	""	""	""	""	""	""
"231"	"Grand Total"	""	"20694"	""	"744"	""	"10470"	""	""	"2107"	""	""	"7044"	""	""	"603"	""	""	""	"857"	""	""	"300"	""	""	"860"	""	""	"43679"	""	""	""	"0"	""	""	""	"43679"	""	"0"	""	""	""	""	""	""	""	""
"232"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 9
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"241"	"-107"	""	"134"	""	"8"	""	"82"	""	""	"22"	""	""	"60"	""	""	"13"	""	""	""	"4"	""	""	"8"	""	""	"24"	""	""	"355"	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""
"242"	"-108"	""	"362"	""	"17"	""	"15"	""	""	"44"	""	""	"7"	""	""	"5"	""	""	""	"3"	""	""	"3"	""	""	"8"	""	""	"464"	""	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""
"243"	"-109"	""	"5"	""	"1"	""	"344"	""	""	"12"	""	""	"3"	""	""	"0"	""	""	""	"7"	""	""	"1"	""	""	"9"	""	""	"382"	""	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""
"244"	"-110"	""	"257"	""	"0"	""	"146"	""	""	"72"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	"0"	""	""	"2"	""	""	"480"	""	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	""	""	""
"245"	"-111"	""	"29"	""	"2"	""	"138"	""	""	"15"	""	""	"11"	""	""	"3"	""	""	""	"4"	""	""	"4"	""	""	"12"	""	""	"218"	""	""	""	""	""	""	""	"218"	""	""	""	""	""	""	""	""	""	""
"246"	"-112"	""	"330"	""	"9"	""	"3"	""	""	"12"	""	""	"3"	""	""	"1"	""	""	""	"4"	""	""	"1"	""	""	"4"	""	""	"367"	""	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""
"247"	"-113"	""	"203"	""	"5"	""	"62"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"7"	""	""	"283"	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""
"248"	"-114"	""	"245"	""	"94"	""	"9"	""	""	"18"	""	""	"4"	""	""	"0"	""	""	""	"6"	""	""	"0"	""	""	"2"	""	""	"378"	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""
"249"	"-115"	""	"373"	""	"35"	""	"11"	""	""	"63"	""	""	"62"	""	""	"13"	""	""	""	"14"	""	""	"7"	""	""	"12"	""	""	"590"	""	""	""	""	""	""	""	"590"	""	""	""	""	""	""	""	""	""	""
"250"	"-116"	""	"304"	""	"25"	""	"82"	""	""	"63"	""	""	"4"	""	""	"9"	""	""	""	"12"	""	""	"5"	""	""	"14"	""	""	"518"	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""
"251"	"-117"	""	"117"	""	"8"	""	"149"	""	""	"19"	""	""	"35"	""	""	"7"	""	""	""	"27"	""	""	"7"	""	""	"17"	""	""	"386"	""	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""
"252"	"-118"	""	"97"	""	"5"	""	"319"	""	""	"132"	""	""	"16"	""	""	"9"	""	""	""	"17"	""	""	"5"	""	""	"21"	""	""	"621"	""	""	""	""	""	""	""	"621"	""	""	""	""	""	""	""	""	""	""
"253"	"-119"	""	"21"	""	"4"	""	"326"	""	""	"70"	""	""	"10"	""	""	"8"	""	""	""	"9"	""	""	"5"	""	""	"17"	""	""	"470"	""	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""
"254"	"-120"	""	"73"	""	"3"	""	"13"	""	""	"93"	""	""	"15"	""	""	"5"	""	""	""	"2"	""	""	"4"	""	""	"8"	""	""	"216"	""	""	""	""	""	""	""	"216"	""	""	""	""	""	""	""	""	""	""
"255"	"Total"	""	"2550"	""	"216"	""	"1699"	""	""	"637"	""	""	"233"	""	""	"74"	""	""	""	"112"	""	""	"50"	""	""	"157"	""	""	"5728"	""	""	""	"0"	""	""	""	"5728"	""	"0"	""	""	""	""	""	""	""	""
"256"	"Till last Round"	""	"20694"	""	"744"	""	"10470"	""	""	"2107"	""	""	"7044"	""	""	"603"	""	""	""	"857"	""	""	"300"	""	""	"860"	""	""	"43679"	""	""	""	"0"	""	""	""	"43679"	""	"0"	""	""	""	""	""	""	""	""
"257"	"Grand Total"	""	"23244"	""	"960"	""	"12169"	""	""	"2744"	""	""	"7277"	""	""	"677"	""	""	""	"969"	""	""	"350"	""	""	"1017"	""	""	"49407"	""	""	""	"0"	""	""	""	"49407"	""	"0"	""	""	""	""	""	""	""	""
"258"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 10
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"267"	"-121"	""	"24"	""	"2"	""	"257"	""	""	"33"	""	""	"148"	""	""	"9"	""	""	""	"9"	""	""	"2"	""	""	"3"	""	""	"487"	""	""	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""
"268"	"-122"	""	"126"	""	"0"	""	"169"	""	""	"63"	""	""	"59"	""	""	"7"	""	""	""	"11"	""	""	"7"	""	""	"16"	""	""	"458"	""	""	""	""	""	""	""	"458"	""	""	""	""	""	""	""	""	""	""
"269"	"-123"	""	"187"	""	"4"	""	"86"	""	""	"40"	""	""	"6"	""	""	"5"	""	""	""	"7"	""	""	"3"	""	""	"8"	""	""	"346"	""	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""
"270"	"-124"	""	"88"	""	"9"	""	"29"	""	""	"102"	""	""	"52"	""	""	"22"	""	""	""	"11"	""	""	"2"	""	""	"18"	""	""	"333"	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""	""	""	""	""
"271"	"-125"	""	"290"	""	"41"	""	"136"	""	""	"73"	""	""	"36"	""	""	"9"	""	""	""	"10"	""	""	"4"	""	""	"20"	""	""	"619"	""	""	""	""	""	""	""	"619"	""	""	""	""	""	""	""	""	""	""
"272"	"-126"	""	"248"	""	"3"	""	"76"	""	""	"18"	""	""	"14"	""	""	"2"	""	""	""	"5"	""	""	"2"	""	""	"6"	""	""	"374"	""	""	""	""	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""
"273"	"-127"	""	"354"	""	"2"	""	"12"	""	""	"26"	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	"3"	""	""	"401"	""	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""
"274"	"-128"	""	"2"	""	"0"	""	"307"	""	""	"3"	""	""	"82"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"396"	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	""
"275"	"-129"	""	"303"	""	"16"	""	"16"	""	""	"79"	""	""	"7"	""	""	"7"	""	""	""	"8"	""	""	"0"	""	""	"6"	""	""	"442"	""	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""
"276"	"-130"	""	"324"	""	"77"	""	"20"	""	""	"65"	""	""	"6"	""	""	"6"	""	""	""	"4"	""	""	"3"	""	""	"7"	""	""	"512"	""	""	""	""	""	""	""	"512"	""	""	""	""	""	""	""	""	""	""
"277"	"-131"	""	"227"	""	"6"	""	"115"	""	""	"107"	""	""	"17"	""	""	"6"	""	""	""	"12"	""	""	"3"	""	""	"11"	""	""	"504"	""	""	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""
"278"	"-132"	""	"19"	""	"6"	""	"307"	""	""	"44"	""	""	"0"	""	""	"9"	""	""	""	"9"	""	""	"5"	""	""	"4"	""	""	"403"	""	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""
"279"	"-133"	""	"181"	""	"4"	""	"226"	""	""	"23"	""	""	"10"	""	""	"1"	""	""	""	"5"	""	""	"5"	""	""	"7"	""	""	"462"	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""
"280"	"-134"	""	"95"	""	"11"	""	"192"	""	""	"18"	""	""	"198"	""	""	"16"	""	""	""	"17"	""	""	"7"	""	""	"22"	""	""	"576"	""	""	""	""	""	""	""	"576"	""	""	""	""	""	""	""	""	""	""
"281"	"Total"	""	"2468"	""	"181"	""	"1948"	""	""	"694"	""	""	"636"	""	""	"100"	""	""	""	"111"	""	""	"43"	""	""	"132"	""	""	"6313"	""	""	""	"0"	""	""	""	"6313"	""	"0"	""	""	""	""	""	""	""	""
"282"	"Till last Round"	""	"23244"	""	"960"	""	"12169"	""	""	"2744"	""	""	"7277"	""	""	"677"	""	""	""	"969"	""	""	"350"	""	""	"1017"	""	""	"49407"	""	""	""	"0"	""	""	""	"49407"	""	"0"	""	""	""	""	""	""	""	""
"283"	"Grand Total"	""	"25712"	""	"1141"	""	"14117"	""	""	"3438"	""	""	"7913"	""	""	"777"	""	""	""	"1080"	""	""	"393"	""	""	"1149"	""	""	"55720"	""	""	""	"0"	""	""	""	"55720"	""	"0"	""	""	""	""	""	""	""	""
"284"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 11
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"293"	"-135"	""	"226"	""	"3"	""	"18"	""	""	"5"	""	""	"43"	""	""	"6"	""	""	""	"5"	""	""	"3"	""	""	"8"	""	""	"317"	""	""	""	""	""	""	""	"317"	""	""	""	""	""	""	""	""	""	""
"294"	"135A"	""	"123"	""	"2"	""	"121"	""	""	"11"	""	""	"12"	""	""	"1"	""	""	""	"5"	""	""	"1"	""	""	"5"	""	""	"281"	""	""	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	""	""
"295"	"-136"	""	"152"	""	"8"	""	"24"	""	""	"84"	""	""	"69"	""	""	"6"	""	""	""	"4"	""	""	"4"	""	""	"10"	""	""	"361"	""	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""
"296"	"-137"	""	"300"	""	"14"	""	"2"	""	""	"13"	""	""	"53"	""	""	"4"	""	""	""	"6"	""	""	"1"	""	""	"8"	""	""	"401"	""	""	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""
"297"	"-138"	""	"182"	""	"3"	""	"18"	""	""	"3"	""	""	"31"	""	""	"1"	""	""	""	"4"	""	""	"0"	""	""	"4"	""	""	"246"	""	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""
"298"	"-139"	""	"412"	""	"5"	""	"4"	""	""	"4"	""	""	"115"	""	""	"7"	""	""	""	"4"	""	""	"3"	""	""	"5"	""	""	"559"	""	""	""	""	""	""	""	"559"	""	""	""	""	""	""	""	""	""	""
"299"	"-140"	""	"0"	""	"0"	""	"172"	""	""	"16"	""	""	"7"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"199"	""	""	""	""	""	""	""	"199"	""	""	""	""	""	""	""	""	""	""
"300"	"-141"	""	"86"	""	"3"	""	"368"	""	""	"50"	""	""	"14"	""	""	"6"	""	""	""	"12"	""	""	"5"	""	""	"18"	""	""	"562"	""	""	""	""	""	""	""	"562"	""	""	""	""	""	""	""	""	""	""
"301"	"-142"	""	"246"	""	"25"	""	"16"	""	""	"39"	""	""	"28"	""	""	"2"	""	""	""	"11"	""	""	"2"	""	""	"9"	""	""	"378"	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""
"302"	"-143"	""	"184"	""	"142"	""	"66"	""	""	"84"	""	""	"7"	""	""	"10"	""	""	""	"8"	""	""	"3"	""	""	"14"	""	""	"518"	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""
"303"	"-144"	""	"52"	""	"12"	""	"149"	""	""	"32"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"3"	""	""	"252"	""	""	""	""	""	""	""	"252"	""	""	""	""	""	""	""	""	""	""
"304"	"-145"	""	"128"	""	"4"	""	"75"	""	""	"109"	""	""	"21"	""	""	"10"	""	""	""	"14"	""	""	"5"	""	""	"32"	""	""	"398"	""	""	""	""	""	""	""	"398"	""	""	""	""	""	""	""	""	""	""
"305"	"-146"	""	"113"	""	"25"	""	"206"	""	""	"21"	""	""	"8"	""	""	"3"	""	""	""	"14"	""	""	"5"	""	""	"16"	""	""	"411"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""
"306"	"-147"	""	"521"	""	"1"	""	"20"	""	""	"28"	""	""	"8"	""	""	"5"	""	""	""	"5"	""	""	"1"	""	""	"4"	""	""	"593"	""	""	""	""	""	""	""	"593"	""	""	""	""	""	""	""	""	""	""
"307"	"Total"	""	"2725"	""	"247"	""	"1259"	""	""	"499"	""	""	"418"	""	""	"63"	""	""	""	"93"	""	""	"33"	""	""	"139"	""	""	"5476"	""	""	""	"0"	""	""	""	"5476"	""	"0"	""	""	""	""	""	""	""	""
"308"	"Till last Round"	""	"25712"	""	"1141"	""	"14117"	""	""	"3438"	""	""	"7913"	""	""	"777"	""	""	""	"1080"	""	""	"393"	""	""	"1149"	""	""	"55720"	""	""	""	"0"	""	""	""	"55720"	""	"0"	""	""	""	""	""	""	""	""
"309"	"Grand Total"	""	"28437"	""	"1388"	""	"15376"	""	""	"3937"	""	""	"8331"	""	""	"840"	""	""	""	"1173"	""	""	"426"	""	""	"1288"	""	""	"61196"	""	""	""	"0"	""	""	""	"61196"	""	"0"	""	""	""	""	""	""	""	""
"310"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
