"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"372"	"TOTAL"	"12884"	"23870"	"40228"	"3800"	"8545"	"1332"	"764"	"859"	"1791"	"3127"	"1390"	"12573"	"111163"	"0"	"111163"	"0"
"373"	"(Statutory Rules and Order)                                                      ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"379"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"380"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"381"	"196"	"36"	"74"	"16"	"22"	"413"	"18"	"3"	"8"	"2"	"1"	"4"	"12"	"609"	""	"609"	""
"382"	"197"	"19"	"117"	"10"	"8"	"341"	"2"	"2"	"2"	"4"	"2"	"2"	"10"	"519"	""	"519"	""
"383"	"197A"	"11"	"19"	"4"	"10"	"216"	"5"	"1"	"6"	"1"	"2"	"1"	"5"	"281"	""	"281"	""
"384"	"198"	"9"	"14"	"13"	"9"	"465"	"10"	"6"	"3"	"4"	"2"	"5"	"16"	"556"	""	"556"	""
"385"	"199"	"13"	"73"	"10"	"12"	"438"	"5"	"1"	"4"	"1"	"2"	"2"	"8"	"569"	""	"569"	""
"386"	"200"	"18"	"20"	"70"	"24"	"304"	"20"	"6"	"6"	"5"	"6"	"13"	"22"	"514"	""	"514"	""
"387"	"201"	"0"	"39"	"69"	"3"	"214"	"8"	"6"	"3"	"5"	"2"	"6"	"19"	"374"	""	"374"	""
"388"	"201A"	"3"	"35"	"90"	"1"	"113"	"7"	"3"	"1"	"1"	"1"	"2"	"13"	"270"	""	"270"	""
"389"	"202"	"107"	"51"	"312"	"7"	"108"	"8"	"9"	"5"	"11"	"9"	"3"	"24"	"654"	""	"654"	""
"390"	"203"	"23"	"101"	"12"	"19"	"382"	"12"	"5"	"3"	"1"	"0"	"4"	"3"	"565"	""	"565"	""
"391"	"204"	"41"	"38"	"204"	"10"	"8"	"1"	"1"	"2"	"4"	"4"	"0"	"2"	"315"	""	"315"	""
"392"	"205"	"71"	"44"	"225"	"59"	"101"	"18"	"5"	"4"	"10"	"4"	"5"	"8"	"554"	""	"554"	""
"393"	"206"	"10"	"9"	"277"	"7"	"127"	"10"	"2"	"0"	"6"	"3"	"2"	"9"	"462"	""	"462"	""
"394"	"207"	"20"	"19"	"198"	"24"	"150"	"12"	"5"	"11"	"19"	"15"	"3"	"16"	"492"	""	"492"	""
"395"	"Current Round Total"	"381"	"653"	"1510"	"215"	"3380"	"136"	"55"	"58"	"74"	"53"	"52"	"167"	"6734"	"0"	"6734"	"0"
"396"	"Previous Round Total"	"12884"	"23870"	"40228"	"3800"	"8545"	"1332"	"764"	"859"	"1791"	"3127"	"1390"	"12573"	"111163"	"0"	"111163"	"0"
"397"	"TOTAL"	"13265"	"24523"	"41738"	"4015"	"11925"	"1468"	"819"	"917"	"1865"	"3180"	"1442"	"12740"	"117897"	"0"	"117897"	"0"
"398"	"(Statutory Rules and Order)                                                      ROUND : SEVENTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"404"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"405"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"406"	"207A"	"12"	"6"	"105"	"8"	"38"	"7"	"0"	"2"	"2"	"2"	"1"	"2"	"185"	""	"185"	""
"407"	"208"	"10"	"20"	"0"	"5"	"283"	"6"	"2"	"5"	"1"	"3"	"3"	"18"	"356"	""	"356"	""
"408"	"209"	"30"	"49"	"110"	"8"	"308"	"12"	"4"	"7"	"5"	"1"	"0"	"10"	"544"	""	"544"	""
"409"	"209A"	"4"	"7"	"3"	"5"	"129"	"1"	"0"	"3"	"0"	"3"	"0"	"6"	"161"	""	"161"	""
"410"	"210"	"53"	"73"	"9"	"13"	"408"	"8"	"6"	"1"	"1"	"1"	"1"	"5"	"579"	""	"579"	""
"411"	"211"	"7"	"16"	"39"	"9"	"328"	"6"	"3"	"7"	"4"	"3"	"3"	"20"	"445"	""	"445"	""
"412"	"211A"	"5"	"3"	"142"	"2"	"93"	"5"	"1"	"0"	"8"	"3"	"0"	"3"	"265"	""	"265"	""
"413"	"212"	"9"	"5"	"107"	"10"	"133"	"3"	"0"	"0"	"2"	"2"	"1"	"9"	"281"	""	"281"	""
"414"	"212A"	"3"	"3"	"172"	"11"	"51"	"6"	"0"	"5"	"11"	"12"	"6"	"12"	"292"	""	"292"	""
"415"	"213"	"178"	"32"	"55"	"16"	"299"	"8"	"3"	"8"	"1"	"5"	"3"	"62"	"670"	""	"670"	""
"416"	"214"	"18"	"24"	"144"	"17"	"287"	"17"	"15"	"9"	"17"	"15"	"2"	"25"	"590"	""	"590"	""
"417"	"215"	"28"	"6"	"152"	"2"	"187"	"13"	"1"	"2"	"12"	"15"	"1"	"15"	"434"	""	"434"	""
"418"	"215A"	"7"	"9"	"199"	"14"	"104"	"9"	"1"	"3"	"4"	"2"	"1"	"5"	"358"	""	"358"	""
"419"	"216"	"33"	"34"	"101"	"6"	"96"	"8"	"8"	"2"	"12"	"4"	"8"	"15"	"327"	""	"327"	""
"420"	"Current Round Total"	"397"	"287"	"1338"	"126"	"2744"	"109"	"44"	"54"	"80"	"71"	"30"	"207"	"5487"	"0"	"5487"	"0"
"421"	"Previous Round Total"	"13265"	"24523"	"41738"	"4015"	"11925"	"1468"	"819"	"917"	"1865"	"3180"	"1442"	"12740"	"117897"	"0"	"117897"	"0"
"422"	"TOTAL"	"13662"	"24810"	"43076"	"4141"	"14669"	"1577"	"863"	"971"	"1945"	"3251"	"1472"	"12947"	"123384"	"0"	"123384"	"0"
"423"	"(Statutory Rules and Order)                                                      ROUND : EIGHTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"429"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"430"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"431"	"216A"	"36"	"26"	"10"	"5"	"302"	"6"	"3"	"4"	"1"	"2"	"2"	"5"	"402"	""	"402"	""
"432"	"217"	"7"	"43"	"21"	"6"	"267"	"9"	"9"	"10"	"2"	"6"	"4"	"21"	"405"	""	"405"	""
"433"	"218"	"6"	"36"	"15"	"6"	"325"	"3"	"0"	"4"	"1"	"3"	"2"	"10"	"411"	""	"411"	""
"434"	"219"	"117"	"36"	"111"	"6"	"217"	"13"	"3"	"2"	"3"	"1"	"1"	"11"	"521"	""	"521"	""
"435"	"219A"	"44"	"70"	"206"	"6"	"70"	"5"	"7"	"8"	"12"	"6"	"5"	"10"	"449"	""	"449"	""
"436"	"220"	"13"	"6"	"290"	"10"	"89"	"10"	"9"	"5"	"16"	"8"	"12"	"21"	"489"	""	"489"	""
"437"	"221"	"7"	"30"	"329"	"17"	"96"	"15"	"5"	"6"	"17"	"12"	"2"	"3"	"539"	""	"539"	""
"438"	"222"	"16"	"74"	"518"	"17"	"30"	"10"	"6"	"6"	"7"	"9"	"4"	"9"	"706"	""	"706"	""
"439"	"223"	"99"	"30"	"558"	"28"	"27"	"16"	"8"	"6"	"19"	"7"	"1"	"5"	"804"	""	"804"	""
"440"	"224"	"23"	"7"	"387"	"12"	"119"	"3"	"5"	"6"	"10"	"40"	"5"	"10"	"627"	""	"627"	""
"441"	"225"	"9"	"22"	"58"	"10"	"258"	"8"	"2"	"4"	"3"	"2"	"3"	"10"	"389"	""	"389"	""
"442"	"225A"	"20"	"28"	"57"	"4"	"176"	"3"	"4"	"3"	"1"	"1"	"4"	"11"	"312"	""	"312"	""
"443"	"226"	"29"	"36"	"75"	"13"	"392"	"11"	"4"	"1"	"0"	"0"	"3"	"18"	"582"	""	"582"	""
"444"	"227"	"11"	"44"	"25"	"10"	"327"	"6"	"8"	"7"	"4"	"3"	"8"	"22"	"475"	""	"475"	""
"445"	"Current Round Total"	"437"	"488"	"2660"	"150"	"2695"	"118"	"73"	"72"	"96"	"100"	"56"	"166"	"7111"	"0"	"7111"	"0"
"446"	"Previous Round Total"	"13662"	"24810"	"43076"	"4141"	"14669"	"1577"	"863"	"971"	"1945"	"3251"	"1472"	"12947"	"123384"	"0"	"123384"	"0"
"447"	"TOTAL"	"14099"	"25298"	"45736"	"4291"	"17364"	"1695"	"936"	"1043"	"2041"	"3351"	"1528"	"13113"	"130495"	"0"	"130495"	"0"
"448"	"(Statutory Rules and Order)                                                      ROUND : NINETEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"452"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"454"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"455"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"456"	"228"	"40"	"13"	"209"	"7"	"92"	"16"	"3"	"3"	"6"	"4"	"6"	"10"	"409"	""	"409"	""
"457"	"228A"	"4"	"20"	"137"	"4"	"226"	"9"	"5"	"4"	"6"	"3"	"3"	"11"	"432"	""	"432"	""
"458"	"229"	"16"	"54"	"522"	"8"	"68"	"16"	"3"	"2"	"2"	"5"	"2"	"3"	"701"	""	"701"	""
"459"	"230"	"18"	"107"	"219"	"33"	"83"	"7"	"5"	"7"	"11"	"7"	"9"	"21"	"527"	""	"527"	""
"460"	"231"	"27"	"155"	"320"	"18"	"99"	"11"	"3"	"5"	"3"	"7"	"3"	"10"	"661"	""	"661"	""
"461"	"232"	"46"	"81"	"136"	"41"	"75"	"7"	"0"	"1"	"4"	"1"	"0"	"1"	"393"	""	"393"	""
"462"	"233"	"15"	"75"	"62"	"50"	"277"	"10"	"4"	"4"	"1"	"3"	"3"	"7"	"511"	""	"511"	""
"463"	"234"	"67"	"42"	"197"	"8"	"166"	"14"	"6"	"6"	"6"	"9"	"6"	"11"	"538"	""	"538"	""
"464"	"235"	"54"	"16"	"154"	"3"	"26"	"2"	"4"	"1"	"4"	"10"	"3"	"5"	"282"	""	"282"	""
"465"	"236"	"13"	"18"	"16"	"11"	"323"	"5"	"4"	"6"	"1"	"5"	"1"	"6"	"409"	""	"409"	""
"466"	"236A"	"13"	"11"	"10"	"4"	"251"	"10"	"2"	"1"	"4"	"2"	"8"	"17"	"333"	""	"333"	""
"467"	"237"	"21"	"44"	"40"	"10"	"442"	"12"	"2"	"4"	"2"	"3"	"3"	"10"	"593"	""	"593"	""
"468"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"469"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"470"	"Current Round Total"	"334"	"636"	"2022"	"197"	"2128"	"119"	"41"	"44"	"50"	"59"	"47"	"112"	"5789"	"0"	"5789"	"0"
"471"	"Previous Round Total"	"14099"	"25298"	"45736"	"4291"	"17364"	"1695"	"936"	"1043"	"2041"	"3351"	"1528"	"13113"	"130495"	"0"	"130495"	"0"
"472"	"TOTAL"	"14433"	"25934"	"47758"	"4488"	"19492"	"1814"	"977"	"1087"	"2091"	"3410"	"1575"	"13225"	"136284"	"0"	"136284"	"0"
