"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"380"	"BF"	"29976"	"26365"	"30891"	"17894"	"2806"	"1334"	"724"	"3140"	"641"	"1595"	"115366"	"0"	"115366"	"0"
"381"	"203"	"82"	"68"	"320"	"28"	"9"	"0"	"2"	"3"	"2"	"2"	"516"	"0"	"516"	"0"
"382"	"204"	"10"	"5"	"143"	"14"	"2"	"3"	"0"	"1"	"0"	"1"	"179"	"0"	"179"	"0"
"383"	"205"	"28"	"9"	"234"	"10"	"1"	"0"	"1"	"5"	"0"	"1"	"289"	"0"	"289"	"0"
"384"	"206"	"101"	"84"	"195"	"13"	"8"	"7"	"1"	"3"	"1"	"6"	"419"	"0"	"419"	"0"
"385"	"207"	"54"	"71"	"522"	"20"	"1"	"0"	"1"	"2"	"3"	"1"	"675"	"0"	"675"	"0"
"386"	"208"	"34"	"46"	"193"	"8"	"4"	"0"	"1"	"3"	"1"	"5"	"295"	"0"	"295"	"0"
"387"	"209"	"67"	"22"	"144"	"51"	"4"	"6"	"6"	"8"	"9"	"13"	"330"	"0"	"330"	"0"
"388"	"210"	"48"	"90"	"228"	"37"	"1"	"6"	"2"	"3"	"7"	"12"	"434"	"0"	"434"	"0"
"389"	"211"	"31"	"59"	"367"	"25"	"7"	"6"	"5"	"9"	"6"	"17"	"532"	"0"	"532"	"0"
"390"	"212"	"144"	"56"	"194"	"96"	"13"	"5"	"9"	"10"	"5"	"13"	"545"	"0"	"545"	"0"
"391"	"213"	"231"	"189"	"426"	"21"	"5"	"5"	"3"	"4"	"4"	"8"	"896"	"0"	"896"	"0"
"392"	"214"	"115"	"24"	"209"	"40"	"4"	"4"	"1"	"10"	"5"	"9"	"421"	"0"	"421"	"0"
"393"	"215"	"99"	"91"	"160"	"73"	"4"	"2"	"4"	"1"	"1"	"9"	"444"	"0"	"444"	"0"
"394"	"216"	"114"	"44"	"133"	"51"	"4"	"5"	"5"	"7"	"5"	"29"	"397"	"0"	"397"	"0"
"395"	"TOTAL"	"31134"	"27223"	"34359"	"18381"	"2873"	"1383"	"765"	"3209"	"690"	"1721"	"121738"	"0"	"121738"	"0"
"396"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"399"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"400"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"401"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"402"	"BF"	"31134"	"27223"	"34359"	"18381"	"2873"	"1383"	"765"	"3209"	"690"	"1721"	"121738"	"0"	"121738"	"0"
"403"	"217"	"72"	"67"	"187"	"32"	"10"	"6"	"9"	"7"	"10"	"13"	"413"	"0"	"413"	"0"
"404"	"218"	"5"	"222"	"306"	"7"	"0"	"2"	"0"	"2"	"1"	"1"	"546"	"0"	"546"	"0"
"405"	"219"	"14"	"121"	"215"	"10"	"0"	"0"	"1"	"5"	"3"	"5"	"374"	"0"	"374"	"0"
"406"	"220"	"50"	"180"	"121"	"55"	"4"	"5"	"8"	"4"	"8"	"20"	"455"	"0"	"455"	"0"
"407"	"221"	"23"	"36"	"201"	"13"	"25"	"6"	"4"	"7"	"5"	"10"	"330"	"0"	"330"	"0"
"408"	"222"	"107"	"96"	"258"	"25"	"8"	"2"	"6"	"2"	"2"	"24"	"530"	"0"	"530"	"0"
"409"	"223"	"38"	"37"	"382"	"28"	"4"	"0"	"3"	"3"	"1"	"4"	"500"	"0"	"500"	"0"
"410"	"224"	"75"	"97"	"266"	"11"	"10"	"8"	"8"	"10"	"7"	"5"	"497"	"0"	"497"	"0"
"411"	"225"	"57"	"40"	"165"	"15"	"5"	"5"	"6"	"12"	"2"	"6"	"313"	"0"	"313"	"0"
"412"	"226"	"69"	"47"	"181"	"49"	"11"	"5"	"3"	"6"	"7"	"18"	"396"	"0"	"396"	"0"
"413"	"227"	"40"	"46"	"387"	"28"	"12"	"12"	"15"	"8"	"0"	"8"	"556"	"0"	"556"	"0"
"414"	"228"	"38"	"99"	"283"	"26"	"7"	"4"	"10"	"12"	"10"	"11"	"500"	"0"	"500"	"0"
"415"	"229"	"74"	"16"	"143"	"22"	"2"	"3"	"0"	"1"	"3"	"11"	"275"	"0"	"275"	"0"
"416"	"230"	"97"	"37"	"127"	"12"	"6"	"4"	"5"	"6"	"10"	"21"	"325"	"0"	"325"	"0"
"417"	"TOTAL"	"31893"	"28364"	"37581"	"18714"	"2977"	"1445"	"843"	"3294"	"759"	"1878"	"127748"	"0"	"127748"	"0"
"418"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"421"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"422"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"423"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"424"	"BF"	"31893"	"28364"	"37581"	"18714"	"2977"	"1445"	"843"	"3294"	"759"	"1878"	"127748"	"0"	"127748"	"0"
"425"	"231"	"57"	"74"	"197"	"8"	"10"	"5"	"1"	"6"	"8"	"8"	"374"	"0"	"374"	"0"
"426"	"TOTAL"	"31950"	"28438"	"37778"	"18722"	"2987"	"1450"	"844"	"3300"	"767"	"1886"	"128122"	"0"	"128122"	"0"
"427"	"POSTAL VOTES"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"5"	"0"
"428"	"TOTAL VOTES POLLED"	"31950"	"28438"	"37778"	"18722"	"2987"	"1450"	"844"	"3300"	"767"	"1886"	"128122"	"5"	"128127"	"0"
"429"	"Place: ..........................................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"430"	"Date:......................................"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
