"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"119"	"71"	""	"12"	""	""	"69"	""	""	""	"71"	""	""	""	""	"435"	""	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	"9"	""	""	""	""	"631"	""	""	""	""	"-"	""	""	""	""	"631"	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"72"	""	"11"	""	""	"32"	""	""	""	"246"	""	""	""	""	"23"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"329"	""	""	""	""	"-"	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total :-"	""	"238"	""	""	"1194"	""	""	""	"1836"	""	""	""	""	"2438"	""	""	""	""	""	"259"	""	""	""	""	"36"	""	""	""	"36"	""	""	""	"57"	""	""	""	"56"	""	""	""	""	""	"163"	""	""	""	""	"82"	""	""	""	""	"106"	""	""	""	""	""	"214"	""	""	""	""	"6715"	""	""	""	""	"-"	""	""	""	""	"6715"	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"123"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"125"	"73"	""	"114"	""	""	"25"	""	""	""	"184"	""	""	""	""	"78"	""	""	""	""	"22"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"8"	""	""	"6"	""	""	""	""	""	"17"	""	""	""	""	""	"9"	""	""	""	""	"10"	""	""	""	""	"22"	""	""	""	""	"498"	""	""	""	""	""	"0"	""	""	""	""	"498"	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"74"	""	"8"	""	""	"16"	""	""	""	"23"	""	""	""	""	"319"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"401"	""	""	""	""	""	"0"	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"75"	""	"18"	""	""	"222"	""	""	""	"14"	""	""	""	""	"84"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	""	"8"	""	""	""	""	"390"	""	""	""	""	""	"0"	""	""	""	""	"390"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"76"	""	"26"	""	""	"86"	""	""	""	"162"	""	""	""	""	"57"	""	""	""	""	"12"	""	""	""	""	"11"	""	""	""	""	"53"	""	""	""	"10"	""	""	"7"	""	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	""	"455"	""	""	""	""	""	"0"	""	""	""	""	"455"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"77"	""	"27"	""	""	"13"	""	""	""	"210"	""	""	""	""	"73"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"10"	""	""	""	"4"	""	""	"7"	""	""	""	""	""	"10"	""	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"16"	""	""	""	""	"389"	""	""	""	""	""	"0"	""	""	""	""	"389"	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"78"	""	"14"	""	""	"32"	""	""	""	"191"	""	""	""	""	"96"	""	""	""	""	"38"	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"8"	""	""	"10"	""	""	""	""	""	"19"	""	""	""	""	""	"10"	""	""	""	""	"20"	""	""	""	""	"35"	""	""	""	""	"486"	""	""	""	""	""	"0"	""	""	""	""	"486"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"79"	""	"26"	""	""	"112"	""	""	""	"188"	""	""	""	""	"36"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"2"	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	"13"	""	""	""	""	"9"	""	""	""	""	"37"	""	""	""	""	"451"	""	""	""	""	""	"0"	""	""	""	""	"451"	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"80"	""	"11"	""	""	"122"	""	""	""	"44"	""	""	""	""	"95"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"20"	""	""	""	""	"313"	""	""	""	""	""	"0"	""	""	""	""	"313"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"81"	""	"3"	""	""	"28"	""	""	""	"117"	""	""	""	""	"51"	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"74"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"323"	""	""	""	""	""	"0"	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"82"	""	"22"	""	""	"113"	""	""	""	"151"	""	""	""	""	"36"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"16"	""	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"375"	""	""	""	""	""	"0"	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"82 A"	""	"9"	""	""	"151"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"2"	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"200"	""	""	""	""	""	"0"	""	""	""	""	"200"	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"83"	""	"14"	""	""	"263"	""	""	""	"203"	""	""	""	""	"31"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"553"	""	""	""	""	""	"0"	""	""	""	""	"553"	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"84"	""	"9"	""	""	"101"	""	""	""	"43"	""	""	""	""	"190"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	"365"	""	""	""	""	""	"0"	""	""	""	""	"365"	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"84A"	""	"22"	""	""	"103"	""	""	""	"41"	""	""	""	""	"56"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"39"	""	""	""	""	"285"	""	""	""	""	""	"0"	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Total:-"	""	"323"	""	""	"1387"	""	""	""	"1577"	""	""	""	""	"1204"	""	""	""	""	"125"	""	""	""	""	"42"	""	""	""	""	"188"	""	""	""	"55"	""	""	"54"	""	""	""	""	""	"128"	""	""	""	""	""	"81"	""	""	""	""	"92"	""	""	""	""	"228"	""	""	""	""	"5484"	""	""	""	""	""	"0"	""	""	""	""	"5484"	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"141"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"143"	"85"	""	"12"	""	""	"54"	""	""	""	"44"	""	""	""	""	"67"	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	"60"	""	""	""	"3"	""	""	"9"	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	"123"	""	""	""	""	"405"	""	""	""	""	""	"0"	""	""	""	""	"405"	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"86"	""	"2"	""	""	"20"	""	""	""	"51"	""	""	""	""	"146"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"238"	""	""	""	""	""	"0"	""	""	""	""	"238"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"87"	""	"3"	""	""	"2"	""	""	""	"18"	""	""	""	""	"772"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"36"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"845"	""	""	""	""	""	"0"	""	""	""	""	"845"	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"88"	""	"9"	""	""	"42"	""	""	""	"429"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	"2"	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	""	"525"	""	""	""	""	""	"0"	""	""	""	""	"525"	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"89"	""	"9"	""	""	"3"	""	""	""	"22"	""	""	""	""	"440"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"18"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"76"	""	""	""	""	"595"	""	""	""	""	""	"0"	""	""	""	""	"595"	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"90"	""	"8"	""	""	"250"	""	""	""	"11"	""	""	""	""	"23"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"26"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"116"	""	""	""	""	"445"	""	""	""	""	""	"0"	""	""	""	""	"445"	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"91"	""	"8"	""	""	"20"	""	""	""	"8"	""	""	""	""	"201"	""	""	""	""	"30"	""	""	""	""	"4"	""	""	""	""	"65"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"33"	""	""	""	""	"378"	""	""	""	""	""	"0"	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"92"	""	"6"	""	""	"11"	""	""	""	"10"	""	""	""	""	"371"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"415"	""	""	""	""	""	"0"	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"93"	""	"4"	""	""	"14"	""	""	""	"68"	""	""	""	""	"27"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"35"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"84"	""	""	""	""	"253"	""	""	""	""	""	"0"	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"94"	""	"14"	""	""	"98"	""	""	""	"41"	""	""	""	""	"112"	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	""	"32"	""	""	""	"8"	""	""	"3"	""	""	""	""	""	"9"	""	""	""	""	""	"5"	""	""	""	""	"11"	""	""	""	""	"53"	""	""	""	""	"401"	""	""	""	""	""	"0"	""	""	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"95"	""	"2"	""	""	"294"	""	""	""	"17"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"285"	""	""	""	"3"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"12"	""	""	""	""	"623"	""	""	""	""	""	"0"	""	""	""	""	"623"	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"96"	""	"22"	""	""	"62"	""	""	""	"51"	""	""	""	""	"41"	""	""	""	""	"18"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	"11"	""	""	""	""	"153"	""	""	""	""	"377"	""	""	""	""	""	"0"	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"97"	""	"32"	""	""	"67"	""	""	""	"109"	""	""	""	""	"29"	""	""	""	""	"26"	""	""	""	""	"3"	""	""	""	""	"53"	""	""	""	"2"	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"105"	""	""	""	""	"437"	""	""	""	""	""	"0"	""	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"98"	""	"1"	""	""	"20"	""	""	""	"31"	""	""	""	""	"79"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"129"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"156"	""	""	""	""	"428"	""	""	""	""	""	"0"	""	""	""	""	"428"	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Total"	""	"132"	""	""	"957"	""	""	""	"910"	""	""	""	""	"2319"	""	""	""	""	"121"	""	""	""	""	"34"	""	""	""	""	"765"	""	""	""	"32"	""	""	"28"	""	""	""	""	""	"47"	""	""	""	""	""	"24"	""	""	""	""	"61"	""	""	""	""	"936"	""	""	""	""	"6365"	""	""	""	""	""	""	""	""	""	""	"6365"	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""
"159"	""	""	"URMILA DEVI"	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	""	""	"1"	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"161"	"99"	""	"18"	""	"220"	""	""	""	"21"	""	""	""	""	"185"	""	""	""	""	""	"36"	""	""	""	""	"2"	""	""	""	"11"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	"512"	""	""	""	""	"0"	""	""	""	""	"512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"100"	""	"16"	""	"33"	""	""	""	"120"	""	""	""	""	"45"	""	""	""	""	""	"143"	""	""	""	""	"12"	""	""	""	"81"	""	""	""	"8"	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"27"	""	""	""	""	"504"	""	""	""	""	"0"	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"101"	""	"10"	""	"152"	""	""	""	"60"	""	""	""	""	"104"	""	""	""	""	""	"14"	""	""	""	""	"0"	""	""	""	"27"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"14"	""	""	""	""	""	"63"	""	""	""	""	"462"	""	""	""	""	"0"	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"102"	""	"2"	""	"55"	""	""	""	"24"	""	""	""	""	"296"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"7"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	"403"	""	""	""	""	"0"	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"103"	""	"18"	""	"128"	""	""	""	"106"	""	""	""	""	"80"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"37"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"9"	""	""	""	""	"13"	""	""	""	""	"10"	""	""	""	""	""	"32"	""	""	""	""	"447"	""	""	""	""	"0"	""	""	""	""	"447"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"104"	""	"25"	""	"107"	""	""	""	"33"	""	""	""	""	"17"	""	""	""	""	""	"35"	""	""	""	""	"5"	""	""	""	"48"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"52"	""	""	""	""	"350"	""	""	""	""	"0"	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"105"	""	"2"	""	"182"	""	""	""	"30"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"261"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"7"	""	""	""	""	"503"	""	""	""	""	"0"	""	""	""	""	"503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"106"	""	"1"	""	"62"	""	""	""	"188"	""	""	""	""	"40"	""	""	""	""	""	"25"	""	""	""	""	"1"	""	""	""	"18"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	"13"	""	""	""	""	"415"	""	""	""	""	"0"	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"106A"	""	"4"	""	"253"	""	""	""	"64"	""	""	""	""	"15"	""	""	""	""	""	"11"	""	""	""	""	"0"	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	"362"	""	""	""	""	"0"	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"107"	""	"5"	""	"32"	""	""	""	"115"	""	""	""	""	"183"	""	""	""	""	""	"30"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	"397"	""	""	""	""	"0"	""	""	""	""	"397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"108"	""	"0"	""	"55"	""	""	""	"122"	""	""	""	""	"153"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"337"	""	""	""	""	"0"	""	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"109"	""	"16"	""	"8"	""	""	""	"279"	""	""	""	""	"105"	""	""	""	""	""	"17"	""	""	""	""	"3"	""	""	""	"26"	""	""	""	"11"	""	""	""	"7"	""	""	""	""	""	"21"	""	""	""	""	"17"	""	""	""	""	"7"	""	""	""	""	""	"52"	""	""	""	""	"569"	""	""	""	""	"0"	""	""	""	""	"569"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"110"	""	"2"	""	"312"	""	""	""	"27"	""	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	"0"	""	""	""	"17"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"377"	""	""	""	""	"0"	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"111"	""	"2"	""	"3"	""	""	""	"5"	""	""	""	""	"44"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"167"	""	""	""	""	"238"	""	""	""	""	"0"	""	""	""	""	"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total"	""	"121"	""	"1602"	""	""	""	"1194"	""	""	""	""	"1274"	""	""	""	""	""	"339"	""	""	""	""	"30"	""	""	""	"549"	""	""	""	"39"	""	""	""	"34"	""	""	""	""	""	"80"	""	""	""	""	"58"	""	""	""	""	"75"	""	""	""	""	""	"434"	""	""	""	""	"5829"	""	""	""	""	""	""	""	""	""	"5829"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"No. & Name of the Assembly Constituency- 223-GOH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
